Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
0,AAPL,2015-01-02,109.33,637002389.27,-0.009513
1,AAPL,2015-01-05,106.25,619007718.75,-0.028172
2,AAPL,2015-01-06,106.26,619065978.3,9.4e-05
3,AAPL,2015-01-07,107.75,627746651.25,0.014022
4,AAPL,2015-01-08,111.89,651866104.95,0.038422
5,AAPL,2015-01-09,112.01,652430023.48,0.001072
6,AAPL,2015-01-12,109.25,636353719.0,-0.024641
7,AAPL,2015-01-13,110.22,642003724.56,0.008879
8,AAPL,2015-01-14,109.8,639557330.4,-0.003811
9,AAPL,2015-01-15,106.82,622199581.36,-0.02714
10,AAPL,2015-01-16,105.99,617365040.52,-0.00777
11,AAPL,2015-01-20,108.72,633266602.56,0.025757
12,AAPL,2015-01-21,109.55,638101143.4,0.007634
13,AAPL,2015-01-22,112.4,654701675.2,0.026016
14,AAPL,2015-01-23,112.98,658080029.04,0.00516
15,AAPL,2015-01-26,113.1,658778998.8,0.001062
16,AAPL,2015-01-27,109.14,635712996.72,-0.035013
17,AAPL,2015-01-28,115.31,671651691.88,0.056533
18,AAPL,2015-01-29,118.9,692562537.2,0.031133
19,AAPL,2015-01-30,117.16,682427475.68,-0.014634
20,AAPL,2015-02-02,118.63,690989855.24,0.012547
21,AAPL,2015-02-03,118.65,691106350.2,0.000169
22,AAPL,2015-02-04,119.56,696406870.88,0.00767
23,AAPL,2015-02-05,119.94,698620275.12,0.007109
24,AAPL,2015-02-06,118.93,692737279.64,-0.008421
25,AAPL,2015-02-09,119.72,697338830.56,0.006643
26,AAPL,2015-02-10,122.02,710735750.96,0.019211
27,AAPL,2015-02-11,124.88,727394530.24,0.023439
28,AAPL,2015-02-12,126.46,736597632.08,0.012652
29,AAPL,2015-02-13,127.08,740208975.84,0.004903
30,AAPL,2015-02-17,127.83,744577536.84,0.005902
31,AAPL,2015-02-18,128.715,749732438.82,0.006923
32,AAPL,2015-02-19,128.45,748188880.6,-0.002059
33,AAPL,2015-02-20,129.495,754275742.26,0.008135
34,AAPL,2015-02-23,133.0,774691484.0,0.027067
35,AAPL,2015-02-24,132.17,769856943.16,-0.006241
36,AAPL,2015-02-25,128.79,750169294.92,-0.025573
37,AAPL,2015-02-26,130.415,759634510.42,0.012617
38,AAPL,2015-02-27,128.46,748247128.08,-0.014991
