Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
2014,ABBV,2015-01-02,65.89,104980230.85,0.006877
2015,ABBV,2015-01-05,64.65,103004582.25,-0.018819
2016,ABBV,2015-01-06,64.33,102494737.45,-0.00495
2017,ABBV,2015-01-07,66.93,106637226.45,0.040417
2018,ABBV,2015-01-08,67.63,107752511.95,0.010459
2019,ABBV,2015-01-09,65.78,104804971.7,-0.027355
2020,ABBV,2015-01-12,65.76,104773106.4,-0.000304
2021,ABBV,2015-01-13,63.39,100997068.35,-0.028589
2022,ABBV,2015-01-14,63.7,101490980.5,0.00489
2023,ABBV,2015-01-15,62.89,100200435.85,-0.012716
2024,ABBV,2015-01-16,64.54,102829323.1,0.026236
2025,ABBV,2015-01-20,63.45,101092664.25,-0.016889
2026,ABBV,2015-01-21,62.7,99897715.5,-0.01182
2027,ABBV,2015-01-22,62.98,100343829.7,0.004466
2028,ABBV,2015-01-23,62.43,99467533.95,-0.008733
2029,ABBV,2015-01-26,62.83,100104839.95,0.006407
2030,ABBV,2015-01-27,63.1,100535021.5,0.004297
2031,ABBV,2015-01-28,61.85,98543440.25,-0.01981
2032,ABBV,2015-01-29,63.12,100566886.8,0.020534
2033,ABBV,2015-01-30,60.35,96153542.75,-0.043885
2034,ABBV,2015-02-02,60.7,96711185.5,0.0058
2035,ABBV,2015-02-03,61.65,98224787.25,0.015651
2036,ABBV,2015-02-04,56.91,90672711.15,-0.076886
2037,ABBV,2015-02-05,57.99,92393437.35,0.018977
2038,ABBV,2015-02-06,56.9,90656778.5,-0.018796
2039,ABBV,2015-02-09,55.48,88394342.2,-0.024956
2040,ABBV,2015-02-10,56.89,90640845.85,0.025415
2041,ABBV,2015-02-11,56.69,90322192.85,-0.003516
2042,ABBV,2015-02-12,57.05,90895768.25,0.00635
2043,ABBV,2015-02-13,58.05,92489033.25,0.017528
2044,ABBV,2015-02-17,58.72,93556520.8,0.011542
2045,ABBV,2015-02-18,59.24,94385018.6,0.008856
2046,ABBV,2015-02-19,59.0,94002635.0,-0.004051
2047,ABBV,2015-02-20,61.3,97667144.5,0.038983
2048,ABBV,2015-02-23,60.57,96504061.05,-0.011909
2049,ABBV,2015-02-24,60.87,96982040.55,0.004953
2050,ABBV,2015-02-25,60.62,96583724.3,-0.004107
2051,ABBV,2015-02-26,60.52,96424397.8,-0.00165
2052,ABBV,2015-02-27,60.5,96430163.5,-0.00033
2053,ABBV,2015-03-02,60.46,96366408.02,-0.000661
2054,ABBV,2015-03-03,59.62,95027542.94,-0.013893
2055,ABBV,2015-03-04,60.27,96063569.49,0.010902
2056,ABBV,2015-03-05,56.86,90628414.82,-0.056579
2057,ABBV,2015-03-06,55.64,88683872.68,-0.021456
2058,ABBV,2015-03-09,55.54,88524483.98,-0.001797
2059,ABBV,2015-03-10,55.84,89002650.08,0.005402
2060,ABBV,2015-03-11,56.62,90245881.94,0.013968
2061,ABBV,2015-03-12,58.0,92445446.0,0.024373
2062,ABBV,2015-03-13,58.0,92445446.0,0.0
2063,ABBV,2015-03-16,59.12,94230599.44,0.01931
2064,ABBV,2015-03-17,59.73,95202870.51,0.010318
2065,ABBV,2015-03-18,59.89,95457892.43,0.002679
2066,ABBV,2015-03-19,61.19,97529945.53,0.021706
2067,ABBV,2015-03-20,60.4,96270774.8,-0.012911
2068,ABBV,2015-03-23,60.48,96398285.76,0.001325
2069,ABBV,2015-03-24,59.63,95043481.81,-0.014054
2070,ABBV,2015-03-25,58.22,92796101.14,-0.023646
2071,ABBV,2015-03-26,57.27,91281908.49,-0.016317
2072,ABBV,2015-03-27,57.65,91887585.55,0.006635
2073,ABBV,2015-03-30,58.24,92827978.88,0.010234
2074,ABBV,2015-03-31,58.54,93204226.84,0.005151
2075,ABBV,2015-04-01,57.1,90911536.6,-0.024599
2076,ABBV,2015-04-02,57.01,90768243.46,-0.001576
2077,ABBV,2015-04-06,57.61,91723531.06,0.010524
2078,ABBV,2015-04-07,58.42,93013169.32,0.01406
2079,ABBV,2015-04-08,58.81,93634106.26,0.006676
2080,ABBV,2015-04-09,60.32,96038246.72,0.025676
2081,ABBV,2015-04-10,62.0,98713052.0,0.027851
2082,ABBV,2015-04-13,61.2,97439335.2,-0.004677
2083,ABBV,2015-04-14,61.72,98267251.12,0.008497
2084,ABBV,2015-04-15,62.03,98760816.38,0.005023
2085,ABBV,2015-04-16,62.59,99652418.14,0.009028
2086,ABBV,2015-04-17,62.29,99174774.34,-0.004793
2087,ABBV,2015-04-20,63.54,101164956.84,0.020067
2088,ABBV,2015-04-21,63.61,101276407.06,0.001102
2089,ABBV,2015-04-22,64.52,102725259.92,0.014306
2090,ABBV,2015-04-23,64.25,102295380.5,-0.004185
2091,ABBV,2015-04-24,66.07,105193086.22,0.028327
2092,ABBV,2015-04-27,65.02,103521332.92,-0.015892
2093,ABBV,2015-04-28,66.49,105861787.54,0.022608
2094,ABBV,2015-04-29,65.63,104492541.98,-0.012934
2095,ABBV,2015-04-30,64.66,102948160.36,-0.01478
2096,ABBV,2015-05-01,64.32,102406830.72,-0.005258
2097,ABBV,2015-05-04,64.68,102980003.28,0.005597
2098,ABBV,2015-05-05,63.86,101674443.56,-0.012678
2099,ABBV,2015-05-06,63.94,101801815.24,0.001253
2100,ABBV,2015-05-07,64.7,103011846.2,0.011886
2101,ABBV,2015-05-08,65.24,103871605.04,0.008346
2102,ABBV,2015-05-11,65.2,103807919.2,-0.000613
2103,ABBV,2015-05-12,64.81,103186982.26,-0.005982
2104,ABBV,2015-05-13,65.3,103967133.8,0.007561
2105,ABBV,2015-05-14,65.97,105033871.62,0.01026
2106,ABBV,2015-05-15,65.99,105065714.54,0.000303
2107,ABBV,2015-05-18,65.61,104460699.06,-0.005758
2108,ABBV,2015-05-19,65.73,104651756.58,0.001829
2109,ABBV,2015-05-20,65.89,104906499.94,0.002434
2110,ABBV,2015-05-21,65.65,104524384.9,-0.003642
2111,ABBV,2015-05-22,65.48,104253720.08,-0.002589
2112,ABBV,2015-05-26,66.1,105240850.6,0.009469
2113,ABBV,2015-05-27,67.38,107278797.48,0.019365
2114,ABBV,2015-05-28,67.47,107422090.62,0.001336
2115,ABBV,2015-05-29,66.59,106082930.84,-0.013043
2116,ABBV,2015-06-01,66.93,106624576.68,0.005106
2117,ABBV,2015-06-02,66.62,106130723.12,-0.004632
2118,ABBV,2015-06-03,67.01,106752022.76,0.005854
2119,ABBV,2015-06-04,67.42,107405183.92,0.006118
2120,ABBV,2015-06-05,67.4,107373322.4,-0.000297
