Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
4028,ABT,2015-01-02,44.9,67610015.9,-0.002665
4029,ABT,2015-01-05,44.91,67625073.81,0.000223
4030,ABT,2015-01-06,44.4,66857120.4,-0.011356
4031,ABT,2015-01-07,44.76,67399205.16,0.008108
4032,ABT,2015-01-08,45.68,68784532.88,0.020554
4033,ABT,2015-01-09,45.2,68061753.2,-0.010508
4034,ABT,2015-01-12,45.58,68633953.78,0.008407
4035,ABT,2015-01-13,44.61,67173336.51,-0.016016
4036,ABT,2015-01-14,44.28,66676425.48,-0.007397
4037,ABT,2015-01-15,43.95,66179514.45,-0.007453
4038,ABT,2015-01-16,44.49,66992641.59,0.012287
4039,ABT,2015-01-20,44.22,66586078.02,-0.006069
4040,ABT,2015-01-21,44.06,66345151.46,-0.003618
4041,ABT,2015-01-22,44.49,66992641.59,0.009759
4042,ABT,2015-01-23,43.86,66043993.26,-0.01416
4043,ABT,2015-01-26,44.15,66480672.65,0.006612
4044,ABT,2015-01-27,43.68,65772950.88,-0.010646
4045,ABT,2015-01-28,43.41,65366387.31,-0.006181
4046,ABT,2015-01-29,45.26,68152100.66,0.042617
4047,ABT,2015-01-30,44.76,67399205.16,-0.011047
4048,ABT,2015-02-02,45.23,68106926.93,0.0105
4049,ABT,2015-02-03,45.83,69010401.53,0.013266
4050,ABT,2015-02-04,45.17,68016579.47,-0.014401
4051,ABT,2015-02-05,45.65,68739359.15,0.010627
4052,ABT,2015-02-06,45.5,68513490.5,-0.003286
4053,ABT,2015-02-09,44.52,67037815.32,-0.021538
4054,ABT,2015-02-10,44.92,67640131.72,0.008985
4055,ABT,2015-02-11,44.93,67655189.63,0.000223
4056,ABT,2015-02-12,45.22,68091869.02,0.006454
4057,ABT,2015-02-13,46.09,69401907.19,0.019239
4058,ABT,2015-02-17,46.41,69883760.31,0.006943
4059,ABT,2015-02-18,46.41,69883760.31,0.0
4060,ABT,2015-02-19,46.61,70184918.51,0.004309
4061,ABT,2015-02-20,47.48,71494956.68,0.018666
4062,ABT,2015-02-23,47.32,71254030.12,-0.00337
4063,ABT,2015-02-24,47.47,71479898.77,0.00317
4064,ABT,2015-02-25,47.4,71374493.4,-0.001475
4065,ABT,2015-02-26,47.61,71690709.51,0.00443
4066,ABT,2015-02-27,47.37,71480287.86,-0.005041
4067,ABT,2015-03-02,47.22,71253941.16,-0.003167
4068,ABT,2015-03-03,47.09,71057774.02,-0.002753
4069,ABT,2015-03-04,47.01,70937055.78,-0.001699
4070,ABT,2015-03-05,47.44,71585916.32,0.009147
4071,ABT,2015-03-06,46.5,70167477.0,-0.019815
4072,ABT,2015-03-09,46.83,70665439.74,0.007097
4073,ABT,2015-03-10,46.17,69669514.26,-0.014094
4074,ABT,2015-03-11,46.3,69865681.4,0.002816
4075,ABT,2015-03-12,47.25,71299210.5,0.020518
4076,ABT,2015-03-13,46.88,70740888.64,-0.007831
4077,ABT,2015-03-16,47.83,72174417.74,0.020265
4078,ABT,2015-03-17,47.09,71057774.02,-0.015471
4079,ABT,2015-03-18,47.39,71510467.42,0.006371
4080,ABT,2015-03-19,47.44,71585916.32,0.001055
4081,ABT,2015-03-20,47.47,71631185.66,0.000632
4082,ABT,2015-03-23,47.47,71631185.66,0.0
4083,ABT,2015-03-24,47.0,70921966.0,-0.009901
4084,ABT,2015-03-25,46.53,70212746.34,-0.01
4085,ABT,2015-03-26,46.5,70167477.0,-0.000645
4086,ABT,2015-03-27,46.78,70589990.84,0.006022
4087,ABT,2015-03-30,47.08,71042684.24,0.006413
4088,ABT,2015-03-31,46.33,69910950.74,-0.01593
4089,ABT,2015-04-01,45.89,69247000.42,-0.009497
4090,ABT,2015-04-02,46.13,69609155.14,0.00523
4091,ABT,2015-04-06,46.3,69865681.4,0.003685
4092,ABT,2015-04-07,46.19,69699693.82,-0.002376
4093,ABT,2015-04-08,46.61,70333464.58,0.009093
4094,ABT,2015-04-09,47.0,70921966.0,0.008367
4095,ABT,2015-04-10,47.15,71148312.7,0.003191
4096,ABT,2015-04-13,46.53,70212746.34,-0.008059
4097,ABT,2015-04-14,46.7,70469272.6,0.003654
4098,ABT,2015-04-15,46.83,70665439.74,0.002784
4099,ABT,2015-04-16,46.52,70197656.56,-0.00662
4100,ABT,2015-04-17,46.25,69790232.5,-0.005804
4101,ABT,2015-04-20,46.63,70363644.14,0.008216
4102,ABT,2015-04-21,47.12,71103043.36,0.010508
4103,ABT,2015-04-22,48.35,72959086.3,0.026104
4104,ABT,2015-04-23,48.46,73125073.88,0.002275
4105,ABT,2015-04-24,48.32,72913816.96,-0.002889
4106,ABT,2015-04-27,47.49,71661365.22,-0.017177
4107,ABT,2015-04-28,47.59,71812263.02,0.002106
4108,ABT,2015-04-29,47.17,71178492.26,-0.008825
4109,ABT,2015-04-30,46.42,70046758.76,-0.0159
4110,ABT,2015-05-01,46.69,70454182.82,0.005816
4111,ABT,2015-05-04,47.0,70921966.0,0.00664
4112,ABT,2015-05-05,46.85,70695619.3,-0.003191
4113,ABT,2015-05-06,46.54,70227836.12,-0.006617
4114,ABT,2015-05-07,46.5,70167477.0,-0.000859
4115,ABT,2015-05-08,47.57,71782083.46,0.023011
4116,ABT,2015-05-11,47.33,71419928.74,-0.005045
4117,ABT,2015-05-12,47.13,71118133.14,-0.004226
4118,ABT,2015-05-13,47.03,70967235.34,-0.002122
4119,ABT,2015-05-14,48.67,73441959.26,0.034871
4120,ABT,2015-05-15,48.71,73502318.38,0.000822
4121,ABT,2015-05-18,48.84,73698485.52,0.002669
4122,ABT,2015-05-19,49.01,73955011.78,0.003481
4123,ABT,2015-05-20,49.14,74151178.92,0.002653
4124,ABT,2015-05-21,49.34,74452974.52,0.00407
4125,ABT,2015-05-22,49.03,73985191.34,-0.006283
4126,ABT,2015-05-26,48.6,73336330.8,-0.00877
4127,ABT,2015-05-27,49.01,73955011.78,0.008436
4128,ABT,2015-05-28,49.26,74332256.28,0.005101
4129,ABT,2015-05-29,48.6,72353590.2,-0.013398
4130,ABT,2015-06-01,48.94,72859767.58,0.006996
4131,ABT,2015-06-02,48.94,72859767.58,0.0
