Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
6042,ACN,2015-01-02,88.84,55802980.36,-0.005263
6043,ACN,2015-01-05,87.34,54860786.86,-0.016884
6044,ACN,2015-01-06,86.71,54465065.59,-0.007213
6045,ACN,2015-01-07,88.53,55608260.37,0.02099
6046,ACN,2015-01-08,89.88,56456234.52,0.015249
6047,ACN,2015-01-09,89.78,56393421.62,-0.001113
6048,ACN,2015-01-12,89.51,56223826.79,-0.003007
6049,ACN,2015-01-13,89.83,56424828.07,0.003575
6050,ACN,2015-01-14,88.78,55765292.62,-0.011689
6051,ACN,2015-01-15,88.17,55382133.93,-0.006871
6052,ACN,2015-01-16,88.89,55834386.81,0.008166
6053,ACN,2015-01-20,88.62,55664791.98,-0.003037
6054,ACN,2015-01-21,88.34,55488915.86,-0.00316
6055,ACN,2015-01-22,89.5,56217545.5,0.013131
6056,ACN,2015-01-23,89.22,56041669.38,-0.003128
6057,ACN,2015-01-26,89.08,55953731.32,-0.001569
6058,ACN,2015-01-27,86.16,54119594.64,-0.03278
6059,ACN,2015-01-28,84.36,52988962.44,-0.020891
6060,ACN,2015-01-29,85.64,53792967.56,0.015173
6061,ACN,2015-01-30,84.03,52781679.87,-0.0188
6062,ACN,2015-02-02,85.83,53912312.07,0.021421
6063,ACN,2015-02-03,87.92,55225101.68,0.02435
6064,ACN,2015-02-04,87.34,54860786.86,-0.006597
6065,ACN,2015-02-05,88.47,55570572.63,0.012938
6066,ACN,2015-02-06,88.15,55369571.35,-0.003617
6067,ACN,2015-02-09,87.36,54873349.44,-0.008962
6068,ACN,2015-02-10,87.52,54973850.08,0.001832
6069,ACN,2015-02-11,87.96,55250226.84,0.005027
6070,ACN,2015-02-12,89.09,55960012.61,0.012847
6071,ACN,2015-02-13,89.79,56399702.91,0.007857
6072,ACN,2015-02-17,89.3,56091919.7,-0.005457
6073,ACN,2015-02-18,89.43,56173576.47,0.001456
6074,ACN,2015-02-19,90.27,56701204.83,0.009393
6075,ACN,2015-02-20,90.49,56839393.21,0.002437
6076,ACN,2015-02-23,90.57,56889643.53,0.000884
6077,ACN,2015-02-24,90.85,57065519.65,0.003092
6078,ACN,2015-02-25,90.6,56908487.4,-0.002752
6079,ACN,2015-02-26,90.3,56720048.7,-0.003311
6080,ACN,2015-02-27,90.03,56550453.87,-0.00299
6081,ACN,2015-03-02,91.18,57272802.22,0.012774
6082,ACN,2015-03-03,90.84,57059238.36,-0.003729
6083,ACN,2015-03-04,90.91,57103207.39,0.000771
6084,ACN,2015-03-05,92.05,57819274.45,0.01254
6085,ACN,2015-03-06,90.67,56952456.43,-0.014992
6086,ACN,2015-03-09,90.79,57027831.91,0.001323
6087,ACN,2015-03-10,88.06,55313039.74,-0.030069
6088,ACN,2015-03-11,86.86,54559284.94,-0.013627
6089,ACN,2015-03-12,88.2,55400977.8,0.015427
6090,ACN,2015-03-13,87.87,55193695.23,-0.003741
6091,ACN,2015-03-16,88.91,55846949.39,0.011836
6092,ACN,2015-03-17,88.84,55802980.36,-0.000787
6093,ACN,2015-03-18,90.93,57115769.97,0.023525
6094,ACN,2015-03-19,90.19,56650954.51,-0.008138
6095,ACN,2015-03-20,91.48,57461240.92,0.014303
6096,ACN,2015-03-23,91.54,57498928.66,0.000656
6097,ACN,2015-03-24,89.41,56161013.89,-0.023269
6098,ACN,2015-03-25,88.21,55407259.09,-0.013421
6099,ACN,2015-03-26,94.17,59150907.93,0.067566
6100,ACN,2015-03-27,93.94,59006438.26,-0.002442
6101,ACN,2015-03-30,94.42,59307940.18,0.00511
6102,ACN,2015-03-31,93.69,58673830.95,-0.007731
6103,ACN,2015-04-01,93.56,58592417.8,-0.001388
6104,ACN,2015-04-02,94.18,58980695.9,0.006627
6105,ACN,2015-04-06,95.69,59926340.95,0.016033
6106,ACN,2015-04-07,96.39,60364719.45,0.007315
6107,ACN,2015-04-08,95.12,59569375.6,-0.002594
6108,ACN,2015-04-09,95.47,59788564.85,0.00368
6109,ACN,2015-04-10,94.69,59300085.95,-0.00817
6110,ACN,2015-04-13,93.49,58548579.95,-0.012673
6111,ACN,2015-04-14,93.81,58748981.55,0.003423
6112,ACN,2015-04-15,94.16,58968170.8,0.003731
6113,ACN,2015-04-16,94.06,58905545.3,-0.001062
6114,ACN,2015-04-17,92.39,57859699.45,-0.017755
6115,ACN,2015-04-20,93.27,58410803.85,0.009525
6116,ACN,2015-04-21,93.0,58241715.0,-0.002895
6117,ACN,2015-04-22,93.38,58479691.9,0.004086
6118,ACN,2015-04-23,93.84,58767769.2,0.004926
6119,ACN,2015-04-24,93.4,58492217.0,-0.004689
6120,ACN,2015-04-27,93.76,58717668.8,0.003854
6121,ACN,2015-04-28,94.42,59130997.1,0.007039
6122,ACN,2015-04-29,93.65,58648780.75,-0.008155
6123,ACN,2015-04-30,92.65,58022525.75,-0.010678
6124,ACN,2015-05-01,93.36,58467166.8,0.007663
6125,ACN,2015-05-04,94.44,59143522.2,0.011568
6126,ACN,2015-05-05,93.65,58648780.75,-0.008365
6127,ACN,2015-05-06,93.0,58241715.0,-0.006941
6128,ACN,2015-05-07,94.49,59174834.95,0.016022
6129,ACN,2015-05-08,95.89,60051591.95,0.014816
6130,ACN,2015-05-11,96.01,60126742.55,0.001251
6131,ACN,2015-05-12,95.42,59757252.1,-0.006145
6132,ACN,2015-05-13,95.68,59920078.4,0.002725
6133,ACN,2015-05-14,96.98,60734209.9,0.013587
6134,ACN,2015-05-15,97.02,60759260.1,0.000412
6135,ACN,2015-05-18,97.46,61034812.3,0.004535
