Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
8056,ADBE,2015-01-02,72.34,35987992.56,-0.004952
8057,ADBE,2015-01-05,71.98,35808898.32,-0.004976
8058,ADBE,2015-01-06,70.53,35087546.52,-0.020144
8059,ADBE,2015-01-07,71.11,35376087.24,0.008223
8060,ADBE,2015-01-08,72.915,36274045.86,0.025383
8061,ADBE,2015-01-09,71.84,35739250.56,-0.014743
8062,ADBE,2015-01-12,71.12,35381062.08,-0.010022
8063,ADBE,2015-01-13,70.59,35117395.56,-0.007452
8064,ADBE,2015-01-14,69.99,34818905.16,-0.0085
8065,ADBE,2015-01-15,70.29,34968150.36,0.004286
8066,ADBE,2015-01-16,71.73,35744063.22,0.020487
8067,ADBE,2015-01-20,71.49,35624467.86,-0.003346
8068,ADBE,2015-01-21,71.54,35649383.56,0.000699
8069,ADBE,2015-01-22,73.48,36616112.72,0.027118
8070,ADBE,2015-01-23,74.06,36905134.84,0.007893
8071,ADBE,2015-01-26,72.74,36247360.36,-0.017823
8072,ADBE,2015-01-27,71.46,35609518.44,-0.017597
8073,ADBE,2015-01-28,70.25,35006558.5,-0.016933
8074,ADBE,2015-01-29,71.64,35699214.96,0.019786
8075,ADBE,2015-01-30,70.13,34946760.82,-0.021078
8076,ADBE,2015-02-02,71.11,35435108.54,0.013974
8077,ADBE,2015-02-03,71.92,35838742.88,0.011391
8078,ADBE,2015-02-04,72.28,36018135.92,0.005006
8079,ADBE,2015-02-05,73.1,36426753.4,0.011345
8080,ADBE,2015-02-06,72.54,36147697.56,-0.007661
8081,ADBE,2015-02-09,72.33,36043051.62,-0.002895
8082,ADBE,2015-02-10,72.76,36257326.64,0.005945
8083,ADBE,2015-02-11,73.01,36381905.14,0.003436
8084,ADBE,2015-02-12,74.59,37169241.26,0.021641
8085,ADBE,2015-02-13,76.51,38325618.73,0.025741
8086,ADBE,2015-02-17,77.13,38636190.99,0.008104
8087,ADBE,2015-02-18,77.73,38936744.79,0.007779
8088,ADBE,2015-02-19,77.73,38936744.79,0.0
8089,ADBE,2015-02-20,78.55,39347501.65,0.010549
8090,ADBE,2015-02-23,78.1,39122086.3,-0.005729
8091,ADBE,2015-02-24,77.68,38911698.64,-0.005378
8092,ADBE,2015-02-25,78.07,39107058.61,0.005021
8093,ADBE,2015-02-26,78.96,39552880.08,0.0114
8094,ADBE,2015-02-27,79.1,39553796.8,0.001773
