Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
10070,AIG,2015-01-02,56.11,78549062.32,0.001785
10071,AIG,2015-01-05,55.0,76995160.0,-0.019783
10072,AIG,2015-01-06,54.22,75903228.64,-0.014182
10073,AIG,2015-01-07,54.48,76267205.76,0.004795
10074,AIG,2015-01-08,54.24,75931226.88,-0.004405
10075,AIG,2015-01-09,53.32,74643307.84,-0.016962
10076,AIG,2015-01-12,52.36,73299392.32,-0.018005
10077,AIG,2015-01-13,51.87,72613435.44,-0.009358
10078,AIG,2015-01-14,51.38,71927478.56,-0.009447
10079,AIG,2015-01-15,50.4,70555564.8,-0.019074
10080,AIG,2015-01-16,51.11,71549502.32,0.014087
10081,AIG,2015-01-20,50.65,70905542.8,-0.009
10082,AIG,2015-01-21,50.83,71157526.96,0.003554
10083,AIG,2015-01-22,52.28,73187399.36,0.028526
10084,AIG,2015-01-23,51.51,72109467.12,-0.014728
10085,AIG,2015-01-26,51.21,71689493.52,-0.005824
10086,AIG,2015-01-27,50.47,70653558.64,-0.01445
10087,AIG,2015-01-28,49.21,68889669.52,-0.024965
10088,AIG,2015-01-29,49.26,68959665.12,0.001016
10089,AIG,2015-01-30,48.87,68413699.44,-0.007917
10090,AIG,2015-02-02,50.46,70639559.52,0.032535
10091,AIG,2015-02-03,51.33,71857482.96,0.017241
10092,AIG,2015-02-04,51.51,72109467.12,0.003507
10093,AIG,2015-02-05,51.62,72263457.44,0.002136
10094,AIG,2015-02-06,52.1,72935415.2,0.009299
10095,AIG,2015-02-09,52.14,72991411.68,0.000768
10096,AIG,2015-02-10,52.41,73369387.92,0.005178
10097,AIG,2015-02-11,52.25,73145402.0,-0.003053
10098,AIG,2015-02-12,52.45,73425384.4,0.003828
10099,AIG,2015-02-13,53.96,75539251.52,0.028789
10100,AIG,2015-02-17,54.99,76981160.88,0.019088
10101,AIG,2015-02-18,54.71,76589185.52,-0.005092
10102,AIG,2015-02-19,54.98,76967161.76,0.004935
10103,AIG,2015-02-20,55.22,77303140.64,0.004365
10104,AIG,2015-02-23,54.57,76393197.84,-0.011771
10105,AIG,2015-02-24,55.04,77051156.48,0.008613
10106,AIG,2015-02-25,54.8,76715177.6,-0.00436
10107,AIG,2015-02-26,54.93,76897166.16,0.002372
10108,AIG,2015-02-27,55.33,75936883.88,0.007282
10109,AIG,2015-03-02,55.65,76376063.4,0.005783
10110,AIG,2015-03-03,55.58,76279992.88,-0.001258
10111,AIG,2015-03-04,55.38,76005505.68,-0.003598
10112,AIG,2015-03-05,55.61,76321165.96,0.004153
10113,AIG,2015-03-06,56.0,76856416.0,0.007013
10114,AIG,2015-03-09,56.11,77007383.96,0.001964
10115,AIG,2015-03-10,54.42,74687967.12,-0.027892
10116,AIG,2015-03-11,54.72,75099697.92,0.005513
10117,AIG,2015-03-12,55.6,76307441.6,0.016082
10118,AIG,2015-03-13,55.3,75895710.8,-0.005396
10119,AIG,2015-03-16,55.93,76760345.48,0.011392
10120,AIG,2015-03-17,55.8,76581928.8,-0.002324
10121,AIG,2015-03-18,56.42,77432839.12,0.011111
10122,AIG,2015-03-19,55.65,76376063.4,-0.013648
10123,AIG,2015-03-20,55.94,76774069.84,0.005211
10124,AIG,2015-03-23,55.83,76623101.88,-0.001966
10125,AIG,2015-03-24,55.37,75991781.32,-0.008239
10126,AIG,2015-03-25,54.52,74825210.72,-0.015351
10127,AIG,2015-03-26,54.17,74344858.12,-0.00642
10128,AIG,2015-03-27,54.03,74152717.08,-0.002584
10129,AIG,2015-03-30,54.68,75044800.48,0.01203
10130,AIG,2015-03-31,54.79,74184016.3,0.002012
10131,AIG,2015-04-01,54.81,74211095.7,0.000365
10132,AIG,2015-04-02,55.14,74657905.8,0.006021
10133,AIG,2015-04-06,55.42,75037017.4,0.005078
10134,AIG,2015-04-07,54.98,74441270.6,-0.007939
10135,AIG,2015-04-08,55.45,75077636.5,0.008549
10136,AIG,2015-04-09,56.29,76214971.3,0.015149
10137,AIG,2015-04-10,56.59,76621162.3,0.00533
10138,AIG,2015-04-13,57.46,77799116.2,0.015374
10139,AIG,2015-04-14,57.5,77853275.0,0.000696
10140,AIG,2015-04-15,58.27,78895831.9,0.013391
10141,AIG,2015-04-16,58.16,78746895.2,-0.001888
10142,AIG,2015-04-17,57.43,77758497.1,-0.012552
10143,AIG,2015-04-20,57.51,77866814.7,0.001393
10144,AIG,2015-04-21,56.64,76688860.8,-0.015128
10145,AIG,2015-04-22,56.58,76607622.6,-0.001059
10146,AIG,2015-04-23,56.75,76837797.5,0.003005
10147,AIG,2015-04-24,56.99,77162750.3,0.004229
10148,AIG,2015-04-27,57.0,77176290.0,0.000175
10149,AIG,2015-04-28,56.8,76905496.0,-0.003509
10150,AIG,2015-04-29,56.65,76702400.5,-0.002641
10151,AIG,2015-04-30,56.29,76214971.3,-0.006355
10152,AIG,2015-05-01,57.74,78178227.8,0.025759
10153,AIG,2015-05-04,58.2,78801054.0,0.007967
