Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
12084,AMD,2015-01-02,2.69,2085664.6,0.007491
12085,AMD,2015-01-05,2.66,2062404.4,-0.011152
12086,AMD,2015-01-06,2.63,2039144.2,-0.011278
12087,AMD,2015-01-07,2.58,2000377.2,-0.019011
12088,AMD,2015-01-08,2.61,2023637.4,0.011628
12089,AMD,2015-01-09,2.63,2039144.2,0.007663
12090,AMD,2015-01-12,2.63,2039144.2,0.0
12091,AMD,2015-01-13,2.66,2062404.4,0.011407
12092,AMD,2015-01-14,2.63,2039144.2,-0.011278
12093,AMD,2015-01-15,2.52,1953856.8,-0.041825
12094,AMD,2015-01-16,2.39,1853062.6,-0.051587
12095,AMD,2015-01-20,2.24,1736761.6,-0.062762
12096,AMD,2015-01-21,2.45,1899583.0,0.09375
12097,AMD,2015-01-22,2.47,1915089.8,0.008163
12098,AMD,2015-01-23,2.45,1899583.0,-0.008097
12099,AMD,2015-01-26,2.61,2023637.4,0.065306
12100,AMD,2015-01-27,2.7,2093418.0,0.034483
12101,AMD,2015-01-28,2.63,2039144.2,-0.025926
12102,AMD,2015-01-29,2.61,2023637.4,-0.007605
12103,AMD,2015-01-30,2.57,1992623.8,-0.015326
12104,AMD,2015-02-02,2.67,2070157.8,0.038911
12105,AMD,2015-02-03,2.76,2139938.4,0.033708
12106,AMD,2015-02-04,2.85,2209719.0,0.032609
12107,AMD,2015-02-05,3.31,2566375.4,0.161404
12108,AMD,2015-02-06,3.03,2349280.2,-0.084592
12109,AMD,2015-02-09,3.04,2357033.6,0.0033
12110,AMD,2015-02-10,3.04,2357033.6,0.0
12111,AMD,2015-02-11,3.07,2380293.8,0.009868
12112,AMD,2015-02-12,3.12,2419060.8,0.016287
12113,AMD,2015-02-13,3.15,2448495.0,0.009615
12114,AMD,2015-02-17,3.11,2417403.0,-0.012698
12115,AMD,2015-02-18,3.08,2394084.0,-0.009646
12116,AMD,2015-02-19,3.055,2374651.5,-0.008117
12117,AMD,2015-02-20,3.06,2379832.38,0.001637
12118,AMD,2015-02-23,3.06,2379832.38,0.0
12119,AMD,2015-02-24,3.11,2418718.53,0.01634
12120,AMD,2015-02-25,3.1,2410941.3,-0.003215
12121,AMD,2015-02-26,3.08,2395386.84,-0.006452
12122,AMD,2015-02-27,3.11,2418718.53,0.00974
12123,AMD,2015-03-02,3.21,2496490.83,0.032154
12124,AMD,2015-03-03,3.14,2442050.22,-0.021807
12125,AMD,2015-03-04,3.05,2372055.15,-0.028662
12126,AMD,2015-03-05,2.98,2317614.54,-0.022951
12127,AMD,2015-03-06,2.92,2270951.16,-0.020134
12128,AMD,2015-03-09,2.93,2278728.39,0.003425
12129,AMD,2015-03-10,2.92,2270951.16,-0.003413
12130,AMD,2015-03-11,2.84,2208733.32,-0.027397
12131,AMD,2015-03-12,2.76,2146515.48,-0.028169
12132,AMD,2015-03-13,2.75,2138738.25,-0.003623
12133,AMD,2015-03-16,2.76,2146515.48,0.003636
12134,AMD,2015-03-17,2.77,2153121.0,0.003623
12135,AMD,2015-03-18,2.75,2137575.0,-0.00722
12136,AMD,2015-03-19,2.74,2129802.0,-0.003636
12137,AMD,2015-03-20,2.8,2176440.0,0.021898
12138,AMD,2015-03-23,2.84,2207532.0,0.014286
12139,AMD,2015-03-24,2.79,2168667.0,-0.017606
12140,AMD,2015-03-25,2.63,2044299.0,-0.057348
12141,AMD,2015-03-26,2.65,2059845.0,0.007605
12142,AMD,2015-03-27,2.72,2116160.0,0.026415
12143,AMD,2015-03-30,2.7,2100600.0,-0.007353
12144,AMD,2015-03-31,2.68,2085040.0,-0.007407
12145,AMD,2015-04-01,2.69,2092820.0,0.003731
12146,AMD,2015-04-02,2.69,2092820.0,0.0
12147,AMD,2015-04-06,2.7,2100600.0,0.003717
12148,AMD,2015-04-07,2.7,2100600.0,0.0
12149,AMD,2015-04-08,2.71,2108380.0,0.003704
12150,AMD,2015-04-09,2.72,2116160.0,0.00369
12151,AMD,2015-04-10,2.76,2147280.0,0.014706
12152,AMD,2015-04-13,2.78,2162840.0,0.007246
12153,AMD,2015-04-14,2.67,2077260.0,-0.039568
12154,AMD,2015-04-15,2.7,2100600.0,0.011236
12155,AMD,2015-04-16,2.87,2232860.0,0.062963
