Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
14098,AMGN,2015-01-02,159.89,121580356.0,0.003767
14099,AMGN,2015-01-05,157.99,120135596.0,-0.011883
14100,AMGN,2015-01-06,152.9,116265160.0,-0.032217
14101,AMGN,2015-01-07,158.24,120325696.0,0.034925
14102,AMGN,2015-01-08,157.67,119892268.0,-0.003602
14103,AMGN,2015-01-09,155.73,118417092.0,-0.012304
14104,AMGN,2015-01-12,156.22,118789688.0,0.003146
14105,AMGN,2015-01-13,155.14,117968456.0,-0.006913
14106,AMGN,2015-01-14,155.16,117983664.0,0.000129
14107,AMGN,2015-01-15,151.92,115519968.0,-0.020882
14108,AMGN,2015-01-16,158.43,120470172.0,0.042852
14109,AMGN,2015-01-20,157.6,119839040.0,-0.005239
14110,AMGN,2015-01-21,157.38,119671752.0,-0.001396
14111,AMGN,2015-01-22,159.57,121337028.0,0.013915
14112,AMGN,2015-01-23,159.81,121519524.0,0.001504
14113,AMGN,2015-01-26,159.73,121458692.0,-0.000501
14114,AMGN,2015-01-27,158.89,120819956.0,-0.005259
14115,AMGN,2015-01-28,154.64,117588256.0,-0.026748
14116,AMGN,2015-01-29,156.37,118903748.0,0.011187
14117,AMGN,2015-01-30,152.26,115778504.0,-0.026284
14118,AMGN,2015-02-02,152.5,115961000.0,0.001576
14119,AMGN,2015-02-03,152.23,115755692.0,-0.00177
14120,AMGN,2015-02-04,151.45,115162580.0,-0.005124
14121,AMGN,2015-02-05,153.36,116614944.0,0.012611
14122,AMGN,2015-02-06,151.4,115124560.0,-0.01278
14123,AMGN,2015-02-09,150.01,114067604.0,-0.009181
14124,AMGN,2015-02-10,152.57,116014228.0,0.022332
14125,AMGN,2015-02-11,153.11,116424844.0,0.003539
14126,AMGN,2015-02-12,153.18,116242327.98,0.000457
14127,AMGN,2015-02-13,153.48,116469986.28,0.001958
14128,AMGN,2015-02-17,154.24,117046720.64,0.004952
14129,AMGN,2015-02-18,155.78,118215366.58,0.009984
14130,AMGN,2015-02-19,156.05,118420259.05,0.001733
14131,AMGN,2015-02-20,157.66,119642025.26,0.010317
14132,AMGN,2015-02-23,158.42,120218759.62,0.00482
14133,AMGN,2015-02-24,157.37,119421955.57,-0.006628
14134,AMGN,2015-02-25,158.08,119960746.88,0.004512
14135,AMGN,2015-02-26,158.97,120636133.17,0.00563
14136,AMGN,2015-02-27,157.72,119687556.92,-0.007863
14137,AMGN,2015-03-02,159.63,121136981.43,0.01211
14138,AMGN,2015-03-03,158.56,120325000.16,-0.006703
14139,AMGN,2015-03-04,159.19,120803082.59,0.003973
14140,AMGN,2015-03-05,159.6,121114215.6,0.002576
14141,AMGN,2015-03-06,154.88,117532391.68,-0.029574
14142,AMGN,2015-03-09,155.01,117631043.61,0.000839
14143,AMGN,2015-03-10,153.58,116545872.38,-0.009225
14144,AMGN,2015-03-11,152.7,115878074.7,-0.00573
14145,AMGN,2015-03-12,154.25,117054309.25,0.010151
14146,AMGN,2015-03-13,154.26,117061897.86,6.5e-05
14147,AMGN,2015-03-16,163.03,123562556.39,0.056852
