Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
16112,AMT,2015-01-02,99.67,39515467.21,0.008295
16113,AMT,2015-01-05,98.23,38944560.49,-0.014448
16114,AMT,2015-01-06,97.97,38841480.11,-0.002647
16115,AMT,2015-01-07,99.0,39249837.0,0.010513
16116,AMT,2015-01-08,99.92,39614582.96,0.009293
16117,AMT,2015-01-09,99.41,39412386.83,-0.005104
16118,AMT,2015-01-12,98.98,39241907.74,-0.004326
16119,AMT,2015-01-13,97.88,38805798.44,-0.011113
16120,AMT,2015-01-14,97.26,38559991.38,-0.006334
16121,AMT,2015-01-15,96.28,38171457.64,-0.010076
16122,AMT,2015-01-16,97.42,38623425.46,0.01184
16123,AMT,2015-01-20,97.13,38508451.19,-0.002977
16124,AMT,2015-01-21,96.75,38357795.25,-0.003912
16125,AMT,2015-01-22,98.83,39182438.29,0.021499
16126,AMT,2015-01-23,99.6,39487714.8,0.007791
16127,AMT,2015-01-26,101.76,40344074.88,0.021687
16128,AMT,2015-01-27,100.39,39800920.57,-0.013463
16129,AMT,2015-01-28,98.88,39202261.44,-0.015041
16130,AMT,2015-01-29,98.42,39019888.46,-0.004652
16131,AMT,2015-01-30,96.95,38437087.85,-0.014936
16132,AMT,2015-02-02,97.85,38793904.55,0.009283
16133,AMT,2015-02-03,99.09,39285518.67,0.012672
16134,AMT,2015-02-04,97.85,38793904.55,-0.012514
16135,AMT,2015-02-05,99.59,39483750.17,0.017782
16136,AMT,2015-02-06,95.73,37953402.99,-0.038759
16137,AMT,2015-02-09,96.7,38337972.1,0.010133
16138,AMT,2015-02-10,96.37,38207139.31,-0.003413
16139,AMT,2015-02-11,95.96,38044589.48,-0.004254
16140,AMT,2015-02-12,95.97,38048554.11,0.000104
16141,AMT,2015-02-13,96.4,38219033.2,0.004481
16142,AMT,2015-02-17,96.22,38147669.86,-0.001867
16143,AMT,2015-02-18,96.2,38139740.6,-0.000208
16144,AMT,2015-02-19,95.26,37767065.38,-0.009771
16145,AMT,2015-02-20,96.53,38270573.39,0.013332
16146,AMT,2015-02-23,97.33,38587743.79,0.008288
16147,AMT,2015-02-24,94.65,37525222.95,-0.027535
16148,AMT,2015-02-25,97.85,38793904.55,0.033809
16149,AMT,2015-02-26,98.88,39202261.44,0.010526
16150,AMT,2015-02-27,99.14,39329730.26,0.002629
16151,AMT,2015-03-02,99.4,39432874.6,0.002623
16152,AMT,2015-03-03,98.28,38988560.52,-0.011268
16153,AMT,2015-03-04,98.56,39099639.04,0.002849
16154,AMT,2015-03-05,99.24,39369401.16,0.006899
16155,AMT,2015-03-06,96.61,38326056.49,-0.026501
16156,AMT,2015-03-09,96.58,38314155.22,-0.000311
16157,AMT,2015-03-10,94.57,37516770.13,-0.020812
16158,AMT,2015-03-11,94.63,37540572.67,0.000634
16159,AMT,2015-03-12,96.27,38191175.43,0.017331
16160,AMT,2015-03-13,94.24,37385856.16,-0.021087
16161,AMT,2015-03-16,94.61,37532638.49,0.003926
16162,AMT,2015-03-17,94.12,37338251.08,-0.005179
16163,AMT,2015-03-18,95.51,37889676.59,0.014768
16164,AMT,2015-03-19,94.59,37524704.31,-0.009632
16165,AMT,2015-03-20,97.69,38754502.21,0.032773
16166,AMT,2015-03-23,97.64,38734666.76,-0.000512
16167,AMT,2015-03-24,97.16,38544246.44,-0.004916
16168,AMT,2015-03-25,95.47,37873808.23,-0.017394
16169,AMT,2015-03-26,95.2,37766696.8,-0.002828
16170,AMT,2015-03-27,96.04,38099932.36,0.008824
16171,AMT,2015-03-30,96.16,38147537.44,0.001249
16172,AMT,2015-03-31,94.15,39562677.35,-0.020903
16173,AMT,2015-04-01,96.46,40533360.14,0.024535
16174,AMT,2015-04-02,96.78,40667827.02,0.003317
16175,AMT,2015-04-06,98.04,41197290.36,0.013019
16176,AMT,2015-04-07,96.87,40705645.83,-0.011934
16177,AMT,2015-04-08,96.53,40562774.77,0.000826
16178,AMT,2015-04-09,95.34,40062726.06,-0.012328
16179,AMT,2015-04-10,95.07,39949269.63,-0.002832
16180,AMT,2015-04-13,94.78,39827409.02,-0.00305
16181,AMT,2015-04-14,94.5,39709750.5,-0.002954
16182,AMT,2015-04-15,95.17,39991290.53,0.00709
16183,AMT,2015-04-16,96.76,40659422.84,0.016707
16184,AMT,2015-04-17,96.1,40382084.9,-0.006821
16185,AMT,2015-04-20,95.84,40272830.56,-0.002706
