Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
18126,AMZN,2015-01-02,308.52,143271751.68,-0.005897
18127,AMZN,2015-01-05,302.19,140332200.96,-0.020517
18128,AMZN,2015-01-06,295.29,137127951.36,-0.022833
18129,AMZN,2015-01-07,298.42,138581473.28,0.0106
18130,AMZN,2015-01-08,300.46,139528816.64,0.006836
18131,AMZN,2015-01-09,296.93,137889541.12,-0.011749
18132,AMZN,2015-01-12,291.41,135326141.44,-0.01859
18133,AMZN,2015-01-13,294.74,136872540.16,0.011427
18134,AMZN,2015-01-14,293.27,136189895.68,-0.004987
18135,AMZN,2015-01-15,286.95,133254988.8,-0.02155
18136,AMZN,2015-01-16,290.74,135015004.16,0.013208
18137,AMZN,2015-01-20,289.44,134411304.96,-0.004471
18138,AMZN,2015-01-21,297.25,138038144.0,0.026983
18139,AMZN,2015-01-22,310.32,144107642.88,0.04397
18140,AMZN,2015-01-23,312.39,145068917.76,0.006671
18141,AMZN,2015-01-26,309.66,143801149.44,-0.008739
18142,AMZN,2015-01-27,306.75,142449792.0,-0.009397
18143,AMZN,2015-01-28,303.91,141130941.44,-0.009258
18144,AMZN,2015-01-29,311.78,144785643.52,0.025896
18145,AMZN,2015-01-30,354.53,164638059.52,0.137116
18146,AMZN,2015-02-02,364.47,169254036.48,0.028037
18147,AMZN,2015-02-03,363.55,168826803.2,-0.002524
18148,AMZN,2015-02-04,364.75,169384064.0,0.003301
18149,AMZN,2015-02-05,373.89,173628533.76,0.025058
18150,AMZN,2015-02-06,374.28,173809643.52,0.001043
18151,AMZN,2015-02-09,370.56,172082135.04,-0.009939
18152,AMZN,2015-02-10,372.995,173212910.08,0.006571
18153,AMZN,2015-02-11,375.14,174209013.76,0.005751
18154,AMZN,2015-02-12,377.17,175151713.28,0.005411
18155,AMZN,2015-02-13,381.83,177315742.72,0.012355
18156,AMZN,2015-02-17,375.43,174343685.12,-0.016761
18157,AMZN,2015-02-18,373.37,173387054.08,-0.005487
18158,AMZN,2015-02-19,378.995,175999214.08,0.015065
18159,AMZN,2015-02-20,383.66,178552678.38,0.012309
18160,AMZN,2015-02-23,380.14,176914495.02,-0.009175
18161,AMZN,2015-02-24,378.59,176193135.87,-0.004077
18162,AMZN,2015-02-25,385.37,179348500.41,0.017909
18163,AMZN,2015-02-26,384.8,179083226.4,-0.001479
18164,AMZN,2015-02-27,380.16,176923802.88,-0.012058
18165,AMZN,2015-03-02,385.655,179481137.42,0.014454
18166,AMZN,2015-03-03,384.61,178994801.73,-0.00271
18167,AMZN,2015-03-04,382.72,178115208.96,-0.004914
18168,AMZN,2015-03-05,387.83,180493367.19,0.013352
18169,AMZN,2015-03-06,380.09,176891225.37,-0.019957
18170,AMZN,2015-03-09,378.56,176179174.08,-0.004025
18171,AMZN,2015-03-10,369.51,171967367.43,-0.023906
18172,AMZN,2015-03-11,366.37,170506033.41,-0.008498
18173,AMZN,2015-03-12,374.24,174168676.32,0.021481
18174,AMZN,2015-03-13,370.58,172465337.94,-0.00978
18175,AMZN,2015-03-16,373.35,173754476.55,0.007475
18176,AMZN,2015-03-17,371.92,173088964.56,-0.00383
18177,AMZN,2015-03-18,375.135,174585203.06,0.008644
18178,AMZN,2015-03-19,373.24,173703283.32,-0.005052
18179,AMZN,2015-03-20,378.49,176146596.57,0.014066
18180,AMZN,2015-03-23,375.11,174573568.23,-0.00893
18181,AMZN,2015-03-24,374.09,174098867.37,-0.002719
18182,AMZN,2015-03-25,370.96,172642187.28,-0.008367
18183,AMZN,2015-03-26,367.35,170962118.55,-0.009732
18184,AMZN,2015-03-27,370.56,172456030.08,0.008738
18185,AMZN,2015-03-30,374.59,174331563.87,0.010875
18186,AMZN,2015-03-31,372.1,173398600.0,-0.006647
18187,AMZN,2015-04-01,370.255,172538830.0,-0.004958
18188,AMZN,2015-04-02,372.25,173468500.0,0.005388
18189,AMZN,2015-04-06,377.04,175700640.0,0.012868
18190,AMZN,2015-04-07,374.41,174475060.0,-0.006975
18191,AMZN,2015-04-08,381.2,177639200.0,0.018135
18192,AMZN,2015-04-09,383.54,178729640.0,0.006139
18193,AMZN,2015-04-10,382.65,178314900.0,-0.00232
18194,AMZN,2015-04-13,382.36,178179760.0,-0.000758
18195,AMZN,2015-04-14,385.11,179461260.0,0.007192
18196,AMZN,2015-04-15,383.45,178565379.45,-0.00431
18197,AMZN,2015-04-16,386.04,179771493.24,0.006754
18198,AMZN,2015-04-17,375.56,174891156.36,-0.027147
18199,AMZN,2015-04-20,389.51,181387406.31,0.037145
18200,AMZN,2015-04-21,391.18,182165093.58,0.004287
18201,AMZN,2015-04-22,389.8,181522453.8,-0.003528
18202,AMZN,2015-04-23,389.99,181610933.19,0.000487
18203,AMZN,2015-04-24,445.1,207274613.1,0.141311
18204,AMZN,2015-04-27,438.56,204229059.36,-0.014693
18205,AMZN,2015-04-28,429.31,199921510.11,-0.021092
18206,AMZN,2015-04-29,429.37,199949450.97,0.00014
18207,AMZN,2015-04-30,421.78,196414932.18,-0.017677
18208,AMZN,2015-05-01,422.87,196922524.47,0.002584
18209,AMZN,2015-05-04,423.04,197001690.24,0.000402
18210,AMZN,2015-05-05,421.19,196140180.39,-0.004373
18211,AMZN,2015-05-06,419.1,195166907.1,-0.004962
18212,AMZN,2015-05-07,426.88,198789905.28,0.018564
18213,AMZN,2015-05-08,433.69,201961192.89,0.015953
18214,AMZN,2015-05-11,432.85,201570020.85,-0.001937
18215,AMZN,2015-05-12,431.02,200717824.62,-0.004228
18216,AMZN,2015-05-13,426.87,198785248.47,-0.009628
18217,AMZN,2015-05-14,432.28,201304582.68,0.012674
18218,AMZN,2015-05-15,426.0,198380106.0,-0.014528
18219,AMZN,2015-05-18,425.24,198026188.44,-0.001784
18220,AMZN,2015-05-19,421.71,196382334.51,-0.008301
18221,AMZN,2015-05-20,423.86,197383548.66,0.005098
18222,AMZN,2015-05-21,431.63,201001890.03,0.018332
18223,AMZN,2015-05-22,427.63,199139166.03,-0.009267
18224,AMZN,2015-05-26,425.47,198133295.07,-0.005051
18225,AMZN,2015-05-27,431.42,200904097.02,0.013985
18226,AMZN,2015-05-28,426.57,198645544.17,-0.011242
18227,AMZN,2015-05-29,429.23,199884255.63,0.006236
18228,AMZN,2015-06-01,430.92,200671256.52,0.003937
18229,AMZN,2015-06-02,430.99,200703854.19,0.000162
18230,AMZN,2015-06-03,436.59,203311667.79,0.012993
18231,AMZN,2015-06-04,430.78,200606061.18,-0.013308
18232,AMZN,2015-06-05,426.95,198822502.95,-0.008891
18233,AMZN,2015-06-08,423.5,197215903.5,-0.008081
18234,AMZN,2015-06-09,425.48,198137951.88,0.004675
18235,AMZN,2015-06-10,430.77,200601404.37,0.012433
18236,AMZN,2015-06-11,432.97,201625902.57,0.005107
18237,AMZN,2015-06-12,429.92,200205575.52,-0.007044
18238,AMZN,2015-06-15,423.67,197295069.27,-0.014538
18239,AMZN,2015-06-16,427.26,198966864.06,0.008474
18240,AMZN,2015-06-17,427.81,199222988.61,0.001287
18241,AMZN,2015-06-18,439.39,204615574.59,0.027068
18242,AMZN,2015-06-19,434.92,202533980.52,-0.010173
18243,AMZN,2015-06-22,436.29,203171963.49,0.00315
18244,AMZN,2015-06-23,445.99,207689069.19,0.022233
18245,AMZN,2015-06-24,440.84,205290812.04,-0.011547
18246,AMZN,2015-06-25,440.1,204946208.1,-0.001679
18247,AMZN,2015-06-26,438.1,204014846.1,-0.004544
18248,AMZN,2015-06-29,429.86,200177634.66,-0.018808
18249,AMZN,2015-06-30,434.09,203154120.0,0.00984
18250,AMZN,2015-07-01,437.39,204698520.0,0.007602
18251,AMZN,2015-07-02,437.71,204848280.0,0.000732
18252,AMZN,2015-07-06,436.04,204066720.0,-0.003815
18253,AMZN,2015-07-07,436.72,204384960.0,0.001559
18254,AMZN,2015-07-08,429.7,201099600.0,-0.016074
18255,AMZN,2015-07-09,434.39,203294520.0,0.010915
18256,AMZN,2015-07-10,443.51,207562680.0,0.020995
18257,AMZN,2015-07-13,455.57,213206760.0,0.027192
18258,AMZN,2015-07-14,465.57,217886760.0,0.021951
18259,AMZN,2015-07-15,461.19,215703174.9,-0.009408
18260,AMZN,2015-07-16,475.48,222386750.8,0.030985
18261,AMZN,2015-07-17,483.01,225908607.1,0.015837
18262,AMZN,2015-07-20,488.1,228289251.0,0.010538
18263,AMZN,2015-07-21,488.0,228242480.0,-0.000205
18264,AMZN,2015-07-22,488.27,228368761.7,0.000553
18265,AMZN,2015-07-23,482.18,225520407.8,-0.012473
18266,AMZN,2015-07-24,529.42,247615028.2,0.097972
18267,AMZN,2015-07-27,531.41,248545771.1,0.003759
18268,AMZN,2015-07-28,526.03,246029491.3,-0.010124
18269,AMZN,2015-07-29,529.0,247418590.0,0.005646
18270,AMZN,2015-07-30,536.76,251048019.6,0.014669
18271,AMZN,2015-07-31,536.15,250762716.5,-0.001136
18272,AMZN,2015-08-03,535.03,250238881.3,-0.002089
18273,AMZN,2015-08-04,531.9,248774949.0,-0.00585
18274,AMZN,2015-08-05,537.01,251164947.1,0.009607
18275,AMZN,2015-08-06,529.46,247633736.6,-0.014059
18276,AMZN,2015-08-07,522.62,244434600.2,-0.012919
18277,AMZN,2015-08-10,524.0,245080040.0,0.002641
18278,AMZN,2015-08-11,527.46,246698316.6,0.006603
18279,AMZN,2015-08-12,525.91,245973366.1,-0.002939
18280,AMZN,2015-08-13,529.66,247727278.6,0.00713
18281,AMZN,2015-08-14,531.52,248597219.2,0.003512
18282,AMZN,2015-08-17,535.22,250327746.2,0.006961
18283,AMZN,2015-08-18,535.02,250234204.2,-0.000374
18284,AMZN,2015-08-19,532.92,249252013.2,-0.003925
18285,AMZN,2015-08-20,515.78,241235463.8,-0.032162
18286,AMZN,2015-08-21,494.47,231268563.7,-0.041316
18287,AMZN,2015-08-24,463.37,216722782.7,-0.062896
18288,AMZN,2015-08-25,466.37,218125912.7,0.006474
18289,AMZN,2015-08-26,500.77,234215136.7,0.073761
18290,AMZN,2015-08-27,518.37,242446832.7,0.035146
18291,AMZN,2015-08-28,518.01,242278457.1,-0.000694
18292,AMZN,2015-08-31,512.89,239883781.9,-0.009884
18293,AMZN,2015-09-01,496.54,232236723.4,-0.031878
18294,AMZN,2015-09-02,510.55,238789340.5,0.028215
18295,AMZN,2015-09-03,504.72,236062591.2,-0.011419
18296,AMZN,2015-09-04,499.0,233387290.0,-0.011333
18297,AMZN,2015-09-08,517.54,242058633.4,0.037154
18298,AMZN,2015-09-09,516.89,241754621.9,-0.001256
18299,AMZN,2015-09-10,522.24,244256870.4,0.01035
18300,AMZN,2015-09-11,529.44,247624382.4,0.013787
18301,AMZN,2015-09-14,521.38,243854639.8,-0.015224
18302,AMZN,2015-09-15,522.37,244317672.7,0.001899
18303,AMZN,2015-09-16,527.39,246665576.9,0.00961
18304,AMZN,2015-09-17,538.87,252034887.7,0.021768
18305,AMZN,2015-09-18,540.26,252685004.6,0.002579
18306,AMZN,2015-09-21,548.39,256487486.9,0.015048
18307,AMZN,2015-09-22,538.4,251815064.0,-0.018217
18308,AMZN,2015-09-23,536.07,250725299.7,-0.004328
18309,AMZN,2015-09-24,533.75,249640212.5,-0.004328
18310,AMZN,2015-09-25,524.25,245196967.5,-0.017799
18311,AMZN,2015-09-28,504.06,235753902.6,-0.038512
18312,AMZN,2015-09-29,496.07,232016899.7,-0.015851
18313,AMZN,2015-09-30,511.89,240076410.0,0.031891
18314,AMZN,2015-10-01,520.72,244217680.0,0.01725
18315,AMZN,2015-10-02,532.54,249761260.0,0.022699
18316,AMZN,2015-10-05,543.68,254985920.0,0.020919
18317,AMZN,2015-10-06,537.48,252078120.0,-0.011404
18318,AMZN,2015-10-07,541.94,254169860.0,0.008298
18319,AMZN,2015-10-08,533.16,250052040.0,-0.016201
18320,AMZN,2015-10-09,539.8,253166200.0,0.012454
18321,AMZN,2015-10-12,550.19,258039110.0,0.019248
18322,AMZN,2015-10-13,548.9,257434100.0,-0.002345
18323,AMZN,2015-10-14,544.83,255395600.46,-0.007415
18324,AMZN,2015-10-15,562.44,263650499.28,0.032322
18325,AMZN,2015-10-16,570.76,267550599.12,0.014793
18326,AMZN,2015-10-19,573.15,268670940.3,0.004187
18327,AMZN,2015-10-20,560.88,262919230.56,-0.021408
18328,AMZN,2015-10-21,555.77,260523856.74,-0.009111
18329,AMZN,2015-10-22,563.91,264339579.42,0.014646
18330,AMZN,2015-10-23,599.03,280802500.86,0.062279
18331,AMZN,2015-10-26,608.61,285293240.82,0.015993
18332,AMZN,2015-10-27,611.01,286418269.62,0.003943
18333,AMZN,2015-10-28,617.1,289273030.2,0.009967
18334,AMZN,2015-10-29,626.55,293702831.1,0.015314
18335,AMZN,2015-10-30,625.9,293398135.8,-0.001037
18336,AMZN,2015-11-02,628.35,294546602.7,0.003914
18337,AMZN,2015-11-03,625.31,293121566.22,-0.004838
18338,AMZN,2015-11-04,640.95,300453003.9,0.025012
18339,AMZN,2015-11-05,655.65,307343805.3,0.022935
18340,AMZN,2015-11-06,659.37,309087599.94,0.005674
18341,AMZN,2015-11-09,655.49,307268803.38,-0.005884
18342,AMZN,2015-11-10,659.68,309232916.16,0.006392
18343,AMZN,2015-11-11,673.25,315594016.5,0.020571
18344,AMZN,2015-11-12,665.6,312007987.2,-0.011363
18345,AMZN,2015-11-13,642.35,301109270.7,-0.034931
18346,AMZN,2015-11-16,647.81,303668711.22,0.0085
18347,AMZN,2015-11-17,643.3,301554594.6,-0.006962
18348,AMZN,2015-11-18,663.54,311042337.48,0.031463
18349,AMZN,2015-11-19,661.27,309978247.74,-0.003421
18350,AMZN,2015-11-20,668.45,313343958.9,0.010858
18351,AMZN,2015-11-23,678.99,318284710.38,0.015768
18352,AMZN,2015-11-24,671.15,314609616.3,-0.011547
18353,AMZN,2015-11-25,675.34,316573729.08,0.006243
18354,AMZN,2015-11-27,673.26,315598704.12,-0.00308
18355,AMZN,2015-11-30,664.8,311632977.6,-0.012566
18356,AMZN,2015-12-01,679.06,318317523.72,0.02145
18357,AMZN,2015-12-02,676.01,316887799.62,-0.004492
18358,AMZN,2015-12-03,666.25,312312682.5,-0.014438
18359,AMZN,2015-12-04,672.64,315308071.68,0.009591
18360,AMZN,2015-12-07,669.83,313990850.46,-0.004178
18361,AMZN,2015-12-08,677.33,317506565.46,0.011197
18362,AMZN,2015-12-09,664.79,311628289.98,-0.018514
18363,AMZN,2015-12-10,662.32,310470447.84,-0.003715
18364,AMZN,2015-12-11,640.15,300077994.3,-0.033473
18365,AMZN,2015-12-14,657.91,308403207.42,0.027743
18366,AMZN,2015-12-15,658.64,308745403.68,0.00111
18367,AMZN,2015-12-16,675.77,316775296.74,0.026008
18368,AMZN,2015-12-17,670.65,314375235.3,-0.007577
18369,AMZN,2015-12-18,664.14,311323594.68,-0.009707
18370,AMZN,2015-12-21,664.51,311497036.62,0.000557
18371,AMZN,2015-12-22,663.15,310859520.3,-0.002047
18372,AMZN,2015-12-23,663.7,311117339.4,0.000829
18373,AMZN,2015-12-24,662.79,310690765.98,-0.001371
18374,AMZN,2015-12-28,675.2,316508102.4,0.018724
18375,AMZN,2015-12-29,693.97,325306765.14,0.027799
18376,AMZN,2015-12-30,689.07,323009831.34,-0.007061
18377,AMZN,2015-12-31,675.89,318344190.0,-0.019127
18378,AMZN,2016-01-04,636.99,300022290.0,-0.057554
18379,AMZN,2016-01-05,633.79,298515090.0,-0.005024
18380,AMZN,2016-01-06,632.65,297978150.0,-0.001799
18381,AMZN,2016-01-07,607.94,286339740.0,-0.039058
18382,AMZN,2016-01-08,607.05,285920550.0,-0.001464
18383,AMZN,2016-01-11,617.74,290955540.0,0.01761
18384,AMZN,2016-01-12,617.89,291026190.0,0.000243
18385,AMZN,2016-01-13,581.81,274032510.0,-0.058392
18386,AMZN,2016-01-14,593.0,279303000.0,0.019233
18387,AMZN,2016-01-15,570.18,268554780.0,-0.038482
18388,AMZN,2016-01-19,574.48,270580080.0,0.007541
18389,AMZN,2016-01-20,571.77,269213330.34,-0.004717
18390,AMZN,2016-01-21,575.02,270743566.84,0.005684
18391,AMZN,2016-01-22,596.38,280800751.96,0.037147
18392,AMZN,2016-01-25,596.53,280871378.26,0.000252
18393,AMZN,2016-01-26,601.25,283093752.5,0.007912
18394,AMZN,2016-01-27,583.35,274665680.7,-0.029771
18395,AMZN,2016-01-28,635.35,299149464.7,0.08914
18396,AMZN,2016-01-29,587.0,276384254.0,-0.0761
18397,AMZN,2016-02-01,574.81,270644690.02,-0.020767
18398,AMZN,2016-02-02,552.1,259951868.2,-0.039509
18399,AMZN,2016-02-03,531.07,250050060.94,-0.038091
18400,AMZN,2016-02-04,536.26,252493730.92,0.009773
18401,AMZN,2016-02-05,502.13,236423893.46,-0.063645
18402,AMZN,2016-02-08,488.1,229817980.2,-0.027941
18403,AMZN,2016-02-09,482.07,226978802.94,-0.012354
18404,AMZN,2016-02-10,490.48,230938584.16,0.017446
18405,AMZN,2016-02-11,503.82,237219616.44,0.027198
18406,AMZN,2016-02-12,507.08,238754561.36,0.006471
18407,AMZN,2016-02-16,521.1,245355766.2,0.027648
18408,AMZN,2016-02-17,534.1,251507155.9,0.024947
18409,AMZN,2016-02-18,525.0,247221975.0,-0.017038
18410,AMZN,2016-02-19,534.9,251883875.1,0.018857
18411,AMZN,2016-02-22,559.5,263467990.5,0.04599
18412,AMZN,2016-02-23,552.94,260378893.06,-0.011725
18413,AMZN,2016-02-24,554.04,260896881.96,0.001989
18414,AMZN,2016-02-25,555.15,261419579.85,0.002003
18415,AMZN,2016-02-26,555.23,261457251.77,0.000144
18416,AMZN,2016-02-29,552.52,260181115.48,-0.004881
18417,AMZN,2016-03-01,579.04,272669356.96,0.047998
18418,AMZN,2016-03-02,580.21,273220308.79,0.002021
18419,AMZN,2016-03-03,577.49,271939463.51,-0.004688
18420,AMZN,2016-03-04,575.14,270832850.86,-0.004069
18421,AMZN,2016-03-07,562.8,265021957.2,-0.021456
18422,AMZN,2016-03-08,560.26,263825873.74,-0.004513
18423,AMZN,2016-03-09,559.47,263453863.53,-0.00141
18424,AMZN,2016-03-10,558.93,263199578.07,-0.000965
18425,AMZN,2016-03-11,569.61,268228779.39,0.019108
18426,AMZN,2016-03-14,573.37,269999359.63,0.006601
18427,AMZN,2016-03-15,577.02,271718140.98,0.006366
18428,AMZN,2016-03-16,574.27,270423168.73,-0.004766
18429,AMZN,2016-03-17,559.44,263439736.56,-0.025824
18430,AMZN,2016-03-18,552.08,259973919.92,-0.013156
18431,AMZN,2016-03-21,553.98,260868628.02,0.003442
18432,AMZN,2016-03-22,560.48,263929471.52,0.011733
18433,AMZN,2016-03-23,569.63,268238197.37,0.016325
18434,AMZN,2016-03-24,582.95,274510572.05,0.023384
18435,AMZN,2016-03-28,579.87,273060203.13,-0.005283
18436,AMZN,2016-03-29,593.86,279648080.14,0.024126
18437,AMZN,2016-03-30,598.69,281922522.31,0.008133
18438,AMZN,2016-03-31,593.64,280198080.0,-0.008435
18439,AMZN,2016-04-01,598.5,282492000.0,0.008187
18440,AMZN,2016-04-04,593.19,279985680.0,-0.008872
18441,AMZN,2016-04-05,586.14,276658080.0,-0.011885
18442,AMZN,2016-04-06,602.08,284181760.0,0.027195
18443,AMZN,2016-04-07,591.43,279154960.0,-0.017689
18444,AMZN,2016-04-08,594.6,280651200.0,0.00536
18445,AMZN,2016-04-11,595.93,281278960.0,0.002237
18446,AMZN,2016-04-12,603.17,284696240.0,0.012149
18447,AMZN,2016-04-13,614.82,290195040.0,0.019315
18448,AMZN,2016-04-14,620.75,292994000.0,0.009645
18449,AMZN,2016-04-15,625.89,295420080.0,0.00828
18450,AMZN,2016-04-18,635.35,299885200.0,0.015114
18451,AMZN,2016-04-19,627.9,296368800.0,-0.011726
18452,AMZN,2016-04-20,632.99,298662405.72,0.008106
18453,AMZN,2016-04-21,631.0,297723468.0,-0.003144
18454,AMZN,2016-04-22,620.5,292769274.0,-0.01664
18455,AMZN,2016-04-25,626.2,295458693.6,0.009186
18456,AMZN,2016-04-26,616.88,291061256.64,-0.014883
18457,AMZN,2016-04-27,606.57,286196709.96,-0.016713
18458,AMZN,2016-04-28,602.0,284040456.0,-0.007534
18459,AMZN,2016-04-29,659.59,311213030.52,0.095664
18460,AMZN,2016-05-02,683.85,322659577.8,0.03678
18461,AMZN,2016-05-03,671.32,316747572.96,-0.018323
18462,AMZN,2016-05-04,670.9,316549405.2,-0.000626
18463,AMZN,2016-05-05,659.09,310977116.52,-0.017603
18464,AMZN,2016-05-06,673.95,317988480.6,0.022546
