Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
20140,AVGO,2015-01-02,100.09,25556179.88,-0.004971
20141,AVGO,2015-01-05,98.49,25147648.68,-0.015986
20142,AVGO,2015-01-06,96.25,24575705.0,-0.022743
20143,AVGO,2015-01-07,98.85,25239568.2,0.027013
20144,AVGO,2015-01-08,103.79,26500908.28,0.049975
20145,AVGO,2015-01-09,104.895,26783050.14,0.010646
20146,AVGO,2015-01-12,103.16,26340049.12,-0.01654
20147,AVGO,2015-01-13,102.58,26191956.56,-0.005622
20148,AVGO,2015-01-14,103.39,26398775.48,0.007896
20149,AVGO,2015-01-15,101.32,25870238.24,-0.020021
20150,AVGO,2015-01-16,103.82,26508568.24,0.024674
20151,AVGO,2015-01-20,104.87,26776666.84,0.010114
20152,AVGO,2015-01-21,105.38,26906886.16,0.004863
20153,AVGO,2015-01-22,105.2,26860926.4,-0.001708
20154,AVGO,2015-01-23,106.98,27315417.36,0.01692
20155,AVGO,2015-01-26,106.73,27251584.36,-0.002337
20156,AVGO,2015-01-27,104.79,26756240.28,-0.018177
20157,AVGO,2015-01-28,105.0,26809860.0,0.002004
20158,AVGO,2015-01-29,106.53,27200517.96,0.014571
20159,AVGO,2015-01-30,102.88,26367115.2,-0.034263
20160,AVGO,2015-02-02,102.42,26249221.8,-0.004471
20161,AVGO,2015-02-03,103.2,26449128.0,0.007616
20162,AVGO,2015-02-04,104.8,26859192.0,0.015504
20163,AVGO,2015-02-05,106.2,27217998.0,0.013359
20164,AVGO,2015-02-06,104.74,26843814.6,-0.013748
20165,AVGO,2015-02-09,102.24,26203089.6,-0.023869
20166,AVGO,2015-02-10,107.04,27433281.6,0.046948
20167,AVGO,2015-02-11,107.94,27672469.86,0.008408
20168,AVGO,2015-02-12,109.7,28123679.3,0.016305
20169,AVGO,2015-02-13,110.15,28239045.35,0.004102
20170,AVGO,2015-02-17,110.87,28423631.03,0.006537
20171,AVGO,2015-02-18,110.0,28200590.0,-0.007847
20172,AVGO,2015-02-19,110.9,28431322.1,0.008182
20173,AVGO,2015-02-20,112.06,28728710.14,0.01046
20174,AVGO,2015-02-23,112.85,28931241.65,0.00705
20175,AVGO,2015-02-24,113.18,29015843.42,0.002924
20176,AVGO,2015-02-25,112.68,28887658.92,-0.004418
20177,AVGO,2015-02-26,129.25,33135693.25,0.147054
20178,AVGO,2015-02-27,127.62,32745632.94,-0.012611
20179,AVGO,2015-03-02,129.02,33104854.74,0.01097
20180,AVGO,2015-03-03,128.22,32899585.14,-0.006201
20181,AVGO,2015-03-04,129.4,33202357.8,0.009203
20182,AVGO,2015-03-05,130.57,33502564.59,0.009042
20183,AVGO,2015-03-06,127.89,32814911.43,-0.020525
20184,AVGO,2015-03-09,127.12,32617339.44,-0.006021
20185,AVGO,2015-03-10,125.12,32104165.44,-0.015733
20186,AVGO,2015-03-11,124.66,31986135.42,-0.003676
20187,AVGO,2015-03-12,126.12,32360752.44,0.011712
20188,AVGO,2015-03-13,125.0,32073375.0,-0.00888
20189,AVGO,2015-03-16,129.865,33321670.76,0.03892
20190,AVGO,2015-03-17,129.1,33125381.7,-0.005891
20191,AVGO,2015-03-18,130.44,33469208.28,0.013323
20192,AVGO,2015-03-19,132.04,33879747.48,0.012266
20193,AVGO,2015-03-20,133.29,34200481.23,0.009467
20194,AVGO,2015-03-23,134.44,34495556.28,0.008628
20195,AVGO,2015-03-24,133.12,34156861.44,-0.009819
20196,AVGO,2015-03-25,124.43,31927120.41,-0.065279
20197,AVGO,2015-03-26,124.71,31998964.77,0.00225
20198,AVGO,2015-03-27,128.21,32897019.27,0.028065
20199,AVGO,2015-03-30,130.55,33497432.85,0.018251
20200,AVGO,2015-03-31,126.98,32581417.26,-0.027346
20201,AVGO,2015-04-01,125.63,32235024.81,-0.010632
20202,AVGO,2015-04-02,125.02,32078506.74,-0.004856
20203,AVGO,2015-04-06,125.825,32285059.28,0.006439
20204,AVGO,2015-04-07,125.65,32240156.55,-0.001391
20205,AVGO,2015-04-08,126.79,32532665.73,0.009073
20206,AVGO,2015-04-09,127.22,32642998.14,0.003391
20207,AVGO,2015-04-10,126.82,32540363.34,-0.003144
20208,AVGO,2015-04-13,125.345,32161897.52,-0.011631
20209,AVGO,2015-04-14,123.98,31811656.26,-0.01089
20210,AVGO,2015-04-15,125.9,32304303.3,0.015486
20211,AVGO,2015-04-16,125.33,32158048.71,-0.004527
20212,AVGO,2015-04-17,121.85,31265125.95,-0.027767
20213,AVGO,2015-04-20,123.025,31566615.68,0.009643
20214,AVGO,2015-04-21,123.1,31585859.7,0.00061
20215,AVGO,2015-04-22,127.895,32816194.37,0.038952
20216,AVGO,2015-04-23,124.07,31834749.09,-0.029907
20217,AVGO,2015-04-24,119.5,30662146.5,-0.036834
20218,AVGO,2015-04-27,120.15,30828928.05,0.005439
20219,AVGO,2015-04-28,117.45,30136143.15,-0.022472
20220,AVGO,2015-04-29,117.03,30028376.61,-0.003576
20221,AVGO,2015-04-30,116.88,29989888.56,-0.001282
20222,AVGO,2015-05-01,122.8,31869178.8,0.05065
20223,AVGO,2015-05-04,121.16,31443564.36,-0.013355
20224,AVGO,2015-05-05,116.785,30308159.99,-0.036109
20225,AVGO,2015-05-06,116.775,30305564.78,-8.6e-05
20226,AVGO,2015-05-07,122.48,31786132.08,0.048855
20227,AVGO,2015-05-08,123.33,32006724.93,0.00694
20228,AVGO,2015-05-11,122.81,31871774.01,-0.004216
20229,AVGO,2015-05-12,122.95,31908106.95,0.00114
20230,AVGO,2015-05-13,123.13,31954820.73,0.001464
20231,AVGO,2015-05-14,126.94,32943595.74,0.030943
20232,AVGO,2015-05-15,127.87,33184950.27,0.007326
20233,AVGO,2015-05-18,130.18,33784443.78,0.018065
20234,AVGO,2015-05-19,129.47,33600183.87,-0.005454
20235,AVGO,2015-05-20,129.11,33506756.31,-0.002781
20236,AVGO,2015-05-21,129.59,33631326.39,0.003718
20237,AVGO,2015-05-22,132.64,34422865.44,0.023536
20238,AVGO,2015-05-26,131.3,34075107.3,-0.010103
20239,AVGO,2015-05-27,141.49,36719626.29,0.077609
20240,AVGO,2015-05-28,142.38,36950599.98,0.00629
20241,AVGO,2015-05-29,148.07,38458221.1,0.039963
20242,AVGO,2015-06-01,146.62,38081612.6,-0.009793
20243,AVGO,2015-06-02,144.16,37442676.8,-0.016778
20244,AVGO,2015-06-03,143.06,37156973.8,-0.00763
20245,AVGO,2015-06-04,141.2,36673876.0,-0.013002
20246,AVGO,2015-06-05,143.81,37351771.3,0.018484
20247,AVGO,2015-06-08,138.63,36006369.9,-0.03602
20248,AVGO,2015-06-09,140.21,36416743.3,0.011397
20249,AVGO,2015-06-10,142.86,37105027.8,0.0189
20250,AVGO,2015-06-11,141.99,36879062.7,-0.00609
20251,AVGO,2015-06-12,140.47,36484273.1,-0.010705
20252,AVGO,2015-06-15,143.12,37172557.6,0.018865
20253,AVGO,2015-06-16,141.99,36879062.7,-0.007895
20254,AVGO,2015-06-17,140.685,36540115.05,-0.006374
20255,AVGO,2015-06-18,143.0,37141390.0,0.016455
20256,AVGO,2015-06-19,142.89,37112819.7,-0.000769
20257,AVGO,2015-06-22,143.275,37212815.75,0.002694
20258,AVGO,2015-06-23,141.64,36788157.2,-0.011412
20259,AVGO,2015-06-24,139.97,36354408.1,-0.01179
20260,AVGO,2015-06-25,139.23,36162207.9,-0.005287
20261,AVGO,2015-06-26,135.15,35102509.5,-0.029304
20262,AVGO,2015-06-29,132.01,34286957.3,-0.023233
20263,AVGO,2015-06-30,132.93,34525908.9,0.006969
20264,AVGO,2015-07-01,135.5,35193415.0,0.019333
20265,AVGO,2015-07-02,137.64,35749237.2,0.015793
20266,AVGO,2015-07-06,134.2,34855766.0,-0.024993
20267,AVGO,2015-07-07,132.84,34502533.2,-0.010134
20268,AVGO,2015-07-08,128.05,33258426.5,-0.036058
20269,AVGO,2015-07-09,124.68,32383136.4,-0.026318
20270,AVGO,2015-07-10,129.84,33723343.2,0.041386
20271,AVGO,2015-07-13,129.18,33551921.4,-0.005083
20272,AVGO,2015-07-14,132.3,34362279.0,0.024152
20273,AVGO,2015-07-15,131.72,34211635.6,-0.004384
20274,AVGO,2015-07-16,134.7,34985631.0,0.022624
20275,AVGO,2015-07-17,133.66,34715511.8,-0.007721
20276,AVGO,2015-07-20,134.64,34970047.2,0.007332
20277,AVGO,2015-07-21,134.51,34936282.3,-0.000966
20278,AVGO,2015-07-22,129.59,33658410.7,-0.036577
20279,AVGO,2015-07-23,131.97,34276568.1,0.018366
20280,AVGO,2015-07-24,128.48,33370110.4,-0.026445
20281,AVGO,2015-07-27,124.65,32375344.5,-0.02981
20282,AVGO,2015-07-28,128.42,33354526.6,0.030245
20283,AVGO,2015-07-29,128.58,33396083.4,0.001246
20284,AVGO,2015-07-30,127.65,33154534.5,-0.007233
20285,AVGO,2015-07-31,125.14,34401987.12,-0.019663
20286,AVGO,2015-08-03,125.8,34583426.4,0.005274
20287,AVGO,2015-08-04,123.47,33942890.76,-0.018521
20288,AVGO,2015-08-05,124.75,34294773.0,0.010367
20289,AVGO,2015-08-06,123.27,33887909.16,-0.011864
20290,AVGO,2015-08-07,122.55,33689975.4,-0.005841
20291,AVGO,2015-08-10,127.28,34990290.24,0.038596
20292,AVGO,2015-08-11,124.21,34146322.68,-0.02412
20293,AVGO,2015-08-12,125.73,34564182.84,0.012237
20294,AVGO,2015-08-13,124.19,34140824.52,-0.012248
20295,AVGO,2015-08-14,121.96,33527779.68,-0.017956
20296,AVGO,2015-08-17,125.52,34506452.16,0.02919
20297,AVGO,2015-08-18,122.24,33604753.92,-0.026131
20298,AVGO,2015-08-19,121.45,33387576.6,-0.006463
20299,AVGO,2015-08-20,115.03,31622667.24,-0.052861
20300,AVGO,2015-08-21,111.45,30638496.6,-0.031122
20301,AVGO,2015-08-24,109.94,30223385.52,-0.013549
20302,AVGO,2015-08-25,108.51,29830267.08,-0.013007
20303,AVGO,2015-08-26,116.2,31944309.6,0.070869
20304,AVGO,2015-08-27,126.26,34709884.08,0.086575
20305,AVGO,2015-08-28,127.62,35141570.82,0.010771
20306,AVGO,2015-08-31,125.97,34687225.17,-0.012929
20307,AVGO,2015-09-01,119.37,32869842.57,-0.052393
20308,AVGO,2015-09-02,124.04,34155778.44,0.039122
20309,AVGO,2015-09-03,123.77,34081430.97,-0.002177
20310,AVGO,2015-09-04,121.15,33386638.15,-0.021168
20311,AVGO,2015-09-08,129.16,35594041.96,0.066116
20312,AVGO,2015-09-09,127.17,35045635.77,-0.015407
20313,AVGO,2015-09-10,128.72,35472786.32,0.012188
20314,AVGO,2015-09-11,131.08,36123157.48,0.018334
20315,AVGO,2015-09-14,131.19,36153471.39,0.000839
20316,AVGO,2015-09-15,134.38,37032574.78,0.024316
20317,AVGO,2015-09-16,131.49,36236145.69,-0.018381
20318,AVGO,2015-09-17,130.61,35993634.41,-0.006693
20319,AVGO,2015-09-18,127.59,35161379.79,-0.023122
20320,AVGO,2015-09-21,127.26,35070438.06,-0.002586
20321,AVGO,2015-09-22,124.7,34364950.7,-0.020116
20322,AVGO,2015-09-23,125.54,34596438.74,0.006736
20323,AVGO,2015-09-24,124.1,34199602.1,-0.01147
20324,AVGO,2015-09-25,126.74,34980113.26,0.021273
20325,AVGO,2015-09-28,120.85,33354479.15,-0.046473
20326,AVGO,2015-09-29,119.67,33028800.33,-0.009764
20327,AVGO,2015-09-30,125.01,34502634.99,0.044623
20328,AVGO,2015-10-01,122.14,33710517.86,-0.022958
20329,AVGO,2015-10-02,123.33,34038956.67,0.009743
20330,AVGO,2015-10-05,121.22,33456598.78,-0.017109
20331,AVGO,2015-10-06,117.11,32322242.89,-0.033905
20332,AVGO,2015-10-07,118.64,32744521.36,0.013065
20333,AVGO,2015-10-08,116.69,32206323.31,-0.016436
20334,AVGO,2015-10-09,116.91,32267043.09,0.001885
20335,AVGO,2015-10-12,117.68,32479562.32,0.006586
20336,AVGO,2015-10-13,113.42,31303806.58,-0.0362
