Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
22154,BAC,2015-01-02,17.9,188244455.0,0.000559
22155,BAC,2015-01-05,17.38,182775901.0,-0.02905
22156,BAC,2015-01-06,16.86,177307347.0,-0.029919
22157,BAC,2015-01-07,16.94,178148663.0,0.004745
22158,BAC,2015-01-08,17.29,181829420.5,0.020661
22159,BAC,2015-01-09,16.98,178569321.0,-0.017929
22160,BAC,2015-01-12,16.68,175414386.0,-0.017668
22161,BAC,2015-01-13,16.45,172995602.5,-0.013789
22162,BAC,2015-01-14,16.04,168683858.0,-0.024924
22163,BAC,2015-01-15,15.2,159850040.0,-0.052369
22164,BAC,2015-01-16,15.38,161743001.0,0.011842
22165,BAC,2015-01-20,15.26,160481027.0,-0.007802
22166,BAC,2015-01-21,15.41,162058494.5,0.00983
22167,BAC,2015-01-22,16.09,169209680.5,0.044127
22168,BAC,2015-01-23,15.73,165423758.5,-0.022374
22169,BAC,2015-01-26,15.85,166685732.5,0.007629
22170,BAC,2015-01-27,15.63,164372113.5,-0.01388
22171,BAC,2015-01-28,15.2,159850040.0,-0.027511
22172,BAC,2015-01-29,15.43,162268823.5,0.015132
22173,BAC,2015-01-30,15.15,159324217.5,-0.018146
22174,BAC,2015-02-02,15.46,162584317.0,0.020462
22175,BAC,2015-02-03,15.89,167106390.5,0.027814
22176,BAC,2015-02-04,15.79,166054745.5,-0.006293
22177,BAC,2015-02-05,15.97,167947706.5,0.0114
22178,BAC,2015-02-06,16.49,173416260.5,0.032561
22179,BAC,2015-02-09,16.35,171943957.5,-0.00849
22180,BAC,2015-02-10,16.42,172680109.0,0.004281
22181,BAC,2015-02-11,16.36,172049122.0,-0.003654
22182,BAC,2015-02-12,16.67,175309221.5,0.018949
22183,BAC,2015-02-13,16.61,174678234.5,-0.003599
22184,BAC,2015-02-17,16.63,174888563.5,0.001204
22185,BAC,2015-02-18,16.3,171418135.0,-0.019844
22186,BAC,2015-02-19,16.21,170471654.5,-0.005521
22187,BAC,2015-02-20,16.38,172259451.0,0.010487
22188,BAC,2015-02-23,16.2,170366490.0,-0.010989
22189,BAC,2015-02-24,16.38,172259451.0,0.011111
22190,BAC,2015-02-25,16.49,173416260.5,0.006716
22191,BAC,2015-02-26,16.04,168683858.0,-0.027289
22192,BAC,2015-02-27,15.81,166314354.27,-0.014339
22193,BAC,2015-03-02,16.01,168418267.67,0.01265
22194,BAC,2015-03-03,16.04,168733854.68,0.001874
22195,BAC,2015-03-04,15.84,166629941.28,-0.009352
22196,BAC,2015-03-05,16.0,168313072.0,0.010101
22197,BAC,2015-03-06,16.22,170627376.74,0.01375
22198,BAC,2015-03-09,16.17,170101398.39,-0.003083
22199,BAC,2015-03-10,15.79,166103962.93,-0.0235
22200,BAC,2015-03-11,16.11,169470224.37,0.020266
22201,BAC,2015-03-12,16.09,169259833.03,-0.001241
22202,BAC,2015-03-13,16.09,169259833.03,0.0
22203,BAC,2015-03-16,16.13,169680615.71,0.002486
22204,BAC,2015-03-17,16.09,169259833.03,-0.00248
22205,BAC,2015-03-18,15.98,168102680.66,-0.006837
22206,BAC,2015-03-19,15.61,164210440.87,-0.023154
22207,BAC,2015-03-20,15.84,166629941.28,0.014734
22208,BAC,2015-03-23,15.72,165367593.24,-0.007576
22209,BAC,2015-03-24,15.61,164210440.87,-0.006997
22210,BAC,2015-03-25,15.41,162106527.47,-0.012812
22211,BAC,2015-03-26,15.42,162211723.14,0.000649
22212,BAC,2015-03-27,15.31,161054570.77,-0.007134
22213,BAC,2015-03-30,15.52,163263679.84,0.013717
22214,BAC,2015-03-31,15.39,161908894.44,-0.008376
22215,BAC,2015-04-01,15.41,162119302.36,0.0013
22216,BAC,2015-04-02,15.54,163486953.84,0.008436
22217,BAC,2015-04-06,15.51,163171341.96,-0.001931
22218,BAC,2015-04-07,15.46,162645322.16,-0.003224
22219,BAC,2015-04-08,15.61,164223381.56,0.009702
22220,BAC,2015-04-09,15.71,165275421.16,0.006406
22221,BAC,2015-04-10,15.72,165380625.12,0.000637
22222,BAC,2015-04-13,15.8,166222256.8,0.005089
22223,BAC,2015-04-14,15.82,166432664.72,0.001266
22224,BAC,2015-04-15,15.64,164538993.44,-0.011378
22225,BAC,2015-04-16,15.79,166117052.84,0.009591
22226,BAC,2015-04-17,15.56,163697361.76,-0.014566
22227,BAC,2015-04-20,15.57,163802565.72,0.000643
22228,BAC,2015-04-21,15.5,163066138.0,-0.004496
22229,BAC,2015-04-22,15.74,165591033.04,0.015484
22230,BAC,2015-04-23,15.69,165065013.24,-0.003177
22231,BAC,2015-04-24,15.64,164538993.44,-0.003187
22232,BAC,2015-04-27,15.56,163697361.76,-0.005115
22233,BAC,2015-04-28,15.65,164644197.4,0.005784
22234,BAC,2015-04-29,15.98,168115928.08,0.021086
22235,BAC,2015-04-30,15.93,167298453.0,-0.003129
22236,BAC,2015-05-01,16.11,169188831.0,0.011299
22237,BAC,2015-05-04,16.44,172654524.0,0.020484
22238,BAC,2015-05-05,16.35,171709335.0,-0.005474
