Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
26182,BKNG,2018-02-27,1905.01,91991027.89,-0.000331
26183,BKNG,2018-02-28,2034.04,98221757.56,0.067732
26184,BKNG,2018-03-01,2028.37,97947958.93,-0.002788
26185,BKNG,2018-03-02,2033.79,98209685.31,0.002672
26186,BKNG,2018-03-05,2072.66,100086678.74,0.019112
26187,BKNG,2018-03-06,2085.51,100707192.39,0.0062
26188,BKNG,2018-03-07,2122.93,102514166.77,0.017943
26189,BKNG,2018-03-08,2150.08,103825213.12,0.012789
26190,BKNG,2018-03-09,2170.61,104816586.29,0.009548
26191,BKNG,2018-03-12,2206.09,106529880.01,0.016346
26192,BKNG,2018-03-13,2170.0,104787130.0,-0.016359
26193,BKNG,2018-03-14,2188.9,105699792.1,0.00871
26194,BKNG,2018-03-15,2187.77,105645225.53,-0.000516
26195,BKNG,2018-03-16,2171.49,104859080.61,-0.007441
26196,BKNG,2018-03-19,2146.89,103671171.21,-0.011329
26197,BKNG,2018-03-20,2139.11,103295482.79,-0.003624
26198,BKNG,2018-03-21,2144.98,103578939.22,0.002744
26199,BKNG,2018-03-22,2113.8,102073288.2,-0.014536
26200,BKNG,2018-03-23,2087.01,100779625.89,-0.012674
26201,BKNG,2018-03-26,2133.71,103034722.19,0.022377
26202,BKNG,2018-03-27,2077.56,100323294.84,-0.026316
26203,BKNG,2018-03-28,2054.69,99218925.41,-0.011008
26204,BKNG,2018-03-29,2080.39,100403782.18,0.012508
26205,BKNG,2018-04-02,2030.86,98013365.32,-0.023808
26206,BKNG,2018-04-03,2067.57,99785063.34,0.018076
26207,BKNG,2018-04-04,2071.01,99951084.62,0.001664
26208,BKNG,2018-04-05,2091.09,100920185.58,0.009696
26209,BKNG,2018-04-06,2033.41,98136433.42,-0.027584
26210,BKNG,2018-04-09,2048.74,98876289.88,0.007539
26211,BKNG,2018-04-10,2077.59,100268648.58,0.014082
26212,BKNG,2018-04-11,2080.65,100416330.3,0.001473
26213,BKNG,2018-04-12,2085.81,100665362.22,0.00248
26214,BKNG,2018-04-13,2085.86,100667775.32,2.4e-05
26215,BKNG,2018-04-16,2096.59,101185626.58,0.005144
26216,BKNG,2018-04-17,2162.31,104357405.22,0.031346
26217,BKNG,2018-04-18,2180.6,105240117.2,0.008459
26218,BKNG,2018-04-19,2158.95,104195244.9,-0.009928
26219,BKNG,2018-04-20,2131.37,102864178.94,-0.012775
26220,BKNG,2018-04-23,2133.69,102976146.78,0.001089
26221,BKNG,2018-04-24,2067.29,99771549.98,-0.03112
26222,BKNG,2018-04-25,2077.61,100269613.82,0.004992
26223,BKNG,2018-04-26,2111.8,101919691.6,0.016456
26224,BKNG,2018-04-27,2141.72,103363690.64,0.014168
26225,BKNG,2018-04-30,2178.0,105114636.0,0.01694
26226,BKNG,2018-05-01,2179.39,105181720.18,0.000638
26227,BKNG,2018-05-02,2149.82,103567578.5,-0.013568
26228,BKNG,2018-05-03,2152.21,103682716.75,0.001112
26229,BKNG,2018-05-04,2175.71,104814829.25,0.010919
26230,BKNG,2018-05-07,2194.96,105742198.0,0.008848
26231,BKNG,2018-05-08,2161.6,104135080.0,-0.015198
26232,BKNG,2018-05-09,2183.59,105194448.25,0.010173
26233,BKNG,2018-05-10,2080.02,100204963.5,-0.047431
26234,BKNG,2018-05-11,2071.99,99818118.25,-0.003861
26235,BKNG,2018-05-14,2072.02,99819563.5,1.4e-05
26236,BKNG,2018-05-15,2067.75,99613856.25,-0.002061
26237,BKNG,2018-05-16,2074.59,99943373.25,0.003308
26238,BKNG,2018-05-17,2089.11,100642874.25,0.006999
26239,BKNG,2018-05-18,2066.34,99545929.5,-0.010899
26240,BKNG,2018-05-21,2071.56,99797403.0,0.002526
26241,BKNG,2018-05-22,2077.19,100068628.25,0.002718
26242,BKNG,2018-05-23,2085.25,100456918.75,0.00388
26243,BKNG,2018-05-24,2088.28,100602889.0,0.001453
26244,BKNG,2018-05-25,2110.62,101679118.5,0.010698
26245,BKNG,2018-05-29,2076.03,100012745.25,-0.016389
26246,BKNG,2018-05-30,2098.0,101071150.0,0.010583
26247,BKNG,2018-05-31,2108.92,101597221.0,0.005205
26248,BKNG,2018-06-01,2128.94,102561684.5,0.009493
26249,BKNG,2018-06-04,2125.8,102410415.0,-0.001475
26250,BKNG,2018-06-05,2140.99,103142193.25,0.007146
26251,BKNG,2018-06-06,2153.78,103758351.5,0.005974
26252,BKNG,2018-06-07,2131.98,102708136.5,-0.010122
26253,BKNG,2018-06-08,2136.54,102927814.5,0.002139
26254,BKNG,2018-06-11,2124.29,102337670.75,-0.005734
26255,BKNG,2018-06-12,2132.0,102709100.0,0.003629
26256,BKNG,2018-06-13,2106.36,101473893.0,-0.012026
26257,BKNG,2018-06-14,2123.06,102278415.5,0.007928
26258,BKNG,2018-06-15,2141.45,103164353.75,0.008662
26259,BKNG,2018-06-18,2145.22,103345973.5,0.00176
26260,BKNG,2018-06-19,2139.26,103058850.5,-0.002778
26261,BKNG,2018-06-20,2145.77,103372469.75,0.003043
26262,BKNG,2018-06-21,2122.49,102250955.75,-0.010849
26263,BKNG,2018-06-22,2102.85,101304798.75,-0.009253
26264,BKNG,2018-06-25,2050.52,98783801.0,-0.024885
