Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
24168,BK,2015-01-02,40.46,45546226.6,-0.002711
24169,BK,2015-01-05,39.42,44375488.2,-0.025704
24170,BK,2015-01-06,38.28,43092178.8,-0.028919
24171,BK,2015-01-07,39.07,43981489.7,0.020637
24172,BK,2015-01-08,39.61,44589373.1,0.013821
24173,BK,2015-01-09,39.03,43936461.3,-0.014643
24174,BK,2015-01-12,38.47,43306063.7,-0.014348
24175,BK,2015-01-13,38.4,43227264.0,-0.00182
24176,BK,2015-01-14,37.43,42135325.3,-0.02526
24177,BK,2015-01-15,37.25,41932697.5,-0.004809
24178,BK,2015-01-16,37.46,42169096.6,0.005638
24179,BK,2015-01-20,37.24,41921440.4,-0.005873
24180,BK,2015-01-21,37.55,42270410.5,0.008324
24181,BK,2015-01-22,38.72,43587491.2,0.031158
24182,BK,2015-01-23,36.9,41538699.0,-0.047004
24183,BK,2015-01-26,37.42,42124068.2,0.014092
24184,BK,2015-01-27,36.74,41358585.4,-0.018172
24185,BK,2015-01-28,35.66,40142818.6,-0.029396
24186,BK,2015-01-29,36.44,41020872.4,0.021873
24187,BK,2015-01-30,36.0,40256208.0,-0.007409
24188,BK,2015-02-02,36.67,41005420.76,0.018611
24189,BK,2015-02-03,37.4,41821727.2,0.019907
24190,BK,2015-02-04,37.17,41564534.76,-0.00615
24191,BK,2015-02-05,37.73,42190742.44,0.015066
24192,BK,2015-02-06,38.47,43018231.16,0.019613
24193,BK,2015-02-09,38.48,43029413.44,0.00026
24194,BK,2015-02-10,39.08,43700350.24,0.015593
24195,BK,2015-02-11,39.13,43756261.64,0.001279
24196,BK,2015-02-12,39.41,44069365.48,0.007156
24197,BK,2015-02-13,39.2,43834537.6,-0.005329
24198,BK,2015-02-17,39.46,44125276.88,0.006633
24199,BK,2015-02-18,38.99,43599709.72,-0.011911
24200,BK,2015-02-19,39.12,43745079.36,0.003334
24201,BK,2015-02-20,39.44,44102912.32,0.00818
24202,BK,2015-02-23,39.17,43800990.76,-0.006846
24203,BK,2015-02-24,39.78,44483109.84,0.015573
24204,BK,2015-02-25,39.86,44572568.08,0.002011
24205,BK,2015-02-26,39.44,44102912.32,-0.010537
24206,BK,2015-02-27,39.14,43767443.92,-0.007606
24207,BK,2015-03-02,39.65,44337740.2,0.01303
24208,BK,2015-03-03,39.65,44337740.2,0.0
24209,BK,2015-03-04,39.44,44102912.32,-0.005296
24210,BK,2015-03-05,39.19,43823355.32,-0.006339
24211,BK,2015-03-06,39.28,43923995.84,0.002297
24212,BK,2015-03-09,39.79,44494292.12,0.012984
24213,BK,2015-03-10,39.19,43823355.32,-0.015079
24214,BK,2015-03-11,39.42,44080547.76,0.005869
24215,BK,2015-03-12,40.44,45221140.32,0.025875
24216,BK,2015-03-13,40.94,45780254.32,0.012364
24217,BK,2015-03-16,41.05,45903259.4,0.002687
24218,BK,2015-03-17,41.14,46003899.92,0.002192
24219,BK,2015-03-18,40.83,45657249.24,-0.007535
24220,BK,2015-03-19,40.3,45064588.4,-0.012981
