Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
27403,BLK,2015-01-02,356.73,58936790.22,-0.002321
27404,BLK,2015-01-05,347.5,57411865.0,-0.025874
27405,BLK,2015-01-06,342.1,56519709.4,-0.01554
27406,BLK,2015-01-07,349.34,57715858.76,0.021163
27407,BLK,2015-01-08,353.42,58389931.88,0.011679
27408,BLK,2015-01-09,349.23,57697685.22,-0.011856
27409,BLK,2015-01-12,346.93,57317693.02,-0.006586
27410,BLK,2015-01-13,347.98,57491167.72,0.003027
27411,BLK,2015-01-14,345.75,57122740.5,-0.006408
27412,BLK,2015-01-15,342.45,56577534.3,-0.009544
27413,BLK,2015-01-16,348.07,57506036.98,0.016411
27414,BLK,2015-01-20,346.59,57261520.26,-0.004252
27415,BLK,2015-01-21,349.5,57742293.0,0.008396
27416,BLK,2015-01-22,360.79,59607559.06,0.032303
27417,BLK,2015-01-23,355.12,58670795.68,-0.015716
27418,BLK,2015-01-26,357.39,59045831.46,0.006392
27419,BLK,2015-01-27,351.48,58069416.72,-0.016537
27420,BLK,2015-01-28,345.03,57003786.42,-0.018351
27421,BLK,2015-01-29,346.94,57319345.16,0.005536
27422,BLK,2015-01-30,340.51,56257019.14,-0.018533
27423,BLK,2015-02-02,347.64,57434994.96,0.020939
27424,BLK,2015-02-03,352.95,58312281.3,0.015274
27425,BLK,2015-02-04,350.78,57953766.92,-0.006148
27426,BLK,2015-02-05,358.82,59282087.48,0.02292
27427,BLK,2015-02-06,362.43,59878510.02,0.010061
27428,BLK,2015-02-09,360.87,59620776.18,-0.004304
27429,BLK,2015-02-10,370.67,61239873.38,0.027157
27430,BLK,2015-02-11,369.9,61112658.6,-0.002077
27431,BLK,2015-02-12,374.88,61935424.32,0.013463
27432,BLK,2015-02-13,376.04,62127072.56,0.003094
27433,BLK,2015-02-17,380.33,62835840.62,0.011408
27434,BLK,2015-02-18,377.86,62427762.04,-0.006494
27435,BLK,2015-02-19,377.61,62386458.54,-0.000662
27436,BLK,2015-02-20,376.64,62226200.96,-0.002569
27437,BLK,2015-02-23,376.43,62191506.02,-0.000558
27438,BLK,2015-02-24,378.11,62469065.54,0.004463
27439,BLK,2015-02-25,375.92,62107246.88,-0.005792
27440,BLK,2015-02-26,375.02,61958554.28,-0.002394
27441,BLK,2015-02-27,371.42,61434725.1,-0.009599
27442,BLK,2015-03-02,376.42,62261750.1,0.013462
27443,BLK,2015-03-03,373.66,61805232.3,-0.007332
