Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
29417,BMY,2015-01-02,59.51,98713759.76,0.008131
29418,BMY,2015-01-05,58.58,97171098.08,-0.015628
29419,BMY,2015-01-06,58.48,97005220.48,-0.001707
29420,BMY,2015-01-07,59.24,98265890.24,0.012996
29421,BMY,2015-01-08,60.72,100720878.72,0.024983
29422,BMY,2015-01-09,60.32,100057368.32,-0.006588
29423,BMY,2015-01-12,62.18,103142691.68,0.030836
29424,BMY,2015-01-13,63.12,104701941.12,0.015117
29425,BMY,2015-01-14,62.95,104419949.2,-0.002693
29426,BMY,2015-01-15,61.63,102230364.88,-0.020969
29427,BMY,2015-01-16,62.31,103358332.56,0.011034
29428,BMY,2015-01-20,62.45,103590561.2,0.002247
29429,BMY,2015-01-21,61.95,102761173.2,-0.008006
29430,BMY,2015-01-22,62.09,102993401.84,0.00226
29431,BMY,2015-01-23,62.07,102960226.32,-0.000322
29432,BMY,2015-01-26,62.46,103607148.96,0.006283
29433,BMY,2015-01-27,61.99,102827524.24,-0.007525
29434,BMY,2015-01-28,61.33,101732732.08,-0.010647
29435,BMY,2015-01-29,61.14,101417564.64,-0.003098
29436,BMY,2015-01-30,60.27,99974429.52,-0.01423
29437,BMY,2015-02-02,60.23,99908078.48,-0.000664
29438,BMY,2015-02-03,59.86,99294331.36,-0.006143
29439,BMY,2015-02-04,59.24,98265890.24,-0.010358
29440,BMY,2015-02-05,60.23,99908078.48,0.016712
29441,BMY,2015-02-06,59.67,98979163.92,-0.009298
29442,BMY,2015-02-09,58.85,97618967.6,-0.013742
29443,BMY,2015-02-10,59.83,99244568.08,0.016653
29444,BMY,2015-02-11,59.31,98382004.56,-0.008691
29445,BMY,2015-02-12,59.48,98663996.48,0.002866
29446,BMY,2015-02-13,60.04,99592911.04,0.009415
29447,BMY,2015-02-17,60.1,99692437.6,0.000999
29448,BMY,2015-02-18,60.01,99543147.76,-0.001498
29449,BMY,2015-02-19,59.55,98780110.8,-0.007665
29450,BMY,2015-02-20,60.52,100389123.52,0.016289
29451,BMY,2015-02-23,61.29,101666381.04,0.012723
29452,BMY,2015-02-24,61.45,101931785.2,0.002611
29453,BMY,2015-02-25,61.22,101550266.72,-0.003743
29454,BMY,2015-02-26,61.46,101948372.96,0.00392
29455,BMY,2015-02-27,60.92,101256228.56,-0.008786
29456,BMY,2015-03-02,62.3,103549951.4,0.022653
29457,BMY,2015-03-03,61.92,102918346.56,-0.0061
29458,BMY,2015-03-04,65.67,109151289.06,0.060562
29459,BMY,2015-03-05,66.05,109782893.9,0.005787
29460,BMY,2015-03-06,65.12,108237124.16,-0.01408
29461,BMY,2015-03-09,66.36,110298150.48,0.019042
29462,BMY,2015-03-10,65.53,108918592.54,-0.012508
29463,BMY,2015-03-11,65.6,109034940.8,0.001068
29464,BMY,2015-03-12,66.65,110780164.7,0.016006
29465,BMY,2015-03-13,66.87,111145830.66,0.003301
29466,BMY,2015-03-16,68.03,113073887.54,0.017347
29467,BMY,2015-03-17,67.62,112392419.16,-0.006027
29468,BMY,2015-03-18,68.47,113805219.46,0.01257
29469,BMY,2015-03-19,68.32,113555901.76,-0.002191
29470,BMY,2015-03-20,67.76,112625115.68,-0.008197
29471,BMY,2015-03-23,67.58,112325934.44,-0.002656
29472,BMY,2015-03-24,65.69,109184531.42,-0.027967
29473,BMY,2015-03-25,64.7,107539034.6,-0.015071
29474,BMY,2015-03-26,65.0,108037670.0,0.004637
29475,BMY,2015-03-27,65.26,108469820.68,0.004
29476,BMY,2015-03-30,65.76,109300879.68,0.007662
29477,BMY,2015-03-31,64.5,107500150.5,-0.019161
29478,BMY,2015-04-01,63.56,105933481.64,-0.008837
29479,BMY,2015-04-02,63.23,105383480.87,-0.005192
29480,BMY,2015-04-06,63.0,105000147.0,-0.003638
29481,BMY,2015-04-07,63.0,105000147.0,0.0
29482,BMY,2015-04-08,63.52,105866814.88,0.008254
29483,BMY,2015-04-09,63.46,105766814.74,-0.000945
29484,BMY,2015-04-10,64.64,107733484.16,0.018594
29485,BMY,2015-04-13,63.95,106583482.55,-0.010675
29486,BMY,2015-04-14,64.03,106716816.07,0.001251
29487,BMY,2015-04-15,63.43,105716814.67,-0.009371
29488,BMY,2015-04-16,63.68,106133481.92,0.003941
29489,BMY,2015-04-17,65.35,108916819.15,0.026225
29490,BMY,2015-04-20,65.86,109766820.34,0.007804
29491,BMY,2015-04-21,66.81,111350155.89,0.014425
29492,BMY,2015-04-22,66.6,111000155.4,-0.003143
29493,BMY,2015-04-23,66.0,110000154.0,-0.009009
29494,BMY,2015-04-24,65.8,109666820.2,-0.00303
29495,BMY,2015-04-27,65.16,108600152.04,-0.009726
29496,BMY,2015-04-28,64.54,107566817.26,-0.009515
29497,BMY,2015-04-29,64.29,107150150.01,-0.003874
29498,BMY,2015-04-30,63.73,106236316.75,-0.008711
29499,BMY,2015-05-01,64.66,107786603.5,0.014593
29500,BMY,2015-05-04,65.32,108886807.0,0.010207
29501,BMY,2015-05-05,65.03,108403384.25,-0.00444
29502,BMY,2015-05-06,64.67,107803273.25,-0.005536
29503,BMY,2015-05-07,65.05,108436723.75,0.005876
