Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
33445,CAN,2019-11-21,8.99,89900.0,
33446,CAN,2019-11-22,8.98,89800.0,-0.001112
33447,CAN,2019-11-25,8.29,82900.0,-0.076837
33448,CAN,2019-11-26,8.19,81900.0,-0.012063
33449,CAN,2019-11-27,8.25,82500.0,0.007326
33450,CAN,2019-11-29,8.25,82500.0,0.0
33451,CAN,2019-12-02,8.35,83500.0,0.012121
33452,CAN,2019-12-03,8.18,81800.0,-0.020359
33453,CAN,2019-12-04,8.07,80700.0,-0.013447
33454,CAN,2019-12-05,7.85,78500.0,-0.027261
33455,CAN,2019-12-06,7.8,78000.0,-0.006369
33456,CAN,2019-12-09,7.25,72500.0,-0.070513
33457,CAN,2019-12-10,6.57,65700.0,-0.093793
33458,CAN,2019-12-11,6.17,61700.0,-0.060883
33459,CAN,2019-12-12,5.71,57100.0,-0.074554
33460,CAN,2019-12-13,5.24,52400.0,-0.082312
33461,CAN,2019-12-16,4.65,46500.0,-0.112595
33462,CAN,2019-12-17,5.19,51900.0,0.116129
33463,CAN,2019-12-18,4.63,46300.0,-0.1079
33464,CAN,2019-12-19,4.65,46500.0,0.00432
33465,CAN,2019-12-20,4.77,47700.0,0.025806
33466,CAN,2019-12-23,5.29,52900.0,0.109015
33467,CAN,2019-12-24,5.69,56900.0,0.075614
33468,CAN,2019-12-26,5.58,55800.0,-0.019332
33469,CAN,2019-12-27,5.63,56300.0,0.008961
33470,CAN,2019-12-30,6.53,65300.0,0.159858
33471,CAN,2019-12-31,6.1,61000.0,-0.06585
33472,CAN,2020-01-02,6.02,60200.0,-0.013115
33473,CAN,2020-01-03,6.07,60700.0,0.008306
33474,CAN,2020-01-06,5.88,58800.0,-0.031301
33475,CAN,2020-01-07,5.82,58200.0,-0.010204
33476,CAN,2020-01-08,6.12,61200.0,0.051546
33477,CAN,2020-01-09,6.49,64900.0,0.060458
33478,CAN,2020-01-10,6.49,64900.0,0.0
33479,CAN,2020-01-13,6.44,64400.0,-0.007704
33480,CAN,2020-01-14,6.14,61400.0,-0.046584
33481,CAN,2020-01-15,5.62,56200.0,-0.084691
33482,CAN,2020-01-16,5.78,57800.0,0.02847
33483,CAN,2020-01-17,6.0,60000.0,0.038062
33484,CAN,2020-01-21,5.7,57000.0,-0.05
33485,CAN,2020-01-22,5.24,52400.0,-0.080702
33486,CAN,2020-01-23,5.08,50800.0,-0.030534
33487,CAN,2020-01-24,5.07,50700.0,-0.001969
33488,CAN,2020-01-27,4.99,49900.0,-0.015779
33489,CAN,2020-01-28,5.05,50500.0,0.012024
33490,CAN,2020-01-29,5.67,56700.0,0.122772
33491,CAN,2020-01-30,5.86,58600.0,0.03351
33492,CAN,2020-01-31,6.0,60000.0,0.023891
33493,CAN,2020-02-03,5.58,55800.0,-0.07
33494,CAN,2020-02-04,5.11,51100.0,-0.084229
33495,CAN,2020-02-05,4.94,49400.0,-0.033268
33496,CAN,2020-02-06,4.88,48800.0,-0.012146
33497,CAN,2020-02-07,4.55,45500.0,-0.067623
33498,CAN,2020-02-10,4.57,45700.0,0.004396
33499,CAN,2020-02-11,4.4,44000.0,-0.037199
33500,CAN,2020-02-12,8.04,80400.0,0.827273
33501,CAN,2020-02-13,6.64,66400.0,-0.174129
33502,CAN,2020-02-14,6.78,67800.0,0.021084
33503,CAN,2020-02-18,5.75,57500.0,-0.151917
33504,CAN,2020-02-19,5.71,57100.0,-0.006957
33505,CAN,2020-02-20,5.32,53200.0,-0.068301
33506,CAN,2020-02-21,5.86,58600.0,0.101504
33507,CAN,2020-02-24,5.65,56500.0,-0.035836
33508,CAN,2020-02-25,5.5,55000.0,-0.026549
33509,CAN,2020-02-26,5.5,55000.0,0.0
33510,CAN,2020-02-27,5.36,53600.0,-0.025455
33511,CAN,2020-02-28,5.09,50900.0,-0.050373
33512,CAN,2020-03-02,5.04,50400.0,-0.009823
33513,CAN,2020-03-03,4.9,49000.0,-0.027778
33514,CAN,2020-03-04,4.66,46600.0,-0.04898
33515,CAN,2020-03-05,4.83,48300.0,0.036481
33516,CAN,2020-03-06,4.26,42600.0,-0.118012
33517,CAN,2020-03-09,3.38,33800.0,-0.206573
33518,CAN,2020-03-10,3.43,34300.0,0.014793
33519,CAN,2020-03-11,3.91,39100.0,0.139942
33520,CAN,2020-03-12,3.51,35100.0,-0.102302
33521,CAN,2020-03-13,3.37,33700.0,-0.039886
33522,CAN,2020-03-16,2.88,28800.0,-0.145401
33523,CAN,2020-03-17,2.81,28100.0,-0.024306
33524,CAN,2020-03-18,3.01,30100.0,0.071174
33525,CAN,2020-03-19,3.27,32700.0,0.086379
33526,CAN,2020-03-20,3.11,31100.0,-0.04893
33527,CAN,2020-03-23,3.05,30500.0,-0.019293
33528,CAN,2020-03-24,2.95,29500.0,-0.032787
33529,CAN,2020-03-25,2.98,29800.0,0.010169
33530,CAN,2020-03-26,3.06,30600.0,0.026846
33531,CAN,2020-03-27,3.05,30500.0,-0.003268
33532,CAN,2020-03-30,2.9,29000.0,-0.04918
33533,CAN,2020-03-31,3.04,30400.0,0.048276
33534,CAN,2020-04-01,2.87,28700.0,-0.055921
33535,CAN,2020-04-02,2.94,29400.0,0.02439
33536,CAN,2020-04-03,2.88,28800.0,-0.020408
33537,CAN,2020-04-06,3.52,35200.0,0.222222
33538,CAN,2020-04-07,3.5,35000.0,-0.005682
33539,CAN,2020-04-08,3.52,35200.0,0.005714
33540,CAN,2020-04-09,3.2,32000.0,-0.090909
33541,CAN,2020-04-13,4.03,40300.0,0.259375
33542,CAN,2020-04-14,4.6,46000.0,0.141439
33543,CAN,2020-04-15,4.15,41500.0,-0.097826
33544,CAN,2020-04-16,4.44,44400.0,0.06988
33545,CAN,2020-04-17,4.68,46800.0,0.054054
33546,CAN,2020-04-20,4.17,41700.0,-0.108974
33547,CAN,2020-04-21,4.27,42700.0,0.023981
33548,CAN,2020-04-22,4.28,42800.0,0.002342
33549,CAN,2020-04-23,4.43,44300.0,0.035047
33550,CAN,2020-04-24,4.23,42300.0,-0.045147
33551,CAN,2020-04-27,4.44,44400.0,0.049645
33552,CAN,2020-04-28,4.65,46500.0,0.047297
33553,CAN,2020-04-29,4.76,47600.0,0.023656
33554,CAN,2020-04-30,5.18,51800.0,0.088235
33555,CAN,2020-05-01,4.6,46000.0,-0.111969
33556,CAN,2020-05-04,4.63,46300.0,0.006522
33557,CAN,2020-05-05,4.69,46900.0,0.012959
33558,CAN,2020-05-06,5.04,50400.0,0.074627
33559,CAN,2020-05-07,5.8,58000.0,0.150794
33560,CAN,2020-05-08,5.89,58900.0,0.015517
33561,CAN,2020-05-11,5.39,53900.0,-0.08489
33562,CAN,2020-05-12,5.73,57300.0,0.06308
33563,CAN,2020-05-13,5.99,59900.0,0.045375
33564,CAN,2020-05-14,5.97,59700.0,-0.003339
33565,CAN,2020-05-15,4.39,43900.0,-0.264657
33566,CAN,2020-05-18,4.45,44500.0,0.013667
33567,CAN,2020-05-19,4.37,43700.0,-0.017978
33568,CAN,2020-05-20,4.2,42000.0,-0.038902
33569,CAN,2020-05-21,3.99,39900.0,-0.05
33570,CAN,2020-05-22,3.82,38200.0,-0.042607
33571,CAN,2020-05-26,3.36,33600.0,-0.120419
33572,CAN,2020-05-27,3.0,30000.0,-0.107143
33573,CAN,2020-05-28,2.91,29100.0,-0.03
33574,CAN,2020-05-29,2.36,23600.0,-0.189003
33575,CAN,2020-06-01,2.12,21200.0,-0.101695
33576,CAN,2020-06-02,2.49,24900.0,0.174528
33577,CAN,2020-06-03,2.41,24100.0,-0.032129
