Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
34228,CAT,2015-01-02,91.88,55624060.12,0.003824
34229,CAT,2015-01-05,87.03,52687874.97,-0.052786
34230,CAT,2015-01-06,86.47,52348851.53,-0.006435
34231,CAT,2015-01-07,87.81,53160086.19,0.015497
34232,CAT,2015-01-08,88.71,53704945.29,0.010249
34233,CAT,2015-01-09,87.65,53063222.35,-0.011949
34234,CAT,2015-01-12,86.89,52603119.11,-0.008671
34235,CAT,2015-01-13,86.37,52288311.63,-0.005985
34236,CAT,2015-01-14,86.07,52106691.93,-0.003473
34237,CAT,2015-01-15,84.32,51047243.68,-0.012199
34238,CAT,2015-01-16,83.86,50768760.14,-0.005455
34239,CAT,2015-01-20,83.97,50835354.03,0.001312
34240,CAT,2015-01-21,85.37,51682912.63,0.016673
34241,CAT,2015-01-22,86.82,52560741.18,0.016985
34242,CAT,2015-01-23,85.61,51828208.39,-0.013937
34243,CAT,2015-01-26,86.03,52082475.97,0.004906
34244,CAT,2015-01-27,79.85,48341110.15,-0.071835
34245,CAT,2015-01-28,80.01,48437973.99,0.002004
34246,CAT,2015-01-29,80.0,48431920.0,-0.000125
34247,CAT,2015-01-30,79.97,48413758.03,-0.000375
34248,CAT,2015-02-02,80.84,48940455.16,0.010879
34249,CAT,2015-02-03,83.92,50805084.08,0.0381
34250,CAT,2015-02-04,81.95,49612448.05,-0.023475
34251,CAT,2015-02-05,83.57,50593194.43,0.019768
34252,CAT,2015-02-06,83.21,50375250.79,-0.004308
34253,CAT,2015-02-09,84.67,51259133.33,0.017546
34254,CAT,2015-02-10,83.9,50792976.1,-0.009094
34255,CAT,2015-02-11,83.41,50496330.59,-0.00584
34256,CAT,2015-02-12,83.53,50568978.47,0.001439
34257,CAT,2015-02-13,85.13,51537616.87,0.019155
34258,CAT,2015-02-17,85.38,51688966.62,0.002937
34259,CAT,2015-02-18,84.8,51337835.2,-0.006793
34260,CAT,2015-02-19,83.3,50429736.7,-0.017689
34261,CAT,2015-02-20,84.44,51119891.56,0.013685
34262,CAT,2015-02-23,83.49,50544762.51,-0.011251
34263,CAT,2015-02-24,84.5,51156215.5,0.012097
34264,CAT,2015-02-25,85.15,51549724.85,0.007692
34265,CAT,2015-02-26,83.8,50732436.2,-0.015854
34266,CAT,2015-02-27,82.9,50251244.3,-0.01074
34267,CAT,2015-03-02,83.0,50311861.0,0.001206
34268,CAT,2015-03-03,82.84,50214874.28,-0.001928
34269,CAT,2015-03-04,81.73,49542028.91,-0.013399
34270,CAT,2015-03-05,81.51,49408672.17,-0.002692
34271,CAT,2015-03-06,80.06,48529730.02,-0.017789
34272,CAT,2015-03-09,80.81,48984355.27,0.009368
34273,CAT,2015-03-10,79.91,48438804.97,-0.011137
34274,CAT,2015-03-11,79.7,48311509.9,-0.002628
34275,CAT,2015-03-12,80.19,48608531.73,0.006148
34276,CAT,2015-03-13,79.23,48026611.41,-0.011972
34277,CAT,2015-03-16,79.97,48475174.99,0.00934
34278,CAT,2015-03-17,78.45,47553801.15,-0.019007
34279,CAT,2015-03-18,81.33,49299562.11,0.036711
34280,CAT,2015-03-19,80.09,48547915.03,-0.015247
34281,CAT,2015-03-20,81.19,49214698.73,0.013735
34282,CAT,2015-03-23,81.09,49154082.03,-0.001232
34283,CAT,2015-03-24,80.48,48784320.16,-0.007523
34284,CAT,2015-03-25,79.86,48408496.62,-0.007704
34285,CAT,2015-03-26,79.88,48420619.96,0.00025
34286,CAT,2015-03-27,79.67,48293324.89,-0.002629
34287,CAT,2015-03-30,81.37,49323808.79,0.021338
34288,CAT,2015-03-31,80.03,48511545.01,-0.016468
34289,CAT,2015-04-01,79.64,48275139.88,-0.004873
34290,CAT,2015-04-02,80.24,48638840.08,0.007534
34291,CAT,2015-04-06,81.49,49396548.83,0.015578
34292,CAT,2015-04-07,80.54,48820690.18,-0.011658
34293,CAT,2015-04-08,80.44,48760073.48,-0.001242
34294,CAT,2015-04-09,80.68,48905553.56,0.002984
34295,CAT,2015-04-10,82.6,50069394.2,0.023798
34296,CAT,2015-04-13,82.14,49790557.38,-0.005569
34297,CAT,2015-04-14,83.0,50311861.0,0.01047
34298,CAT,2015-04-15,85.16,51621181.72,0.026024
34299,CAT,2015-04-16,84.34,51124124.78,-0.001409
34300,CAT,2015-04-17,83.28,50481587.76,-0.012568
34301,CAT,2015-04-20,84.6,51281728.2,0.01585
34302,CAT,2015-04-21,83.92,50869534.64,-0.008038
34303,CAT,2015-04-22,84.87,51445393.29,0.01132
34304,CAT,2015-04-23,84.79,51396899.93,-0.000943
34305,CAT,2015-04-24,84.6,51281728.2,-0.002241
34306,CAT,2015-04-27,85.33,51724230.11,0.008629
34307,CAT,2015-04-28,86.2,52251595.4,0.010196
34308,CAT,2015-04-29,87.5,53039612.5,0.015081
34309,CAT,2015-04-30,86.88,52449456.0,-0.007086
34310,CAT,2015-05-01,87.37,52745269.0,0.00564
34311,CAT,2015-05-04,87.3,52703010.0,-0.000801
34312,CAT,2015-05-05,87.0,52521900.0,-0.003436
34313,CAT,2015-05-06,86.99,52515863.0,-0.000115
34314,CAT,2015-05-07,86.43,52177791.0,-0.006438
34315,CAT,2015-05-08,87.31,52709047.0,0.010182
34316,CAT,2015-05-11,88.77,53590449.0,0.016722
34317,CAT,2015-05-12,88.16,53222192.0,-0.006872
34318,CAT,2015-05-13,88.44,53391228.0,0.003176
34319,CAT,2015-05-14,88.74,53572338.0,0.003392
34320,CAT,2015-05-15,88.43,53385191.0,-0.003493
34321,CAT,2015-05-18,88.29,53300673.0,-0.001583
34322,CAT,2015-05-19,87.24,52666788.0,-0.011893
34323,CAT,2015-05-20,87.93,53083341.0,0.007909
34324,CAT,2015-05-21,89.33,53928521.0,0.015922
34325,CAT,2015-05-22,88.63,53505931.0,-0.007836
34326,CAT,2015-05-26,87.84,53029008.0,-0.008913
34327,CAT,2015-05-27,87.92,53077304.0,0.000911
34328,CAT,2015-05-28,86.01,51924237.0,-0.021724
34329,CAT,2015-05-29,85.32,51502906.08,-0.008022
34330,CAT,2015-06-01,85.53,51629671.32,0.002461
34331,CAT,2015-06-02,86.17,52016003.48,0.007483
34332,CAT,2015-06-03,86.23,52052222.12,0.000696
34333,CAT,2015-06-04,85.47,51593452.68,-0.008814
34334,CAT,2015-06-05,86.05,51943566.2,0.006786
34335,CAT,2015-06-08,86.15,52003930.6,0.001162
34336,CAT,2015-06-09,86.73,52354044.12,0.006732
34337,CAT,2015-06-10,88.48,53410421.12,0.020178
34338,CAT,2015-06-11,88.17,53223291.48,-0.003504
34339,CAT,2015-06-12,87.85,53030125.4,-0.003629
34340,CAT,2015-06-15,87.13,52595501.72,-0.008196
34341,CAT,2015-06-16,86.59,52269533.96,-0.006198
34342,CAT,2015-06-17,87.25,52667939.0,0.007622
34343,CAT,2015-06-18,87.44,52782631.36,0.002178
34344,CAT,2015-06-19,87.52,52830922.88,0.000915
34345,CAT,2015-06-22,88.27,53283655.88,0.008569
34346,CAT,2015-06-23,88.45,53392311.8,0.002039
34347,CAT,2015-06-24,88.17,53223291.48,-0.003166
34348,CAT,2015-06-25,86.72,52348007.68,-0.016446
34349,CAT,2015-06-26,86.82,52408372.08,0.001153
34350,CAT,2015-06-29,85.3,51490833.2,-0.017507
34351,CAT,2015-06-30,84.82,51201084.08,-0.005627
34352,CAT,2015-07-01,83.95,50675913.8,-0.010257
34353,CAT,2015-07-02,84.38,50935480.72,0.005122
34354,CAT,2015-07-06,83.15,50192998.6,-0.014577
34355,CAT,2015-07-07,83.99,50700059.56,0.010102
34356,CAT,2015-07-08,82.27,49661791.88,-0.020479
34357,CAT,2015-07-09,81.69,49311678.36,-0.00705
34358,CAT,2015-07-10,82.15,49589354.6,0.005631
34359,CAT,2015-07-13,83.64,50488784.16,0.018138
34360,CAT,2015-07-14,84.46,50983772.24,0.009804
34361,CAT,2015-07-15,84.16,50802679.04,-0.003552
34362,CAT,2015-07-16,83.76,50561221.44,0.004396
34363,CAT,2015-07-17,83.16,50199035.04,-0.007163
34364,CAT,2015-07-20,82.25,49649719.0,-0.010943
34365,CAT,2015-07-21,82.22,49631609.68,-0.000365
34366,CAT,2015-07-22,79.76,48146645.44,-0.02992
34367,CAT,2015-07-23,76.88,46408150.72,-0.036108
34368,CAT,2015-07-24,76.1,45937308.4,-0.010146
34369,CAT,2015-07-27,75.32,45466466.08,-0.01025
34370,CAT,2015-07-28,77.78,46951430.32,0.032661
34371,CAT,2015-07-29,77.33,46679790.52,-0.005786
34372,CAT,2015-07-30,78.35,47295507.4,0.01319
34373,CAT,2015-07-31,78.63,47385032.79,0.003574
34374,CAT,2015-08-03,77.26,46559425.58,-0.017423
34375,CAT,2015-08-04,76.6,46161687.8,-0.008543
34376,CAT,2015-08-05,76.88,46330425.04,0.003655
34377,CAT,2015-08-06,77.46,46679952.18,0.007544
34378,CAT,2015-08-07,77.29,46577504.57,-0.002195
34379,CAT,2015-08-10,80.16,48307061.28,0.037133
34380,CAT,2015-08-11,78.04,47029479.32,-0.026447
34381,CAT,2015-08-12,78.92,47559796.36,0.011276
34382,CAT,2015-08-13,77.76,46860742.08,-0.014698
34383,CAT,2015-08-14,78.49,47300664.17,0.009388
34384,CAT,2015-08-17,78.54,47330795.82,0.000637
34385,CAT,2015-08-18,78.82,47499533.06,0.003565
34386,CAT,2015-08-19,77.41,46649820.53,-0.017889
34387,CAT,2015-08-20,76.41,46047187.53,-0.012918
34388,CAT,2015-08-21,75.0,45197475.0,-0.018453
34389,CAT,2015-08-24,72.82,43883735.06,-0.029067
34390,CAT,2015-08-25,72.06,43425733.98,-0.010437
34391,CAT,2015-08-26,73.87,44516499.71,0.025118
34392,CAT,2015-08-27,75.66,45595212.78,0.024232
34393,CAT,2015-08-28,75.95,45769976.35,0.003833
34394,CAT,2015-08-31,76.44,46065266.52,0.006452
34395,CAT,2015-09-01,74.9,45137211.7,-0.020147
34396,CAT,2015-09-02,76.1,45860371.3,0.016021
34397,CAT,2015-09-03,74.45,44866026.85,-0.021682
34398,CAT,2015-09-04,73.1,44052472.3,-0.018133
34399,CAT,2015-09-08,74.3,44775631.9,0.016416
34400,CAT,2015-09-09,72.96,43968103.68,-0.018035
