Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
36242,CHTR,2015-01-02,166.43,18640160.0,-0.00114
36243,CHTR,2015-01-05,160.5,17976000.0,-0.035631
36244,CHTR,2015-01-06,156.31,17506720.0,-0.026106
36245,CHTR,2015-01-07,156.79,17560480.0,0.003071
36246,CHTR,2015-01-08,162.94,18249280.0,0.039224
36247,CHTR,2015-01-09,161.98,18141760.0,-0.005892
36248,CHTR,2015-01-12,163.85,18351200.0,0.011545
36249,CHTR,2015-01-13,164.4,18412800.0,0.003357
36250,CHTR,2015-01-14,158.13,17710560.0,-0.038139
36251,CHTR,2015-01-15,160.49,17974880.0,0.014924
36252,CHTR,2015-01-16,161.11,18044320.0,0.003863
36253,CHTR,2015-01-20,156.13,17486560.0,-0.030911
36254,CHTR,2015-01-21,155.75,17444000.0,-0.002434
36255,CHTR,2015-01-22,158.99,17806880.0,0.020803
36256,CHTR,2015-01-23,158.93,17800160.0,-0.000377
36257,CHTR,2015-01-26,158.18,17716160.0,-0.004719
36258,CHTR,2015-01-27,156.425,17519600.0,-0.011095
36259,CHTR,2015-01-28,150.6,16867200.0,-0.037238
36260,CHTR,2015-01-29,152.085,17033520.0,0.009861
36261,CHTR,2015-01-30,151.115,16924880.0,-0.006378
36262,CHTR,2015-02-02,154.0,17248000.0,0.019091
36263,CHTR,2015-02-03,157.97,17692640.0,0.025779
36264,CHTR,2015-02-04,163.19,18277280.0,0.033044
36265,CHTR,2015-02-05,174.295,19521040.0,0.06805
36266,CHTR,2015-02-06,173.43,19424160.0,-0.004963
36267,CHTR,2015-02-09,172.14,19279680.0,-0.007438
36268,CHTR,2015-02-10,175.89,19699680.0,0.021785
36269,CHTR,2015-02-11,175.29,19632480.0,-0.003411
36270,CHTR,2015-02-12,177.03,19827360.0,0.009926
36271,CHTR,2015-02-13,177.88,19922560.0,0.004801
36272,CHTR,2015-02-17,176.45,19762400.0,-0.008039
36273,CHTR,2015-02-18,174.29,19520480.0,-0.012241
36274,CHTR,2015-02-19,174.525,19546800.0,0.001348
36275,CHTR,2015-02-20,175.89,19699680.0,0.007821
36276,CHTR,2015-02-23,175.875,19698000.0,-8.5e-05
36277,CHTR,2015-02-24,177.77,19910240.0,0.010775
36278,CHTR,2015-02-25,182.21,20407520.0,0.024976
36279,CHTR,2015-02-26,182.18,20404160.0,-0.000165
36280,CHTR,2015-02-27,180.6,20227200.0,-0.008673
36281,CHTR,2015-03-02,185.95,20826400.0,0.029623
36282,CHTR,2015-03-03,186.96,20939520.0,0.005432
36283,CHTR,2015-03-04,185.74,20802880.0,-0.006525
36284,CHTR,2015-03-05,184.48,20661760.0,-0.006784
36285,CHTR,2015-03-06,183.52,20554240.0,-0.005204
36286,CHTR,2015-03-09,184.03,20611360.0,0.002779
36287,CHTR,2015-03-10,181.34,20310080.0,-0.014617
36288,CHTR,2015-03-11,182.61,20452320.0,0.007003
36289,CHTR,2015-03-12,193.46,21667520.0,0.059416
36290,CHTR,2015-03-13,191.13,21406560.0,-0.012044
36291,CHTR,2015-03-16,191.38,21434560.0,0.001308
36292,CHTR,2015-03-17,188.62,21125440.0,-0.014422
36293,CHTR,2015-03-18,189.32,21203840.0,0.003711
36294,CHTR,2015-03-19,188.18,21076160.0,-0.006022
36295,CHTR,2015-03-20,189.01,21169120.0,0.004411
36296,CHTR,2015-03-23,188.87,21153440.0,-0.000741
36297,CHTR,2015-03-24,187.68,21020160.0,-0.006301
36298,CHTR,2015-03-25,183.0,20496000.0,-0.024936
36299,CHTR,2015-03-26,181.75,20356000.0,-0.006831
36300,CHTR,2015-03-27,180.0,20160000.0,-0.009629
36301,CHTR,2015-03-30,183.39,20539680.0,0.018833
36302,CHTR,2015-03-31,193.11,21632568.42,0.053002
36303,CHTR,2015-04-01,190.63,21354753.86,-0.012842
36304,CHTR,2015-04-02,189.575,21236570.65,-0.005534
36305,CHTR,2015-04-06,193.19,21641530.18,0.019069
36306,CHTR,2015-04-07,189.75,21256174.5,-0.017806
36307,CHTR,2015-04-08,190.775,21370997.05,0.005402
36308,CHTR,2015-04-09,190.93,21388360.46,0.000812
36309,CHTR,2015-04-10,191.81,21486939.82,0.004609
36310,CHTR,2015-04-13,189.02,21174398.44,-0.014546
36311,CHTR,2015-04-14,190.89,21383879.58,0.009893
36312,CHTR,2015-04-15,189.91,21274098.02,-0.005134
36313,CHTR,2015-04-16,190.36,21324507.92,0.00237
36314,CHTR,2015-04-17,186.74,20918988.28,-0.019017
36315,CHTR,2015-04-20,183.88,20598605.36,-0.015315
36316,CHTR,2015-04-21,186.81,20926829.82,0.015934
36317,CHTR,2015-04-22,184.885,20711187.47,-0.010305
36318,CHTR,2015-04-23,183.58,20564998.76,-0.007058
36319,CHTR,2015-04-24,185.75,20808086.5,0.01182
36320,CHTR,2015-04-27,182.96,20495545.12,-0.01502
36321,CHTR,2015-04-28,182.3,20421610.6,-0.003607
36322,CHTR,2015-04-29,188.3,21093742.6,0.032913
36323,CHTR,2015-04-30,187.06,20954835.32,-0.006585
36324,CHTR,2015-05-01,187.435,20996843.57,0.002005
36325,CHTR,2015-05-04,187.49,21003004.78,0.000293
36326,CHTR,2015-05-05,185.7,20802485.4,-0.009547
