Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
38256,CL,2015-01-02,69.04,62922917.92,-0.002168
38257,CL,2015-01-05,68.53,62458104.94,-0.007387
38258,CL,2015-01-06,67.81,61801898.38,-0.010506
38259,CL,2015-01-07,68.35,62294053.3,0.007963
38260,CL,2015-01-08,69.28,63141653.44,0.013606
38261,CL,2015-01-09,68.6,62521902.8,-0.009815
38262,CL,2015-01-12,68.26,62212027.48,-0.004956
38263,CL,2015-01-13,68.73,62640384.54,0.006885
38264,CL,2015-01-14,68.45,62385193.1,-0.004074
38265,CL,2015-01-15,68.32,62266711.36,-0.001899
38266,CL,2015-01-16,69.17,63041399.66,0.012441
38267,CL,2015-01-20,68.96,62850006.08,-0.003036
38268,CL,2015-01-21,68.35,62294053.3,-0.003625
38269,CL,2015-01-22,69.32,63178109.36,0.014192
38270,CL,2015-01-23,67.14,61191261.72,-0.031448
38271,CL,2015-01-26,66.29,60416573.42,-0.01266
38272,CL,2015-01-27,65.66,59842392.68,-0.009504
38273,CL,2015-01-28,65.12,59350237.76,-0.008224
38274,CL,2015-01-29,69.03,62913803.94,0.060043
38275,CL,2015-01-30,67.52,61537592.96,-0.021875
38276,CL,2015-02-02,68.99,62877348.02,0.021771
38277,CL,2015-02-03,69.19,63059627.62,0.002899
38278,CL,2015-02-04,69.2,63068741.6,0.000145
38279,CL,2015-02-05,69.79,63606466.42,0.008526
38280,CL,2015-02-06,69.3,63159881.4,-0.007021
38281,CL,2015-02-09,69.07,62950259.86,-0.003319
38282,CL,2015-02-10,69.44,63287477.12,0.005357
38283,CL,2015-02-11,69.47,63314819.06,0.000432
38284,CL,2015-02-12,69.85,63661150.3,0.00547
38285,CL,2015-02-13,70.08,63870771.84,0.003293
38286,CL,2015-02-17,70.19,63971025.62,0.00157
38287,CL,2015-02-18,70.54,64290014.92,0.004986
38288,CL,2015-02-19,70.21,63989253.58,-0.004678
38289,CL,2015-02-20,70.24,64016595.52,0.000427
38290,CL,2015-02-23,70.68,64417610.64,0.006264
38291,CL,2015-02-24,71.01,64718371.98,0.004669
38292,CL,2015-02-25,71.01,64718371.98,0.0
38293,CL,2015-02-26,71.11,64809511.78,0.001408
38294,CL,2015-02-27,70.82,64239547.24,-0.004078
38295,CL,2015-03-02,71.01,64411892.82,0.002683
38296,CL,2015-03-03,70.68,64112555.76,-0.004647
38297,CL,2015-03-04,70.68,64112555.76,0.0
38298,CL,2015-03-05,71.46,64820079.72,0.011036
38299,CL,2015-03-06,69.25,62815428.5,-0.030926
38300,CL,2015-03-09,69.59,63123836.38,0.00491
38301,CL,2015-03-10,68.4,62044408.8,-0.0171
38302,CL,2015-03-11,67.89,61581796.98,-0.007456
38303,CL,2015-03-12,68.53,62162329.46,0.009427
