Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
40270,CMCSA,2015-01-02,57.35,122220764.3,-0.011377
40271,CMCSA,2015-01-05,55.96,119258482.48,-0.020314
40272,CMCSA,2015-01-06,55.23,117702751.74,-0.013045
40273,CMCSA,2015-01-07,55.18,117596194.84,-0.000905
40274,CMCSA,2015-01-08,56.38,120153560.44,0.021747
40275,CMCSA,2015-01-09,56.29,119961758.02,-0.001596
40276,CMCSA,2015-01-12,56.17,119706021.46,-0.002132
40277,CMCSA,2015-01-13,56.84,121133883.92,0.011928
40278,CMCSA,2015-01-14,55.82,118960123.16,-0.017945
40279,CMCSA,2015-01-15,56.0,119343728.0,0.003225
40280,CMCSA,2015-01-16,56.77,120984704.26,0.01375
40281,CMCSA,2015-01-20,55.81,118938811.78,-0.01691
40282,CMCSA,2015-01-21,55.77,118853566.26,-0.000717
40283,CMCSA,2015-01-22,56.57,120558476.66,0.014345
40284,CMCSA,2015-01-23,56.31,120004380.78,-0.004596
40285,CMCSA,2015-01-26,56.69,120814213.22,0.006748
40286,CMCSA,2015-01-27,56.355,120100281.99,-0.005909
40287,CMCSA,2015-01-28,54.59,116338823.42,-0.031319
40288,CMCSA,2015-01-29,53.87,114804404.06,-0.013189
40289,CMCSA,2015-01-30,53.145,113259329.01,-0.013458
40290,CMCSA,2015-02-02,53.81,114676535.78,0.012513
40291,CMCSA,2015-02-03,55.41,118086356.58,0.029734
40292,CMCSA,2015-02-04,56.9,121261752.2,0.02689
40293,CMCSA,2015-02-05,56.97,121410931.86,0.00123
40294,CMCSA,2015-02-06,56.92,121304374.96,-0.000878
40295,CMCSA,2015-02-09,57.09,121666668.42,0.002987
40296,CMCSA,2015-02-10,57.41,122348632.58,0.005605
40297,CMCSA,2015-02-11,57.78,123137153.64,0.006445
40298,CMCSA,2015-02-12,58.38,124415836.44,0.010384
40299,CMCSA,2015-02-13,59.465,126728121.17,0.018585
40300,CMCSA,2015-02-17,58.8,125310914.4,-0.011183
40301,CMCSA,2015-02-18,58.22,124074854.36,-0.009864
40302,CMCSA,2015-02-19,57.85,123286333.3,-0.006355
40303,CMCSA,2015-02-20,58.5,124671573.0,0.011236
40304,CMCSA,2015-02-23,58.21,124053542.98,-0.004957
40305,CMCSA,2015-02-24,59.17,126099435.46,0.016492
40306,CMCSA,2015-02-25,59.62,127058447.56,0.007605
40307,CMCSA,2015-02-26,59.15,126056812.7,-0.007883
40308,CMCSA,2015-02-27,59.38,126546974.44,0.003888
40309,CMCSA,2015-03-02,59.87,127591232.06,0.008252
40310,CMCSA,2015-03-03,59.96,127783034.48,0.001503
40311,CMCSA,2015-03-04,60.43,128784669.34,0.007839
40312,CMCSA,2015-03-05,60.325,128560899.85,-0.001738
40313,CMCSA,2015-03-06,60.37,128656801.06,0.000746
40314,CMCSA,2015-03-09,60.57,129083028.66,0.003313
40315,CMCSA,2015-03-10,58.7,125097800.6,-0.030873
40316,CMCSA,2015-03-11,58.06,123733872.28,-0.010903
40317,CMCSA,2015-03-12,59.33,125841837.17,0.021874
40318,CMCSA,2015-03-13,59.05,125247943.45,-0.004719
40319,CMCSA,2015-03-16,59.75,126732677.75,0.011854
40320,CMCSA,2015-03-17,59.13,125417627.37,-0.010377
40321,CMCSA,2015-03-18,58.99,125120680.51,-0.002368
40322,CMCSA,2015-03-19,58.745,124601023.51,-0.004153
40323,CMCSA,2015-03-20,59.45,126096363.05,0.012001
40324,CMCSA,2015-03-23,59.12,125396416.88,-0.005551
40325,CMCSA,2015-03-24,57.57,122108790.93,-0.026218
40326,CMCSA,2015-03-25,56.525,119892294.73,-0.018152
40327,CMCSA,2015-03-26,55.91,118587849.59,-0.01088
40328,CMCSA,2015-03-27,55.94,118651481.06,0.000537
40329,CMCSA,2015-03-30,56.61,120072583.89,0.016446
40330,CMCSA,2015-03-31,56.47,119881066.52,-0.002473
40331,CMCSA,2015-04-01,57.06,121133586.96,0.010448
40332,CMCSA,2015-04-02,57.94,123001753.04,0.015422
40333,CMCSA,2015-04-06,58.21,123574940.36,0.00466
40334,CMCSA,2015-04-07,58.315,123797846.54,0.001804
40335,CMCSA,2015-04-08,59.18,125634168.88,0.014833
40336,CMCSA,2015-04-09,59.59,126504564.44,0.006928
40337,CMCSA,2015-04-10,59.81,126971605.96,0.003692
40338,CMCSA,2015-04-13,58.78,124785002.48,-0.017221
40339,CMCSA,2015-04-14,58.975,125198971.1,0.003317
40340,CMCSA,2015-04-15,59.91,127183897.56,0.015854
40341,CMCSA,2015-04-16,59.67,126674397.72,-0.004006
40342,CMCSA,2015-04-17,58.42,124020752.72,-0.020949
40343,CMCSA,2015-04-20,58.47,124126898.52,0.000856
40344,CMCSA,2015-04-21,58.84,124912377.44,0.006328
40345,CMCSA,2015-04-22,58.76,124742544.16,-0.00136
40346,CMCSA,2015-04-23,59.23,125740314.68,0.007999
40347,CMCSA,2015-04-24,59.64,126610710.24,0.006922
40348,CMCSA,2015-04-27,58.88,124997294.08,-0.012743
40349,CMCSA,2015-04-28,59.0,125252044.0,0.002038
40350,CMCSA,2015-04-29,58.34,123850919.44,-0.011186
40351,CMCSA,2015-04-30,57.76,122619628.16,-0.009942
40352,CMCSA,2015-05-01,58.41,123999523.56,0.011253
40353,CMCSA,2015-05-04,58.78,124785002.48,0.006335
40354,CMCSA,2015-05-05,57.98,123086669.68,-0.01361
40355,CMCSA,2015-05-06,57.66,122407336.56,-0.005519
40356,CMCSA,2015-05-07,57.92,122959294.72,0.004509
40357,CMCSA,2015-05-08,58.41,123999523.56,0.00846
40358,CMCSA,2015-05-11,57.765,122630242.74,-0.011043
40359,CMCSA,2015-05-12,57.325,121696159.7,-0.007617
40360,CMCSA,2015-05-13,56.28,119477712.48,-0.018229
40361,CMCSA,2015-05-14,56.54,120029670.64,0.00462
40362,CMCSA,2015-05-15,56.64,120241962.24,0.001769
40363,CMCSA,2015-05-18,56.97,120942524.52,0.005826
40364,CMCSA,2015-05-19,57.23,121494482.68,0.004564
40365,CMCSA,2015-05-20,57.57,122216274.12,0.005941
40366,CMCSA,2015-05-21,57.54,122152586.64,-0.000521
40367,CMCSA,2015-05-22,57.87,122853148.92,0.005735
40368,CMCSA,2015-05-26,58.59,124381648.44,0.012442
40369,CMCSA,2015-05-27,59.34,125973835.44,0.012801
40370,CMCSA,2015-05-28,59.03,125315731.48,-0.005224
40371,CMCSA,2015-05-29,58.46,124105669.36,-0.009656
40372,CMCSA,2015-06-01,58.78,124785002.48,0.005474
40373,CMCSA,2015-06-02,58.82,124869919.12,0.000681
40374,CMCSA,2015-06-03,59.32,125931377.12,0.008501
40375,CMCSA,2015-06-04,58.95,125145898.2,-0.006237
40376,CMCSA,2015-06-05,58.685,124583325.46,-0.004495
40377,CMCSA,2015-06-08,57.865,122842534.34,-0.013973
40378,CMCSA,2015-06-09,57.85,122810690.6,-0.000259
40379,CMCSA,2015-06-10,58.23,123617398.68,0.006569
40380,CMCSA,2015-06-11,58.76,124742544.16,0.009102
40381,CMCSA,2015-06-12,58.26,123681086.16,-0.008509
40382,CMCSA,2015-06-15,58.34,123850919.44,0.001373
40383,CMCSA,2015-06-16,58.88,124997294.08,0.009256
40384,CMCSA,2015-06-17,59.62,126568251.92,0.012568
40385,CMCSA,2015-06-18,60.48,128393959.68,0.014425
40386,CMCSA,2015-06-19,60.51,128457647.16,0.000496
40387,CMCSA,2015-06-22,60.97,129434188.52,0.007602
40388,CMCSA,2015-06-23,60.76,128988376.16,-0.003444
40389,CMCSA,2015-06-24,60.36,128139209.76,-0.006583
40390,CMCSA,2015-06-25,60.88,129243126.08,0.008615
40391,CMCSA,2015-06-26,61.27,130071063.32,0.006406
40392,CMCSA,2015-06-29,59.98,127332501.68,-0.016974
40393,CMCSA,2015-06-30,60.14,127183169.9,0.002668
40394,CMCSA,2015-07-01,62.25,131645366.25,0.035085
40395,CMCSA,2015-07-02,62.34,131835696.9,0.001446
40396,CMCSA,2015-07-06,62.11,131349296.35,-0.003689
40397,CMCSA,2015-07-07,62.51,132195210.35,0.00644
40398,CMCSA,2015-07-08,61.69,130461086.65,-0.013118
40399,CMCSA,2015-07-09,62.01,131137817.85,0.005187
40400,CMCSA,2015-07-10,63.19,133633264.15,0.019029
40401,CMCSA,2015-07-13,63.72,134754100.2,0.008387
40402,CMCSA,2015-07-14,63.24,133739003.4,-0.007533
40403,CMCSA,2015-07-15,63.75,134817543.75,0.008065
40404,CMCSA,2015-07-16,64.32,136022971.2,0.008941
40405,CMCSA,2015-07-17,64.27,135917231.95,-0.000777
40406,CMCSA,2015-07-20,64.32,136022971.2,0.000778
40407,CMCSA,2015-07-21,64.27,135917231.95,-0.000777
40408,CMCSA,2015-07-22,64.5,136403632.5,0.003579
40409,CMCSA,2015-07-23,62.47,132110618.95,-0.031473
40410,CMCSA,2015-07-24,62.17,131476183.45,-0.004802
40411,CMCSA,2015-07-27,61.11,129234511.35,-0.01705
40412,CMCSA,2015-07-28,62.41,131983731.85,0.021273
40413,CMCSA,2015-07-29,62.48,132131766.8,0.001122
40414,CMCSA,2015-07-30,62.36,131877992.6,-0.001921
40415,CMCSA,2015-07-31,62.41,131983731.85,0.000802
40416,CMCSA,2015-08-03,63.21,133675559.85,0.012818
40417,CMCSA,2015-08-04,62.74,132681610.9,-0.007436
40418,CMCSA,2015-08-05,59.81,126485290.85,-0.046701
40419,CMCSA,2015-08-06,58.76,124264766.6,-0.017556
40420,CMCSA,2015-08-07,58.82,124391653.7,0.001021
40421,CMCSA,2015-08-10,59.45,125723968.25,0.010711
40422,CMCSA,2015-08-11,58.79,124328210.15,-0.011102
40423,CMCSA,2015-08-12,59.41,125639376.85,0.010546
40424,CMCSA,2015-08-13,59.64,126125777.4,0.003871
40425,CMCSA,2015-08-14,58.88,124518540.8,-0.012743
40426,CMCSA,2015-08-17,60.41,127754161.85,0.025985
40427,CMCSA,2015-08-18,59.69,126231516.65,-0.011919
40428,CMCSA,2015-08-19,59.92,126717917.2,0.003853
40429,CMCSA,2015-08-20,58.37,123440000.45,-0.025868
40430,CMCSA,2015-08-21,56.78,120077492.3,-0.02724
40431,CMCSA,2015-08-24,54.41,115065451.85,-0.04174
40432,CMCSA,2015-08-25,53.85,113881172.25,-0.010292
40433,CMCSA,2015-08-26,55.4,117159089.0,0.028784
40434,CMCSA,2015-08-27,56.77,120056344.45,0.024729
40435,CMCSA,2015-08-28,56.78,120077492.3,0.000176
40436,CMCSA,2015-08-31,56.33,119125839.05,-0.007925
40437,CMCSA,2015-09-01,55.02,116355470.7,-0.023256
40438,CMCSA,2015-09-02,55.88,118174185.8,0.015631
40439,CMCSA,2015-09-03,56.21,118872064.85,0.005906
40440,CMCSA,2015-09-04,55.78,117962707.3,-0.00765
40441,CMCSA,2015-09-08,57.11,120775371.35,0.023844
40442,CMCSA,2015-09-09,56.67,119844865.95,-0.007704
40443,CMCSA,2015-09-10,56.54,119569943.9,-0.002294
40444,CMCSA,2015-09-11,56.41,119295021.85,-0.002299
40445,CMCSA,2015-09-14,56.25,118956656.25,-0.002836
40446,CMCSA,2015-09-15,57.135,120828240.98,0.015733
40447,CMCSA,2015-09-16,57.74,122107685.9,0.010589
40448,CMCSA,2015-09-17,58.46,123630331.1,0.01247
40449,CMCSA,2015-09-18,57.42,121430954.7,-0.01779
40450,CMCSA,2015-09-21,57.89,122424903.65,0.008185
40451,CMCSA,2015-09-22,57.71,122044242.35,-0.003109
40452,CMCSA,2015-09-23,57.37,121325215.45,-0.005892
40453,CMCSA,2015-09-24,56.82,120162083.7,-0.009587
40454,CMCSA,2015-09-25,56.54,119569943.9,-0.004928
40455,CMCSA,2015-09-28,54.81,115911365.85,-0.030598
40456,CMCSA,2015-09-29,55.14,116609244.9,0.006021
40457,CMCSA,2015-09-30,56.88,119474051.04,0.031556
40458,CMCSA,2015-10-01,57.41,120587293.78,0.009318
40459,CMCSA,2015-10-02,58.72,123338893.76,0.022818
40460,CMCSA,2015-10-05,59.62,125229305.96,0.019584
40461,CMCSA,2015-10-06,58.97,123864008.26,-0.010902
40462,CMCSA,2015-10-07,59.695,125386840.31,0.012294
40463,CMCSA,2015-10-08,60.98,128085928.84,0.021526
40464,CMCSA,2015-10-09,60.49,127056704.42,-0.008035
40465,CMCSA,2015-10-12,60.27,126594603.66,-0.003637
40466,CMCSA,2015-10-13,60.16,126363553.28,-0.001825
40467,CMCSA,2015-10-14,59.94,125901452.52,-0.003657
40468,CMCSA,2015-10-15,61.01,128148942.58,0.017851
40469,CMCSA,2015-10-16,61.32,128800084.56,0.005081
40470,CMCSA,2015-10-19,61.56,129304194.48,0.003914
40471,CMCSA,2015-10-20,61.55,129283189.9,-0.000162
40472,CMCSA,2015-10-21,61.11,128358988.38,-0.007149
40473,CMCSA,2015-10-22,61.7,129598258.6,0.009655
40474,CMCSA,2015-10-23,61.98,130186386.84,0.004538
