Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
42284,COF,2015-01-02,82.49,45862047.79,-0.000727
42285,COF,2015-01-05,80.59,44805702.89,-0.023033
42286,COF,2015-01-06,79.09,43971746.39,-0.018613
42287,COF,2015-01-07,79.99,44472120.29,0.011379
42288,COF,2015-01-08,80.77,44905777.67,0.009751
42289,COF,2015-01-09,79.37,44127418.27,-0.017333
42290,COF,2015-01-12,79.06,43955067.26,-0.003906
42291,COF,2015-01-13,78.39,43582566.69,-0.008475
42292,COF,2015-01-14,76.75,42670774.25,-0.020921
42293,COF,2015-01-15,76.95,42781968.45,0.002606
42294,COF,2015-01-16,76.65,42615177.15,-0.003899
42295,COF,2015-01-20,77.39,43026595.69,0.009654
42296,COF,2015-01-21,77.21,42926520.91,-0.002326
42297,COF,2015-01-22,76.2,42364990.2,-0.013081
42298,COF,2015-01-23,77.6,43143349.6,0.018373
42299,COF,2015-01-26,78.19,43471372.49,0.007603
42300,COF,2015-01-27,76.77,42681893.67,-0.018161
42301,COF,2015-01-28,74.45,41392040.95,-0.03022
42302,COF,2015-01-29,74.96,41675586.16,0.00685
42303,COF,2015-01-30,73.21,40702636.91,-0.023346
42304,COF,2015-02-02,74.42,41375361.82,0.016528
42305,COF,2015-02-03,75.51,41981370.21,0.014647
42306,COF,2015-02-04,75.3,41864616.3,-0.002781
42307,COF,2015-02-05,75.78,42131482.38,0.010359
42308,COF,2015-02-06,76.22,42376109.62,0.005806
42309,COF,2015-02-09,76.72,42654095.12,0.00656
42310,COF,2015-02-10,77.06,42843125.26,0.004432
42311,COF,2015-02-11,77.32,42987677.72,0.003374
42312,COF,2015-02-12,79.29,44082940.59,0.025479
42313,COF,2015-02-13,78.88,43854992.48,-0.005171
42314,COF,2015-02-17,80.0,44477680.0,0.014199
42315,COF,2015-02-18,79.34,44110739.14,-0.00825
42316,COF,2015-02-19,79.42,44155216.82,0.001008
42317,COF,2015-02-20,80.39,44694508.69,0.012214
42318,COF,2015-02-23,80.06,44511038.26,-0.004105
42319,COF,2015-02-24,80.5,44755665.5,0.005496
42320,COF,2015-02-25,79.66,44288649.86,-0.010435
42321,COF,2015-02-26,79.15,44005104.65,-0.006402
42322,COF,2015-02-27,78.71,43415727.61,-0.005559
42323,COF,2015-03-02,79.15,43658427.65,0.00559
42324,COF,2015-03-03,79.14,43652911.74,-0.000126
42325,COF,2015-03-04,78.65,43382632.15,-0.006192
42326,COF,2015-03-05,78.89,43515013.99,0.003051
42327,COF,2015-03-06,78.98,43564657.18,0.001141
42328,COF,2015-03-09,79.84,44039025.44,0.010889
42329,COF,2015-03-10,77.72,42869652.52,-0.026553
42330,COF,2015-03-11,78.23,43150963.93,0.006562
42331,COF,2015-03-12,81.45,44927086.95,0.041161
42332,COF,2015-03-13,80.0,44127280.0,-0.017802
42333,COF,2015-03-16,81.47,44938118.77,0.018375
42334,COF,2015-03-17,81.5,44954666.5,0.000368
42335,COF,2015-03-18,81.62,45020857.42,0.001472
42336,COF,2015-03-19,80.62,44469266.42,-0.012252
42337,COF,2015-03-20,81.13,44750577.83,0.006326
42338,COF,2015-03-23,81.25,44816768.75,0.001479
42339,COF,2015-03-24,80.14,44204502.74,-0.013662
42340,COF,2015-03-25,78.84,43487434.44,-0.016222
42341,COF,2015-03-26,78.51,43305409.41,-0.004186
42342,COF,2015-03-27,78.65,43382632.15,0.001783
42343,COF,2015-03-30,79.2,43686007.2,0.006993
42344,COF,2015-03-31,78.82,43308279.56,-0.004798
42345,COF,2015-04-01,79.87,43885210.46,0.013321
42346,COF,2015-04-02,80.31,44126971.98,0.005509
42347,COF,2015-04-06,80.32,44132466.56,0.000125
42348,COF,2015-04-07,79.67,43775318.86,-0.008093
42349,COF,2015-04-08,80.19,44061037.02,0.006527
42350,COF,2015-04-09,80.36,44154444.88,0.00212
42351,COF,2015-04-10,80.61,44291809.38,0.003111
42352,COF,2015-04-13,81.09,44555549.22,0.005955
42353,COF,2015-04-14,81.35,44698408.3,0.003206
42354,COF,2015-04-15,82.82,45506111.56,0.01807
42355,COF,2015-04-16,83.01,45610508.58,0.002294
42356,COF,2015-04-17,82.0,45055556.0,-0.012167
42357,COF,2015-04-20,82.19,45159953.02,0.002317
42358,COF,2015-04-21,81.53,44797310.74,-0.00803
42359,COF,2015-04-22,81.76,44923686.08,0.002821
42360,COF,2015-04-23,81.86,44978631.88,0.001223
42361,COF,2015-04-24,80.44,44198401.52,-0.017347
42362,COF,2015-04-27,80.36,44154444.88,-0.000995
42363,COF,2015-04-28,80.73,44357744.34,0.004604
42364,COF,2015-04-29,80.36,44154444.88,-0.004583
42365,COF,2015-04-30,80.85,44423679.3,0.006098
42366,COF,2015-05-01,81.93,45017093.94,0.013358
42367,COF,2015-05-04,82.26,45198415.08,0.004028
42368,COF,2015-05-05,82.27,45203909.66,0.000122
42369,COF,2015-05-06,82.64,45407209.12,0.004497
42370,COF,2015-05-07,82.02,45066545.16,-0.002662
42371,COF,2015-05-08,83.16,45692927.28,0.013899
42372,COF,2015-05-11,83.31,45775345.98,0.001804
42373,COF,2015-05-12,82.91,45555562.78,-0.004801
42374,COF,2015-05-13,83.65,45962161.7,0.008925
42375,COF,2015-05-14,84.47,46412717.26,0.009803
42376,COF,2015-05-15,84.03,46170955.74,-0.005209
42377,COF,2015-05-18,84.56,46462168.48,0.006307
42378,COF,2015-05-19,85.41,46929207.78,0.010052
42379,COF,2015-05-20,85.35,46896240.3,-0.000702
42380,COF,2015-05-21,85.11,46764370.38,-0.002812
42381,COF,2015-05-22,85.02,46714919.16,-0.001057
42382,COF,2015-05-26,83.95,46126999.1,-0.012585
42383,COF,2015-05-27,84.63,46500630.54,0.0081
42384,COF,2015-05-28,84.3,46319309.4,-0.003899
42385,COF,2015-05-29,83.56,45659189.44,-0.008778
42386,COF,2015-06-01,83.39,45566297.36,-0.002034
42387,COF,2015-06-02,83.95,45872294.8,0.006715
42388,COF,2015-06-03,84.3,46063543.2,0.004169
42389,COF,2015-06-04,83.19,45457012.56,-0.013167
42390,COF,2015-06-05,84.94,46413254.56,0.021036
42391,COF,2015-06-08,84.94,46413254.56,0.0
42392,COF,2015-06-09,85.57,46757501.68,0.007417
42393,COF,2015-06-10,86.93,47500638.32,0.015893
42394,COF,2015-06-11,87.66,47899527.84,0.008398
42395,COF,2015-06-12,87.57,47850349.68,-0.001027
42396,COF,2015-06-15,87.49,47806635.76,-0.000914
42397,COF,2015-06-16,88.07,48123561.68,0.006629
42398,COF,2015-06-17,87.84,47997884.16,-0.002612
42399,COF,2015-06-18,88.52,48369452.48,0.007741
42400,COF,2015-06-19,88.42,48314810.08,-0.00113
42401,COF,2015-06-22,89.32,48806591.68,0.010179
42402,COF,2015-06-23,89.38,48839377.12,0.000672
42403,COF,2015-06-24,89.09,48680914.16,-0.003245
42404,COF,2015-06-25,88.85,48549772.4,-0.002694
42405,COF,2015-06-26,89.06,48664521.44,0.002364
42406,COF,2015-06-29,87.75,47948706.0,-0.014709
42407,COF,2015-06-30,87.97,48068919.28,0.002507
42408,COF,2015-07-01,88.6,48413166.4,0.007162
42409,COF,2015-07-02,88.32,48260167.68,-0.00316
42410,COF,2015-07-06,87.75,47948706.0,-0.006454
42411,COF,2015-07-07,87.89,48025205.36,0.001595
42412,COF,2015-07-08,86.21,47107213.04,-0.019115
42413,COF,2015-07-09,86.73,47391353.52,0.006032
42414,COF,2015-07-10,87.67,47904992.08,0.010838
42415,COF,2015-07-13,89.03,48648128.72,0.015513
42416,COF,2015-07-14,89.02,48642664.48,-0.000112
42417,COF,2015-07-15,90.1,49232802.4,0.012132
42418,COF,2015-07-16,90.96,49702727.04,0.009545
42419,COF,2015-07-17,90.99,49719119.76,0.00033
42420,COF,2015-07-20,91.44,49965010.56,0.004946
42421,COF,2015-07-21,91.71,50112545.04,0.002953
42422,COF,2015-07-22,91.65,50079759.6,-0.000654
42423,COF,2015-07-23,90.77,49598906.48,-0.009602
42424,COF,2015-07-24,78.86,43090996.64,-0.131211
42425,COF,2015-07-27,78.61,42954390.64,-0.00317
42426,COF,2015-07-28,78.65,42976247.6,0.000509
42427,COF,2015-07-29,79.62,43506278.88,0.012333
42428,COF,2015-07-30,81.5,44533556.0,0.023612
42429,COF,2015-07-31,81.3,44105250.0,-0.002454
42430,COF,2015-08-03,81.63,44284275.0,0.004059
42431,COF,2015-08-04,81.38,44148650.0,-0.003063
42432,COF,2015-08-05,81.86,44409050.0,0.005898
42433,COF,2015-08-06,81.14,44018450.0,-0.003909
42434,COF,2015-08-07,80.82,43844850.0,-0.003944
42435,COF,2015-08-10,82.49,44750825.0,0.020663
42436,COF,2015-08-11,80.87,43871975.0,-0.019639
