Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
44299,COP,2015-01-02,68.92,84834523.96,-0.002027
44300,COP,2015-01-05,65.64,80797129.32,-0.047591
44301,COP,2015-01-06,62.93,77461355.09,-0.041286
44302,COP,2015-01-07,63.35,77978338.55,0.006674
44303,COP,2015-01-08,64.93,79923181.09,0.024941
44304,COP,2015-01-09,64.92,79910871.96,-0.000154
44305,COP,2015-01-12,63.07,77633682.91,-0.028497
44306,COP,2015-01-13,62.44,76858207.72,-0.009989
44307,COP,2015-01-14,62.62,77079772.06,0.002883
44308,COP,2015-01-15,61.41,75590367.33,-0.019323
44309,COP,2015-01-16,63.08,77645992.04,0.027194
44310,COP,2015-01-20,63.19,77781392.47,0.001744
44311,COP,2015-01-21,64.54,79443125.02,0.021364
44312,COP,2015-01-22,65.3,80378618.9,0.011776
44313,COP,2015-01-23,64.65,79578525.45,-0.009954
44314,COP,2015-01-26,65.82,81018693.66,0.018097
44315,COP,2015-01-27,65.54,80674038.02,-0.004254
44316,COP,2015-01-28,62.58,77030535.54,-0.045163
44317,COP,2015-01-29,62.82,77325954.66,0.003835
44318,COP,2015-01-30,62.98,77522900.74,0.002547
44319,COP,2015-02-02,65.77,80957148.01,0.0443
44320,COP,2015-02-03,67.74,83382046.62,0.029953
44321,COP,2015-02-04,65.87,81080239.31,-0.027606
44322,COP,2015-02-05,67.57,83172791.41,0.025808
44323,COP,2015-02-06,67.49,83074318.37,-0.001184
44324,COP,2015-02-09,67.85,83517447.05,0.005334
44325,COP,2015-02-10,67.99,83689774.87,0.002063
44326,COP,2015-02-11,67.88,83554374.44,-0.001618
44327,COP,2015-02-12,68.04,83751320.52,0.013111
44328,COP,2015-02-13,69.88,86016200.44,0.027043
44329,COP,2015-02-17,69.47,85511526.11,-0.005867
44330,COP,2015-02-18,67.73,83369737.49,-0.025047
44331,COP,2015-02-19,67.42,82988154.46,-0.004577
44332,COP,2015-02-20,67.38,82938917.94,-0.000593
44333,COP,2015-02-23,66.92,82372697.96,-0.006827
44334,COP,2015-02-24,67.09,82581953.17,0.00254
44335,COP,2015-02-25,67.53,83123554.89,0.006558
44336,COP,2015-02-26,65.85,81055621.05,-0.024878
44337,COP,2015-02-27,65.2,80291322.4,-0.009871
44338,COP,2015-03-02,64.4,79306152.8,-0.01227
44339,COP,2015-03-03,64.78,79774108.36,0.005901
44340,COP,2015-03-04,64.25,79121433.5,-0.008182
44341,COP,2015-03-05,63.33,77988488.46,-0.014319
44342,COP,2015-03-06,62.79,77323498.98,-0.008527
44343,COP,2015-03-09,61.97,76313700.14,-0.013059
44344,COP,2015-03-10,60.87,74959091.94,-0.017751
44345,COP,2015-03-11,61.3,75488620.6,0.007064
44346,COP,2015-03-12,61.36,75562508.32,0.000979
44347,COP,2015-03-13,61.64,75907317.68,0.004563
44348,COP,2015-03-16,62.4,76843228.8,0.01233
44349,COP,2015-03-17,62.01,76362958.62,-0.00625
44350,COP,2015-03-18,63.64,78370241.68,0.026286
44351,COP,2015-03-19,62.76,77286555.12,-0.013828
44352,COP,2015-03-20,63.84,78616534.08,0.017208
44353,COP,2015-03-23,63.23,77865342.26,-0.009555
44354,COP,2015-03-24,62.55,77027948.1,-0.010754
44355,COP,2015-03-25,63.05,77643679.1,0.007994
44356,COP,2015-03-26,63.24,77877656.88,0.003013
44357,COP,2015-03-27,62.93,77495903.66,-0.004902
44358,COP,2015-03-30,64.0,78813568.0,0.017003
44359,COP,2015-03-31,62.26,76670824.12,-0.027188
44360,COP,2015-04-01,63.02,77606735.24,0.012207
44361,COP,2015-04-02,63.18,77803769.16,0.002539
44362,COP,2015-04-06,65.39,80525300.18,0.034979
44363,COP,2015-04-07,65.79,81017884.98,0.006117
44364,COP,2015-04-08,64.81,79811052.22,-0.014896
44365,COP,2015-04-09,67.0,82507954.0,0.033791
44366,COP,2015-04-10,66.53,81929166.86,-0.007015
44367,COP,2015-04-13,66.34,81695189.08,-0.002856
44368,COP,2015-04-14,68.36,84182742.32,0.030449
44369,COP,2015-04-15,69.4,85463462.8,0.015214
44370,COP,2015-04-16,69.01,84983192.62,-0.00562
44371,COP,2015-04-17,67.69,83357662.78,-0.019128
44372,COP,2015-04-20,68.61,84490607.82,0.013591
44373,COP,2015-04-21,68.02,83764045.24,-0.008599
44374,COP,2015-04-22,67.88,83591640.56,-0.002058
44375,COP,2015-04-23,68.26,84059596.12,0.005598
44376,COP,2015-04-24,67.51,83135999.62,-0.010987
44377,COP,2015-04-27,67.06,82581841.72,-0.006666
44378,COP,2015-04-28,67.74,83419235.88,0.01014
44379,COP,2015-04-29,68.06,83813303.72,0.004724
44380,COP,2015-04-30,67.92,83640899.04,-0.002057
44381,COP,2015-05-01,67.44,83049797.28,-0.007067
44382,COP,2015-05-04,67.02,82532583.24,-0.006228
44383,COP,2015-05-05,67.2,82754246.4,0.002686
44384,COP,2015-05-06,67.23,82791190.26,0.000446
44385,COP,2015-05-07,66.62,82039998.44,-0.009073
44386,COP,2015-05-08,67.17,82717302.54,0.008256
44387,COP,2015-05-11,65.28,80389839.36,-0.028138
44388,COP,2015-05-12,65.4,80537614.8,0.001838
44389,COP,2015-05-13,65.39,80525300.18,-0.000153
44390,COP,2015-05-14,65.42,80562244.04,0.000459
44391,COP,2015-05-15,65.76,80980941.12,0.005197
44392,COP,2015-05-18,66.04,81325750.48,0.004258
44393,COP,2015-05-19,65.12,80192805.44,-0.013931
44394,COP,2015-05-20,64.78,79774108.36,0.005989
44395,COP,2015-05-21,65.58,80759277.96,0.012349
44396,COP,2015-05-22,65.11,80180490.82,-0.007167
44397,COP,2015-05-26,63.84,78616534.08,-0.019505
44398,COP,2015-05-27,63.82,78591904.84,-0.000313
44399,COP,2015-05-28,63.86,78641163.32,0.000627
44400,COP,2015-05-29,63.68,78514064.96,-0.002819
44401,COP,2015-06-01,63.61,78427758.67,-0.001099
44402,COP,2015-06-02,64.07,78994914.29,0.007232
44403,COP,2015-06-03,63.8,78662018.6,-0.004214
44404,COP,2015-06-04,63.0,77675661.0,-0.012539
44405,COP,2015-06-05,63.04,77724978.88,0.000635
44406,COP,2015-06-08,63.43,78205828.21,0.006187
44407,COP,2015-06-09,63.06,77749637.82,-0.005833
44408,COP,2015-06-10,64.02,78933266.94,0.015224
44409,COP,2015-06-11,64.03,78945596.41,0.000156
44410,COP,2015-06-12,63.51,78304463.97,-0.008121
44411,COP,2015-06-15,63.27,78008556.69,-0.003779
44412,COP,2015-06-16,63.43,78205828.21,0.002529
44413,COP,2015-06-17,63.09,77786626.23,-0.00536
44414,COP,2015-06-18,62.93,77589354.71,-0.002536
44415,COP,2015-06-19,62.35,76874245.45,-0.009217
44416,COP,2015-06-22,62.58,77157823.26,0.003689
44417,COP,2015-06-23,63.17,77885261.99,0.009428
44418,COP,2015-06-24,62.83,77466060.01,-0.005382
44419,COP,2015-06-25,62.22,76713962.34,-0.009709
44420,COP,2015-06-26,62.18,76664644.46,-0.000643
