Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
46313,COST,2015-01-02,141.61,62379771.44,-0.000988
46314,COST,2015-01-05,140.0,61670560.0,-0.011369
46315,COST,2015-01-06,141.85,62485492.4,0.013214
46316,COST,2015-01-07,144.32,63573537.28,0.017413
46317,COST,2015-01-08,145.56,64119762.24,0.008592
46318,COST,2015-01-09,143.32,63133033.28,-0.015389
46319,COST,2015-01-12,142.52,62780630.08,-0.005582
46320,COST,2015-01-13,141.09,62150709.36,-0.010034
46321,COST,2015-01-14,139.31,61366612.24,-0.012616
46322,COST,2015-01-15,139.31,61366612.24,0.0
46323,COST,2015-01-16,139.72,61547218.88,0.002943
46324,COST,2015-01-20,139.38,61397447.52,-0.002433
46325,COST,2015-01-21,139.14,61291726.56,-0.001722
46326,COST,2015-01-22,141.27,62230000.08,0.015308
46327,COST,2015-01-23,142.05,62573593.2,0.005521
46328,COST,2015-01-26,142.905,62950224.12,0.006019
46329,COST,2015-01-27,140.99,62106658.96,-0.013401
46330,COST,2015-01-28,139.62,61503168.48,-0.009717
46331,COST,2015-01-29,140.64,61952482.56,0.007306
46332,COST,2015-01-30,142.99,62987666.96,0.016709
46333,COST,2015-02-02,146.0,64313584.0,0.02105
46334,COST,2015-02-03,153.75,67727490.0,0.053082
46335,COST,2015-02-04,155.92,68683383.68,0.014114
46336,COST,2015-02-05,149.09,65674741.36,-0.011737
46337,COST,2015-02-06,148.7,65502944.8,-0.002616
46338,COST,2015-02-09,147.54,64991960.16,-0.007801
46339,COST,2015-02-10,148.22,65291502.88,0.004609
46340,COST,2015-02-11,147.46,64956719.84,-0.002732
46341,COST,2015-02-12,147.76,65088871.04,0.002034
46342,COST,2015-02-13,147.1,64750183.8,-0.004467
46343,COST,2015-02-17,147.53,64939460.34,0.002923
46344,COST,2015-02-18,147.23,64807406.94,-0.002033
46345,COST,2015-02-19,146.665,64558706.37,-0.003838
46346,COST,2015-02-20,147.535,64941661.23,0.005932
46347,COST,2015-02-23,148.39,65318013.42,0.005795
46348,COST,2015-02-24,148.21,65238781.38,-0.001213
