Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
48327,CRM,2015-01-02,59.24,37380440.0,-0.00118
48328,CRM,2015-01-05,58.17,36705270.0,-0.018062
48329,CRM,2015-01-06,57.2,36093200.0,-0.016675
48330,CRM,2015-01-07,56.93,35922830.0,-0.00472
48331,CRM,2015-01-08,58.59,36970290.0,0.029159
48332,CRM,2015-01-09,58.16,36698960.0,-0.007339
48333,CRM,2015-01-12,57.73,36427630.0,-0.007393
48334,CRM,2015-01-13,57.97,36579070.0,0.004157
48335,CRM,2015-01-14,57.25,36124750.0,-0.01242
48336,CRM,2015-01-15,55.11,34774410.0,-0.03738
48337,CRM,2015-01-16,56.64,35739840.0,0.027763
48338,CRM,2015-01-20,57.29,36149990.0,0.011476
48339,CRM,2015-01-21,57.71,36415010.0,0.007331
48340,CRM,2015-01-22,58.0,36598000.0,0.005025
48341,CRM,2015-01-23,58.62,36989220.0,0.01069
48342,CRM,2015-01-26,59.78,37721180.0,0.019788
48343,CRM,2015-01-27,57.79,36465490.0,-0.033289
48344,CRM,2015-01-28,56.35,35556850.0,-0.024918
48345,CRM,2015-01-29,58.1,36661100.0,0.031056
48346,CRM,2015-01-30,56.45,35619950.0,-0.028399
48347,CRM,2015-02-02,57.28,36143680.0,0.014703
48348,CRM,2015-02-03,58.61,36982910.0,0.023219
48349,CRM,2015-02-04,58.99,37222690.0,0.006484
48350,CRM,2015-02-05,59.26,37393060.0,0.004577
48351,CRM,2015-02-06,59.17,37336270.0,-0.001519
48352,CRM,2015-02-09,57.98,36585380.0,-0.020112
48353,CRM,2015-02-10,58.79,37096490.0,0.01397
48354,CRM,2015-02-11,58.8,37102800.0,0.00017
48355,CRM,2015-02-12,61.26,38655060.0,0.041837
48356,CRM,2015-02-13,62.85,39658350.0,0.025955
48357,CRM,2015-02-17,62.07,39166170.0,-0.012411
48358,CRM,2015-02-18,63.0,39753000.0,0.014983
48359,CRM,2015-02-19,62.81,39633110.0,-0.003016
48360,CRM,2015-02-20,63.74,40219940.0,0.014807
48361,CRM,2015-02-23,62.58,39487980.0,-0.018199
48362,CRM,2015-02-24,61.93,39077830.0,-0.010387
48363,CRM,2015-02-25,62.87,39670970.0,0.015178
48364,CRM,2015-02-26,70.24,44321440.0,0.117226
48365,CRM,2015-02-27,69.38,43778780.0,-0.012244
48366,CRM,2015-03-02,68.46,43198260.0,-0.01326
48367,CRM,2015-03-03,66.95,42245450.0,-0.022057
48368,CRM,2015-03-04,64.88,40939280.0,-0.030919
48369,CRM,2015-03-05,65.59,41387290.0,0.010943
48370,CRM,2015-03-06,64.56,40737360.0,-0.015704
48371,CRM,2015-03-09,65.48,41317880.0,0.01425
48372,CRM,2015-03-10,63.76,40232560.0,-0.026268
48373,CRM,2015-03-11,63.68,40182080.0,-0.001255
48374,CRM,2015-03-12,64.95,40983450.0,0.019943
48375,CRM,2015-03-13,64.6,40762600.0,-0.005389
48376,CRM,2015-03-16,66.43,41917330.0,0.028328
48377,CRM,2015-03-17,67.55,42624050.0,0.01686
48378,CRM,2015-03-18,68.55,43255050.0,0.014804
48379,CRM,2015-03-19,68.88,43463280.0,0.004814
48380,CRM,2015-03-20,67.69,42712390.0,-0.017276
48381,CRM,2015-03-23,67.66,42693460.0,-0.000443
48382,CRM,2015-03-24,67.37,42510470.0,-0.004286
48383,CRM,2015-03-25,65.78,41507180.0,-0.023601
48384,CRM,2015-03-26,65.99,41639690.0,0.003192
48385,CRM,2015-03-27,66.55,41993050.0,0.008486
48386,CRM,2015-03-30,66.85,42182350.0,0.004508
48387,CRM,2015-03-31,66.81,42157110.0,-0.000598
48388,CRM,2015-04-01,66.08,41696480.0,-0.010927
48389,CRM,2015-04-02,66.68,42075080.0,0.00908
48390,CRM,2015-04-06,67.94,42870140.0,0.018896
48391,CRM,2015-04-07,68.2,43034200.0,0.003827
48392,CRM,2015-04-08,68.21,43040510.0,0.000147
48393,CRM,2015-04-09,67.74,42743940.0,-0.00689
48394,CRM,2015-04-10,67.64,42680840.0,-0.001476
48395,CRM,2015-04-13,67.08,42327480.0,-0.008279
48396,CRM,2015-04-14,66.91,42220210.0,-0.002534
48397,CRM,2015-04-15,67.21,42409510.0,0.004484
48398,CRM,2015-04-16,67.91,42851210.0,0.010415
48399,CRM,2015-04-17,65.81,41526110.0,-0.030923
48400,CRM,2015-04-20,66.9,42213900.0,0.016563
48401,CRM,2015-04-21,67.38,42516780.0,0.007175
48402,CRM,2015-04-22,67.71,42725010.0,0.004898
48403,CRM,2015-04-23,68.47,43204570.0,0.011224
48404,CRM,2015-04-24,67.83,42800730.0,-0.009347
48405,CRM,2015-04-27,67.84,42807040.0,0.000147
48406,CRM,2015-04-28,66.89,42207590.0,-0.014004
48407,CRM,2015-04-29,74.65,47104150.0,0.116011
48408,CRM,2015-04-30,72.82,47737587.92,-0.024514
48409,CRM,2015-05-01,73.36,48091588.16,0.007416
48410,CRM,2015-05-04,71.6,46937809.6,-0.023991
48411,CRM,2015-05-05,72.75,47691699.0,0.016061
48412,CRM,2015-05-06,73.79,48373477.24,0.014296
48413,CRM,2015-05-07,74.52,48852033.12,0.009893
48414,CRM,2015-05-08,72.4,47462254.4,-0.028449
48415,CRM,2015-05-11,71.2,46675587.2,-0.016575
48416,CRM,2015-05-12,71.77,47049254.12,0.008006
48417,CRM,2015-05-13,71.79,47062365.24,0.000279
48418,CRM,2015-05-14,72.88,47776921.28,0.015183
48419,CRM,2015-05-15,72.4,47462254.4,-0.006586
48420,CRM,2015-05-18,72.8,47724476.8,0.005525
48421,CRM,2015-05-19,71.48,46859142.88,-0.018132
48422,CRM,2015-05-20,70.16,45993808.96,-0.018467
48423,CRM,2015-05-21,72.91,47796587.96,0.039196
48424,CRM,2015-05-22,75.01,49173255.56,0.028803
48425,CRM,2015-05-26,73.57,48229254.92,-0.019197
48426,CRM,2015-05-27,73.95,48478366.2,0.005165
48427,CRM,2015-05-28,72.68,47645810.08,-0.017174
48428,CRM,2015-05-29,72.75,47691699.0,0.000963
48429,CRM,2015-06-01,73.1,47921143.6,0.004811
48430,CRM,2015-06-02,72.9,47790032.4,-0.002736
48431,CRM,2015-06-03,73.47,48163699.32,0.007819
48432,CRM,2015-06-04,72.21,47337698.76,-0.01715
48433,CRM,2015-06-05,73.55,48216143.8,0.018557
48434,CRM,2015-06-08,71.84,47095143.04,-0.023249
48435,CRM,2015-06-09,71.76,47042698.56,-0.001114
48436,CRM,2015-06-10,73.03,47875254.68,0.017698
48437,CRM,2015-06-11,72.4,47462254.4,-0.008627
48438,CRM,2015-06-12,71.77,47049254.12,-0.008702
48439,CRM,2015-06-15,72.56,47567143.36,0.011007
48440,CRM,2015-06-16,73.4,48117810.4,0.011577
48441,CRM,2015-06-17,74.42,48786477.52,0.013896
48442,CRM,2015-06-18,75.71,49632144.76,0.017334
48443,CRM,2015-06-19,75.0,49166700.0,-0.009378
48444,CRM,2015-06-22,74.78,49022477.68,-0.002933
48445,CRM,2015-06-23,74.2,48642255.2,-0.007756
48446,CRM,2015-06-24,73.5,48183366.0,-0.009434
48447,CRM,2015-06-25,73.61,48255477.16,0.001497
48448,CRM,2015-06-26,72.34,47422921.04,-0.017253
48449,CRM,2015-06-29,70.0,45888920.0,-0.032347
48450,CRM,2015-06-30,69.63,45646364.28,-0.005286
48451,CRM,2015-07-01,70.54,46242920.24,0.013069
48452,CRM,2015-07-02,70.42,46164253.52,-0.001701
48453,CRM,2015-07-06,69.16,45338252.96,-0.017893
48454,CRM,2015-07-07,70.26,46059364.56,0.015905
48455,CRM,2015-07-08,69.39,45489030.84,-0.012383
48456,CRM,2015-07-09,69.96,45862697.76,0.008214
48457,CRM,2015-07-10,71.14,46636253.84,0.016867
48458,CRM,2015-07-13,71.05,46577253.8,-0.001265
48459,CRM,2015-07-14,71.79,47062365.24,0.010415
48460,CRM,2015-07-15,71.36,46780476.16,-0.00599
48461,CRM,2015-07-16,72.42,47475365.52,0.014854
48462,CRM,2015-07-17,72.81,47731032.36,0.005385
48463,CRM,2015-07-20,72.77,47704810.12,-0.000549
48464,CRM,2015-07-21,73.83,48399699.48,0.014566
48465,CRM,2015-07-22,73.87,48425921.72,0.000542
48466,CRM,2015-07-23,72.21,47337698.76,-0.022472
48467,CRM,2015-07-24,73.92,48458699.52,0.023681
48468,CRM,2015-07-27,72.46,47501587.76,-0.019751
48469,CRM,2015-07-28,73.79,48373477.24,0.018355
48470,CRM,2015-07-29,73.88,48432477.28,0.00122
48471,CRM,2015-07-30,73.36,48091588.16,-0.007038
48472,CRM,2015-07-31,73.3,48052254.8,-0.000818
48473,CRM,2015-08-03,72.44,47488476.64,-0.011733
48474,CRM,2015-08-04,71.89,47127920.84,-0.007592
48475,CRM,2015-08-05,72.53,47547476.68,0.008902
48476,CRM,2015-08-06,70.43,46170809.08,-0.028954
48477,CRM,2015-08-07,70.41,46157697.96,-0.000284
48478,CRM,2015-08-10,71.27,46721476.12,0.012214
48479,CRM,2015-08-11,71.63,46957476.28,0.005051
48480,CRM,2015-08-12,71.04,46570698.24,-0.008237
48481,CRM,2015-08-13,71.4,46806698.4,0.005068
48482,CRM,2015-08-14,72.99,47849032.44,0.022269
48483,CRM,2015-08-17,74.04,48537366.24,0.014386
48484,CRM,2015-08-18,72.58,47580254.48,-0.019719
48485,CRM,2015-08-19,72.04,47226254.24,-0.00744
48486,CRM,2015-08-20,67.82,44459807.92,-0.058579
48487,CRM,2015-08-21,69.15,45331697.4,0.019611
48488,CRM,2015-08-24,65.17,42722584.52,-0.057556
48489,CRM,2015-08-25,65.18,42729140.08,0.000153
48490,CRM,2015-08-26,68.52,44918697.12,0.051243
48491,CRM,2015-08-27,69.94,45849586.64,0.020724
48492,CRM,2015-08-28,70.25,46052809.0,0.004432
48493,CRM,2015-08-31,69.36,45469364.16,-0.012669
48494,CRM,2015-09-01,66.63,43679696.28,-0.03936
48495,CRM,2015-09-02,67.98,44564696.88,0.020261
48496,CRM,2015-09-03,68.25,44741697.0,0.003972
48497,CRM,2015-09-04,67.13,44007474.28,-0.01641
48498,CRM,2015-09-08,70.76,46387142.56,0.054074
48499,CRM,2015-09-09,69.03,45253030.68,-0.024449
48500,CRM,2015-09-10,69.74,45718475.44,0.010285
48501,CRM,2015-09-11,70.05,45921697.8,0.004445
48502,CRM,2015-09-14,69.89,45816808.84,-0.002284
48503,CRM,2015-09-15,71.27,46721476.12,0.019745
48504,CRM,2015-09-16,71.88,47121365.28,0.008559
48505,CRM,2015-09-17,72.32,47409809.92,0.006121
48506,CRM,2015-09-18,71.4,46806698.4,-0.012721
48507,CRM,2015-09-21,72.14,47291809.84,0.010364
48508,CRM,2015-09-22,71.65,46970587.4,-0.006792
48509,CRM,2015-09-23,71.99,47193476.44,0.004745
48510,CRM,2015-09-24,71.71,47009920.76,-0.003889
48511,CRM,2015-09-25,72.44,47488476.64,0.01018
48512,CRM,2015-09-28,69.04,45259586.24,-0.046935
48513,CRM,2015-09-29,68.38,44826919.28,-0.00956
48514,CRM,2015-09-30,69.43,45515253.08,0.015355
48515,CRM,2015-10-01,72.91,47796587.96,0.050122
48516,CRM,2015-10-02,73.93,48465255.08,0.01399
48517,CRM,2015-10-05,75.27,49343700.12,0.018125
48518,CRM,2015-10-06,74.42,48786477.52,-0.011293
48519,CRM,2015-10-07,75.0,49166700.0,0.007794
48520,CRM,2015-10-08,75.09,49225700.04,0.0012
48521,CRM,2015-10-09,75.25,49330589.0,0.002131
48522,CRM,2015-10-12,75.88,49743589.28,0.008372
48523,CRM,2015-10-13,76.63,50235256.28,0.009884
48524,CRM,2015-10-14,75.58,49546922.48,-0.013702
48525,CRM,2015-10-15,77.7,50936701.2,0.02805
48526,CRM,2015-10-16,78.77,51638146.12,0.013771
48527,CRM,2015-10-19,77.93,51087479.08,-0.010664
48528,CRM,2015-10-20,77.53,50825256.68,-0.005133
48529,CRM,2015-10-21,75.83,49710811.48,-0.021927
48530,CRM,2015-10-22,77.37,50720367.72,0.020309
48531,CRM,2015-10-23,78.56,51500479.36,0.015381
48532,CRM,2015-10-26,78.22,51277590.32,-0.004328
48533,CRM,2015-10-27,77.75,50969479.0,-0.006009
48534,CRM,2015-10-28,78.53,51480812.68,0.010032
48535,CRM,2015-10-29,78.14,51225145.84,-0.004966
48536,CRM,2015-10-30,77.71,50943256.76,-0.005503
48537,CRM,2015-11-02,79.2,51920035.2,0.019174
48538,CRM,2015-11-03,78.63,51546368.28,-0.007197
