Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
50341,CSCO,2015-01-02,27.61,141186164.68,-0.000539
50342,CSCO,2015-01-05,27.06,138373691.28,-0.01992
50343,CSCO,2015-01-06,27.05,138322555.4,-0.00037
50344,CSCO,2015-01-07,27.3,139600952.4,0.009242
50345,CSCO,2015-01-08,27.51,140674805.88,0.007692
50346,CSCO,2015-01-09,27.79,142106610.52,0.010178
50347,CSCO,2015-01-12,28.05,143436143.4,0.009356
50348,CSCO,2015-01-13,28.095,143666254.86,0.001604
50349,CSCO,2015-01-14,27.92,142771376.96,-0.006229
50350,CSCO,2015-01-15,27.41,140163447.08,-0.018266
50351,CSCO,2015-01-16,27.68,141544115.84,0.00985
50352,CSCO,2015-01-20,28.07,143538415.16,0.01409
50353,CSCO,2015-01-21,27.84,142362289.92,-0.008194
50354,CSCO,2015-01-22,28.5,145737258.0,0.023707
50355,CSCO,2015-01-23,28.21,144068470.0,-0.010175
50356,CSCO,2015-01-26,27.97,142842790.0,-0.008508
50357,CSCO,2015-01-27,26.9,137378300.0,-0.038255
50358,CSCO,2015-01-28,26.805,136893135.0,-0.003532
50359,CSCO,2015-01-29,27.22,139012540.0,0.015482
50360,CSCO,2015-01-30,26.365,134646055.0,-0.031411
50361,CSCO,2015-02-02,26.83,137020810.0,0.017637
50362,CSCO,2015-02-03,27.12,138501840.0,0.010809
50363,CSCO,2015-02-04,26.69,136305830.0,-0.015855
50364,CSCO,2015-02-05,27.26,139216820.0,0.021356
50365,CSCO,2015-02-06,27.24,139114680.0,-0.000734
50366,CSCO,2015-02-09,27.12,138501840.0,-0.004405
50367,CSCO,2015-02-10,27.49,140391430.0,0.013643
50368,CSCO,2015-02-11,26.93,137531510.0,-0.020371
50369,CSCO,2015-02-12,29.46,150452220.0,0.093947
50370,CSCO,2015-02-13,29.43,150232468.77,-0.001018
50371,CSCO,2015-02-17,29.31,149619900.09,-0.004077
50372,CSCO,2015-02-18,29.49,150538753.11,0.006141
50373,CSCO,2015-02-19,29.31,149619900.09,-0.006104
50374,CSCO,2015-02-20,29.61,151151321.79,0.010235
50375,CSCO,2015-02-23,29.63,151253416.57,0.000675
50376,CSCO,2015-02-24,29.63,151253416.57,0.0
50377,CSCO,2015-02-25,29.49,150538753.11,-0.004725
50378,CSCO,2015-02-26,29.91,152682743.49,0.014242
50379,CSCO,2015-02-27,29.51,150640847.89,-0.013373
50380,CSCO,2015-03-02,30.19,154112070.41,0.023043
50381,CSCO,2015-03-03,29.54,150793990.06,-0.02153
50382,CSCO,2015-03-04,29.33,149721994.87,-0.007109
50383,CSCO,2015-03-05,29.3,149568852.7,-0.001023
50384,CSCO,2015-03-06,28.925,147654575.58,-0.012799
50385,CSCO,2015-03-09,29.36,149875137.04,0.015039
50386,CSCO,2015-03-10,28.66,146301819.74,-0.023842
50387,CSCO,2015-03-11,28.26,144259924.14,-0.013957
50388,CSCO,2015-03-12,28.24,144157829.36,-0.000708
50389,CSCO,2015-03-13,27.94,142626407.66,-0.010623
50390,CSCO,2015-03-16,28.3,144464113.7,0.012885
50391,CSCO,2015-03-17,28.15,143698402.85,-0.0053
50392,CSCO,2015-03-18,28.15,143698402.85,0.0
50393,CSCO,2015-03-19,28.26,144259924.14,0.003908
50394,CSCO,2015-03-20,28.44,145178777.16,0.006369
50395,CSCO,2015-03-23,28.405,145000111.3,-0.001231
50396,CSCO,2015-03-24,28.0,142932692.0,-0.014258
50397,CSCO,2015-03-25,27.46,140176132.94,-0.019286
50398,CSCO,2015-03-26,27.09,138287379.51,-0.013474
50399,CSCO,2015-03-27,27.13,138491569.07,0.001477
50400,CSCO,2015-03-30,27.65,141146033.35,0.019167
50401,CSCO,2015-03-31,27.525,140507940.98,0.003074
50402,CSCO,2015-04-01,27.25,139104137.75,-0.009991
50403,CSCO,2015-04-02,27.13,138491569.07,-0.004404
50404,CSCO,2015-04-06,27.22,138950995.58,0.003317
50405,CSCO,2015-04-07,27.39,139818801.21,0.006245
50406,CSCO,2015-04-08,27.55,140635559.45,0.005842
50407,CSCO,2015-04-09,27.625,141018414.88,0.002722
50408,CSCO,2015-04-10,28.04,143136881.56,0.015023
50409,CSCO,2015-04-13,27.98,142830597.22,-0.00214
50410,CSCO,2015-04-14,27.81,141962791.59,-0.006076
50411,CSCO,2015-04-15,28.25,144208876.75,0.015822
50412,CSCO,2015-04-16,28.6,145995535.4,0.012389
50413,CSCO,2015-04-17,27.915,142498789.19,-0.023951
50414,CSCO,2015-04-20,28.48,145382966.72,0.02024
50415,CSCO,2015-04-21,28.69,146454961.91,0.007374
50416,CSCO,2015-04-22,28.62,146097630.18,-0.00244
50417,CSCO,2015-04-23,28.675,146378390.83,0.001922
50418,CSCO,2015-04-24,28.82,146780260.0,0.005057
50419,CSCO,2015-04-27,28.89,147136770.0,0.002429
50420,CSCO,2015-04-28,29.32,149326760.0,0.014884
50421,CSCO,2015-04-29,29.05,147951650.0,-0.009209
50422,CSCO,2015-04-30,28.83,146831190.0,-0.007573
50423,CSCO,2015-05-01,29.13,148359090.0,0.010406
50424,CSCO,2015-05-04,29.17,148562810.0,0.001373
50425,CSCO,2015-05-05,28.89,147136770.0,-0.009599
50426,CSCO,2015-05-06,28.97,147544210.0,0.002769
50427,CSCO,2015-05-07,28.805,146703865.0,-0.005696
50428,CSCO,2015-05-08,29.23,148868390.0,0.014754
50429,CSCO,2015-05-11,29.21,148766530.0,-0.000684
50430,CSCO,2015-05-12,29.23,148868390.0,0.000685
50431,CSCO,2015-05-13,29.35,149479550.0,0.004105
50432,CSCO,2015-05-14,29.05,147951650.0,-0.010221
50433,CSCO,2015-05-15,29.55,150288019.95,0.017212
50434,CSCO,2015-05-18,29.76,151356056.64,0.007107
50435,CSCO,2015-05-19,29.735,151228909.42,-0.00084
50436,CSCO,2015-05-20,29.62,150644032.18,-0.003867
50437,CSCO,2015-05-21,29.43,149677713.27,-0.006415
50438,CSCO,2015-05-22,29.26,148813112.14,-0.005776
50439,CSCO,2015-05-26,28.95,147236486.55,-0.010595
50440,CSCO,2015-05-27,29.31,149067406.59,0.012435
50441,CSCO,2015-05-28,29.35,149270842.15,0.001365
50442,CSCO,2015-05-29,29.31,149067406.59,-0.001363
50443,CSCO,2015-06-01,29.18,148406241.02,-0.004435
50444,CSCO,2015-06-02,29.08,147897652.12,-0.003427
50445,CSCO,2015-06-03,29.09,147948511.01,0.000344
50446,CSCO,2015-06-04,28.61,145507284.29,-0.016501
50447,CSCO,2015-06-05,28.58,145354707.62,-0.001049
50448,CSCO,2015-06-08,28.275,143803511.48,-0.010672
50449,CSCO,2015-06-09,28.24,143625505.36,-0.001238
50450,CSCO,2015-06-10,28.66,145761578.74,0.014873
50451,CSCO,2015-06-11,28.86,146778756.54,0.006978
50452,CSCO,2015-06-12,28.54,145151272.06,-0.011088
50453,CSCO,2015-06-15,28.48,144846118.72,-0.002102
50454,CSCO,2015-06-16,28.71,146015873.19,0.008076
50455,CSCO,2015-06-17,28.93,147134768.77,0.007663
50456,CSCO,2015-06-18,29.21,148558817.69,0.009679
50457,CSCO,2015-06-19,29.03,147643357.67,-0.006162
50458,CSCO,2015-06-22,28.94,147185627.66,-0.0031
50459,CSCO,2015-06-23,28.785,146397314.87,-0.005356
50460,CSCO,2015-06-24,28.51,144998695.39,-0.009554
50461,CSCO,2015-06-25,28.4,144439247.6,-0.003858
50462,CSCO,2015-06-26,28.28,143828940.92,-0.004225
50463,CSCO,2015-06-29,27.54,140065383.06,-0.026167
50464,CSCO,2015-06-30,27.46,139658511.94,-0.002905
50465,CSCO,2015-07-01,27.35,139099064.15,0.003642
50466,CSCO,2015-07-02,27.33,138997346.37,-0.000731
50467,CSCO,2015-07-06,27.22,138437898.58,-0.004025
50468,CSCO,2015-07-07,27.36,139149923.04,0.005143
50469,CSCO,2015-07-08,26.99,137268144.11,-0.013523
50470,CSCO,2015-07-09,26.91,136861272.99,-0.002964
50471,CSCO,2015-07-10,27.28,138743051.92,0.01375
50472,CSCO,2015-07-13,27.79,141336855.31,0.018695
50473,CSCO,2015-07-14,28.03,142557468.67,0.008636
50474,CSCO,2015-07-15,28.11,142964339.79,0.002854
50475,CSCO,2015-07-16,28.32,144032376.48,0.007471
50476,CSCO,2015-07-17,28.18,143320352.02,-0.004944
50477,CSCO,2015-07-20,28.03,142557468.67,-0.005323
50478,CSCO,2015-07-21,27.84,141591149.76,-0.006778
50479,CSCO,2015-07-22,27.53,140014524.17,-0.011135
50480,CSCO,2015-07-23,28.01,142455750.89,0.017436
50481,CSCO,2015-07-24,28.4,144401646.0,0.013924
50482,CSCO,2015-07-27,28.21,143435578.65,-0.00669
50483,CSCO,2015-07-28,28.21,143435578.65,0.0
50484,CSCO,2015-07-29,28.4,144401646.0,0.006735
50485,CSCO,2015-07-30,28.3,143893189.5,-0.003521
50486,CSCO,2015-07-31,28.42,144503337.3,0.00424
50487,CSCO,2015-08-03,28.36,144198263.4,-0.002111
50488,CSCO,2015-08-04,28.03,142520356.95,-0.011636
50489,CSCO,2015-08-05,28.27,143740652.55,0.008562
50490,CSCO,2015-08-06,28.21,143435578.65,-0.002122
50491,CSCO,2015-08-07,28.15,143130504.75,-0.002127
50492,CSCO,2015-08-10,28.59,145367713.35,0.015631
50493,CSCO,2015-08-11,28.02,142469511.3,-0.019937
50494,CSCO,2015-08-12,27.9,141859363.5,-0.004283
50495,CSCO,2015-08-13,28.7,145927015.5,0.028674
50496,CSCO,2015-08-14,29.03,147604921.95,0.011498
50497,CSCO,2015-08-17,28.825,146562586.13,-0.007062
50498,CSCO,2015-08-18,28.25,143638961.25,-0.019948
50499,CSCO,2015-08-19,27.8,141350907.0,-0.015929
50500,CSCO,2015-08-20,27.04,137486637.6,-0.027338
50501,CSCO,2015-08-21,26.47,134588435.55,-0.02108
50502,CSCO,2015-08-24,25.19,128080192.35,-0.048357
50503,CSCO,2015-08-25,24.62,125181990.3,-0.022628
50504,CSCO,2015-08-26,25.68,130571629.2,0.043054
50505,CSCO,2015-08-27,26.17,133063066.05,0.019081
50506,CSCO,2015-08-28,26.0,132198690.0,-0.006496
50507,CSCO,2015-08-31,25.88,131588542.2,-0.004615
50508,CSCO,2015-09-01,25.12,127724272.8,-0.029366
50509,CSCO,2015-09-02,25.65,130419092.25,0.021099
50510,CSCO,2015-09-03,25.9,131087488.7,0.009747
50511,CSCO,2015-09-04,25.52,129164197.36,-0.014672
50512,CSCO,2015-09-08,26.3,133112005.9,0.030564
50513,CSCO,2015-09-09,25.94,131289940.42,-0.013688
50514,CSCO,2015-09-10,26.26,132909554.18,0.012336
50515,CSCO,2015-09-11,26.02,131694843.86,-0.009139
50516,CSCO,2015-09-14,25.7,130075230.1,-0.012298
50517,CSCO,2015-09-15,25.98,131492392.14,0.010895
50518,CSCO,2015-09-16,26.07,131947908.51,0.003464
50519,CSCO,2015-09-17,25.88,130986262.84,-0.007288
50520,CSCO,2015-09-18,25.54,129265423.22,-0.013138
