Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
52355,CVS,2015-01-02,95.1,109021023.3,-0.012564
52356,CVS,2015-01-05,94.16,107943423.28,-0.009884
52357,CVS,2015-01-06,94.23,108023670.09,0.000743
52358,CVS,2015-01-07,95.93,109972521.19,0.018041
52359,CVS,2015-01-08,97.97,112311142.51,0.021266
52360,CVS,2015-01-09,97.92,112253823.36,-0.00051
52361,CVS,2015-01-12,97.2,111428427.6,-0.007353
52362,CVS,2015-01-13,97.24,111474282.92,0.000412
52363,CVS,2015-01-14,97.33,111577457.39,0.000926
52364,CVS,2015-01-15,97.17,111394036.11,-0.001644
52365,CVS,2015-01-16,98.74,113193857.42,0.016157
52366,CVS,2015-01-20,98.37,112769695.71,-0.000203
52367,CVS,2015-01-21,99.5,114065108.5,0.011487
52368,CVS,2015-01-22,100.28,114959287.24,0.007839
52369,CVS,2015-01-23,100.62,115349057.46,0.003391
52370,CVS,2015-01-26,101.01,115796146.83,0.003876
52371,CVS,2015-01-27,100.82,115578334.06,-0.001881
52372,CVS,2015-01-28,99.6,114179746.8,-0.012101
52373,CVS,2015-01-29,100.11,114764402.13,0.00512
52374,CVS,2015-01-30,98.16,112528955.28,-0.019479
52375,CVS,2015-02-02,99.11,113618019.13,0.009678
52376,CVS,2015-02-03,100.13,114787329.79,0.010292
52377,CVS,2015-02-04,100.46,115165636.18,0.003296
52378,CVS,2015-02-05,100.76,115509551.08,0.002986
52379,CVS,2015-02-06,100.61,115337593.63,-0.001489
52380,CVS,2015-02-09,99.56,114133891.48,-0.010436
52381,CVS,2015-02-10,101.68,116564223.44,0.021294
52382,CVS,2015-02-11,102.59,117607431.97,0.00895
52383,CVS,2015-02-12,103.0,118077449.0,0.003996
52384,CVS,2015-02-13,102.63,117653287.29,-0.003592
52385,CVS,2015-02-17,103.55,118707959.65,0.008964
52386,CVS,2015-02-18,104.1,119338470.3,0.005311
52387,CVS,2015-02-19,102.62,117641823.46,-0.014217
52388,CVS,2015-02-20,102.7,117733534.1,0.00078
52389,CVS,2015-02-23,103.26,118375508.58,0.005453
52390,CVS,2015-02-24,103.36,118490146.88,0.000968
52391,CVS,2015-02-25,103.44,118581857.52,0.000774
52392,CVS,2015-02-26,104.17,119418717.11,0.007057
52393,CVS,2015-02-27,103.87,116880029.11,-0.00288
52394,CVS,2015-03-02,104.19,117240110.07,0.003081
52395,CVS,2015-03-03,103.45,116407422.85,-0.007102
52396,CVS,2015-03-04,103.08,115991079.24,-0.003577
52397,CVS,2015-03-05,103.36,116306150.08,0.002716
52398,CVS,2015-03-06,101.9,114663280.7,-0.014125
52399,CVS,2015-03-09,102.5,115338432.5,0.005888
52400,CVS,2015-03-10,101.53,114246937.09,-0.009463
52401,CVS,2015-03-11,101.56,114280694.68,0.000295
52402,CVS,2015-03-12,102.96,115856048.88,0.013785
52403,CVS,2015-03-13,103.26,116193624.78,0.002914
52404,CVS,2015-03-16,104.39,117465160.67,0.010943
52405,CVS,2015-03-17,103.02,115923564.06,-0.013124
52406,CVS,2015-03-18,103.49,116452432.97,0.004562
52407,CVS,2015-03-19,103.34,116283645.02,-0.001449
52408,CVS,2015-03-20,103.86,116868776.58,0.005032
52409,CVS,2015-03-23,104.56,117656453.68,0.00674
52410,CVS,2015-03-24,104.49,117577685.97,-0.000669
52411,CVS,2015-03-25,102.73,115597240.69,-0.016844
52412,CVS,2015-03-26,101.99,114764553.47,-0.007203
52413,CVS,2015-03-27,102.5,115338432.5,0.005
52414,CVS,2015-03-30,103.83,116835018.99,0.012976
52415,CVS,2015-03-31,103.21,117170803.86,-0.005971
52416,CVS,2015-04-01,102.26,116092301.16,-0.009205
52417,CVS,2015-04-02,102.71,116603170.86,0.004401
52418,CVS,2015-04-06,103.43,117420562.38,0.00701
52419,CVS,2015-04-07,103.13,117079982.58,-0.002901
52420,CVS,2015-04-08,102.93,116852929.38,-0.001939
52421,CVS,2015-04-09,102.37,116217180.42,-0.005441
52422,CVS,2015-04-10,102.54,116410175.64,0.001661
52423,CVS,2015-04-13,102.14,115956069.24,-0.003901
52424,CVS,2015-04-14,102.11,115922011.26,-0.000294
52425,CVS,2015-04-15,101.73,115490610.18,-0.003721
52426,CVS,2015-04-16,101.17,114854861.22,-0.005505
52427,CVS,2015-04-17,100.39,113969353.74,-0.00771
52428,CVS,2015-04-20,101.28,114979740.48,0.008865
52429,CVS,2015-04-21,101.41,115127325.06,0.001284
52430,CVS,2015-04-22,101.23,114922977.18,0.001676
52431,CVS,2015-04-23,100.88,114525634.08,-0.003457
52432,CVS,2015-04-24,101.58,115320320.28,0.006939
52433,CVS,2015-04-27,101.22,114911624.52,-0.003544
52434,CVS,2015-04-28,101.97,115763074.02,0.00741
52435,CVS,2015-04-29,100.67,114287228.22,-0.012749
52436,CVS,2015-04-30,99.29,112720561.14,-0.013708
52437,CVS,2015-05-01,100.46,114048822.36,0.011784
52438,CVS,2015-05-04,100.16,113708242.56,-0.002986
52439,CVS,2015-05-05,98.74,112096164.84,-0.014177
52440,CVS,2015-05-06,98.87,112243749.42,0.001317
52441,CVS,2015-05-07,99.36,112800029.76,0.004956
52442,CVS,2015-05-08,100.66,114275875.56,0.013084
52443,CVS,2015-05-11,100.49,114082880.34,-0.001689
52444,CVS,2015-05-12,100.24,113799063.84,-0.002488
52445,CVS,2015-05-13,99.81,113310899.46,-0.00429
52446,CVS,2015-05-14,101.96,115751721.36,0.021541
52447,CVS,2015-05-15,102.07,115876600.62,0.001079
52448,CVS,2015-05-18,102.44,116296649.04,0.003625
52449,CVS,2015-05-19,102.32,116160417.12,-0.001171
52450,CVS,2015-05-20,101.27,114968387.82,-0.010262
52451,CVS,2015-05-21,103.69,117715731.54,0.023897
52452,CVS,2015-05-22,103.95,118010900.7,0.002507
52453,CVS,2015-05-26,102.85,116762108.1,-0.010582
52454,CVS,2015-05-27,103.48,117477325.68,0.006125
52455,CVS,2015-05-28,103.19,117148098.54,-0.002802
52456,CVS,2015-05-29,102.38,115518527.78,-0.00785
52457,CVS,2015-06-01,102.51,115665210.81,0.00127
52458,CVS,2015-06-02,101.83,114897945.73,-0.006633
52459,CVS,2015-06-03,101.91,114988212.21,0.000786
52460,CVS,2015-06-04,100.87,113814747.97,-0.010205
52461,CVS,2015-06-05,99.95,112776683.45,-0.009121
52462,CVS,2015-06-08,99.41,112167384.71,-0.005403
52463,CVS,2015-06-09,99.98,112810533.38,0.005734
52464,CVS,2015-06-10,102.13,115236445.03,0.021504
52465,CVS,2015-06-11,102.63,115800610.53,0.004896
52466,CVS,2015-06-12,102.22,115337994.82,-0.003995
52467,CVS,2015-06-15,102.58,115744193.98,0.003522
52468,CVS,2015-06-16,103.17,116409909.27,0.005752
52469,CVS,2015-06-17,103.82,117143324.42,0.0063
52470,CVS,2015-06-18,105.06,118542454.86,0.011944
52471,CVS,2015-06-19,105.47,119005070.57,0.003903
52472,CVS,2015-06-22,106.14,119761052.34,0.006353
52473,CVS,2015-06-23,106.47,120133401.57,0.003109
52474,CVS,2015-06-24,105.33,118847104.23,-0.010707
52475,CVS,2015-06-25,105.01,118486038.31,-0.003038
52476,CVS,2015-06-26,105.84,119422553.04,0.007904
52477,CVS,2015-06-29,104.81,118260372.11,-0.009732
52478,CVS,2015-06-30,104.88,118339355.28,0.000668
52479,CVS,2015-07-01,105.71,119275870.01,0.007914
52480,CVS,2015-07-02,105.55,119095337.05,-0.001514
52481,CVS,2015-07-06,104.81,118260372.11,-0.007011
52482,CVS,2015-07-07,106.38,120031851.78,0.014979
52483,CVS,2015-07-08,104.19,117560806.89,-0.020587
52484,CVS,2015-07-09,105.7,119264586.7,0.014493
52485,CVS,2015-07-10,107.44,121227882.64,0.016462
52486,CVS,2015-07-13,109.16,123168611.96,0.016009
52487,CVS,2015-07-14,109.82,123913310.42,0.006046
52488,CVS,2015-07-15,109.9,124003576.9,0.000728
52489,CVS,2015-07-16,110.54,124725708.74,0.005823
52490,CVS,2015-07-17,110.14,124274376.34,-0.003619
52491,CVS,2015-07-20,110.98,125222174.38,0.007627
52492,CVS,2015-07-21,110.06,124184109.86,-0.005136
52493,CVS,2015-07-22,110.98,125222174.38,0.008359
52494,CVS,2015-07-23,110.19,124330792.89,-0.007118
52495,CVS,2015-07-24,110.49,124669292.19,0.002723
52496,CVS,2015-07-27,109.77,123856893.87,-0.006516
52497,CVS,2015-07-28,111.64,125966872.84,0.017036
52498,CVS,2015-07-29,113.45,128009151.95,0.016213
52499,CVS,2015-07-30,112.94,127433703.14,-0.004495
52500,CVS,2015-07-31,112.47,126903387.57,-0.004162
52501,CVS,2015-08-03,112.82,127298303.42,0.003112
52502,CVS,2015-08-04,109.96,124071276.76,-0.02535
52503,CVS,2015-08-05,111.2,125470407.2,0.011277
52504,CVS,2015-08-06,108.12,121995147.72,-0.027698
52505,CVS,2015-08-07,107.74,121566381.94,-0.003515
52506,CVS,2015-08-10,108.62,122559313.22,0.008168
52507,CVS,2015-08-11,108.08,121950014.48,-0.004971
52508,CVS,2015-08-12,108.32,122220813.92,0.002221
52509,CVS,2015-08-13,107.67,121487398.77,-0.006001
52510,CVS,2015-08-14,107.67,121487398.77,0.0
52511,CVS,2015-08-17,108.74,122694712.94,0.009938
52512,CVS,2015-08-18,108.46,122378780.26,-0.002575
52513,CVS,2015-08-19,106.76,120460617.56,-0.015674
52514,CVS,2015-08-20,106.02,119625652.62,-0.006931
52515,CVS,2015-08-21,102.21,115326711.51,-0.035937
52516,CVS,2015-08-24,100.21,113070049.51,-0.019568
52517,CVS,2015-08-25,100.0,112833100.0,-0.002096
52518,CVS,2015-08-26,102.87,116071409.97,0.0287
52519,CVS,2015-08-27,105.2,118700421.2,0.02265
52520,CVS,2015-08-28,104.18,117549523.58,-0.009696
52521,CVS,2015-08-31,102.4,114123366.4,-0.017086
52522,CVS,2015-09-01,100.27,111749511.22,-0.020801
52523,CVS,2015-09-02,101.11,112685679.46,0.008377
52524,CVS,2015-09-03,101.59,113220632.74,0.004747
52525,CVS,2015-09-04,100.12,111582338.32,-0.01447
52526,CVS,2015-09-08,102.14,113833600.04,0.020176
52527,CVS,2015-09-09,100.23,111704931.78,-0.0187
52528,CVS,2015-09-10,100.8,112340188.8,0.005687
52529,CVS,2015-09-11,101.52,113142618.72,0.007143
52530,CVS,2015-09-14,100.16,111626917.76,-0.013396
52531,CVS,2015-09-15,101.6,113231777.6,0.014377
52532,CVS,2015-09-16,101.54,113164908.44,-0.000591
52533,CVS,2015-09-17,101.34,112942011.24,-0.00197
52534,CVS,2015-09-18,99.03,110367548.58,-0.022795
52535,CVS,2015-09-21,100.91,112462782.26,0.018984
52536,CVS,2015-09-22,100.03,111482034.58,-0.008721
52537,CVS,2015-09-23,100.63,112150726.18,0.005998
52538,CVS,2015-09-24,99.17,110523576.62,-0.014509
52539,CVS,2015-09-25,98.61,109899464.46,-0.005647
52540,CVS,2015-09-28,96.35,107380726.1,-0.022919
52541,CVS,2015-09-29,95.12,106009908.32,-0.012766
52542,CVS,2015-09-30,96.48,107525609.28,0.014298
52543,CVS,2015-10-01,96.91,108004838.26,0.004457
52544,CVS,2015-10-02,98.96,110289534.56,0.021154
52545,CVS,2015-10-05,101.97,113644137.42,0.030416
52546,CVS,2015-10-06,99.82,111247992.52,-0.021085
52547,CVS,2015-10-07,101.01,112574230.86,0.011921
52548,CVS,2015-10-08,102.17,113867034.62,0.011484
52549,CVS,2015-10-09,102.0,113677572.0,-0.001664
52550,CVS,2015-10-12,103.07,114870072.02,0.01049
52551,CVS,2015-10-13,102.05,113733296.3,-0.009896
52552,CVS,2015-10-14,100.45,111950118.7,-0.015679
52553,CVS,2015-10-15,102.41,114134511.26,0.019512
52554,CVS,2015-10-16,103.38,115215562.68,0.009472
52555,CVS,2015-10-19,103.51,115360445.86,0.001257
52556,CVS,2015-10-20,103.6,115460749.6,0.004251
52557,CVS,2015-10-21,103.29,115115258.94,-0.002992
52558,CVS,2015-10-22,104.29,116229744.94,0.009681
52559,CVS,2015-10-23,103.95,115850819.7,-0.00326
52560,CVS,2015-10-26,103.47,115315866.42,-0.004618
52561,CVS,2015-10-27,105.29,117344230.94,0.01759
52562,CVS,2015-10-28,103.81,115694791.66,-0.014056
52563,CVS,2015-10-29,103.8,115683646.8,-9.6e-05
52564,CVS,2015-10-30,98.78,109380773.26,-0.048362
52565,CVS,2015-11-02,100.38,111152480.46,0.016198
52566,CVS,2015-11-03,99.89,110609895.13,-0.004881
52567,CVS,2015-11-04,99.57,110255553.69,-0.003204
52568,CVS,2015-11-05,99.54,110222334.18,-0.000301
52569,CVS,2015-11-06,98.7,109292187.9,-0.008439
52570,CVS,2015-11-09,97.99,108505992.83,-0.007194
52571,CVS,2015-11-10,97.84,108339895.28,-0.001531
52572,CVS,2015-11-11,94.85,105029017.45,-0.03056
52573,CVS,2015-11-12,93.12,103113359.04,-0.018239
52574,CVS,2015-11-13,91.81,101662773.77,-0.014068
52575,CVS,2015-11-16,93.62,103667017.54,0.019715
52576,CVS,2015-11-17,93.79,103855261.43,0.001816
52577,CVS,2015-11-18,95.19,105405505.23,0.014927
52578,CVS,2015-11-19,92.49,102415749.33,-0.028364
52579,CVS,2015-11-20,91.93,101795651.81,-0.006055
52580,CVS,2015-11-23,91.56,101385944.52,-0.004025
52581,CVS,2015-11-24,92.25,102149993.25,0.007536
52582,CVS,2015-11-25,93.9,103977066.3,0.017886
52583,CVS,2015-11-27,94.63,104785407.71,0.007774
52584,CVS,2015-11-30,94.09,104187456.53,-0.005706
52585,CVS,2015-12-01,95.45,105693407.65,0.014454
52586,CVS,2015-12-02,94.5,104641456.5,-0.009953
52587,CVS,2015-12-03,92.85,102814383.45,-0.01746
52588,CVS,2015-12-04,95.46,105704480.82,0.02811
52589,CVS,2015-12-07,96.34,106678919.78,0.009219
52590,CVS,2015-12-08,95.66,105925944.22,-0.007058
52591,CVS,2015-12-09,94.98,105172968.66,-0.007109
52592,CVS,2015-12-10,94.74,104907212.58,-0.002527
52593,CVS,2015-12-11,93.24,103246237.08,-0.015833
52594,CVS,2015-12-14,94.11,104209602.87,0.009331
52595,CVS,2015-12-15,92.59,102526481.03,-0.016151
52596,CVS,2015-12-16,97.56,108029846.52,0.053678
52597,CVS,2015-12-17,94.71,104873993.07,-0.029213
52598,CVS,2015-12-18,94.86,105040090.62,0.001584
52599,CVS,2015-12-21,95.95,106247066.15,0.011491
52600,CVS,2015-12-22,98.27,108816041.59,0.024179
52601,CVS,2015-12-23,98.51,109081797.67,0.002442
52602,CVS,2015-12-24,98.86,109469358.62,0.003553
52603,CVS,2015-12-28,98.42,108982139.14,-0.004451
52604,CVS,2015-12-29,99.36,110023017.12,0.009551
