Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
31431,C,2015-01-02,54.26,164380018.88,0.002772
31432,C,2015-01-05,52.55,159199594.4,-0.031515
31433,C,2015-01-06,50.7,153595041.6,-0.035205
31434,C,2015-01-07,51.17,155018900.96,0.00927
31435,C,2015-01-08,51.94,157351606.72,0.015048
31436,C,2015-01-09,50.78,153837400.64,-0.022333
31437,C,2015-01-12,50.38,152625605.44,-0.007877
31438,C,2015-01-13,50.02,151534989.76,-0.007146
31439,C,2015-01-14,49.05,148596386.4,-0.019392
31440,C,2015-01-15,47.23,143082718.24,-0.037105
31441,C,2015-01-16,47.61,144233923.68,0.008046
31442,C,2015-01-20,47.26,143173602.88,-0.007351
31443,C,2015-01-21,47.74,144627757.12,0.010157
31444,C,2015-01-22,49.57,150171720.16,0.038333
31445,C,2015-01-23,48.62,147293706.56,-0.019165
31446,C,2015-01-26,48.89,148111668.32,0.005553
31447,C,2015-01-27,48.31,146354565.28,-0.011863
31448,C,2015-01-28,47.11,142719179.68,-0.02484
31449,C,2015-01-29,47.62,144264218.56,0.011038
31450,C,2015-01-30,46.95,142234461.6,-0.01407
31451,C,2015-02-02,47.72,144567167.36,0.0164
31452,C,2015-02-03,48.88,148081373.44,0.024308
31453,C,2015-02-04,48.4,146627219.2,-0.00982
31454,C,2015-02-05,48.54,147051347.52,0.002893
31455,C,2015-02-06,49.14,148869040.32,0.012361
31456,C,2015-02-09,49.21,149081104.48,0.001425
31457,C,2015-02-10,49.39,149626412.32,0.003658
31458,C,2015-02-11,49.68,150504963.84,0.005872
31459,C,2015-02-12,50.89,154170644.32,0.024356
31460,C,2015-02-13,51.2,155109785.6,0.006092
31461,C,2015-02-17,51.69,156594234.72,0.00957
31462,C,2015-02-18,51.42,155776272.96,-0.005223
31463,C,2015-02-19,51.12,154867426.56,-0.005834
31464,C,2015-02-20,51.78,156866888.64,0.012911
31465,C,2015-02-23,51.32,155473324.16,-0.008884
31466,C,2015-02-24,51.9,157230427.2,0.011302
31467,C,2015-02-25,52.09,157806029.92,0.003661
31468,C,2015-02-26,52.41,158775466.08,0.006143
31469,C,2015-02-27,52.42,159034469.42,0.000191
31470,C,2015-03-02,53.49,162280689.99,0.020412
31471,C,2015-03-03,53.73,163008814.23,0.004487
31472,C,2015-03-04,53.67,162826783.17,-0.001117
31473,C,2015-03-05,53.56,162493059.56,-0.00205
31474,C,2015-03-06,53.06,160976134.06,-0.009335
31475,C,2015-03-09,52.95,160642410.45,-0.002073
31476,C,2015-03-10,51.23,155424186.73,-0.032483
31477,C,2015-03-11,52.33,158761422.83,0.021472
31478,C,2015-03-12,54.08,164070662.08,0.033442
31479,C,2015-03-13,53.54,162432382.54,-0.009985
31480,C,2015-03-16,53.69,162887460.19,0.002802
31481,C,2015-03-17,53.84,163342537.84,0.002794
31482,C,2015-03-18,53.72,162978475.72,-0.002229
31483,C,2015-03-19,52.38,158913115.38,-0.024944
31484,C,2015-03-20,52.98,160733425.98,0.011455
31485,C,2015-03-23,52.48,159216500.48,-0.009438
31486,C,2015-03-24,51.94,157578220.94,-0.01029
31487,C,2015-03-25,51.38,155879264.38,-0.010782
31488,C,2015-03-26,51.19,155302832.69,-0.003698
31489,C,2015-03-27,51.0,154726401.0,-0.003712
31490,C,2015-03-30,51.64,156668065.64,0.012549
31491,C,2015-03-31,51.52,156359799.68,-0.002324
31492,C,2015-04-01,51.62,156663293.08,0.001941
31493,C,2015-04-02,51.86,157391677.24,0.004649
31494,C,2015-04-06,51.62,156663293.08,-0.004628
31495,C,2015-04-07,51.52,156359799.68,-0.001937
31496,C,2015-04-08,51.89,157482725.26,0.007182
31497,C,2015-04-09,52.13,158211109.42,0.004625
31498,C,2015-04-10,52.43,159121589.62,0.005755
31499,C,2015-04-13,52.66,159819624.44,0.004387
31500,C,2015-04-14,52.73,160032069.82,0.001329
31501,C,2015-04-15,53.21,161488838.14,0.009103
31502,C,2015-04-16,54.02,163947134.68,0.015223
31503,C,2015-04-17,53.07,161063947.38,-0.017586
