Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
56383,DHR,2015-01-02,85.72,60234758.24,0.000117
56384,DHR,2015-01-05,84.87,59637470.04,-0.009916
56385,DHR,2015-01-06,84.29,59229908.68,-0.006834
56386,DHR,2015-01-07,84.8,59588281.6,0.006051
56387,DHR,2015-01-08,86.11,60508808.12,0.015448
56388,DHR,2015-01-09,85.53,60101246.76,-0.006736
56389,DHR,2015-01-12,84.47,59356393.24,-0.012393
56390,DHR,2015-01-13,84.35,59272070.2,-0.001421
56391,DHR,2015-01-14,83.02,58337489.84,-0.015768
56392,DHR,2015-01-15,82.03,57641824.76,-0.011925
56393,DHR,2015-01-16,82.54,58000197.68,0.006217
56394,DHR,2015-01-20,82.97,58302355.24,0.00521
56395,DHR,2015-01-21,83.26,58506135.92,0.003495
56396,DHR,2015-01-22,84.5,59377474.0,0.014893
56397,DHR,2015-01-23,84.14,59124504.88,-0.00426
56398,DHR,2015-01-26,83.66,58787212.72,-0.005705
56399,DHR,2015-01-27,84.64,59475850.88,0.011714
56400,DHR,2015-01-28,82.85,58218032.2,-0.021148
56401,DHR,2015-01-29,83.93,58976939.56,0.013036
56402,DHR,2015-01-30,82.38,57887766.96,-0.018468
56403,DHR,2015-02-02,83.74,58843428.08,0.016509
56404,DHR,2015-02-03,85.02,59742873.84,0.015285
56405,DHR,2015-02-04,84.34,59265043.28,-0.007998
56406,DHR,2015-02-05,85.48,60066112.16,0.013517
56407,DHR,2015-02-06,84.79,59581254.68,-0.008072
56408,DHR,2015-02-09,84.45,59342339.4,-0.00401
56409,DHR,2015-02-10,85.46,60052058.32,0.01196
56410,DHR,2015-02-11,85.66,60192596.72,0.00234
56411,DHR,2015-02-12,86.6,60853127.2,0.010974
56412,DHR,2015-02-13,86.81,61000692.52,0.002425
56413,DHR,2015-02-17,86.8,60993665.6,-0.000115
56414,DHR,2015-02-18,87.45,61450415.4,0.007488
56415,DHR,2015-02-19,87.24,61302850.08,-0.002401
56416,DHR,2015-02-20,87.68,61612034.56,0.005044
56417,DHR,2015-02-23,86.86,61035827.12,-0.009352
56418,DHR,2015-02-24,87.04,61162311.68,0.002072
56419,DHR,2015-02-25,87.22,61288796.24,0.002068
56420,DHR,2015-02-26,87.81,61703384.52,0.006765
56421,DHR,2015-02-27,87.28,61600303.84,-0.006036
56422,DHR,2015-03-02,87.47,61734401.66,0.002177
56423,DHR,2015-03-03,87.05,61437974.9,-0.004802
56424,DHR,2015-03-04,86.11,60774543.58,-0.010798
56425,DHR,2015-03-05,86.34,60936872.52,0.002671
56426,DHR,2015-03-06,85.22,60146401.16,-0.012972
56427,DHR,2015-03-09,86.09,60760428.02,0.010209
56428,DHR,2015-03-10,84.65,59744107.7,-0.016727
56429,DHR,2015-03-11,84.37,59546489.86,-0.003308
56430,DHR,2015-03-12,85.56,60386365.68,0.014105
56431,DHR,2015-03-13,85.2,60132285.6,-0.004208
56432,DHR,2015-03-16,86.8,61261530.4,0.018779
56433,DHR,2015-03-17,86.27,60887468.06,-0.006106
56434,DHR,2015-03-18,87.28,61600303.84,0.011707
56435,DHR,2015-03-19,87.01,61409743.78,-0.003093
56436,DHR,2015-03-20,87.15,61508552.7,0.001609
56437,DHR,2015-03-23,86.77,61240357.06,-0.00436
56438,DHR,2015-03-24,85.93,60647503.54,-0.009681
56439,DHR,2015-03-25,84.35,59532374.3,-0.016816
56440,DHR,2015-03-26,84.32,59511200.96,-0.000356
56441,DHR,2015-03-27,84.85,59885263.3,0.006286
56442,DHR,2015-03-30,85.6,60414596.8,0.008839
56443,DHR,2015-03-31,84.9,60034063.5,-0.008178
56444,DHR,2015-04-01,83.9,59326948.5,-0.011779
56445,DHR,2015-04-02,84.19,59532011.85,0.003456
56446,DHR,2015-04-06,84.97,60083561.55,0.009265
56447,DHR,2015-04-07,85.33,60338122.95,0.004237
56448,DHR,2015-04-08,85.35,60352265.25,0.000234
56449,DHR,2015-04-09,85.46,60430047.9,0.001289
56450,DHR,2015-04-10,84.98,60090632.7,-0.005617
56451,DHR,2015-04-13,85.23,60267411.45,0.002942
56452,DHR,2015-04-14,85.48,60444190.2,0.002933
56453,DHR,2015-04-15,85.6,60529044.0,0.001404
56454,DHR,2015-04-16,85.44,60415905.6,-0.001869
56455,DHR,2015-04-17,84.22,59553225.3,-0.014279
56456,DHR,2015-04-20,84.92,60048205.8,0.008312
56457,DHR,2015-04-21,85.2,60246198.0,0.003297
56458,DHR,2015-04-22,85.25,60281553.75,0.000587
56459,DHR,2015-04-23,84.69,59885569.35,-0.006569
56460,DHR,2015-04-24,83.3,58902679.5,-0.016413
56461,DHR,2015-04-27,83.09,58754185.35,-0.002521
56462,DHR,2015-04-28,83.26,58874394.9,0.002046
56463,DHR,2015-04-29,82.8,58549122.0,-0.005525
56464,DHR,2015-04-30,81.88,57932228.88,-0.011111
56465,DHR,2015-05-01,82.52,58385045.52,0.007816
56466,DHR,2015-05-04,82.69,58505324.94,0.00206
56467,DHR,2015-05-05,82.4,58300142.4,-0.003507
56468,DHR,2015-05-06,82.34,58257690.84,-0.000728
56469,DHR,2015-05-07,83.19,58859087.94,0.010323
56470,DHR,2015-05-08,84.03,59453409.78,0.010097
56471,DHR,2015-05-11,83.56,59120872.56,-0.005593
56472,DHR,2015-05-12,86.0,60847236.0,0.029201
56473,DHR,2015-05-13,87.35,61802396.1,0.015698
56474,DHR,2015-05-14,87.84,62149083.84,0.00561
56475,DHR,2015-05-15,86.45,61165622.7,-0.015824
56476,DHR,2015-05-18,87.26,61738718.76,0.00937
56477,DHR,2015-05-19,86.49,61193923.74,-0.008824
56478,DHR,2015-05-20,87.02,61568912.52,0.006128
56479,DHR,2015-05-21,86.9,61484009.4,-0.001379
56480,DHR,2015-05-22,86.61,61278826.86,-0.003337
56481,DHR,2015-05-26,86.18,60974590.68,-0.004965
56482,DHR,2015-05-27,87.42,61851922.92,0.014388
56483,DHR,2015-05-28,87.32,61781170.32,-0.001144
56484,DHR,2015-05-29,86.32,61099799.28,-0.011452
56485,DHR,2015-06-01,86.9,61510340.1,0.006719
56486,DHR,2015-06-02,86.79,61432478.91,-0.001266
56487,DHR,2015-06-03,87.24,61751001.96,0.005185
56488,DHR,2015-06-04,85.8,60731728.2,-0.016506
56489,DHR,2015-06-05,85.89,60795432.81,0.001049
56490,DHR,2015-06-08,84.91,60101760.39,-0.01141
56491,DHR,2015-06-09,85.2,60307030.8,0.003415
56492,DHR,2015-06-10,86.02,60887450.58,0.009624
56493,DHR,2015-06-11,85.93,60823745.97,-0.001046
56494,DHR,2015-06-12,85.05,60200856.45,-0.010241
56495,DHR,2015-06-15,84.46,59783237.34,-0.006937
56496,DHR,2015-06-16,84.63,59903568.27,0.002013
56497,DHR,2015-06-17,84.73,59974351.17,0.001182
56498,DHR,2015-06-18,85.95,60837902.55,0.014399
56499,DHR,2015-06-19,85.84,60760041.36,-0.00128
56500,DHR,2015-06-22,86.25,61050251.25,0.004776
56501,DHR,2015-06-23,85.72,60675101.88,-0.006145
56502,DHR,2015-06-24,85.42,60462753.18,-0.001925
56503,DHR,2015-06-25,85.43,60469831.47,0.000117
56504,DHR,2015-06-26,85.76,60703415.04,0.003863
56505,DHR,2015-06-29,84.75,59988507.75,-0.011777
56506,DHR,2015-06-30,85.59,60583084.11,0.009912
56507,DHR,2015-07-01,86.34,61113955.86,0.008763
56508,DHR,2015-07-02,86.8,61439557.2,0.005328
56509,DHR,2015-07-06,85.87,60781276.23,-0.010714
56510,DHR,2015-07-07,87.07,61630671.03,0.013975
56511,DHR,2015-07-08,85.74,60689258.46,-0.015275
56512,DHR,2015-07-09,85.74,60689258.46,0.0
56513,DHR,2015-07-10,86.65,61333382.85,0.010613
56514,DHR,2015-07-13,88.0,62288952.0,0.01558
56515,DHR,2015-07-14,88.96,62968467.84,0.010909
56516,DHR,2015-07-15,88.33,62522535.57,-0.007082
56517,DHR,2015-07-16,88.7,62784432.3,0.004189
56518,DHR,2015-07-17,88.72,62798588.88,0.000225
56519,DHR,2015-07-20,88.58,62699492.82,-0.001578
56520,DHR,2015-07-21,87.79,62140307.91,-0.008918
56521,DHR,2015-07-22,87.86,62189855.94,0.000797
56522,DHR,2015-07-23,89.05,63032172.45,0.013544
56523,DHR,2015-07-24,87.78,62133229.62,-0.014262
56524,DHR,2015-07-27,87.22,61736845.38,-0.00638
56525,DHR,2015-07-28,88.4,62572083.6,0.013529
56526,DHR,2015-07-29,90.91,64348734.39,0.028394
56527,DHR,2015-07-30,91.86,65021171.94,0.01045
56528,DHR,2015-07-31,91.56,62580161.28,-0.003266
56529,DHR,2015-08-03,91.33,62422959.04,-0.002512
56530,DHR,2015-08-04,91.76,62716858.88,0.004708
56531,DHR,2015-08-05,92.26,63058602.88,0.005449
56532,DHR,2015-08-06,91.57,62586996.16,-0.007479
56533,DHR,2015-08-07,91.06,62238417.28,-0.00557
56534,DHR,2015-08-10,91.95,62846721.6,0.009774
