Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
58397,DIS,2015-01-02,93.75,158972906.25,-0.004671
58398,DIS,2015-01-05,92.38,156649782.18,-0.014613
58399,DIS,2015-01-06,91.89,155818883.79,-0.005304
58400,DIS,2015-01-07,92.83,157412852.13,0.01023
58401,DIS,2015-01-08,93.79,159040734.69,0.010341
58402,DIS,2015-01-09,94.25,159820761.75,0.004905
58403,DIS,2015-01-12,94.46,160176861.06,0.002228
58404,DIS,2015-01-13,95.19,161414730.09,0.007728
58405,DIS,2015-01-14,94.23,159786847.53,-0.010085
58406,DIS,2015-01-15,94.35,159990332.85,0.001273
58407,DIS,2015-01-16,95.18,161397772.98,0.008797
58408,DIS,2015-01-20,94.74,160651660.14,-0.004623
58409,DIS,2015-01-21,94.17,159685104.87,-0.006016
58410,DIS,2015-01-22,95.15,161346901.65,0.010407
58411,DIS,2015-01-23,94.72,160617745.92,-0.004519
58412,DIS,2015-01-26,94.97,161041673.67,0.002639
58413,DIS,2015-01-27,93.97,159345962.67,-0.01053
58414,DIS,2015-01-28,92.67,157141538.37,-0.013834
58415,DIS,2015-01-29,93.22,158074179.42,0.005935
58416,DIS,2015-01-30,90.96,154174926.0,-0.024244
58417,DIS,2015-02-02,91.93,155819051.75,0.010664
58418,DIS,2015-02-03,94.1,159497147.5,0.023605
58419,DIS,2015-02-04,101.28,171667068.0,0.076302
58420,DIS,2015-02-05,102.64,173972234.0,0.013428
58421,DIS,2015-02-06,102.02,172921349.5,-0.006041
58422,DIS,2015-02-09,101.73,172429806.75,-0.002843
58423,DIS,2015-02-10,101.92,172751852.0,0.001868
58424,DIS,2015-02-11,101.87,172667103.25,-0.000491
58425,DIS,2015-02-12,103.58,175565510.5,0.016786
58426,DIS,2015-02-13,104.17,176565545.75,0.005696
58427,DIS,2015-02-17,104.12,176480797.0,-0.00048
58428,DIS,2015-02-18,103.86,176040103.5,-0.002497
58429,DIS,2015-02-19,103.89,176090952.75,0.000289
58430,DIS,2015-02-20,104.55,177209636.25,0.006353
58431,DIS,2015-02-23,104.99,177955425.25,0.004209
58432,DIS,2015-02-24,104.67,177413033.25,-0.003048
58433,DIS,2015-02-25,105.57,178938510.75,0.008598
58434,DIS,2015-02-26,104.56,177226586.0,-0.009567
58435,DIS,2015-02-27,104.08,176890517.04,-0.004591
58436,DIS,2015-03-02,105.89,179966726.07,0.01739
58437,DIS,2015-03-03,106.35,180748525.05,0.004344
58438,DIS,2015-03-04,105.57,179422865.91,-0.007334
58439,DIS,2015-03-05,105.03,178505101.89,-0.005115
58440,DIS,2015-03-06,103.82,176448630.66,-0.011521
58441,DIS,2015-03-09,105.26,178896001.38,0.01387
58442,DIS,2015-03-10,103.09,175207949.67,-0.020616
58443,DIS,2015-03-11,102.89,174868037.07,-0.00194
58444,DIS,2015-03-12,107.17,182142166.71,0.041598
58445,DIS,2015-03-13,106.44,180901485.72,-0.006812
58446,DIS,2015-03-16,107.37,182482079.31,0.008737
58447,DIS,2015-03-17,106.96,181785258.48,-0.003819
58448,DIS,2015-03-18,107.97,183501817.11,0.009443
58449,DIS,2015-03-19,107.37,182482079.31,-0.005557
58450,DIS,2015-03-20,108.43,184283616.09,0.009872
58451,DIS,2015-03-23,108.22,183926707.86,-0.001937
58452,DIS,2015-03-24,107.11,182040192.93,-0.010257
58453,DIS,2015-03-25,105.0,178454115.0,-0.019699
58454,DIS,2015-03-26,105.24,178862010.12,0.002286
58455,DIS,2015-03-27,105.48,179269905.24,0.002281
58456,DIS,2015-03-30,106.12,180357625.56,0.006068
58457,DIS,2015-03-31,104.89,178267163.07,-0.011591
58458,DIS,2015-04-01,105.44,179201922.72,0.005244
58459,DIS,2015-04-02,106.0,180153678.0,0.005311
58460,DIS,2015-04-06,105.63,179524839.69,-0.003491
58461,DIS,2015-04-07,105.43,179184927.09,-0.001893
58462,DIS,2015-04-08,106.36,180765520.68,0.008821
58463,DIS,2015-04-09,106.77,181462341.51,0.003855
58464,DIS,2015-04-10,106.95,181768262.85,0.001686
58465,DIS,2015-04-13,106.51,181020455.13,-0.004114
58466,DIS,2015-04-14,106.66,181275389.58,0.001408
58467,DIS,2015-04-15,106.98,181819249.74,0.003
58468,DIS,2015-04-16,108.1,183722760.3,0.010469
58469,DIS,2015-04-17,106.69,181326376.47,-0.013043
58470,DIS,2015-04-20,108.22,183926707.86,0.014341
58471,DIS,2015-04-21,107.68,183008943.84,-0.00499
58472,DIS,2015-04-22,107.94,183450830.22,0.002415
58473,DIS,2015-04-23,109.0,185252367.0,0.00982
58474,DIS,2015-04-24,109.53,186153135.39,0.004862
58475,DIS,2015-04-27,110.16,187223860.08,0.005752
58476,DIS,2015-04-28,109.92,186815964.96,-0.002179
58477,DIS,2015-04-29,109.81,186629013.03,-0.001001
58478,DIS,2015-04-30,108.72,184776489.36,-0.009926
58479,DIS,2015-05-01,110.52,187835702.76,0.016556
58480,DIS,2015-05-04,111.03,188702479.89,0.004615
58481,DIS,2015-05-05,110.81,188328576.03,-0.001981
58482,DIS,2015-05-06,109.72,186476052.36,-0.009837
58483,DIS,2015-05-07,109.26,185694253.38,-0.004192
58484,DIS,2015-05-08,110.11,187138881.93,0.00778
58485,DIS,2015-05-11,108.6,184572541.8,-0.013714
58486,DIS,2015-05-12,109.24,185660262.12,0.005893
58487,DIS,2015-05-13,109.19,185575283.97,-0.000458
58488,DIS,2015-05-14,109.93,186832960.59,0.006777
58489,DIS,2015-05-15,110.3,187461798.9,0.003366
58490,DIS,2015-05-18,110.33,187512785.79,0.000272
58491,DIS,2015-05-19,110.56,187903685.28,0.002085
58492,DIS,2015-05-20,110.2,187291842.6,-0.003256
58493,DIS,2015-05-21,110.39,187614759.57,0.001724
58494,DIS,2015-05-22,110.26,187393816.38,-0.001178
58495,DIS,2015-05-26,109.44,186000174.72,-0.007437
58496,DIS,2015-05-27,110.37,187580768.31,0.008498
58497,DIS,2015-05-28,110.53,187852698.39,0.00145
58498,DIS,2015-05-29,110.37,187271511.57,-0.001448
58499,DIS,2015-06-01,110.96,188272600.56,0.005346
58500,DIS,2015-06-02,110.75,187916280.75,-0.001893
58501,DIS,2015-06-03,111.17,188628920.37,0.003792
58502,DIS,2015-06-04,110.3,187152738.3,-0.007826
58503,DIS,2015-06-05,110.3,187152738.3,0.0
58504,DIS,2015-06-08,109.29,185439009.69,-0.009157
58505,DIS,2015-06-09,108.52,184132503.72,-0.007045
