Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
60411,DOW,2019-04-02,56.25,42121350.0,
60412,DOW,2019-04-03,56.88,42593109.12,0.0112
60413,DOW,2019-04-04,59.71,44712281.04,0.049754
60414,DOW,2019-04-05,57.24,42862685.76,-0.041367
60415,DOW,2019-04-08,57.15,42795291.6,-0.001572
60416,DOW,2019-04-09,56.27,42136326.48,-0.015398
60417,DOW,2019-04-10,55.71,41716985.04,-0.009952
60418,DOW,2019-04-11,54.89,41102949.36,-0.014719
60419,DOW,2019-04-12,58.3,43656439.2,0.062124
60420,DOW,2019-04-15,57.78,43267050.72,-0.008919
60421,DOW,2019-04-16,58.5,43806204.0,0.012461
60422,DOW,2019-04-17,58.32,43671415.68,-0.003077
60423,DOW,2019-04-18,57.77,43259562.48,-0.009431
60424,DOW,2019-04-22,57.89,43349421.36,0.002077
60425,DOW,2019-04-23,57.64,43162215.36,-0.004319
60426,DOW,2019-04-24,55.98,41919167.52,-0.028799
60427,DOW,2019-04-25,55.33,41432431.92,-0.011611
60428,DOW,2019-04-26,55.25,41372526.0,-0.001446
60429,DOW,2019-04-29,55.5,41559732.0,0.004525
60430,DOW,2019-04-30,56.73,42480785.52,0.022162
60431,DOW,2019-05-01,56.13,42031491.12,-0.010576
60432,DOW,2019-05-02,52.7,39463024.8,-0.061108
60433,DOW,2019-05-03,53.3,39912319.2,0.011385
60434,DOW,2019-05-06,53.46,40032131.04,0.003002
60435,DOW,2019-05-07,52.95,39650230.8,-0.00954
60436,DOW,2019-05-08,52.48,39298283.52,-0.008876
60437,DOW,2019-05-09,52.93,39635254.32,0.008575
60438,DOW,2019-05-10,53.07,39740089.68,0.002645
60439,DOW,2019-05-13,50.95,38152582.8,-0.039947
60440,DOW,2019-05-14,52.48,39298283.52,0.030029
60441,DOW,2019-05-15,52.95,39650230.8,0.008956
60442,DOW,2019-05-16,52.98,39672695.52,0.000567
60443,DOW,2019-05-17,50.8,38040259.2,-0.041148
60444,DOW,2019-05-20,50.08,37501105.92,-0.014173
60445,DOW,2019-05-21,50.63,37912959.12,0.010982
60446,DOW,2019-05-22,50.21,37598453.04,-0.008295
60447,DOW,2019-05-23,48.71,36475217.04,-0.029875
60448,DOW,2019-05-24,49.2,36842140.8,0.01006
60449,DOW,2019-05-28,48.56,36362893.44,-0.013008
60450,DOW,2019-05-29,48.71,36475217.04,0.003089
60451,DOW,2019-05-30,48.47,36295499.28,0.009444
60452,DOW,2019-05-31,46.76,35015010.24,-0.03528
60453,DOW,2019-06-03,47.96,35913599.04,0.025663
60454,DOW,2019-06-04,49.93,37388782.32,0.041076
60455,DOW,2019-06-05,50.34,37695800.16,0.008211
60456,DOW,2019-06-06,51.06,38234953.44,0.014303
60457,DOW,2019-06-07,51.3,38414671.2,0.0047
60458,DOW,2019-06-10,51.62,38654294.88,0.006238
60459,DOW,2019-06-11,52.04,38968800.96,0.008136
60460,DOW,2019-06-12,52.49,39305771.76,0.008647
60461,DOW,2019-06-13,52.88,39597813.12,0.00743
60462,DOW,2019-06-14,51.15,38302347.6,-0.032716
60463,DOW,2019-06-17,49.35,36954464.4,-0.035191
60464,DOW,2019-06-18,49.61,37149158.64,0.005268
60465,DOW,2019-06-19,48.5,36317964.0,-0.022375
60466,DOW,2019-06-20,48.93,36639958.32,0.008866
60467,DOW,2019-06-21,48.36,36213128.64,-0.011649
60468,DOW,2019-06-24,49.58,37126693.92,0.025227
60469,DOW,2019-06-25,49.69,37209064.56,0.002219
60470,DOW,2019-06-26,50.45,37778170.8,0.015295
60471,DOW,2019-06-27,50.91,38122629.84,0.009118
60472,DOW,2019-06-28,49.31,36924511.44,-0.031428
60473,DOW,2019-07-01,50.16,37561011.84,0.017238
60474,DOW,2019-07-02,49.4,36991905.6,-0.015152
60475,DOW,2019-07-03,49.33,36939487.92,-0.001417
60476,DOW,2019-07-05,49.31,36924511.44,-0.000405
60477,DOW,2019-07-08,48.52,36332940.48,-0.016021
60478,DOW,2019-07-09,47.87,35846204.88,-0.013397
60479,DOW,2019-07-10,47.55,35606581.2,-0.006685
60480,DOW,2019-07-11,47.78,35778810.72,0.004837
60481,DOW,2019-07-12,49.71,37224041.04,0.040393
60482,DOW,2019-07-15,50.93,38137606.32,0.024542
60483,DOW,2019-07-16,52.32,39178471.68,0.027292
60484,DOW,2019-07-17,51.6,38639318.4,-0.013761
60485,DOW,2019-07-18,51.75,38751642.0,0.002907
60486,DOW,2019-07-19,51.52,38579412.48,-0.004444
60487,DOW,2019-07-22,50.88,38100165.12,-0.012422
60488,DOW,2019-07-23,52.62,39403118.88,0.034198
60489,DOW,2019-07-24,52.79,39530418.96,0.003231
60490,DOW,2019-07-25,50.77,38017794.48,-0.038265
60491,DOW,2019-07-26,49.11,36774746.64,-0.032696
60492,DOW,2019-07-29,48.05,35980993.2,-0.021584
60493,DOW,2019-07-30,48.4,36243081.6,0.007284
60494,DOW,2019-07-31,48.44,36001189.28,0.000826
60495,DOW,2019-08-01,46.85,34819482.2,-0.032824
60496,DOW,2019-08-02,45.6,33890467.2,-0.026681
60497,DOW,2019-08-05,44.77,33273601.24,-0.018202
60498,DOW,2019-08-06,44.43,33020909.16,-0.007594
60499,DOW,2019-08-07,44.89,33362786.68,0.010353
60500,DOW,2019-08-08,46.79,34774889.48,0.042326
