Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
62029,DUK,2015-01-02,84.05,59447808.55,0.006105
62030,DUK,2015-01-05,82.84,58591986.44,-0.014396
62031,DUK,2015-01-06,84.2,59553902.2,0.016417
62032,DUK,2015-01-07,84.47,59744870.77,0.003207
62033,DUK,2015-01-08,84.81,59985349.71,0.004025
62034,DUK,2015-01-09,84.93,60070224.63,0.001415
62035,DUK,2015-01-12,85.01,60126807.91,0.000942
62036,DUK,2015-01-13,85.47,60452161.77,0.005411
62037,DUK,2015-01-14,85.69,60607765.79,0.002574
62038,DUK,2015-01-15,86.76,61364567.16,0.012487
62039,DUK,2015-01-16,87.35,61781868.85,0.0068
62040,DUK,2015-01-20,87.69,62022347.79,0.003892
62041,DUK,2015-01-21,88.68,62722565.88,0.01129
62042,DUK,2015-01-22,88.63,62687201.33,-0.000564
62043,DUK,2015-01-23,88.72,62750857.52,0.001015
62044,DUK,2015-01-26,88.55,62630618.05,-0.001916
62045,DUK,2015-01-27,88.72,62750857.52,0.00192
62046,DUK,2015-01-28,87.85,62135514.35,-0.009806
62047,DUK,2015-01-29,89.36,63203523.76,0.017188
62048,DUK,2015-01-30,87.14,61633337.74,-0.024843
62049,DUK,2015-02-02,87.0,61534317.0,-0.001607
62050,DUK,2015-02-03,86.78,61378712.98,-0.002529
62051,DUK,2015-02-04,85.98,60812880.18,-0.009219
62052,DUK,2015-02-05,86.72,61336275.52,0.008607
62053,DUK,2015-02-06,83.11,58782955.01,-0.041628
62054,DUK,2015-02-09,82.7,58492965.7,-0.004933
62055,DUK,2015-02-10,84.18,59539756.38,0.017896
62056,DUK,2015-02-11,81.85,57891768.35,-0.018235
62057,DUK,2015-02-12,81.06,57333008.46,-0.009652
62058,DUK,2015-02-13,79.84,56470113.44,-0.015051
62059,DUK,2015-02-17,79.39,56151832.49,-0.005636
62060,DUK,2015-02-18,80.97,57269352.27,0.019902
62061,DUK,2015-02-19,79.17,55996228.47,-0.02223
62062,DUK,2015-02-20,78.71,55670874.61,-0.00581
62063,DUK,2015-02-23,79.26,56059884.66,0.006988
62064,DUK,2015-02-24,79.85,56477186.35,0.007444
62065,DUK,2015-02-25,79.01,55883061.91,-0.01052
62066,DUK,2015-02-26,78.56,55564780.96,-0.005695
62067,DUK,2015-02-27,78.55,55534850.0,-0.000127
62068,DUK,2015-03-02,77.06,54481420.0,-0.018969
62069,DUK,2015-03-03,77.51,54799570.0,0.00584
62070,DUK,2015-03-04,77.08,54495560.0,-0.005548
62071,DUK,2015-03-05,77.58,54849060.0,0.006487
62072,DUK,2015-03-06,74.96,52996720.0,-0.033772
62073,DUK,2015-03-09,74.76,52855320.0,-0.002668
62074,DUK,2015-03-10,74.7,52812900.0,-0.000803
62075,DUK,2015-03-11,74.28,52515960.0,-0.005622
62076,DUK,2015-03-12,75.28,53222960.0,0.013463
62077,DUK,2015-03-13,74.61,52749270.0,-0.0089
62078,DUK,2015-03-16,75.71,53526970.0,0.014743
62079,DUK,2015-03-17,75.08,53081560.0,-0.008321
62080,DUK,2015-03-18,76.4,54014800.0,0.017581
62081,DUK,2015-03-19,76.01,53739070.0,-0.005105
62082,DUK,2015-03-20,76.67,54205690.0,0.008683
62083,DUK,2015-03-23,76.8,54297600.0,0.001696
62084,DUK,2015-03-24,76.06,53774420.0,-0.009635
62085,DUK,2015-03-25,74.96,52996720.0,-0.014462
62086,DUK,2015-03-26,74.35,52565450.0,-0.008138
62087,DUK,2015-03-27,75.0,53025000.0,0.008742
62088,DUK,2015-03-30,75.9,53661300.0,0.012
62089,DUK,2015-03-31,76.78,54361468.48,0.011594
62090,DUK,2015-04-01,76.83,54396869.28,0.000651
62091,DUK,2015-04-02,76.97,54495991.52,0.001822
62092,DUK,2015-04-06,78.24,55395171.84,0.0165
62093,DUK,2015-04-07,77.65,54977442.4,-0.007541
62094,DUK,2015-04-08,77.3,54729636.8,-0.004507
62095,DUK,2015-04-09,77.01,54524312.16,-0.003752
62096,DUK,2015-04-10,77.84,55111965.44,0.010778
62097,DUK,2015-04-13,77.23,54680075.68,-0.007837
62098,DUK,2015-04-14,77.59,54934961.44,0.004661
62099,DUK,2015-04-15,78.02,55239408.32,0.005542
62100,DUK,2015-04-16,77.31,54736716.96,-0.0091
62101,DUK,2015-04-17,77.31,54736716.96,0.0
62102,DUK,2015-04-20,78.61,55657137.76,0.016815
62103,DUK,2015-04-21,78.07,55274809.12,-0.006869
62104,DUK,2015-04-22,78.3,55437652.8,0.002946
62105,DUK,2015-04-23,78.86,55834141.76,0.007152
62106,DUK,2015-04-24,79.41,56223550.56,0.006974
62107,DUK,2015-04-27,78.37,55487213.92,-0.013097
62108,DUK,2015-04-28,78.97,55912023.52,0.007656
62109,DUK,2015-04-29,78.43,55529694.88,-0.006838
62110,DUK,2015-04-30,77.57,54920801.12,-0.010965
62111,DUK,2015-05-01,77.9,55154446.4,0.004254
62112,DUK,2015-05-04,77.96,55196927.36,0.00077
62113,DUK,2015-05-05,76.25,53986220.0,-0.021934
62114,DUK,2015-05-06,76.41,54099502.56,0.002098
62115,DUK,2015-05-07,76.81,54382708.96,0.005235
62116,DUK,2015-05-08,77.11,54595113.76,0.003906
62117,DUK,2015-05-11,76.57,54212785.12,-0.007003
62118,DUK,2015-05-12,76.3,54021620.8,-0.003526
62119,DUK,2015-05-13,74.44,52704711.04,-0.013958
62120,DUK,2015-05-14,75.49,53448127.84,0.014105
62121,DUK,2015-05-15,76.15,53915418.4,0.008743
62122,DUK,2015-05-18,76.03,53830456.48,-0.001576
62123,DUK,2015-05-19,76.19,53943739.04,0.002104
62124,DUK,2015-05-20,76.54,54191544.64,0.004594
62125,DUK,2015-05-21,76.16,53922498.56,-0.004965
62126,DUK,2015-05-22,76.05,53844616.8,-0.001444
62127,DUK,2015-05-26,75.76,53639292.16,-0.003813
62128,DUK,2015-05-27,76.21,53957899.36,0.00594
62129,DUK,2015-05-28,75.95,53773815.2,-0.003412
62130,DUK,2015-05-29,75.73,52370097.01,-0.002897
62131,DUK,2015-06-01,76.0,52556812.0,0.003565
62132,DUK,2015-06-02,75.05,51899851.85,-0.0125
62133,DUK,2015-06-03,74.2,51312045.4,-0.011326
62134,DUK,2015-06-04,74.21,51318960.77,0.000135
62135,DUK,2015-06-05,72.85,50378470.45,-0.018326
62136,DUK,2015-06-08,72.45,50101855.65,-0.005491
62137,DUK,2015-06-09,72.13,49880563.81,-0.004417
62138,DUK,2015-06-10,72.05,49825240.85,-0.001109
62139,DUK,2015-06-11,72.86,50385385.82,0.011242
62140,DUK,2015-06-12,72.53,50157178.61,-0.004529
62141,DUK,2015-06-15,72.5,50136432.5,-0.000414
62142,DUK,2015-06-16,72.57,50184840.09,0.000966
62143,DUK,2015-06-17,73.08,50537523.96,0.007028
62144,DUK,2015-06-18,74.54,51547167.98,0.019978
62145,DUK,2015-06-19,73.2,50620508.4,-0.017977
62146,DUK,2015-06-22,73.07,50530608.59,-0.001776
62147,DUK,2015-06-23,71.78,49638525.86,-0.017654
62148,DUK,2015-06-24,70.93,49050719.41,-0.011842
62149,DUK,2015-06-25,70.68,48877835.16,-0.003525
62150,DUK,2015-06-26,71.0,49099127.0,0.004527
62151,DUK,2015-06-29,70.85,48995396.45,-0.002113
62152,DUK,2015-06-30,70.62,48836342.94,-0.003246
62153,DUK,2015-07-01,71.08,49154449.96,0.006514
62154,DUK,2015-07-02,72.53,50157178.61,0.0204
62155,DUK,2015-07-06,72.85,50378470.45,0.004412
62156,DUK,2015-07-07,75.27,52051989.99,0.033219
62157,DUK,2015-07-08,74.79,51720052.23,-0.006377
62158,DUK,2015-07-09,74.07,51222145.59,-0.009627
62159,DUK,2015-07-10,74.37,51429606.69,0.00405
62160,DUK,2015-07-13,74.35,51415775.95,-0.000269
62161,DUK,2015-07-14,73.8,51035430.6,-0.007397
62162,DUK,2015-07-15,74.02,51187568.74,0.002981
62163,DUK,2015-07-16,74.81,51733882.97,0.010673
62164,DUK,2015-07-17,73.57,50876377.09,-0.016575
62165,DUK,2015-07-20,73.27,50668915.99,-0.004078
62166,DUK,2015-07-21,72.42,50081109.54,-0.011601
62167,DUK,2015-07-22,72.37,50046532.69,-0.00069
62168,DUK,2015-07-23,71.56,49486387.72,-0.011192
62169,DUK,2015-07-24,71.69,49576287.53,0.001817
62170,DUK,2015-07-27,73.0,50482201.0,0.018273
62171,DUK,2015-07-28,73.13,50572100.81,0.001781
62172,DUK,2015-07-29,73.11,50558270.07,-0.000273
62173,DUK,2015-07-30,73.45,50793392.65,0.004651
62174,DUK,2015-07-31,74.22,51325876.14,0.010483
62175,DUK,2015-08-03,74.96,51837613.52,0.00997
62176,DUK,2015-08-04,73.92,51118415.04,-0.013874
62177,DUK,2015-08-05,73.98,51159907.26,0.000812
62178,DUK,2015-08-06,73.84,51063092.08,-0.001892
62179,DUK,2015-08-07,75.15,51969005.55,0.017741
62180,DUK,2015-08-10,74.81,51733882.97,-0.004524
62181,DUK,2015-08-11,75.29,52065820.73,0.006416
62182,DUK,2015-08-12,75.56,52252535.72,0.014544
62183,DUK,2015-08-13,75.58,52266366.46,0.000265
62184,DUK,2015-08-14,76.37,52812680.69,0.010453
62185,DUK,2015-08-17,76.52,52916411.24,0.001964
62186,DUK,2015-08-18,76.24,52722780.88,-0.003659
62187,DUK,2015-08-19,77.21,53393571.77,0.012723
62188,DUK,2015-08-20,76.77,53089295.49,-0.005699
62189,DUK,2015-08-21,76.71,53047803.27,-0.000782
62190,DUK,2015-08-24,72.44,50094940.28,-0.055664
62191,DUK,2015-08-25,70.21,48552812.77,-0.030784
62192,DUK,2015-08-26,71.74,49610864.38,0.021792
62193,DUK,2015-08-27,72.52,50150263.24,0.010873
62194,DUK,2015-08-28,72.39,50060363.43,-0.001793
62195,DUK,2015-08-31,70.91,48809480.3,-0.020445
62196,DUK,2015-09-01,69.05,47529186.5,-0.02623
62197,DUK,2015-09-02,69.16,47604902.8,0.001593
62198,DUK,2015-09-03,69.28,47687502.4,0.001735
62199,DUK,2015-09-04,68.26,46985405.8,-0.014723
62200,DUK,2015-09-08,69.36,47742568.8,0.016115
62201,DUK,2015-09-09,68.21,46950989.3,-0.01658
62202,DUK,2015-09-10,67.74,46627474.2,-0.00689
