Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
64043,EMR,2015-01-02,61.79,42774003.92,0.000972
64044,EMR,2015-01-05,60.52,41894848.96,-0.020553
64045,EMR,2015-01-06,60.42,41825624.16,-0.001652
64046,EMR,2015-01-07,60.29,41735631.92,-0.002152
64047,EMR,2015-01-08,61.87,42829383.76,0.026207
64048,EMR,2015-01-09,60.9,42157903.2,-0.015678
64049,EMR,2015-01-12,60.17,41652562.16,-0.011987
64050,EMR,2015-01-13,60.08,41590259.84,-0.001496
64051,EMR,2015-01-14,59.62,41271825.76,-0.007656
64052,EMR,2015-01-15,59.38,41105686.24,-0.004025
64053,EMR,2015-01-16,60.35,41777166.8,0.016335
64054,EMR,2015-01-20,60.48,41867159.04,0.002154
64055,EMR,2015-01-21,60.98,42213283.04,0.008267
64056,EMR,2015-01-22,59.81,41403352.88,-0.019187
64057,EMR,2015-01-23,58.12,40233453.76,-0.028256
64058,EMR,2015-01-26,59.43,41140298.64,0.02254
64059,EMR,2015-01-27,57.3,39665810.4,-0.03584
64060,EMR,2015-01-28,56.23,38925105.04,-0.018674
64061,EMR,2015-01-29,56.88,39375066.24,0.01156
64062,EMR,2015-01-30,56.94,39416601.12,0.001055
64063,EMR,2015-02-02,58.97,40821864.56,0.035652
64064,EMR,2015-02-03,59.44,41147221.12,0.00797
64065,EMR,2015-02-04,57.33,39686577.84,-0.035498
64066,EMR,2015-02-05,57.15,39561973.2,-0.00314
64067,EMR,2015-02-06,57.03,39478903.44,-0.0021
64068,EMR,2015-02-09,57.35,39700422.8,0.005611
64069,EMR,2015-02-10,58.04,40178073.92,0.012031
64070,EMR,2015-02-11,57.69,39935787.12,0.002068
64071,EMR,2015-02-12,58.6,40565732.8,0.015774
64072,EMR,2015-02-13,58.68,40621112.64,0.001365
64073,EMR,2015-02-17,58.3,40358058.4,-0.006476
64074,EMR,2015-02-18,58.85,40738794.8,0.009434
64075,EMR,2015-02-19,58.69,40628035.12,-0.002719
64076,EMR,2015-02-20,58.67,40614190.16,-0.000341
64077,EMR,2015-02-23,58.74,40662647.52,0.001193
64078,EMR,2015-02-24,58.55,40531120.4,-0.003235
64079,EMR,2015-02-25,58.3,40358058.4,-0.00427
64080,EMR,2015-02-26,57.94,40108849.12,-0.006175
64081,EMR,2015-02-27,57.92,39686899.84,-0.000345
64082,EMR,2015-03-02,58.33,39967832.66,0.007079
64083,EMR,2015-03-03,58.38,40002092.76,0.000857
64084,EMR,2015-03-04,57.78,39590971.56,-0.010277
64085,EMR,2015-03-05,58.08,39796532.16,0.005192
64086,EMR,2015-03-06,56.56,38755025.12,-0.026171
64087,EMR,2015-03-09,57.1,39125034.2,0.009547
64088,EMR,2015-03-10,56.09,38432980.18,-0.017688
64089,EMR,2015-03-11,55.51,38035563.02,-0.010341
64090,EMR,2015-03-12,56.05,38405572.1,0.009728
64091,EMR,2015-03-13,55.26,37864262.52,-0.014095
64092,EMR,2015-03-16,56.23,38528908.46,0.017553
64093,EMR,2015-03-17,55.69,38158899.38,-0.009603
64094,EMR,2015-03-18,56.78,38905769.56,0.019573
64095,EMR,2015-03-19,56.27,38556316.54,-0.008982
64096,EMR,2015-03-20,56.69,38844101.38,0.007464
64097,EMR,2015-03-23,56.93,39008549.86,0.004234
64098,EMR,2015-03-24,56.81,38926325.62,-0.002108
64099,EMR,2015-03-25,56.6,38782433.2,-0.003697
64100,EMR,2015-03-26,56.47,38693356.94,-0.002297
64101,EMR,2015-03-27,56.54,38741321.08,0.00124
64102,EMR,2015-03-30,56.59,38775581.18,0.000884
64103,EMR,2015-03-31,56.62,38796137.24,0.00053
64104,EMR,2015-04-01,55.89,38295939.78,-0.012893
64105,EMR,2015-04-02,55.54,38056119.08,-0.006262
64106,EMR,2015-04-06,56.99,39049661.98,0.026107
64107,EMR,2015-04-07,56.47,38693356.94,-0.009124
64108,EMR,2015-04-08,56.74,38878361.48,0.004781
64109,EMR,2015-04-09,56.72,38864657.44,-0.000352
64110,EMR,2015-04-10,56.85,38953733.7,0.002292
64111,EMR,2015-04-13,58.4,40015796.8,0.027265
64112,EMR,2015-04-14,58.33,39967832.66,-0.001199
64113,EMR,2015-04-15,59.16,40536550.32,0.014229
64114,EMR,2015-04-16,58.91,40365249.82,-0.004226
64115,EMR,2015-04-17,58.43,40036352.86,-0.008148
64116,EMR,2015-04-20,58.7,40221357.4,0.004621
