Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
66057,EXC,2015-01-02,37.57,32290100.05,0.013215
66058,EXC,2015-01-05,36.5,31370472.5,-0.02848
66059,EXC,2015-01-06,36.22,31129822.3,-0.007671
66060,EXC,2015-01-07,36.27,31172795.55,0.00138
66061,EXC,2015-01-08,36.55,31413445.75,0.00772
66062,EXC,2015-01-09,36.49,31361877.85,-0.001642
66063,EXC,2015-01-12,36.63,31482202.95,0.003837
66064,EXC,2015-01-13,36.51,31379067.15,-0.003276
66065,EXC,2015-01-14,36.92,31731447.8,0.01123
66066,EXC,2015-01-15,37.27,32032260.55,0.00948
66067,EXC,2015-01-16,37.38,32126801.7,0.002951
66068,EXC,2015-01-20,37.25,32015071.25,-0.003478
66069,EXC,2015-01-21,37.99,32651075.35,0.019866
66070,EXC,2015-01-22,37.25,32015071.25,-0.019479
66071,EXC,2015-01-23,37.37,32118207.05,0.003221
66072,EXC,2015-01-26,37.34,32092423.1,-0.000803
66073,EXC,2015-01-27,37.41,32152585.65,0.001875
66074,EXC,2015-01-28,37.0,31800205.0,-0.01096
66075,EXC,2015-01-29,37.03,31825988.95,0.000811
66076,EXC,2015-01-30,36.04,30975118.6,-0.026735
66077,EXC,2015-02-02,36.05,30983713.25,0.000277
66078,EXC,2015-02-03,36.93,31740042.45,0.024411
66079,EXC,2015-02-04,36.19,31104038.35,-0.020038
66080,EXC,2015-02-05,36.6,31456419.0,0.011329
66081,EXC,2015-02-06,35.0,30081275.0,-0.043716
66082,EXC,2015-02-09,34.48,29634353.2,-0.014857
66083,EXC,2015-02-10,35.0,30081275.0,0.015081
66084,EXC,2015-02-11,34.26,29445270.9,-0.012286
66085,EXC,2015-02-12,34.44,29599974.6,0.005254
66086,EXC,2015-02-13,33.51,28800672.15,-0.027003
66087,EXC,2015-02-17,33.09,28439696.85,-0.012534
66088,EXC,2015-02-18,33.9,29135863.5,0.024479
66089,EXC,2015-02-19,33.42,28723320.3,-0.014159
66090,EXC,2015-02-20,33.39,28697536.35,-0.000898
66091,EXC,2015-02-23,33.78,29032727.7,0.01168
66092,EXC,2015-02-24,34.79,29900787.35,0.029899
66093,EXC,2015-02-25,34.49,29642947.85,-0.008623
66094,EXC,2015-02-26,33.96,29187431.4,-0.015367
66095,EXC,2015-02-27,33.92,29165535.36,-0.001178
66096,EXC,2015-03-02,32.83,28228317.39,-0.032134
66097,EXC,2015-03-03,33.02,28391685.66,0.005787
66098,EXC,2015-03-04,32.62,28047752.46,-0.012114
66099,EXC,2015-03-05,32.97,28348694.01,0.01073
66100,EXC,2015-03-06,32.27,27746810.91,-0.021231
66101,EXC,2015-03-09,32.1,27600639.3,-0.005268
66102,EXC,2015-03-10,32.13,27626434.29,0.000935
66103,EXC,2015-03-11,31.83,27368484.39,-0.009337
66104,EXC,2015-03-12,32.69,28107940.77,0.027019
66105,EXC,2015-03-13,32.39,27849990.87,-0.009177
66106,EXC,2015-03-16,32.69,28107940.77,0.009262
66107,EXC,2015-03-17,32.93,28314300.69,0.007342
66108,EXC,2015-03-18,33.72,28993568.76,0.02399
66109,EXC,2015-03-19,33.25,28589447.25,-0.013938
66110,EXC,2015-03-20,33.2,28546455.6,-0.001504
66111,EXC,2015-03-23,33.36,28684028.88,0.004819
66112,EXC,2015-03-24,33.21,28555053.93,-0.004496
66113,EXC,2015-03-25,32.84,28236915.72,-0.011141
66114,EXC,2015-03-26,32.52,27961769.16,-0.009744
66115,EXC,2015-03-27,32.43,27884384.19,-0.002768
66116,EXC,2015-03-30,33.57,28864593.81,0.035153
66117,EXC,2015-03-31,33.61,28937773.07,0.001192
66118,EXC,2015-04-01,32.85,28283422.95,-0.022612
66119,EXC,2015-04-02,33.38,28739746.06,0.016134
66120,EXC,2015-04-06,33.83,29127190.21,0.013481
66121,EXC,2015-04-07,33.8,29101360.6,-0.000887
66122,EXC,2015-04-08,33.4,28756965.8,-0.011834
66123,EXC,2015-04-09,33.45,28800015.15,0.001497
66124,EXC,2015-04-10,33.38,28739746.06,-0.002093
66125,EXC,2015-04-13,33.13,28524499.31,-0.00749
66126,EXC,2015-04-14,33.46,28808625.02,0.009961
66127,EXC,2015-04-15,33.67,28989432.29,0.006276
66128,EXC,2015-04-16,33.39,28748355.93,-0.008316
66129,EXC,2015-04-17,32.99,28403961.13,-0.01198
66130,EXC,2015-04-20,33.66,28980822.42,0.020309
66131,EXC,2015-04-21,33.11,28507279.57,-0.01634
66132,EXC,2015-04-22,33.11,28507279.57,0.0
66133,EXC,2015-04-23,33.09,28490059.83,-0.000604
66134,EXC,2015-04-24,34.06,29325217.22,0.029314
66135,EXC,2015-04-27,33.37,28731136.19,-0.020258
66136,EXC,2015-04-28,33.72,29032481.64,0.010488
66137,EXC,2015-04-29,33.82,29118580.34,0.002966
66138,EXC,2015-04-30,34.02,29299520.88,0.005914
66139,EXC,2015-05-01,34.12,29385645.28,0.002939
66140,EXC,2015-05-04,34.81,29979903.64,0.020223
66141,EXC,2015-05-05,34.02,29299520.88,-0.022695
66142,EXC,2015-05-06,33.44,28799999.36,-0.017049
66143,EXC,2015-05-07,33.83,29135884.52,0.011663
