Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
70088,FDX,2015-01-02,172.45,48857326.85,-0.006968
70089,FDX,2015-01-05,169.8,48106547.4,-0.015367
70090,FDX,2015-01-06,169.79,48103714.27,-5.9e-05
70091,FDX,2015-01-07,171.04,48457855.52,0.007362
70092,FDX,2015-01-08,175.04,49591107.52,0.023386
70093,FDX,2015-01-09,172.66,48916822.58,-0.013597
70094,FDX,2015-01-12,172.57,48891324.41,-0.000521
70095,FDX,2015-01-13,171.5,48588179.5,-0.0062
70096,FDX,2015-01-14,172.75,48942320.75,0.007289
70097,FDX,2015-01-15,173.85,49253965.05,0.006368
70098,FDX,2015-01-16,176.76,50078405.88,0.016739
70099,FDX,2015-01-20,179.13,50749857.69,0.013408
70100,FDX,2015-01-21,178.69,50625199.97,-0.002456
70101,FDX,2015-01-22,181.4,51392978.2,0.015166
70102,FDX,2015-01-23,176.01,49865921.13,-0.029713
70103,FDX,2015-01-26,176.66,50050074.58,0.003693
70104,FDX,2015-01-27,173.88,49262464.44,-0.015736
70105,FDX,2015-01-28,171.45,48574013.85,-0.013975
70106,FDX,2015-01-29,172.89,48981984.57,0.008399
70107,FDX,2015-01-30,169.11,47911061.43,-0.021864
70108,FDX,2015-02-02,171.25,48517351.25,0.012654
70109,FDX,2015-02-03,172.97,49004649.61,0.010044
70110,FDX,2015-02-04,172.08,48752501.04,-0.005145
70111,FDX,2015-02-05,173.37,49117974.81,0.007497
70112,FDX,2015-02-06,173.25,49083977.25,-0.000692
70113,FDX,2015-02-09,171.64,48627843.32,-0.009293
70114,FDX,2015-02-10,173.3,49098142.9,0.009671
70115,FDX,2015-02-11,173.92,49273796.96,0.003578
70116,FDX,2015-02-12,176.3,49948081.9,0.013684
70117,FDX,2015-02-13,176.47,49996245.11,0.000964
70118,FDX,2015-02-17,179.54,50866016.02,0.017397
70119,FDX,2015-02-18,179.78,50934011.14,0.001337
70120,FDX,2015-02-19,178.65,50613867.45,-0.006285
70121,FDX,2015-02-20,178.5,50571370.5,-0.00084
70122,FDX,2015-02-23,178.3,50514707.9,-0.00112
70123,FDX,2015-02-24,177.8,50373051.4,-0.002804
70124,FDX,2015-02-25,175.64,49761095.32,-0.012148
70125,FDX,2015-02-26,174.6,49466449.8,-0.005921
70126,FDX,2015-02-27,176.98,50140734.74,0.013631
70127,FDX,2015-03-02,176.8,50089738.4,-0.001017
70128,FDX,2015-03-03,176.15,49905584.95,-0.003676
70129,FDX,2015-03-04,174.62,49472116.06,-0.008686
70130,FDX,2015-03-05,174.82,49528778.66,0.001145
70131,FDX,2015-03-06,173.19,49066978.47,-0.009324
70132,FDX,2015-03-09,172.91,48987650.83,-0.000462
70133,FDX,2015-03-10,170.0,48163210.0,-0.01683
70134,FDX,2015-03-11,171.56,48605178.28,0.009176
70135,FDX,2015-03-12,173.58,49177470.54,0.011774
70136,FDX,2015-03-13,173.32,49103809.16,-0.001498
70137,FDX,2015-03-16,177.32,50237061.16,0.023079
70138,FDX,2015-03-17,175.71,49780927.23,-0.00908
70139,FDX,2015-03-18,173.3,49098142.9,-0.013716
70140,FDX,2015-03-19,173.85,49253965.05,0.003174
70141,FDX,2015-03-20,172.04,48741168.52,-0.010411
70142,FDX,2015-03-23,170.64,48344530.32,-0.008138
70143,FDX,2015-03-24,169.16,47925227.08,-0.008673
70144,FDX,2015-03-25,165.43,46868469.59,-0.02205
70145,FDX,2015-03-26,165.49,46885468.37,0.000363
70146,FDX,2015-03-27,164.59,46630486.67,-0.005438
70147,FDX,2015-03-30,166.75,47242442.75,0.013124
70148,FDX,2015-03-31,165.45,46947595.65,-0.007796
70149,FDX,2015-04-01,166.24,47171763.68,0.004775
70150,FDX,2015-04-02,166.22,47166088.54,-0.00012
70151,FDX,2015-04-06,166.67,47293779.19,0.002707
70152,FDX,2015-04-07,171.16,48567848.12,0.026939
70153,FDX,2015-04-08,171.84,48760802.88,0.003973
70154,FDX,2015-04-09,172.92,49067260.44,0.006285
70155,FDX,2015-04-10,174.37,49478708.09,0.008385
70156,FDX,2015-04-13,173.13,49126849.41,-0.007111
70157,FDX,2015-04-14,171.5,48664325.5,-0.009415
70158,FDX,2015-04-15,169.52,48102486.64,-0.011545
70159,FDX,2015-04-16,169.24,48023034.68,-0.001652
70160,FDX,2015-04-17,168.0,47671176.0,-0.007327
70161,FDX,2015-04-20,169.06,47971958.42,0.00631
70162,FDX,2015-04-21,169.91,48213151.87,0.005028
70163,FDX,2015-04-22,170.01,48241527.57,0.000589
70164,FDX,2015-04-23,170.1,48267065.7,0.000529
70165,FDX,2015-04-24,169.95,48224502.15,-0.000882
70166,FDX,2015-04-27,169.03,47963445.71,-0.005413
70167,FDX,2015-04-28,171.24,48590548.68,0.013075
70168,FDX,2015-04-29,169.57,48116674.49,-0.009752
70169,FDX,2015-04-30,169.57,48116674.49,0.0
70170,FDX,2015-05-01,171.73,48729589.61,0.012738
70171,FDX,2015-05-04,172.33,48899843.81,0.003494
70172,FDX,2015-05-05,169.81,48184776.17,-0.014623
70173,FDX,2015-05-06,169.56,48113836.92,-0.001472
70174,FDX,2015-05-07,171.74,48732427.18,0.012857
70175,FDX,2015-05-08,173.35,49189275.95,0.009375
70176,FDX,2015-05-11,174.2,49430469.4,0.004903
70177,FDX,2015-05-12,173.42,49209138.94,-0.004478
70178,FDX,2015-05-13,171.93,48786341.01,-0.008592
70179,FDX,2015-05-14,173.45,49217651.65,0.008841
70180,FDX,2015-05-15,175.14,49697200.98,0.009743
70181,FDX,2015-05-18,177.18,50276065.26,0.011648
70182,FDX,2015-05-19,177.98,50503070.86,0.004515
70183,FDX,2015-05-20,177.52,50372542.64,-0.002585
70184,FDX,2015-05-21,176.55,50097298.35,-0.005464
70185,FDX,2015-05-22,175.18,49708551.26,-0.00776
70186,FDX,2015-05-26,174.11,49404931.27,-0.006108
70187,FDX,2015-05-27,176.66,50128511.62,0.014646
70188,FDX,2015-05-28,175.1,49685850.7,-0.008831
70189,FDX,2015-05-29,173.22,49152387.54,-0.010737
70190,FDX,2015-06-01,175.37,49762465.09,0.012412
70191,FDX,2015-06-02,175.72,49861780.04,0.001996
70192,FDX,2015-06-03,179.92,51053559.44,0.023902
70193,FDX,2015-06-04,179.63,50971269.91,-0.001612
70194,FDX,2015-06-05,182.24,51711875.68,0.01453
70195,FDX,2015-06-08,179.89,51045046.73,-0.012895
70196,FDX,2015-06-09,180.37,51181250.09,0.002668
70197,FDX,2015-06-10,182.32,51734576.24,0.010811
70198,FDX,2015-06-11,184.98,52489369.86,0.01459
70199,FDX,2015-06-12,183.63,52106297.91,-0.007298
70200,FDX,2015-06-15,182.66,51831053.62,-0.005282
70201,FDX,2015-06-16,182.13,51680662.41,-0.001533
70202,FDX,2015-06-17,176.73,50148374.61,-0.029649
70203,FDX,2015-06-18,178.39,50619411.23,0.009393
70204,FDX,2015-06-19,175.94,49924206.58,-0.013734
70205,FDX,2015-06-22,176.28,50020683.96,0.001932
70206,FDX,2015-06-23,175.27,49734089.39,-0.00573
70207,FDX,2015-06-24,173.42,49209138.94,-0.010555
70208,FDX,2015-06-25,172.8,49033209.6,-0.003575
70209,FDX,2015-06-26,173.66,49277240.62,0.004977
70210,FDX,2015-06-29,171.02,48528122.14,-0.015202
70211,FDX,2015-06-30,170.4,48352192.8,-0.003625
70212,FDX,2015-07-01,169.81,48184776.17,-0.003462
70213,FDX,2015-07-02,171.13,48559335.41,0.007773
70214,FDX,2015-07-06,168.75,47883993.75,-0.013908
70215,FDX,2015-07-07,170.34,48335167.38,0.009422
70216,FDX,2015-07-08,166.99,47384581.43,-0.019667
70217,FDX,2015-07-09,167.71,47588886.47,0.004312
70218,FDX,2015-07-10,168.46,47801704.22,0.004472
70219,FDX,2015-07-13,170.97,48513934.29,0.0149
70220,FDX,2015-07-14,171.24,48590548.68,0.001579
70221,FDX,2015-07-15,169.13,47991821.41,-0.012322
70222,FDX,2015-07-16,169.49,48093973.93,0.002129
70223,FDX,2015-07-17,170.23,48303954.11,0.004366
70224,FDX,2015-07-20,170.21,48298278.97,-0.000117
70225,FDX,2015-07-21,170.56,48397593.92,0.002056
70226,FDX,2015-07-22,168.5,47813054.5,-0.012078
70227,FDX,2015-07-23,166.86,47347693.02,-0.009733
70228,FDX,2015-07-24,164.11,46567361.27,-0.016481
70229,FDX,2015-07-27,164.74,46746128.18,0.003839
70230,FDX,2015-07-28,169.43,48076948.51,0.028469
70231,FDX,2015-07-29,171.89,48774990.73,0.014519
70232,FDX,2015-07-30,171.27,48599061.39,-0.003607
70233,FDX,2015-07-31,171.42,48414150.6,0.000876
70234,FDX,2015-08-03,170.81,48241868.3,-0.003559
70235,FDX,2015-08-04,170.09,48038518.7,-0.004215
70236,FDX,2015-08-05,171.29,48377434.7,0.007055
70237,FDX,2015-08-06,169.6,47900128.0,-0.009866
70238,FDX,2015-08-07,166.99,47162985.7,-0.015389
70239,FDX,2015-08-10,169.4,47843642.0,0.014432
70240,FDX,2015-08-11,168.43,47569684.9,-0.005726
70241,FDX,2015-08-12,165.31,46688503.3,-0.018524
70242,FDX,2015-08-13,163.6,46205548.0,-0.010344
70243,FDX,2015-08-14,164.81,46547288.3,0.007396
70244,FDX,2015-08-17,164.97,46592477.1,0.000971
70245,FDX,2015-08-18,165.66,46787353.8,0.004183
70246,FDX,2015-08-19,164.95,46586828.5,-0.004286
70247,FDX,2015-08-20,160.45,45315893.5,-0.027281
70248,FDX,2015-08-21,156.03,44067552.9,-0.027548
70249,FDX,2015-08-24,148.37,41904139.1,-0.049093
70250,FDX,2015-08-25,145.06,40969295.8,-0.022309
70251,FDX,2015-08-26,148.43,41921084.9,0.023232
70252,FDX,2015-08-27,153.04,43223087.2,0.031058
70253,FDX,2015-08-28,152.5,43070575.0,-0.003528
70254,FDX,2015-08-31,150.61,42547475.61,-0.012393
70255,FDX,2015-09-01,148.03,41818623.03,-0.01713
70256,FDX,2015-09-02,150.82,42606800.82,0.018848
70257,FDX,2015-09-03,151.21,42716976.21,0.002586
70258,FDX,2015-09-04,148.61,41982473.61,-0.017195
70259,FDX,2015-09-08,153.29,43304578.29,0.033174
70260,FDX,2015-09-09,151.56,42815851.56,-0.011286
70261,FDX,2015-09-10,149.57,42253674.57,-0.01313
70262,FDX,2015-09-11,151.08,42680251.08,0.010096
70263,FDX,2015-09-14,150.23,42440125.23,-0.005626
70264,FDX,2015-09-15,154.0,43505154.0,0.025095
70265,FDX,2015-09-16,149.63,42270624.63,-0.028377
70266,FDX,2015-09-17,149.49,42231074.49,-0.000936
70267,FDX,2015-09-18,145.3,41047395.3,-0.028029
70268,FDX,2015-09-21,146.01,41247971.01,0.004886
70269,FDX,2015-09-22,143.97,40671668.97,-0.013972
