Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
68071,F,2015-01-02,15.36,58027545.6,-0.009032
68072,F,2015-01-05,14.76,55760844.6,-0.039063
68073,F,2015-01-06,14.62,55231947.7,-0.009485
68074,F,2015-01-07,15.04,56818638.4,0.028728
68075,F,2015-01-08,15.42,58254215.7,0.025266
68076,F,2015-01-09,15.21,57460870.35,-0.013619
68077,F,2015-01-12,15.22,57498648.7,0.000657
68078,F,2015-01-13,15.21,57460870.35,-0.000657
68079,F,2015-01-14,15.11,57083086.85,-0.006575
68080,F,2015-01-15,14.86,56138628.1,-0.016545
68081,F,2015-01-16,15.02,56743081.7,0.010767
68082,F,2015-01-20,15.01,56705303.35,-0.000666
68083,F,2015-01-21,14.97,56554189.95,-0.002665
68084,F,2015-01-22,15.03,56780860.05,0.004008
68085,F,2015-01-23,14.91,56327519.85,-0.007984
68086,F,2015-01-26,15.08,56969751.8,0.011402
68087,F,2015-01-27,14.85,56100849.75,-0.015252
68088,F,2015-01-28,14.46,54627494.1,-0.016162
68089,F,2015-01-29,14.85,56100849.75,0.026971
68090,F,2015-01-30,14.71,55571952.85,-0.009428
68091,F,2015-02-02,15.27,57687540.45,0.038069
68092,F,2015-02-03,15.65,59123117.75,0.024885
68093,F,2015-02-04,15.87,59954241.45,0.014058
68094,F,2015-02-05,15.85,59878684.75,-0.00126
68095,F,2015-02-06,15.86,59916463.1,0.000631
68096,F,2015-02-09,15.92,60143133.2,0.003783
68097,F,2015-02-10,16.09,60785365.15,0.010678
68098,F,2015-02-11,16.25,61389818.75,0.009944
68099,F,2015-02-12,16.36,61805380.6,0.006769
68100,F,2015-02-13,16.3,61578710.5,-0.003667
68101,F,2015-02-17,16.11,60860921.85,-0.011656
68102,F,2015-02-18,16.21,61238705.35,0.006207
68103,F,2015-02-19,16.43,62069829.05,0.013572
68104,F,2015-02-20,16.4,61956494.0,-0.001826
68105,F,2015-02-23,16.38,61880937.3,-0.00122
68106,F,2015-02-24,16.36,61805380.6,-0.001221
68107,F,2015-02-25,16.51,62372055.85,0.009169
68108,F,2015-02-26,16.38,61880937.3,-0.007874
68109,F,2015-02-27,16.34,63482370.6,-0.002442
68110,F,2015-03-02,16.57,64375941.3,0.014076
68111,F,2015-03-03,16.17,62821905.3,-0.02414
68112,F,2015-03-04,16.03,62277992.7,-0.008658
68113,F,2015-03-05,16.11,62588799.9,0.004991
68114,F,2015-03-06,15.93,61889483.7,-0.011173
68115,F,2015-03-09,16.03,62277992.7,0.006277
68116,F,2015-03-10,15.72,61073614.8,-0.019339
68117,F,2015-03-11,15.75,61190167.5,0.001908
68118,F,2015-03-12,16.17,62821905.3,0.026667
68119,F,2015-03-13,16.2,62938458.0,0.001855
68120,F,2015-03-16,16.49,64065134.1,0.017901
68121,F,2015-03-17,16.39,63676625.1,-0.006064
68122,F,2015-03-18,16.46,63948581.4,0.004271
68123,F,2015-03-19,16.34,63482370.6,-0.00729
68124,F,2015-03-20,16.48,64026283.2,0.008568
68125,F,2015-03-23,16.57,64375941.3,0.005461
68126,F,2015-03-24,16.56,64337090.4,-0.000604
68127,F,2015-03-25,16.18,62860756.2,-0.022947
68128,F,2015-03-26,16.01,62200290.9,-0.010507
68129,F,2015-03-27,15.98,62083738.2,-0.001874
68130,F,2015-03-30,16.16,62783054.4,0.011264
68131,F,2015-03-31,16.14,63010705.26,-0.001238
68132,F,2015-04-01,15.91,62112783.19,-0.01425
68133,F,2015-04-02,16.03,62581264.27,0.007542
68134,F,2015-04-06,16.0,62464144.0,-0.001871
68135,F,2015-04-07,15.9,62073743.1,-0.00625
68136,F,2015-04-08,15.98,62386063.82,0.005031
68137,F,2015-04-09,15.95,62268943.55,-0.001877
68138,F,2015-04-10,16.03,62581264.27,0.005016
68139,F,2015-04-13,15.87,61956622.83,-0.009981
68140,F,2015-04-14,15.97,62347023.73,0.006301
68141,F,2015-04-15,16.07,62737424.63,0.006262
68142,F,2015-04-16,15.94,62229903.46,-0.00809
68143,F,2015-04-17,15.76,61527181.84,-0.011292
68144,F,2015-04-20,15.91,62112783.19,0.009518
68145,F,2015-04-21,15.82,61761422.38,-0.005657
68146,F,2015-04-22,15.91,62112783.19,0.005689
68147,F,2015-04-23,15.76,61527181.84,-0.009428
68148,F,2015-04-24,15.77,61566221.93,0.000635
68149,F,2015-04-27,15.9,62073743.1,0.008244
68150,F,2015-04-28,16.06,62698384.54,0.010063
68151,F,2015-04-29,16.02,62542224.18,0.006849
68152,F,2015-04-30,15.8,61691163.2,-0.013733
68153,F,2015-05-01,15.81,61730208.24,0.000633
68154,F,2015-05-04,15.78,61613073.12,-0.001898
68155,F,2015-05-05,15.53,60636947.12,-0.015843
68156,F,2015-05-06,15.48,60441721.92,-0.00322
68157,F,2015-05-07,15.51,60558857.04,0.001938
68158,F,2015-05-08,15.67,61183577.68,0.010316
68159,F,2015-05-11,15.65,61105487.6,-0.001276
68160,F,2015-05-12,15.56,60754082.24,-0.005751
68161,F,2015-05-13,15.41,60168406.64,-0.00964
68162,F,2015-05-14,15.27,59621776.08,-0.009085
68163,F,2015-05-15,15.48,60441721.92,0.013752
68164,F,2015-05-18,15.58,60832172.32,0.00646
68165,F,2015-05-19,15.5,60519812.0,-0.005135
68166,F,2015-05-20,15.3,59738911.2,-0.012903
