Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
72102,GD,2015-01-02,138.45,45880945.5,0.006031
72103,GD,2015-01-05,135.56,44923228.4,-0.020874
72104,GD,2015-01-06,135.72,44976250.8,0.00118
72105,GD,2015-01-07,135.2,44803928.0,-0.003831
72106,GD,2015-01-08,138.46,45884259.4,0.024112
72107,GD,2015-01-09,138.97,46053268.3,0.003683
72108,GD,2015-01-12,137.9,45698681.0,-0.0077
72109,GD,2015-01-13,137.79,45662228.1,-0.000798
72110,GD,2015-01-14,137.35,45516416.5,0.001306
72111,GD,2015-01-15,137.71,45635716.9,0.002621
72112,GD,2015-01-16,139.07,46086407.3,0.009876
72113,GD,2015-01-20,138.09,45761645.1,-0.007047
72114,GD,2015-01-21,138.89,46026757.1,0.005793
72115,GD,2015-01-22,141.21,46795581.9,0.016704
72116,GD,2015-01-23,141.32,46832034.8,0.000779
72117,GD,2015-01-26,140.06,46414483.4,-0.008916
72118,GD,2015-01-27,137.2,45466708.0,-0.02042
72119,GD,2015-01-28,136.4,45201596.0,-0.005831
72120,GD,2015-01-29,134.48,44565327.2,-0.014076
72121,GD,2015-01-30,133.21,44247566.44,-0.009444
72122,GD,2015-02-02,136.12,45214163.68,0.021845
72123,GD,2015-02-03,138.95,46154187.8,0.02079
72124,GD,2015-02-04,138.53,46014678.92,-0.003023
72125,GD,2015-02-05,138.69,46067825.16,0.001155
72126,GD,2015-02-06,139.29,46267123.56,0.004326
72127,GD,2015-02-09,136.94,45486538.16,-0.016871
72128,GD,2015-02-10,138.16,45891778.24,0.008909
72129,GD,2015-02-11,137.21,45576222.44,-0.006876
72130,GD,2015-02-12,138.15,45888456.6,0.006851
72131,GD,2015-02-13,137.61,45709088.04,-0.003909
72132,GD,2015-02-17,138.05,45855240.2,0.003197
72133,GD,2015-02-18,138.66,46057860.24,0.004419
72134,GD,2015-02-19,139.51,46340199.64,0.00613
72135,GD,2015-02-20,142.24,47247007.36,0.019568
72136,GD,2015-02-23,141.26,46921486.64,-0.00689
72137,GD,2015-02-24,141.68,47060995.52,0.002973
72138,GD,2015-02-25,140.14,46549462.96,-0.01087
72139,GD,2015-02-26,139.43,46313626.52,-0.005066
72140,GD,2015-02-27,138.78,46034019.9,-0.004662
72141,GD,2015-03-02,139.8,46372359.0,0.00735
72142,GD,2015-03-03,137.09,45473438.45,-0.019385
72143,GD,2015-03-04,136.25,45194806.25,-0.006127
72144,GD,2015-03-05,136.43,45254513.15,0.001321
72145,GD,2015-03-06,134.6,44647493.0,-0.013413
72146,GD,2015-03-09,135.92,45085343.6,0.009807
72147,GD,2015-03-10,132.69,44013936.45,-0.023764
72148,GD,2015-03-11,132.3,43884571.5,-0.002939
72149,GD,2015-03-12,133.67,44339007.35,0.010355
72150,GD,2015-03-13,132.19,43848083.95,-0.011072
72151,GD,2015-03-16,134.97,44770223.85,0.02103
72152,GD,2015-03-17,134.13,44491591.65,-0.006224
72153,GD,2015-03-18,136.12,45151684.6,0.014836
72154,GD,2015-03-19,135.28,44873052.4,-0.006171
72155,GD,2015-03-20,135.41,44916174.05,0.000961
72156,GD,2015-03-23,135.88,45072075.4,0.003471
72157,GD,2015-03-24,135.2,44846516.0,-0.005004
72158,GD,2015-03-25,133.76,44368860.8,-0.010651
72159,GD,2015-03-26,134.53,44624273.65,0.005757
72160,GD,2015-03-27,135.04,44793443.2,0.003791
72161,GD,2015-03-30,137.51,45612754.55,0.018291
72162,GD,2015-03-31,135.73,44815874.32,-0.012945
72163,GD,2015-04-01,133.98,44238052.32,-0.012893
72164,GD,2015-04-02,133.73,44155506.32,-0.001866
72165,GD,2015-04-06,135.51,44743233.84,0.01331
72166,GD,2015-04-07,135.0,44574840.0,-0.003764
72167,GD,2015-04-08,135.24,44654084.16,0.006889
72168,GD,2015-04-09,135.78,44832383.52,0.003993
72169,GD,2015-04-10,135.91,44875307.44,0.000957
72170,GD,2015-04-13,134.77,44498897.68,-0.008388
72171,GD,2015-04-14,133.1,43947490.4,-0.012391
72172,GD,2015-04-15,132.6,43782398.4,-0.003757
72173,GD,2015-04-16,133.15,43963999.6,0.004148
72174,GD,2015-04-17,131.27,43343253.68,-0.014119
72175,GD,2015-04-20,133.28,44006923.52,0.015312
72176,GD,2015-04-21,133.14,43960697.76,-0.00105
72177,GD,2015-04-22,133.71,44148902.64,0.004281
72178,GD,2015-04-23,132.8,43848435.2,-0.006806
72179,GD,2015-04-24,134.1,44277674.4,0.009789
72180,GD,2015-04-27,133.56,44099375.04,-0.004027
72181,GD,2015-04-28,133.48,44072960.32,-0.000599
72182,GD,2015-04-29,138.53,45740389.52,0.037833
72183,GD,2015-04-30,137.32,45141615.56,-0.008735
72184,GD,2015-05-01,140.14,46068642.62,0.020536
72185,GD,2015-05-04,140.6,46219859.8,0.003282
72186,GD,2015-05-05,137.98,45358579.34,-0.018634
72187,GD,2015-05-06,137.63,45243522.79,-0.002537
72188,GD,2015-05-07,138.3,45463773.9,0.004868
72189,GD,2015-05-08,141.66,46568316.78,0.024295
72190,GD,2015-05-11,140.22,46094941.26,-0.010165
72191,GD,2015-05-12,139.43,45835242.19,-0.005634
72192,GD,2015-05-13,139.02,45700461.66,-0.002941
72193,GD,2015-05-14,140.94,46331629.02,0.013811
72194,GD,2015-05-15,140.11,46058780.63,-0.005889
72195,GD,2015-05-18,140.28,46114665.24,0.001213
72196,GD,2015-05-19,140.05,46039056.65,-0.00164
72197,GD,2015-05-20,139.95,46006183.35,-0.000714
72198,GD,2015-05-21,140.87,46308617.71,0.006574
72199,GD,2015-05-22,139.64,45904276.12,-0.008731
72200,GD,2015-05-26,137.99,45361866.67,-0.011816
72201,GD,2015-05-27,140.56,46206710.48,0.018625
72202,GD,2015-05-28,140.41,46157400.53,-0.001067
72203,GD,2015-05-29,140.16,46075217.28,-0.00178
72204,GD,2015-06-01,140.25,46104803.25,0.000642
72205,GD,2015-06-02,140.6,46219859.8,0.002496
72206,GD,2015-06-03,140.68,46246158.44,0.000569
72207,GD,2015-06-04,138.98,45687312.34,-0.012084
72208,GD,2015-06-05,139.22,45766208.26,0.001727
72209,GD,2015-06-08,138.34,45476923.22,-0.006321
72210,GD,2015-06-09,138.68,45588692.44,0.002458
72211,GD,2015-06-10,141.54,46528868.82,0.020623
72212,GD,2015-06-11,142.25,46762269.25,0.005016
72213,GD,2015-06-12,142.05,46696522.65,-0.001406
72214,GD,2015-06-15,142.02,46686660.66,-0.000211
72215,GD,2015-06-16,143.23,47084427.59,0.00852
72216,GD,2015-06-17,144.5,47501918.5,0.008867
72217,GD,2015-06-18,145.99,47991730.67,0.010311
72218,GD,2015-06-19,145.09,47695870.97,-0.006165
72219,GD,2015-06-22,145.37,47787916.21,0.00193
72220,GD,2015-06-23,145.37,47787916.21,0.0
72221,GD,2015-06-24,145.52,47837226.16,0.001032
72222,GD,2015-06-25,144.13,47380287.29,-0.009552
72223,GD,2015-06-26,145.74,47909547.42,0.01117
72224,GD,2015-06-29,141.84,46627488.72,-0.02676
72225,GD,2015-06-30,141.69,46578178.77,0.003807
72226,GD,2015-07-01,143.17,47064703.61,0.010445
72227,GD,2015-07-02,143.15,47058128.95,-0.00014
72228,GD,2015-07-06,143.34,47120588.22,0.001327
72229,GD,2015-07-07,143.65,47222495.45,0.002163
72230,GD,2015-07-08,142.26,46765556.58,-0.009676
72231,GD,2015-07-09,143.88,47298104.04,0.011388
72232,GD,2015-07-10,146.1,48027891.3,0.01543
72233,GD,2015-07-13,146.23,48070626.59,0.00089
72234,GD,2015-07-14,146.97,48313889.01,0.005061
72235,GD,2015-07-15,147.25,48405934.25,0.001905
72236,GD,2015-07-16,148.45,48800413.85,0.008149
72237,GD,2015-07-17,148.65,48866160.45,0.001347
72238,GD,2015-07-20,149.01,48984504.33,0.002422
72239,GD,2015-07-21,146.29,48090350.57,-0.018254
72240,GD,2015-07-22,145.22,47738606.26,-0.007314
72241,GD,2015-07-23,144.8,47600538.4,-0.002892
72242,GD,2015-07-24,142.62,46883900.46,-0.015055
72243,GD,2015-07-27,142.41,46814866.53,-0.001472
72244,GD,2015-07-28,144.29,47432884.57,0.013201
72245,GD,2015-07-29,149.96,49296800.68,0.039296
72246,GD,2015-07-30,150.28,49401995.24,0.002134
72247,GD,2015-07-31,149.11,48121822.97,-0.007785
72248,GD,2015-08-03,148.85,48037913.95,-0.001744
72249,GD,2015-08-04,148.8,48021777.6,-0.000336
72250,GD,2015-08-05,149.82,48350959.14,0.006855
72251,GD,2015-08-06,149.46,48234777.42,-0.002403
72252,GD,2015-08-07,149.72,48318686.44,0.00174
72253,GD,2015-08-10,151.96,49041594.92,0.014961
72254,GD,2015-08-11,150.6,48602686.2,-0.00895
72255,GD,2015-08-12,150.39,48534913.53,-0.001394
72256,GD,2015-08-13,150.54,48583322.58,0.000997
72257,GD,2015-08-14,151.61,48928640.47,0.007108
72258,GD,2015-08-17,152.85,49328821.95,0.008179
72259,GD,2015-08-18,153.28,49467594.56,0.002813
72260,GD,2015-08-19,152.75,49296549.25,-0.003458
72261,GD,2015-08-20,148.93,48063732.11,-0.025008
72262,GD,2015-08-21,145.17,46850278.59,-0.025247
72263,GD,2015-08-24,140.81,45443188.87,-0.030034
72264,GD,2015-08-25,138.84,44807416.68,-0.01399
72265,GD,2015-08-26,144.05,46488824.35,0.037525
72266,GD,2015-08-27,145.17,46850278.59,0.007775
72267,GD,2015-08-28,144.53,46643733.31,-0.004409
72268,GD,2015-08-31,142.03,45836915.81,-0.017297
72269,GD,2015-09-01,138.89,44823553.03,-0.022108
72270,GD,2015-09-02,142.45,45972461.15,0.025632
72271,GD,2015-09-03,143.41,46282279.07,0.006739
72272,GD,2015-09-04,141.18,45562597.86,-0.01555
72273,GD,2015-09-08,144.39,46598551.53,0.022737
72274,GD,2015-09-09,142.47,45978915.69,-0.013297
72275,GD,2015-09-10,140.71,45410916.17,-0.012353
72276,GD,2015-09-11,141.88,45788506.76,0.008315
72277,GD,2015-09-14,140.65,45391552.55,-0.008669
72278,GD,2015-09-15,141.79,45759461.33,0.008105
72279,GD,2015-09-16,141.84,45775597.68,0.000353
72280,GD,2015-09-17,141.56,45685234.12,-0.001974
72281,GD,2015-09-18,139.24,44936507.48,-0.016389
72282,GD,2015-09-21,139.72,45091416.44,0.003447
72283,GD,2015-09-22,137.95,44520189.65,-0.012668
72284,GD,2015-09-23,136.57,44074826.39,-0.010004
72285,GD,2015-09-24,138.51,44700916.77,0.014205
72286,GD,2015-09-25,138.02,44542780.54,-0.003538
72287,GD,2015-09-28,135.11,43603644.97,-0.021084
72288,GD,2015-09-29,135.59,43758553.93,0.003553
72289,GD,2015-09-30,137.95,44520189.65,0.017405
72290,GD,2015-10-01,138.18,44594416.86,0.001667
72291,GD,2015-10-02,139.13,44901007.51,0.006875
72292,GD,2015-10-05,144.12,46511415.24,0.035866
72293,GD,2015-10-06,140.66,45394779.82,-0.024008
72294,GD,2015-10-07,140.36,45297961.72,0.002773
72295,GD,2015-10-08,141.91,45798188.57,0.011043
72296,GD,2015-10-09,142.72,46059597.44,0.005708
72297,GD,2015-10-12,143.69,46372642.63,0.006797
72298,GD,2015-10-13,141.71,45733643.17,-0.01378
72299,GD,2015-10-14,139.5,45020416.5,-0.015595
72300,GD,2015-10-15,141.29,45598097.83,0.012832
72301,GD,2015-10-16,141.7,45730415.9,0.002902
72302,GD,2015-10-19,141.25,45585188.75,-0.003176
72303,GD,2015-10-20,141.25,45585188.75,0.0
72304,GD,2015-10-21,143.09,46179006.43,0.013027
72305,GD,2015-10-22,147.25,47521550.75,0.029073
72306,GD,2015-10-23,148.28,47853959.56,0.006995
72307,GD,2015-10-26,148.15,47812005.05,-0.000877
72308,GD,2015-10-27,148.4,47892686.8,0.001687
72309,GD,2015-10-28,150.78,48660777.06,0.016038
72310,GD,2015-10-29,149.97,48399368.19,-0.005372
72311,GD,2015-10-30,148.58,46970298.24,-0.009269
72312,GD,2015-11-02,148.72,47014556.16,0.000942
72313,GD,2015-11-03,147.17,46524557.76,-0.010422
72314,GD,2015-11-04,147.28,46559331.84,0.000747
72315,GD,2015-11-05,147.07,46492944.96,-0.001426
72316,GD,2015-11-06,145.92,46129397.76,-0.007819
72317,GD,2015-11-09,144.29,45614109.12,-0.011171
72318,GD,2015-11-10,143.94,45503464.32,-0.002426
72319,GD,2015-11-11,143.31,45304303.68,-0.004377
72320,GD,2015-11-12,141.85,44842756.8,-0.010188
72321,GD,2015-11-13,140.6,44447596.8,-0.008812
72322,GD,2015-11-16,143.28,45294819.84,0.019061
72323,GD,2015-11-17,142.87,45165207.36,-0.002862
72324,GD,2015-11-18,143.71,45430754.88,0.005879
72325,GD,2015-11-19,145.2,45901785.6,0.010368
72326,GD,2015-11-20,145.5,45996624.0,0.002066
72327,GD,2015-11-23,144.59,45708947.52,-0.006254
72328,GD,2015-11-24,145.53,46006107.84,0.006501
72329,GD,2015-11-25,145.18,45895463.04,-0.002405
72330,GD,2015-11-27,145.56,46015591.68,0.002617
72331,GD,2015-11-30,146.46,46300106.88,0.006183
72332,GD,2015-12-01,147.6,46660492.8,0.007784
72333,GD,2015-12-02,145.35,45949204.8,-0.015244
72334,GD,2015-12-03,141.96,44877530.88,-0.023323
72335,GD,2015-12-04,143.84,45471851.52,0.013243
72336,GD,2015-12-07,143.09,45234755.52,-0.005214
72337,GD,2015-12-08,142.0,44890176.0,-0.007618
72338,GD,2015-12-09,140.17,44311661.76,-0.012887
72339,GD,2015-12-10,140.0,44257920.0,-0.001213
72340,GD,2015-12-11,137.84,43575083.52,-0.015429
72341,GD,2015-12-14,139.19,44001856.32,0.009794
72342,GD,2015-12-15,138.04,43638309.12,-0.008262
72343,GD,2015-12-16,139.64,44144113.92,0.011591
72344,GD,2015-12-17,138.16,43676244.48,-0.010599
72345,GD,2015-12-18,136.71,43217858.88,-0.010495
72346,GD,2015-12-21,138.09,43654115.52,0.010094
72347,GD,2015-12-22,139.94,44238952.32,0.013397
72348,GD,2015-12-23,139.89,44223145.92,-0.000357
72349,GD,2015-12-24,139.84,44207339.52,-0.000357
72350,GD,2015-12-28,139.59,44128307.52,-0.001788
72351,GD,2015-12-29,140.34,44365403.52,0.005373
72352,GD,2015-12-30,139.26,44023985.28,-0.007696
72353,GD,2015-12-31,137.36,43423342.08,-0.013644
72354,GD,2016-01-04,136.07,43015536.96,-0.009391
72355,GD,2016-01-05,136.64,43195729.92,0.004189
72356,GD,2016-01-06,135.26,42759473.28,-0.0101
72357,GD,2016-01-07,130.8,41349542.4,-0.032974
72358,GD,2016-01-08,130.19,41156704.32,-0.004664
72359,GD,2016-01-11,131.29,41504445.12,0.008449
72360,GD,2016-01-12,132.49,41883798.72,0.00914
72361,GD,2016-01-13,129.05,40796318.4,-0.020756
72362,GD,2016-01-14,129.04,40793157.12,-7.7e-05
72363,GD,2016-01-15,125.99,39828966.72,-0.023636
72364,GD,2016-01-19,127.38,40268384.64,0.011033
72365,GD,2016-01-20,124.18,39256775.04,-0.025122
72366,GD,2016-01-21,124.32,39301032.96,0.001127
72367,GD,2016-01-22,126.37,39949095.36,0.01649
72368,GD,2016-01-25,124.6,39389548.8,-0.014006
72369,GD,2016-01-26,127.38,40268384.64,0.022311
72370,GD,2016-01-27,129.0,40780512.0,0.012718
72371,GD,2016-01-28,128.65,40669867.2,-0.002713
72372,GD,2016-01-29,133.77,41868270.99,0.039798
72373,GD,2016-02-01,133.62,41821322.94,-0.001121
72374,GD,2016-02-02,133.53,41793154.11,-0.000674
72375,GD,2016-02-03,133.79,41874530.73,0.001947
72376,GD,2016-02-04,135.35,42362790.45,0.01166
72377,GD,2016-02-05,134.2,42002855.4,-0.008496
72378,GD,2016-02-08,132.26,41395660.62,-0.014456
72379,GD,2016-02-09,132.13,41354972.31,-0.000983
72380,GD,2016-02-10,133.07,41649180.09,0.007114
72381,GD,2016-02-11,128.58,40243868.46,-0.033742
72382,GD,2016-02-12,130.18,40744647.66,0.012444
72383,GD,2016-02-16,131.51,41160920.37,0.010217
72384,GD,2016-02-17,135.03,42262634.61,0.026766
72385,GD,2016-02-18,135.05,42268894.35,0.000148
72386,GD,2016-02-19,135.26,42334621.62,0.001555
72387,GD,2016-02-22,136.62,42760283.94,0.010055
72388,GD,2016-02-23,135.91,42538063.17,-0.005197
72389,GD,2016-02-24,135.15,42300193.05,-0.005592
72390,GD,2016-02-25,137.24,42954335.88,0.015464
72391,GD,2016-02-26,137.11,42913647.57,-0.000947
72392,GD,2016-02-29,136.27,42402045.74,-0.006126
72393,GD,2016-03-01,138.24,43015034.88,0.014457
72394,GD,2016-03-02,135.61,42196678.82,-0.019025
72395,GD,2016-03-03,135.74,42237129.88,0.000959
72396,GD,2016-03-04,135.28,42093995.36,-0.003389
