Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
74116,GE,2015-01-02,25.06,251657331.52,-0.00831
74117,GE,2015-01-05,24.6,247037923.2,-0.018356
74118,GE,2015-01-06,24.07,241715561.44,-0.021545
74119,GE,2015-01-07,24.08,241815983.36,0.000415
74120,GE,2015-01-08,24.37,244728219.04,0.012043
74121,GE,2015-01-09,24.03,241313873.76,-0.013952
74122,GE,2015-01-12,23.98,240811764.16,-0.002081
74123,GE,2015-01-13,23.86,239606701.12,-0.005004
74124,GE,2015-01-14,23.78,238803325.76,-0.003353
74125,GE,2015-01-15,23.58,236794887.36,-0.00841
74126,GE,2015-01-16,23.59,236895309.28,0.000424
74127,GE,2015-01-20,23.85,239506279.2,0.011022
74128,GE,2015-01-21,24.04,241414295.68,0.007966
74129,GE,2015-01-22,24.28,243824421.76,0.009983
74130,GE,2015-01-23,24.48,245832860.16,0.008237
74131,GE,2015-01-26,24.59,246937501.28,0.004493
74132,GE,2015-01-27,24.38,244828640.96,-0.00854
74133,GE,2015-01-28,23.84,239405857.28,-0.022149
74134,GE,2015-01-29,24.08,241815983.36,0.010067
74135,GE,2015-01-30,23.89,239907966.88,-0.00789
74136,GE,2015-02-02,24.21,243121468.32,0.013395
74137,GE,2015-02-03,24.47,245732438.24,0.010739
74138,GE,2015-02-04,24.16,242619358.72,-0.012669
74139,GE,2015-02-05,24.5,246033704.0,0.014073
74140,GE,2015-02-06,24.52,246234547.84,0.000816
74141,GE,2015-02-09,24.64,247439610.88,0.004894
74142,GE,2015-02-10,24.72,248242986.24,0.003247
74143,GE,2015-02-11,24.77,248745095.84,0.002023
74144,GE,2015-02-12,24.89,249950158.88,0.004845
74145,GE,2015-02-13,25.15,252561128.8,0.010446
74146,GE,2015-02-17,25.17,252761972.64,0.000795
74147,GE,2015-02-18,25.25,253565348.0,0.003178
74148,GE,2015-02-19,25.01,251155221.92,-0.000396
74149,GE,2015-02-20,25.21,253163660.32,0.007997
74150,GE,2015-02-23,25.17,252761972.64,-0.001587
74151,GE,2015-02-24,25.39,254971254.88,0.008741
74152,GE,2015-02-25,25.91,260193194.72,0.020481
74153,GE,2015-02-26,25.89,259992350.88,-0.000772
74154,GE,2015-02-27,25.99,261586984.91,0.003862
74155,GE,2015-03-02,26.11,262794773.99,0.004617
74156,GE,2015-03-03,25.86,260278546.74,-0.009575
74157,GE,2015-03-04,25.66,258265564.94,-0.007734
74158,GE,2015-03-05,25.82,259875950.38,0.006235
74159,GE,2015-03-06,25.42,255849986.78,-0.015492
74160,GE,2015-03-09,25.64,258064266.76,0.008655
74161,GE,2015-03-10,25.17,253333759.53,-0.018331
74162,GE,2015-03-11,25.19,253535057.71,0.000795
74163,GE,2015-03-12,25.4,255648688.6,0.008337
74164,GE,2015-03-13,25.04,252025321.36,-0.014173
74165,GE,2015-03-16,25.45,256151934.05,0.016374
74166,GE,2015-03-17,25.31,254742846.79,-0.005501
74167,GE,2015-03-18,25.64,258064266.76,0.013038
74168,GE,2015-03-19,25.33,254944144.97,-0.01209
74169,GE,2015-03-20,25.4,255648688.6,0.002764
74170,GE,2015-03-23,25.47,256353232.23,0.002756
74171,GE,2015-03-24,25.27,254340250.43,-0.007852
74172,GE,2015-03-25,24.91,250716883.19,-0.014246
74173,GE,2015-03-26,24.8,249609743.2,-0.004416
74174,GE,2015-03-27,24.86,250213637.74,0.002419
74175,GE,2015-03-30,25.12,252830514.08,0.010459
74176,GE,2015-03-31,24.81,249774575.76,-0.012341
74177,GE,2015-04-01,24.84,250076600.64,0.001209
74178,GE,2015-04-02,24.94,251083350.24,0.004026
74179,GE,2015-04-06,25.18,253499549.28,0.009623
74180,GE,2015-04-07,25.02,251888749.92,-0.006354
74181,GE,2015-04-08,25.01,251788074.96,-0.0004
74182,GE,2015-04-09,25.73,259036672.08,0.028788
74183,GE,2015-04-10,28.51,287024310.96,0.108045
74184,GE,2015-04-13,27.63,278164914.48,-0.030866
74185,GE,2015-04-14,27.73,279171664.08,0.003619
74186,GE,2015-04-15,27.46,276453440.16,-0.009737
74187,GE,2015-04-16,27.28,274641290.88,-0.006555
74188,GE,2015-04-17,27.25,274339266.0,-0.0011
74189,GE,2015-04-20,27.02,272023741.92,-0.00844
74190,GE,2015-04-21,26.62,267996743.52,-0.014804
74191,GE,2015-04-22,26.91,270916317.36,0.010894
74192,GE,2015-04-23,26.85,270312267.6,-0.00223
74193,GE,2015-04-24,26.8,269808892.8,-0.001862
74194,GE,2015-04-27,26.88,270614292.48,0.002985
74195,GE,2015-04-28,27.12,273030491.52,0.008929
74196,GE,2015-04-29,27.09,272728466.64,-0.001106
74197,GE,2015-04-30,27.08,272627791.68,-0.000369
74198,GE,2015-05-01,27.31,274943315.76,0.008493
74199,GE,2015-05-04,27.27,274540615.92,-0.001465
74200,GE,2015-05-05,26.92,271016992.32,-0.012835
74201,GE,2015-05-06,26.81,269909567.76,-0.004086
74202,GE,2015-05-07,27.04,272225091.84,0.008579
74203,GE,2015-05-08,27.36,275446690.56,0.011834
74204,GE,2015-05-11,26.92,271016992.32,-0.016082
74205,GE,2015-05-12,27.03,272124416.88,0.004086
74206,GE,2015-05-13,27.21,273936566.16,0.006659
74207,GE,2015-05-14,27.41,275950065.36,0.00735
74208,GE,2015-05-15,27.27,274540615.92,-0.005108
74209,GE,2015-05-18,27.31,274943315.76,0.001467
74210,GE,2015-05-19,27.35,275346015.6,0.001465
74211,GE,2015-05-20,27.64,278265589.44,0.010603
74212,GE,2015-05-21,27.72,279070989.12,0.002894
