Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
76130,GILD,2015-01-02,94.91,142270090.0,0.006896
76131,GILD,2015-01-05,96.785,145080715.0,0.019756
76132,GILD,2015-01-06,97.65,146377350.0,0.008937
76133,GILD,2015-01-07,99.48,149120520.0,0.01874
76134,GILD,2015-01-08,102.3,153347700.0,0.028347
76135,GILD,2015-01-09,102.21,153212790.0,-0.00088
76136,GILD,2015-01-12,101.21,151713790.0,-0.009784
76137,GILD,2015-01-13,97.21,145717790.0,-0.039522
76138,GILD,2015-01-14,99.26,148790740.0,0.021088
76139,GILD,2015-01-15,97.4,146002600.0,-0.018739
76140,GILD,2015-01-16,100.71,150964290.0,0.033984
76141,GILD,2015-01-20,103.78,155566220.0,0.030484
76142,GILD,2015-01-21,103.58,155266420.0,-0.001927
76143,GILD,2015-01-22,105.14,157604860.0,0.015061
76144,GILD,2015-01-23,105.54,158204460.0,0.003804
76145,GILD,2015-01-26,107.11,160557890.0,0.014876
76146,GILD,2015-01-27,105.03,157439970.0,-0.019419
76147,GILD,2015-01-28,102.45,153572550.0,-0.024564
76148,GILD,2015-01-29,104.18,156165820.0,0.016886
76149,GILD,2015-01-30,104.83,157140170.0,0.006239
76150,GILD,2015-02-02,106.19,159178810.0,0.012973
76151,GILD,2015-02-03,107.18,160662820.0,0.009323
76152,GILD,2015-02-04,98.43,147546570.0,-0.081638
76153,GILD,2015-02-05,99.9,149750100.0,0.014934
76154,GILD,2015-02-06,97.48,146122520.0,-0.024224
76155,GILD,2015-02-09,96.9,145253100.0,-0.00595
76156,GILD,2015-02-10,98.32,147381680.0,0.014654
76157,GILD,2015-02-11,99.98,149870020.0,0.016884
76158,GILD,2015-02-12,100.8,151099200.0,0.008202
76159,GILD,2015-02-13,101.9,151770063.8,0.010913
76160,GILD,2015-02-17,103.84,154659503.68,0.019038
76161,GILD,2015-02-18,103.94,154808443.88,0.000963
76162,GILD,2015-02-19,102.73,153006267.46,-0.011641
76163,GILD,2015-02-20,102.61,152827539.22,-0.001168
76164,GILD,2015-02-23,104.51,155657403.02,0.018517
76165,GILD,2015-02-24,104.7,155940389.4,0.001818
76166,GILD,2015-02-25,104.43,155538250.86,-0.002579
76167,GILD,2015-02-26,104.19,155180794.38,-0.002298
76168,GILD,2015-02-27,103.53,153920846.31,-0.006335
76169,GILD,2015-03-02,103.83,154366864.41,0.002898
76170,GILD,2015-03-03,102.79,152820668.33,-0.010016
76171,GILD,2015-03-04,103.06,153222084.62,0.002627
76172,GILD,2015-03-05,103.415,153749872.71,0.003445
76173,GILD,2015-03-06,101.81,151363675.87,-0.01552
76174,GILD,2015-03-09,101.37,150709515.99,-0.004322
76175,GILD,2015-03-10,98.83,146933229.41,-0.025057
76176,GILD,2015-03-11,98.97,147141371.19,0.001417
76177,GILD,2015-03-12,99.93,148568629.11,0.0097
76178,GILD,2015-03-13,99.61,148092876.47,-0.003202
76179,GILD,2015-03-16,101.3,150605445.1,0.016966
76180,GILD,2015-03-17,100.44,149326859.88,-0.00849
76181,GILD,2015-03-18,100.28,149088983.56,-0.001593
76182,GILD,2015-03-19,101.44,150813586.88,0.011568
76183,GILD,2015-03-20,102.29,152077304.83,0.008379
76184,GILD,2015-03-23,100.26,149059249.02,-0.019846
76185,GILD,2015-03-24,101.41,150768985.07,0.01147
76186,GILD,2015-03-25,99.86,148464558.22,-0.015284
76187,GILD,2015-03-26,101.075,150270931.53,0.012167
76188,GILD,2015-03-27,101.0,150159427.0,-0.000742
76189,GILD,2015-03-30,100.69,149698541.63,-0.003069
76190,GILD,2015-03-31,98.13,144938010.0,-0.025425
76191,GILD,2015-04-01,97.72,144332440.0,-0.004178
76192,GILD,2015-04-02,98.43,145381110.0,0.007266
76193,GILD,2015-04-06,97.79,144435830.0,-0.006502
76194,GILD,2015-04-07,98.69,145765130.0,0.009203
76195,GILD,2015-04-08,99.87,147507990.0,0.011957
76196,GILD,2015-04-09,101.16,149413320.0,0.012917
76197,GILD,2015-04-10,101.77,150314290.0,0.00603
76198,GILD,2015-04-13,102.28,151067560.0,0.005011
76199,GILD,2015-04-14,102.21,150964170.0,-0.000684
76200,GILD,2015-04-15,104.03,153652310.0,0.017806
76201,GILD,2015-04-16,103.34,152633180.0,-0.006633
76202,GILD,2015-04-17,101.38,149738260.0,-0.018967
76203,GILD,2015-04-20,100.655,148667435.0,-0.007151
76204,GILD,2015-04-21,105.2,155380400.0,0.045154
76205,GILD,2015-04-22,104.18,153873860.0,-0.009696
76206,GILD,2015-04-23,105.205,155387785.0,0.009839
76207,GILD,2015-04-24,103.695,153157515.0,-0.014353
76208,GILD,2015-04-27,102.94,152042380.0,-0.007281
76209,GILD,2015-04-28,103.72,153194440.0,0.007577
76210,GILD,2015-04-29,102.32,151126640.0,-0.013498
76211,GILD,2015-04-30,100.51,147710099.06,-0.01769
76212,GILD,2015-05-01,105.01,154323326.06,0.044772
76213,GILD,2015-05-04,105.66,155278569.96,0.00619
76214,GILD,2015-05-05,102.99,151354721.94,-0.02527
76215,GILD,2015-05-06,102.27,150296605.62,-0.006991
76216,GILD,2015-05-07,101.79,149591194.74,-0.004693
76217,GILD,2015-05-08,103.85,152618583.1,0.020238
76218,GILD,2015-05-11,104.73,153911836.38,0.008474
76219,GILD,2015-05-12,105.56,155131609.36,0.007925
76220,GILD,2015-05-13,106.39,156351382.34,0.007863
76221,GILD,2015-05-14,108.74,159804956.44,0.022089
76222,GILD,2015-05-15,109.3,160627935.8,0.00515
76223,GILD,2015-05-18,111.0,163126266.0,0.015554
76224,GILD,2015-05-19,110.56,162479639.36,-0.003964
76225,GILD,2015-05-20,110.17,161906493.02,-0.003527
76226,GILD,2015-05-21,111.22,163449579.32,0.009531
76227,GILD,2015-05-22,111.71,164169686.26,0.004406
76228,GILD,2015-05-26,109.77,161318650.62,-0.017366
76229,GILD,2015-05-27,112.46,165271890.76,0.024506
76230,GILD,2015-05-28,112.85,165845037.1,0.003468
76231,GILD,2015-05-29,112.27,164992665.62,-0.00514
76232,GILD,2015-06-01,114.08,167652652.48,0.016122
76233,GILD,2015-06-02,113.94,167446907.64,-0.001227
76234,GILD,2015-06-03,114.65,168490327.9,0.006231
76235,GILD,2015-06-04,113.93,167432211.58,-0.00628
76236,GILD,2015-06-05,113.96,167476299.76,0.000263
76237,GILD,2015-06-08,113.7,167094202.2,-0.002282
76238,GILD,2015-06-09,114.75,168637288.5,0.009235
76239,GILD,2015-06-10,117.67,172928538.02,0.025447
76240,GILD,2015-06-11,119.13,175074162.78,0.012408
76241,GILD,2015-06-12,117.66,172913841.96,-0.00873
76242,GILD,2015-06-15,118.16,173648644.96,0.00425
76243,GILD,2015-06-16,119.07,174985986.42,0.007701
76244,GILD,2015-06-17,118.88,174706761.28,-0.001596
76245,GILD,2015-06-18,121.21,178130943.26,0.0196
76246,GILD,2015-06-19,119.8,176058798.8,-0.011633
76247,GILD,2015-06-22,121.49,178542432.94,0.014107
76248,GILD,2015-06-23,122.21,179600549.26,0.005926
76249,GILD,2015-06-24,122.01,179306628.06,-0.001637
76250,GILD,2015-06-25,120.23,176690729.38,-0.014589
76251,GILD,2015-06-26,119.5,175617917.0,-0.006072
76252,GILD,2015-06-29,115.455,169673360.73,-0.033849
76253,GILD,2015-06-30,117.08,172458840.0,0.014075
76254,GILD,2015-07-01,116.01,170882730.0,-0.009139
76255,GILD,2015-07-02,115.04,169453920.0,-0.008361
76256,GILD,2015-07-06,115.66,170367180.0,0.005389
76257,GILD,2015-07-07,115.13,169586490.0,-0.004582
76258,GILD,2015-07-08,112.94,166360620.0,-0.019022
76259,GILD,2015-07-09,113.36,166979280.0,0.003719
76260,GILD,2015-07-10,113.74,167539020.0,0.003352
76261,GILD,2015-07-13,114.55,168732150.0,0.007122
76262,GILD,2015-07-14,117.36,172871280.0,0.024531
76263,GILD,2015-07-15,117.39,172915470.0,0.000256
76264,GILD,2015-07-16,118.85,175066050.0,0.012437
76265,GILD,2015-07-17,118.26,174196980.0,-0.004964
76266,GILD,2015-07-20,118.2,174108600.0,-0.000507
