Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
78144,GM,2015-01-02,34.84,55977288.64,-0.002005
78145,GM,2015-01-05,34.33,55157873.68,-0.014638
78146,GM,2015-01-06,34.85,55993355.6,0.015147
78147,GM,2015-01-07,35.84,57583984.64,0.028407
78148,GM,2015-01-08,36.2,58162395.2,0.010045
78149,GM,2015-01-09,35.59,57182310.64,-0.016851
78150,GM,2015-01-12,35.84,57583984.64,0.007024
78151,GM,2015-01-13,35.25,56636034.0,-0.016462
78152,GM,2015-01-14,34.3,55109672.8,-0.02695
78153,GM,2015-01-15,33.43,53711847.28,-0.025364
78154,GM,2015-01-16,33.68,54113521.28,0.007478
78155,GM,2015-01-20,33.93,54515195.28,0.007423
78156,GM,2015-01-21,33.89,54450927.44,-0.001179
78157,GM,2015-01-22,33.82,54338458.72,-0.002066
78158,GM,2015-01-23,33.75,54225990.0,-0.00207
78159,GM,2015-01-26,33.7,54145655.2,-0.001481
78160,GM,2015-01-27,33.42,53695780.32,-0.008309
78161,GM,2015-01-28,32.84,52763896.64,-0.017355
78162,GM,2015-01-29,33.16,53278039.36,0.009744
78163,GM,2015-01-30,32.62,52410423.52,-0.016285
78164,GM,2015-02-02,33.11,53197704.56,0.015021
78165,GM,2015-02-03,33.98,54595530.08,0.026276
78166,GM,2015-02-04,35.83,57567917.68,0.054444
78167,GM,2015-02-05,36.25,58242730.0,0.011722
78168,GM,2015-02-06,36.0,57841056.0,-0.006897
78169,GM,2015-02-09,36.0,57841056.0,0.0
78170,GM,2015-02-10,37.52,60283233.92,0.042222
78171,GM,2015-02-11,37.67,60524238.32,0.003998
78172,GM,2015-02-12,38.02,61086581.92,0.009291
78173,GM,2015-02-13,37.62,60443903.52,-0.010521
78174,GM,2015-02-17,37.24,59833359.04,-0.010101
78175,GM,2015-02-18,37.19,59753024.24,-0.001343
78176,GM,2015-02-19,37.51,60267166.96,0.008604
78177,GM,2015-02-20,37.65,60492104.4,0.003732
78178,GM,2015-02-23,37.69,60556372.24,0.001062
78179,GM,2015-02-24,37.75,60652774.0,0.001592
78180,GM,2015-02-25,37.86,60829510.56,0.002914
78181,GM,2015-02-26,37.56,60347501.76,-0.007924
78182,GM,2015-02-27,37.31,60082755.46,-0.006656
78183,GM,2015-03-02,37.61,60565865.26,0.008041
78184,GM,2015-03-03,37.8,60871834.8,0.005052
78185,GM,2015-03-04,37.57,60501450.62,-0.006085
78186,GM,2015-03-05,37.61,60565865.26,0.001065
78187,GM,2015-03-06,36.84,59325883.44,-0.020473
78188,GM,2015-03-09,37.66,60646383.56,0.030402
78189,GM,2015-03-10,37.55,60469243.3,-0.002921
78190,GM,2015-03-11,37.78,60839627.48,0.006125
78191,GM,2015-03-12,38.43,61886365.38,0.017205
78192,GM,2015-03-13,38.05,61274426.3,-0.009888
78193,GM,2015-03-16,38.58,62127920.28,0.013929
78194,GM,2015-03-17,38.29,61660914.14,-0.007517
78195,GM,2015-03-18,38.5,61999091.0,0.005484
78196,GM,2015-03-19,38.65,62240645.9,0.003896
78197,GM,2015-03-20,38.87,62594926.42,0.005692
78198,GM,2015-03-23,38.59,62144023.94,-0.007203
78199,GM,2015-03-24,37.85,60952353.1,-0.019176
78200,GM,2015-03-25,37.38,60195481.08,-0.012417
78201,GM,2015-03-26,37.35,60147170.1,-0.000803
78202,GM,2015-03-27,37.31,60082755.46,-0.001071
78203,GM,2015-03-30,37.68,60678590.88,0.009917
78204,GM,2015-03-31,37.5,60388725.0,-0.004777
78205,GM,2015-04-01,36.74,59164846.84,-0.020267
78206,GM,2015-04-02,36.5,58778359.0,-0.006532
78207,GM,2015-04-06,36.66,59036017.56,0.004384
78208,GM,2015-04-07,35.73,57538377.18,-0.025368
78209,GM,2015-04-08,36.11,58150316.26,0.010635
