Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
82172,GS,2015-01-02,194.41,84674497.86,0.002992
82173,GS,2015-01-05,188.34,82030733.64,-0.031223
82174,GS,2015-01-06,184.53,80371303.38,-0.020229
82175,GS,2015-01-07,187.28,81569054.88,0.014903
82176,GS,2015-01-08,190.27,82871337.42,0.015965
82177,GS,2015-01-09,187.35,81599543.1,-0.015347
82178,GS,2015-01-12,185.07,80606498.22,-0.01217
82179,GS,2015-01-13,184.93,80545521.78,-0.000756
82180,GS,2015-01-14,180.23,78498455.58,-0.025415
82181,GS,2015-01-15,178.49,77740605.54,-0.009654
82182,GS,2015-01-16,177.23,77191817.58,-0.007059
82183,GS,2015-01-20,175.63,76494943.98,-0.009028
82184,GS,2015-01-21,177.15,77156973.9,0.008655
82185,GS,2015-01-22,182.04,79286793.84,0.027604
82186,GS,2015-01-23,180.49,78611697.54,-0.008515
82187,GS,2015-01-26,180.42,78581209.32,-0.000388
82188,GS,2015-01-27,176.49,76869513.54,-0.021783
82189,GS,2015-01-28,173.05,75371235.3,-0.019491
82190,GS,2015-01-29,175.99,76651740.54,0.016989
82191,GS,2015-01-30,172.41,75092485.86,-0.020342
82192,GS,2015-02-02,175.49,76433967.54,0.017864
82193,GS,2015-02-03,180.24,78502811.04,0.027067
82194,GS,2015-02-04,178.78,77866913.88,-0.0081
82195,GS,2015-02-05,180.77,78733650.42,0.011131
82196,GS,2015-02-06,183.43,79892202.78,0.014715
82197,GS,2015-02-09,182.22,79365192.12,-0.006597
82198,GS,2015-02-10,184.56,80384369.76,0.012842
82199,GS,2015-02-11,187.65,81730206.9,0.016743
82200,GS,2015-02-12,189.78,82657919.88,0.011351
82201,GS,2015-02-13,189.0,82318194.0,-0.00411
82202,GS,2015-02-17,190.02,82762450.92,0.005397
82203,GS,2015-02-18,188.67,82174463.82,-0.007105
82204,GS,2015-02-19,189.11,82366104.06,0.002332
82205,GS,2015-02-20,191.51,83411414.46,0.012691
82206,GS,2015-02-23,190.31,82888759.26,-0.006266
82207,GS,2015-02-24,192.22,83720652.12,0.010036
82208,GS,2015-02-25,191.72,83502879.12,-0.002601
82209,GS,2015-02-26,192.2,83711941.2,0.005633
82210,GS,2015-02-27,189.79,82676509.59,-0.012539
82211,GS,2015-03-02,191.79,83547751.59,0.010538
82212,GS,2015-03-03,191.27,83321228.67,-0.002711
82213,GS,2015-03-04,189.67,82624235.07,-0.008365
82214,GS,2015-03-05,190.08,82802839.68,0.002162
82215,GS,2015-03-06,186.91,81421921.11,-0.016677
82216,GS,2015-03-09,187.93,81866254.53,0.005457
82217,GS,2015-03-10,182.71,79592312.91,-0.027776
82218,GS,2015-03-11,184.18,80232675.78,0.008046
82219,GS,2015-03-12,189.95,82746208.95,0.031328
82220,GS,2015-03-13,189.34,82480480.14,-0.003211
82221,GS,2015-03-16,191.9,83595669.9,0.013521
82222,GS,2015-03-17,190.57,83016293.97,-0.006931
