Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
84186,HD,2015-01-02,103.43,136302846.61,-0.014671
84187,HD,2015-01-05,101.26,133443162.02,-0.02098
84188,HD,2015-01-06,100.95,133034635.65,-0.003061
84189,HD,2015-01-07,104.41,137594317.07,0.034274
84190,HD,2015-01-08,106.72,140638497.44,0.022124
84191,HD,2015-01-09,104.89,138226874.03,-0.017148
84192,HD,2015-01-12,104.42,137607495.34,-0.004481
84193,HD,2015-01-13,103.73,136698194.71,-0.006608
84194,HD,2015-01-14,102.64,135261763.28,-0.010508
84195,HD,2015-01-15,101.01,133113705.27,-0.015881
84196,HD,2015-01-16,104.12,137212147.24,0.030789
84197,HD,2015-01-20,103.25,136065637.75,-0.008356
84198,HD,2015-01-21,103.53,136434629.31,0.002712
84199,HD,2015-01-22,106.07,139781909.89,0.024534
84200,HD,2015-01-23,105.37,138859430.99,-0.006599
84201,HD,2015-01-26,106.36,140164079.72,0.009395
84202,HD,2015-01-27,105.16,138582687.32,-0.011282
84203,HD,2015-01-28,104.74,138029199.98,-0.003994
84204,HD,2015-01-29,107.62,141824541.74,0.027497
84205,HD,2015-01-30,104.42,137607495.34,-0.029734
84206,HD,2015-02-02,104.43,137620673.61,9.6e-05
84207,HD,2015-02-03,107.24,141323767.48,0.026908
84208,HD,2015-02-04,108.41,142865625.07,0.01091
84209,HD,2015-02-05,108.99,143629964.73,0.00535
84210,HD,2015-02-06,109.04,143695856.08,0.000459
84211,HD,2015-02-09,108.34,142773377.18,-0.00642
84212,HD,2015-02-10,110.67,145843914.09,0.021506
84213,HD,2015-02-11,110.31,145369496.37,-0.003253
84214,HD,2015-02-12,112.16,147807476.32,0.016771
84215,HD,2015-02-13,111.89,147451663.03,-0.002407
84216,HD,2015-02-17,112.0,147596624.0,0.000983
84217,HD,2015-02-18,111.99,147583445.73,-8.9e-05
84218,HD,2015-02-19,110.94,146199727.38,-0.009376
84219,HD,2015-02-20,112.24,147912902.48,0.011718
84220,HD,2015-02-23,112.28,147965615.56,0.000356
84221,HD,2015-02-24,116.75,153856302.25,0.039811
84222,HD,2015-02-25,116.31,153276458.37,-0.003769
84223,HD,2015-02-26,115.38,152050879.26,-0.007996
84224,HD,2015-02-27,114.75,151220648.25,-0.00546
84225,HD,2015-03-02,116.12,153026071.24,0.011939
84226,HD,2015-03-03,116.07,152960179.89,-0.000431
84227,HD,2015-03-04,114.76,151233826.52,-0.011286
84228,HD,2015-03-05,115.91,152749327.57,0.010021
84229,HD,2015-03-06,114.45,150825300.15,-0.012596
84230,HD,2015-03-09,115.25,151879561.75,0.00699
84231,HD,2015-03-10,112.56,148334607.12,-0.018221
84232,HD,2015-03-11,113.07,149006698.89,0.004531
84233,HD,2015-03-12,116.1,152999714.7,0.026798
84234,HD,2015-03-13,114.82,151312896.14,-0.011025
84235,HD,2015-03-16,116.5,153526845.5,0.014632
84236,HD,2015-03-17,115.58,152314444.66,-0.007897
84237,HD,2015-03-18,116.08,152973358.16,0.004326
84238,HD,2015-03-19,115.16,151760957.32,-0.007926
84239,HD,2015-03-20,117.49,154831494.23,0.020233
84240,HD,2015-03-23,116.07,152960179.89,-0.012086
84241,HD,2015-03-24,116.15,153065606.05,0.000689
84242,HD,2015-03-25,113.68,149810573.36,-0.021266
84243,HD,2015-03-26,112.37,148084219.99,-0.011524
84244,HD,2015-03-27,113.86,150047782.22,0.01326
84245,HD,2015-03-30,114.63,151062509.01,0.006763
84246,HD,2015-03-31,113.61,148533032.34,-0.008898
84247,HD,2015-04-01,113.13,147905483.22,-0.004225
84248,HD,2015-04-02,114.54,149748908.76,0.012464
84249,HD,2015-04-06,114.95,150284940.3,0.00358
84250,HD,2015-04-07,114.3,149435134.2,-0.005655
84251,HD,2015-04-08,115.59,151121672.46,0.011286
84252,HD,2015-04-09,114.57,149788130.58,-0.008824
84253,HD,2015-04-10,115.24,150664084.56,0.005848
84254,HD,2015-04-13,114.44,149618169.36,-0.006942
84255,HD,2015-04-14,114.05,149108285.7,-0.003408
84256,HD,2015-04-15,113.45,148323849.3,-0.005261
84257,HD,2015-04-16,113.37,148219257.78,-0.000705
84258,HD,2015-04-17,112.1,146558867.4,-0.011202
84259,HD,2015-04-20,112.86,147552486.84,0.00678
84260,HD,2015-04-21,113.17,147957778.98,0.002747
84261,HD,2015-04-22,112.99,147722448.06,-0.001591
84262,HD,2015-04-23,113.96,148990620.24,0.008585
84263,HD,2015-04-24,113.7,148650697.8,-0.002282
84264,HD,2015-04-27,111.39,145630617.66,-0.020317
84265,HD,2015-04-28,110.58,144571628.52,-0.007272
84266,HD,2015-04-29,108.71,142126801.74,-0.016911
84267,HD,2015-04-30,106.98,138898445.82,-0.015914
84268,HD,2015-05-01,109.55,142235228.45,0.024023
84269,HD,2015-05-04,110.06,142897391.54,0.004655
84270,HD,2015-05-05,108.06,140300673.54,-0.018172
84271,HD,2015-05-06,108.31,140625263.29,0.002314
84272,HD,2015-05-07,110.04,142871424.36,0.015973
84273,HD,2015-05-08,112.47,146026436.73,0.022083
84274,HD,2015-05-11,111.9,145286372.1,-0.005068
84275,HD,2015-05-12,112.52,146091354.68,0.005541
84276,HD,2015-05-13,111.19,144364537.21,-0.01182
84277,HD,2015-05-14,111.94,145338306.46,0.006745
84278,HD,2015-05-15,113.35,147168992.65,0.012596
84279,HD,2015-05-18,114.33,148441384.47,0.008646
84280,HD,2015-05-19,112.34,145857650.06,-0.017406
