Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
86200,HON,2015-01-02,100.23,78461046.3,0.003102
86201,HON,2015-01-05,98.32,76965879.2,-0.019056
86202,HON,2015-01-06,98.09,76785832.9,-0.002339
86203,HON,2015-01-07,98.8,77341628.0,0.007238
86204,HON,2015-01-08,100.6,78750686.0,0.018219
86205,HON,2015-01-09,98.93,77443393.3,-0.0166
86206,HON,2015-01-12,98.45,77067644.5,-0.004852
86207,HON,2015-01-13,99.15,77615611.5,0.00711
86208,HON,2015-01-14,98.69,77255518.9,-0.004639
86209,HON,2015-01-15,97.11,76018679.1,-0.01601
86210,HON,2015-01-16,98.22,76887598.2,0.01143
86211,HON,2015-01-20,98.98,77482533.8,0.007738
86212,HON,2015-01-21,99.25,77693892.5,0.002728
86213,HON,2015-01-22,99.39,77803485.9,0.001411
86214,HON,2015-01-23,102.5,80238025.0,0.031291
86215,HON,2015-01-26,101.89,79760510.9,-0.005951
86216,HON,2015-01-27,100.9,78985529.0,-0.009716
86217,HON,2015-01-28,99.82,78140094.2,-0.010704
86218,HON,2015-01-29,100.17,78414077.7,0.003506
86219,HON,2015-01-30,97.76,76527505.6,-0.024059
86220,HON,2015-02-02,99.77,78100953.7,0.020561
86221,HON,2015-02-03,101.27,79275168.7,0.015035
86222,HON,2015-02-04,100.75,78868107.5,-0.005135
86223,HON,2015-02-05,102.34,80112775.4,0.015782
86224,HON,2015-02-06,101.75,79650917.5,-0.005765
86225,HON,2015-02-09,101.59,79525667.9,-0.001572
86226,HON,2015-02-10,102.44,80191056.4,0.008367
86227,HON,2015-02-11,102.43,80183228.3,-9.8e-05
86228,HON,2015-02-12,103.5,81020835.0,0.010446
86229,HON,2015-02-13,104.38,81709707.8,0.008502
86230,HON,2015-02-17,104.0,81412240.0,-0.003641
86231,HON,2015-02-18,104.62,81897582.2,0.005962
86232,HON,2015-02-19,104.7,81960207.0,0.000765
86233,HON,2015-02-20,105.36,82476861.6,0.006304
86234,HON,2015-02-23,104.38,81709707.8,-0.009301
86235,HON,2015-02-24,104.3,81647083.0,0.004191
86236,HON,2015-02-25,104.39,81717535.9,0.000863
86237,HON,2015-02-26,103.64,81130428.4,-0.007185
86238,HON,2015-02-27,102.78,80442103.14,-0.008298
86239,HON,2015-03-02,104.58,81850896.54,0.017513
86240,HON,2015-03-03,104.04,81428258.52,-0.005164
86241,HON,2015-03-04,103.05,80653422.15,-0.009516
86242,HON,2015-03-05,103.13,80716035.19,0.000776
86243,HON,2015-03-06,101.87,79729879.81,-0.012218
86244,HON,2015-03-09,103.14,80723861.82,0.012467
86245,HON,2015-03-10,101.17,79182015.71,-0.0191
