Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
88214,IBM,2015-01-02,162.06,160384299.6,0.010097
88215,IBM,2015-01-05,159.51,157860666.6,-0.015735
88216,IBM,2015-01-06,156.07,154456236.2,-0.021566
88217,IBM,2015-01-07,155.05,153446783.0,-0.006536
88218,IBM,2015-01-08,158.42,156781937.2,0.021735
88219,IBM,2015-01-09,159.11,157464802.6,0.004356
88220,IBM,2015-01-12,156.44,154822410.4,-0.016781
88221,IBM,2015-01-13,156.81,155188584.6,0.002365
88222,IBM,2015-01-14,155.8,154189028.0,-0.006441
88223,IBM,2015-01-15,154.57,152971746.2,-0.007895
88224,IBM,2015-01-16,157.14,155515172.4,0.016627
88225,IBM,2015-01-20,156.95,155327137.0,-0.001209
88226,IBM,2015-01-21,152.09,150517389.4,-0.030965
88227,IBM,2015-01-22,155.39,153783267.4,0.021698
88228,IBM,2015-01-23,155.87,154258304.2,0.003089
88229,IBM,2015-01-26,156.36,154743237.6,0.003144
88230,IBM,2015-01-27,153.67,152081052.2,-0.017204
88231,IBM,2015-01-28,151.55,149982973.0,-0.013796
88232,IBM,2015-01-29,155.48,153872336.8,0.025932
88233,IBM,2015-01-30,153.31,151930210.0,-0.013957
88234,IBM,2015-02-02,154.66,153268060.0,0.008806
88235,IBM,2015-02-03,158.47,157043770.0,0.024635
88236,IBM,2015-02-04,156.96,155547360.0,-0.009529
88237,IBM,2015-02-05,157.91,156488810.0,0.006052
88238,IBM,2015-02-06,156.72,155309520.0,-0.00057
88239,IBM,2015-02-09,155.75,154348250.0,-0.006189
88240,IBM,2015-02-10,158.56,157132960.0,0.018042
88241,IBM,2015-02-11,158.2,156776200.0,-0.00227
88242,IBM,2015-02-12,158.52,157093320.0,0.002023
88243,IBM,2015-02-13,160.4,158956400.0,0.01186
88244,IBM,2015-02-17,160.96,159511360.0,0.003491
88245,IBM,2015-02-18,162.19,160730290.0,0.007642
88246,IBM,2015-02-19,163.89,162414990.0,0.010482
88247,IBM,2015-02-20,163.65,162177150.0,-0.001464
88248,IBM,2015-02-23,162.91,161443810.0,-0.004522
88249,IBM,2015-02-24,164.83,163346530.0,0.011786
88250,IBM,2015-02-25,162.81,161344710.0,-0.012255
88251,IBM,2015-02-26,160.87,159422170.0,-0.011916
88252,IBM,2015-02-27,161.94,160065382.56,0.006651
88253,IBM,2015-03-02,160.48,158622283.52,-0.009016
88254,IBM,2015-03-03,161.03,159165916.72,0.003427
88255,IBM,2015-03-04,159.42,157574554.08,-0.009998
88256,IBM,2015-03-05,161.18,159314180.32,0.01104
88257,IBM,2015-03-06,158.5,156665204.0,-0.016627
88258,IBM,2015-03-09,160.77,158908926.48,0.014322
88259,IBM,2015-03-10,157.81,155983191.44,-0.018411
88260,IBM,2015-03-11,156.8,154984883.2,-0.0064
88261,IBM,2015-03-12,157.98,156151223.52,0.007526
88262,IBM,2015-03-13,154.28,152494054.72,-0.023421
