Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
90228,INTC,2015-01-02,36.36,172637280.0,0.001929
90229,INTC,2015-01-05,35.95,170690600.0,-0.011276
90230,INTC,2015-01-06,35.28,167509440.0,-0.018637
90231,INTC,2015-01-07,36.02,171022960.0,0.020975
90232,INTC,2015-01-08,36.69,174204120.0,0.018601
90233,INTC,2015-01-09,36.76,174536480.0,0.001908
90234,INTC,2015-01-12,36.6,173776800.0,-0.004353
90235,INTC,2015-01-13,36.5,173302000.0,-0.002732
90236,INTC,2015-01-14,36.35,172589800.0,-0.00411
90237,INTC,2015-01-15,36.19,171830120.0,-0.004402
90238,INTC,2015-01-16,36.45,173064600.0,0.007184
90239,INTC,2015-01-20,36.09,171355320.0,-0.009877
90240,INTC,2015-01-21,36.48,173207040.0,0.010806
90241,INTC,2015-01-22,36.91,175248680.0,0.011787
90242,INTC,2015-01-23,36.445,173040860.0,-0.012598
90243,INTC,2015-01-26,35.805,170002140.0,-0.017561
90244,INTC,2015-01-27,34.185,162310380.0,-0.045245
90245,INTC,2015-01-28,33.775,160363700.0,-0.011994
90246,INTC,2015-01-29,34.21,162429080.0,0.012879
90247,INTC,2015-01-30,33.04,156873920.0,-0.034201
90248,INTC,2015-02-02,33.65,159770200.0,0.018462
90249,INTC,2015-02-03,33.7,160007600.0,0.001486
90250,INTC,2015-02-04,33.6,159532800.0,0.004154
90251,INTC,2015-02-05,33.94,161147120.0,0.010119
90252,INTC,2015-02-06,33.295,157685120.0,-0.019004
90253,INTC,2015-02-09,32.93,155956480.0,-0.010963
90254,INTC,2015-02-10,33.7,159603200.0,0.023383
90255,INTC,2015-02-11,33.55,158892800.0,-0.004451
90256,INTC,2015-02-12,34.125,161616000.0,0.017139
90257,INTC,2015-02-13,34.36,162728960.0,0.006886
90258,INTC,2015-02-17,34.735,164504960.0,0.010914
90259,INTC,2015-02-18,34.265,162279040.0,-0.013531
90260,INTC,2015-02-19,34.21,162018560.0,-0.001605
90261,INTC,2015-02-20,34.41,162965760.0,0.005846
90262,INTC,2015-02-23,33.76,159887360.0,-0.01889
90263,INTC,2015-02-24,34.41,162965760.0,0.019254
90264,INTC,2015-02-25,33.945,160763520.0,-0.013514
90265,INTC,2015-02-26,33.65,159366400.0,-0.008691
90266,INTC,2015-02-27,33.25,157472000.0,-0.011887
90267,INTC,2015-03-02,34.06,161308160.0,0.024361
90268,INTC,2015-03-03,34.095,161473920.0,0.001028
90269,INTC,2015-03-04,34.12,161592320.0,0.000733
90270,INTC,2015-03-05,33.73,159745280.0,-0.01143
90271,INTC,2015-03-06,33.19,157187840.0,-0.016009
90272,INTC,2015-03-09,32.72,154961920.0,-0.014161
90273,INTC,2015-03-10,31.7,150131200.0,-0.031174
90274,INTC,2015-03-11,32.33,153114880.0,0.019874
90275,INTC,2015-03-12,30.8,145868800.0,-0.047324
90276,INTC,2015-03-13,30.93,146484480.0,0.004221
90277,INTC,2015-03-16,30.83,146010880.0,-0.003233
90278,INTC,2015-03-17,30.59,144874240.0,-0.007785
90279,INTC,2015-03-18,30.89,146295040.0,0.009807
90280,INTC,2015-03-19,30.74,145584640.0,-0.004856
90281,INTC,2015-03-20,31.31,148284160.0,0.018543
90282,INTC,2015-03-23,31.2,147956047.2,-0.003513
90283,INTC,2015-03-24,30.79,146011752.99,-0.013141
90284,INTC,2015-03-25,29.89,141743790.09,-0.02923
90285,INTC,2015-03-26,30.08,142644804.48,0.006357
90286,INTC,2015-03-27,32.0,151744000.0,0.06383
90287,INTC,2015-03-30,31.46,149183320.0,-0.016875
90288,INTC,2015-03-31,31.27,148282340.0,-0.006039
90289,INTC,2015-04-01,30.81,146101020.0,-0.014711
90290,INTC,2015-04-02,30.81,146101020.0,0.0
90291,INTC,2015-04-06,31.04,147191680.0,0.007465
90292,INTC,2015-04-07,31.26,148234920.0,0.007088
90293,INTC,2015-04-08,31.31,148472020.0,0.001599
90294,INTC,2015-04-09,31.24,148140080.0,-0.002236
90295,INTC,2015-04-10,31.93,151412060.0,0.022087
90296,INTC,2015-04-13,31.73,150463660.0,-0.006264
90297,INTC,2015-04-14,31.49,149325580.0,-0.007564
90298,INTC,2015-04-15,32.83,155679860.0,0.042553
90299,INTC,2015-04-16,32.87,155869540.0,0.001218
90300,INTC,2015-04-17,32.47,154037680.0,-0.012169
90301,INTC,2015-04-20,32.73,155271120.0,0.008007
90302,INTC,2015-04-21,32.43,153847920.0,-0.009166
90303,INTC,2015-04-22,32.7,155128800.0,0.008326
90304,INTC,2015-04-23,32.35,153468400.0,-0.010703
90305,INTC,2015-04-24,32.08,152187520.0,-0.008346
90306,INTC,2015-04-27,32.5,154180000.0,0.013092
90307,INTC,2015-04-28,33.02,156646880.0,0.016
90308,INTC,2015-04-29,32.885,156006440.0,-0.004088
90309,INTC,2015-04-30,32.55,154417200.0,-0.010187
90310,INTC,2015-05-01,33.42,158544480.0,0.026728
90311,INTC,2015-05-04,33.43,158591920.0,0.000299
90312,INTC,2015-05-05,32.64,154844160.0,-0.016452
90313,INTC,2015-05-06,32.22,152851680.0,-0.012868
90314,INTC,2015-05-07,32.245,152970280.0,0.000776
90315,INTC,2015-05-08,32.8,155603200.0,0.017212
90316,INTC,2015-05-11,32.69,155081360.0,-0.003354
90317,INTC,2015-05-12,32.25,152994000.0,-0.01346
90318,INTC,2015-05-13,32.64,154844160.0,0.012093
90319,INTC,2015-05-14,32.97,156409680.0,0.01011
90320,INTC,2015-05-15,32.99,156504560.0,0.000607
90321,INTC,2015-05-18,33.41,158497040.0,0.012731
90322,INTC,2015-05-19,33.15,157263600.0,-0.007782
90323,INTC,2015-05-20,33.37,158307280.0,0.006637
90324,INTC,2015-05-21,33.55,159161200.0,0.005394
90325,INTC,2015-05-22,33.45,158686800.0,-0.002981
90326,INTC,2015-05-26,33.105,157050120.0,-0.010314
90327,INTC,2015-05-27,33.71,159920240.0,0.018275
90328,INTC,2015-05-28,34.01,161343440.0,0.008899
90329,INTC,2015-05-29,34.46,163478240.0,0.013231
