Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
92242,JNJ,2015-01-02,104.52,292562977.2,-0.000478
92243,JNJ,2015-01-05,103.79,290519626.9,-0.006984
92244,JNJ,2015-01-06,103.28,289092080.8,-0.004914
92245,JNJ,2015-01-07,105.56,295474051.6,0.022076
92246,JNJ,2015-01-08,106.39,297797312.9,0.007863
92247,JNJ,2015-01-09,104.94,293738603.4,-0.013629
92248,JNJ,2015-01-12,104.58,292730923.8,-0.003431
92249,JNJ,2015-01-13,104.76,293234763.6,0.001721
92250,JNJ,2015-01-14,104.0,291107440.0,-0.007255
92251,JNJ,2015-01-15,102.49,286880783.9,-0.014519
92252,JNJ,2015-01-16,104.04,291219404.4,0.015123
92253,JNJ,2015-01-20,101.29,283521851.9,-0.026432
92254,JNJ,2015-01-21,101.9,285229309.0,0.006022
92255,JNJ,2015-01-22,103.76,290435653.6,0.018253
92256,JNJ,2015-01-23,102.2,286069042.0,-0.015035
92257,JNJ,2015-01-26,102.26,286236988.6,0.000587
92258,JNJ,2015-01-27,102.09,285761139.9,-0.001662
92259,JNJ,2015-01-28,101.48,284053682.8,-0.005975
92260,JNJ,2015-01-29,102.38,286572881.8,0.008869
92261,JNJ,2015-01-30,100.14,280302875.4,-0.021879
92262,JNJ,2015-02-02,100.83,282234261.3,0.00689
92263,JNJ,2015-02-03,102.46,286796810.6,0.016166
92264,JNJ,2015-02-04,101.36,283717789.6,-0.010736
92265,JNJ,2015-02-05,102.46,286796810.6,0.010852
92266,JNJ,2015-02-06,101.1,282990021.0,-0.013273
92267,JNJ,2015-02-09,99.78,279295195.8,-0.013056
92268,JNJ,2015-02-10,100.35,280890688.5,0.005713
92269,JNJ,2015-02-11,100.38,280974661.8,0.000299
92270,JNJ,2015-02-12,98.44,275544388.4,-0.019327
92271,JNJ,2015-02-13,99.62,278847338.2,0.011987
92272,JNJ,2015-02-17,100.44,281142608.4,0.008231
92273,JNJ,2015-02-18,99.96,279799035.6,-0.004779
92274,JNJ,2015-02-19,100.7,281870377.0,0.007403
92275,JNJ,2015-02-20,100.26,280638768.6,0.002582
92276,JNJ,2015-02-23,100.18,280414839.8,-0.000798
92277,JNJ,2015-02-24,100.7,281870377.0,0.005191
92278,JNJ,2015-02-25,101.21,283297923.1,0.005065
92279,JNJ,2015-02-26,102.8,287748508.0,0.01571
92280,JNJ,2015-02-27,102.51,285027927.39,-0.002821
92281,JNJ,2015-03-02,103.22,287002074.58,0.006926
92282,JNJ,2015-03-03,102.34,284555244.26,-0.008525
92283,JNJ,2015-03-04,101.65,282636706.85,-0.006742
92284,JNJ,2015-03-05,102.52,285055732.28,0.008559
92285,JNJ,2015-03-06,100.11,278354753.79,-0.023508
92286,JNJ,2015-03-09,100.66,279884022.74,0.005494
92287,JNJ,2015-03-10,99.53,276742070.17,-0.011226
92288,JNJ,2015-03-11,98.32,273377678.48,-0.012157
92289,JNJ,2015-03-12,99.83,277576216.87,0.015358
92290,JNJ,2015-03-13,99.21,275852313.69,-0.006211
92291,JNJ,2015-03-16,101.06,280996218.34,0.018647
92292,JNJ,2015-03-17,99.89,277743046.21,-0.011577
92293,JNJ,2015-03-18,101.46,282108413.94,0.015717
92294,JNJ,2015-03-19,101.69,282747926.41,0.002267
92295,JNJ,2015-03-20,102.4,284722073.6,0.006982
92296,JNJ,2015-03-23,102.98,286334757.22,0.005664
92297,JNJ,2015-03-24,101.96,283498658.44,-0.009905
92298,JNJ,2015-03-25,100.34,278994266.26,-0.015889
92299,JNJ,2015-03-26,100.14,278438168.46,-0.001993
92300,JNJ,2015-03-27,100.34,278994266.26,0.001997
92301,JNJ,2015-03-30,101.55,282358657.95,0.012059
92302,JNJ,2015-03-31,100.6,279724336.0,-0.009355
92303,JNJ,2015-04-01,99.15,275692524.0,-0.014414
92304,JNJ,2015-04-02,99.64,277054998.4,0.004942
92305,JNJ,2015-04-06,99.16,275720329.6,-0.004817
92306,JNJ,2015-04-07,100.1,278334056.0,0.00948
92307,JNJ,2015-04-08,100.16,278500889.6,0.000599
92308,JNJ,2015-04-09,101.33,281754144.8,0.011681
92309,JNJ,2015-04-10,102.06,283783953.6,0.007204
92310,JNJ,2015-04-13,100.55,279585308.0,-0.014795
92311,JNJ,2015-04-14,100.52,279501891.2,-0.000298
92312,JNJ,2015-04-15,100.6,279724336.0,0.000796
92313,JNJ,2015-04-16,99.79,277472082.4,-0.008052
92314,JNJ,2015-04-17,99.58,276888164.8,-0.002104
92315,JNJ,2015-04-20,100.21,278639917.6,0.006327
92316,JNJ,2015-04-21,100.3,278890168.0,0.000898
92317,JNJ,2015-04-22,100.43,279251640.8,0.001296
92318,JNJ,2015-04-23,100.46,279335057.6,0.000299
92319,JNJ,2015-04-24,101.08,281059004.8,0.006172
92320,JNJ,2015-04-27,100.58,279668724.8,-0.004947
92321,JNJ,2015-04-28,100.74,280113614.4,0.001591
92322,JNJ,2015-04-29,100.39,279140418.4,-0.003474
92323,JNJ,2015-04-30,99.2,275831552.0,-0.011854
92324,JNJ,2015-05-01,100.13,278417472.8,0.009375
92325,JNJ,2015-05-04,100.35,279029196.0,0.002197
92326,JNJ,2015-05-05,99.5,276665720.0,-0.00847
92327,JNJ,2015-05-06,99.17,275748135.2,-0.003317
92328,JNJ,2015-05-07,99.66,277110609.6,0.004941
92329,JNJ,2015-05-08,101.47,282143423.2,0.018162
92330,JNJ,2015-05-11,101.03,280919976.8,-0.004336
92331,JNJ,2015-05-12,100.47,279362863.2,-0.005543
92332,JNJ,2015-05-13,100.55,279585308.0,0.000796
92333,JNJ,2015-05-14,101.83,283144424.8,0.01273
92334,JNJ,2015-05-15,102.3,284451288.0,0.004616
92335,JNJ,2015-05-18,103.42,287565515.2,0.010948
92336,JNJ,2015-05-19,103.96,289067017.6,0.005221
92337,JNJ,2015-05-20,103.6,288066016.0,-0.003463
92338,JNJ,2015-05-21,102.42,284784955.2,-0.004151
92339,JNJ,2015-05-22,101.35,281809756.0,-0.010447
92340,JNJ,2015-05-26,100.82,280336059.2,-0.005229
92341,JNJ,2015-05-27,101.13,281198032.8,0.003075
92342,JNJ,2015-05-28,101.15,281253644.0,0.000198
92343,JNJ,2015-05-29,100.14,277692726.3,-0.009985
92344,JNJ,2015-06-01,100.04,277415421.8,-0.000999
92345,JNJ,2015-06-02,99.98,277249039.1,-0.0006
92346,JNJ,2015-06-03,100.09,277554074.05,0.0011
92347,JNJ,2015-06-04,99.23,275169255.35,-0.008592
92348,JNJ,2015-06-05,98.59,273394506.55,-0.00645
92349,JNJ,2015-06-08,97.96,271647488.2,-0.00639
92350,JNJ,2015-06-09,98.21,272340749.45,0.002552
92351,JNJ,2015-06-10,98.88,274198689.6,0.006822
92352,JNJ,2015-06-11,99.24,275196985.8,0.003641
92353,JNJ,2015-06-12,98.35,272728975.75,-0.008968
92354,JNJ,2015-06-15,97.49,270344157.05,-0.008744
92355,JNJ,2015-06-16,98.36,272756706.2,0.008924
92356,JNJ,2015-06-17,98.73,273782732.85,0.003762
92357,JNJ,2015-06-18,100.36,278302796.2,0.01651
92358,JNJ,2015-06-19,99.86,276916273.7,-0.004982
92359,JNJ,2015-06-22,100.09,277554074.05,0.002303
92360,JNJ,2015-06-23,99.78,276694430.1,-0.003097
92361,JNJ,2015-06-24,99.33,275446559.85,-0.00451
92362,JNJ,2015-06-25,99.12,274864220.4,-0.002114
92363,JNJ,2015-06-26,99.64,276306203.8,0.005246
92364,JNJ,2015-06-29,97.68,270871035.6,-0.019671
92365,JNJ,2015-06-30,97.46,270260965.7,-0.002252
92366,JNJ,2015-07-01,98.47,273061741.15,0.010363
92367,JNJ,2015-07-02,98.44,272978549.8,-0.000305
92368,JNJ,2015-07-06,98.2,272313019.0,-0.002438
92369,JNJ,2015-07-07,98.92,274309611.4,0.007332
92370,JNJ,2015-07-08,97.77,271120609.65,-0.011626
92371,JNJ,2015-07-09,98.4,272867628.0,0.006444
92372,JNJ,2015-07-10,99.53,276001168.85,0.011484
92373,JNJ,2015-07-13,100.27,278053222.15,0.007435
92374,JNJ,2015-07-14,99.78,276694430.1,-0.004887
92375,JNJ,2015-07-15,100.42,278469178.9,0.006414
92376,JNJ,2015-07-16,101.11,280382579.95,0.006871
92377,JNJ,2015-07-17,100.08,277526343.6,-0.010187
92378,JNJ,2015-07-20,100.37,278330526.65,0.002898
92379,JNJ,2015-07-21,100.34,278247335.3,-0.000299
92380,JNJ,2015-07-22,100.18,277803648.1,-0.001595
92381,JNJ,2015-07-23,100.2,277859109.0,0.0002
92382,JNJ,2015-07-24,99.15,274947411.75,-0.010479
92383,JNJ,2015-07-27,98.28,272534862.6,-0.008775
92384,JNJ,2015-07-28,99.02,274586915.9,0.00753
92385,JNJ,2015-07-29,99.73,276555777.85,0.00717
92386,JNJ,2015-07-30,99.84,276860812.8,0.001103
92387,JNJ,2015-07-31,100.21,277492112.26,0.003706
92388,JNJ,2015-08-03,100.02,276965982.12,-0.001896
92389,JNJ,2015-08-04,99.8,276356778.8,-0.0022
92390,JNJ,2015-08-05,100.52,278350535.12,0.007214
92391,JNJ,2015-08-06,99.07,274335331.42,-0.014425
92392,JNJ,2015-08-07,98.85,273726128.1,-0.002221
92393,JNJ,2015-08-10,99.79,276329087.74,0.009509
92394,JNJ,2015-08-11,99.01,274169185.06,-0.007816
92395,JNJ,2015-08-12,98.71,273338453.26,-0.00303
92396,JNJ,2015-08-13,98.48,272701558.88,-0.00233
92397,JNJ,2015-08-14,98.81,273615363.86,0.003351
92398,JNJ,2015-08-17,99.87,276550616.22,0.010728
92399,JNJ,2015-08-18,99.37,275166063.22,-0.005007
92400,JNJ,2015-08-19,99.31,274999916.86,-0.000604
92401,JNJ,2015-08-20,98.79,273559981.74,-0.005236
92402,JNJ,2015-08-21,95.56,264615769.36,-0.025104
92403,JNJ,2015-08-24,92.82,257028418.92,-0.028673
92404,JNJ,2015-08-25,90.73,251240987.38,-0.022517
92405,JNJ,2015-08-26,95.11,263369671.66,0.048275
92406,JNJ,2015-08-27,96.22,266443379.32,0.011671
92407,JNJ,2015-08-28,95.17,263535818.02,-0.010912
92408,JNJ,2015-08-31,93.98,260240581.88,-0.012504
92409,JNJ,2015-09-01,92.09,255006971.54,-0.020111
92410,JNJ,2015-09-02,93.35,258496045.1,0.013682
92411,JNJ,2015-09-03,92.64,256529979.84,-0.007606
92412,JNJ,2015-09-04,91.31,252847068.86,-0.014357
92413,JNJ,2015-09-08,93.94,260129817.64,0.028803
92414,JNJ,2015-09-09,92.22,255366955.32,-0.01831
92415,JNJ,2015-09-10,92.72,256751508.32,0.005422
92416,JNJ,2015-09-11,92.93,257333020.58,0.002265
92417,JNJ,2015-09-14,93.32,258412971.92,0.004197
92418,JNJ,2015-09-15,94.4,261403606.4,0.011573
92419,JNJ,2015-09-16,94.61,261985118.66,0.002225
92420,JNJ,2015-09-17,94.84,262622013.04,0.002431
92421,JNJ,2015-09-18,93.39,258606809.34,-0.015289
92422,JNJ,2015-09-21,93.13,257886841.78,-0.002784
92423,JNJ,2015-09-22,93.24,258191443.44,0.001181
92424,JNJ,2015-09-23,92.99,257499166.94,-0.002681
92425,JNJ,2015-09-24,92.48,256086922.88,-0.005484
92426,JNJ,2015-09-25,91.0,251988646.0,-0.016003
92427,JNJ,2015-09-28,91.37,253013215.22,0.004066
92428,JNJ,2015-09-29,93.04,257637622.24,0.018277
92429,JNJ,2015-09-30,93.35,258496045.1,0.003332
92430,JNJ,2015-10-01,93.17,257997606.02,-0.001928
92431,JNJ,2015-10-02,93.93,260102126.58,0.008157
92432,JNJ,2015-10-05,94.76,262400484.56,0.008836
92433,JNJ,2015-10-06,93.42,258689882.52,-0.014141
92434,JNJ,2015-10-07,94.98,263009687.88,0.016699
92435,JNJ,2015-10-08,95.08,263286598.48,0.001053
92436,JNJ,2015-10-09,95.37,264089639.22,0.00305
92437,JNJ,2015-10-12,95.99,265806484.94,0.006501
92438,JNJ,2015-10-13,95.45,264311167.7,-0.005626
92439,JNJ,2015-10-14,94.53,261763590.18,-0.009639
92440,JNJ,2015-10-15,97.15,269018647.9,0.027716
92441,JNJ,2015-10-16,98.24,272036973.44,0.01122
92442,JNJ,2015-10-19,97.94,271206241.64,-0.003054
92443,JNJ,2015-10-20,97.59,270237054.54,-0.003574
