Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
94256,JPM,2015-01-02,62.49,233599430.61,0.004954
94257,JPM,2015-01-05,60.55,226347343.95,-0.031045
94258,JPM,2015-01-06,58.98,220478387.22,-0.025929
94259,JPM,2015-01-07,59.07,220814824.23,0.001526
94260,JPM,2015-01-08,60.39,225749233.71,0.022346
94261,JPM,2015-01-09,59.34,221824135.26,-0.017387
94262,JPM,2015-01-12,58.83,219917658.87,-0.008595
94263,JPM,2015-01-13,58.84,219955040.76,0.00017
94264,JPM,2015-01-14,56.81,212366517.09,-0.0345
94265,JPM,2015-01-15,54.99,205563013.11,-0.032037
94266,JPM,2015-01-16,55.93,209076910.77,0.017094
94267,JPM,2015-01-20,55.71,208254509.19,-0.003933
94268,JPM,2015-01-21,55.89,208927383.21,0.003231
94269,JPM,2015-01-22,57.59,215282304.51,0.030417
94270,JPM,2015-01-23,56.68,211880552.52,-0.015801
94271,JPM,2015-01-26,56.77,212216989.53,0.001588
94272,JPM,2015-01-27,56.2,210086221.8,-0.010041
94273,JPM,2015-01-28,54.75,204665847.75,-0.025801
94274,JPM,2015-01-29,55.67,208104981.63,0.016804
94275,JPM,2015-01-30,54.38,203282717.82,-0.023172
94276,JPM,2015-02-02,55.47,207357343.83,0.020044
94277,JPM,2015-02-03,56.72,212030080.08,0.022535
94278,JPM,2015-02-04,56.38,210759095.82,-0.005994
94279,JPM,2015-02-05,56.77,212216989.53,0.006917
94280,JPM,2015-02-06,57.89,216403761.21,0.019729
94281,JPM,2015-02-09,57.82,216142087.98,-0.001209
94282,JPM,2015-02-10,58.46,218534528.94,0.011069
94283,JPM,2015-02-11,58.37,218198091.93,-0.00154
94284,JPM,2015-02-12,59.57,222683918.73,0.020559
94285,JPM,2015-02-13,59.67,223057737.63,0.001679
94286,JPM,2015-02-17,60.1,224665158.9,0.007206
94287,JPM,2015-02-18,59.37,221936280.93,-0.012146
94288,JPM,2015-02-19,59.23,221412934.47,-0.002358
94289,JPM,2015-02-20,59.8,223543702.2,0.009624
94290,JPM,2015-02-23,59.35,221861517.15,-0.007525
94291,JPM,2015-02-24,60.82,227356654.98,0.024768
94292,JPM,2015-02-25,61.14,228552875.46,0.005261
94293,JPM,2015-02-26,61.58,230197678.62,0.007197
94294,JPM,2015-02-27,61.28,228471020.64,-0.004872
94295,JPM,2015-03-02,61.77,230297894.01,0.007996
94296,JPM,2015-03-03,61.97,231043556.61,0.003238
94297,JPM,2015-03-04,62.13,231640086.69,0.002582
94298,JPM,2015-03-05,62.0,231155406.0,-0.002092
94299,JPM,2015-03-06,60.89,227016978.57,-0.017903
94300,JPM,2015-03-09,61.5,229291249.5,0.010018
94301,JPM,2015-03-10,59.96,223549647.48,-0.025041
94302,JPM,2015-03-11,60.24,224593575.12,0.00467
94303,JPM,2015-03-12,61.37,228806568.81,0.018758
94304,JPM,2015-03-13,61.0,227427093.0,-0.006029
94305,JPM,2015-03-16,61.85,230596159.05,0.013934
94306,JPM,2015-03-17,61.61,229701363.93,-0.00388
94307,JPM,2015-03-18,61.75,230223327.75,0.002272
94308,JPM,2015-03-19,61.2,228172755.6,-0.008907
94309,JPM,2015-03-20,61.75,230223327.75,0.008987
94310,JPM,2015-03-23,61.14,227949056.82,-0.009879
94311,JPM,2015-03-24,60.46,225413803.98,-0.011122
94312,JPM,2015-03-25,59.61,222244737.93,-0.014059
94313,JPM,2015-03-26,59.54,221983756.02,-0.001174
94314,JPM,2015-03-27,59.55,222021039.15,0.000168
94315,JPM,2015-03-30,60.96,227277960.48,0.023678
94316,JPM,2015-03-31,60.58,225861201.54,-0.006234
94317,JPM,2015-04-01,59.95,223512364.35,-0.003797
94318,JPM,2015-04-02,60.52,225637502.76,0.009508
94319,JPM,2015-04-06,60.47,225451087.11,-0.000826
94320,JPM,2015-04-07,60.85,226867846.05,0.006284
94321,JPM,2015-04-08,61.05,227613508.65,0.003287
94322,JPM,2015-04-09,61.47,229179400.11,0.00688
94323,JPM,2015-04-10,61.7,230036912.1,0.003742
94324,JPM,2015-04-13,62.07,231416387.91,0.005997
94325,JPM,2015-04-14,63.04,235032851.52,0.015628
94326,JPM,2015-04-15,64.21,239394977.73,0.01856
94327,JPM,2015-04-16,63.81,237903652.53,-0.00623
94328,JPM,2015-04-17,62.84,234287188.92,-0.015201
94329,JPM,2015-04-20,63.24,235778514.12,0.006365
94330,JPM,2015-04-21,62.31,232311183.03,-0.014706
94331,JPM,2015-04-22,62.94,234660020.22,0.010111
94332,JPM,2015-04-23,62.8,234138056.4,-0.002224
94333,JPM,2015-04-24,62.6,233392393.8,-0.003185
94334,JPM,2015-04-27,62.34,232423032.42,-0.004153
94335,JPM,2015-04-28,62.76,233988923.88,0.006737
94336,JPM,2015-04-29,63.6,237120706.8,0.013384
94337,JPM,2015-04-30,63.26,234904812.98,-0.005346
94338,JPM,2015-05-01,63.61,236204476.03,0.005533
94339,JPM,2015-05-04,64.72,240326264.56,0.01745
94340,JPM,2015-05-05,64.4,239138001.2,-0.004944
94341,JPM,2015-05-06,63.92,237355606.16,-0.007453
94342,JPM,2015-05-07,64.5,239509333.5,0.009074
94343,JPM,2015-05-08,65.49,243185523.27,0.015349
94344,JPM,2015-05-11,65.45,243036990.35,-0.000611
94345,JPM,2015-05-12,65.36,242702791.28,-0.001375
