Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
96270,KHC,2015-07-06,72.96,88465751.04,
96271,KHC,2015-07-07,74.63,90490666.12,0.022889
96272,KHC,2015-07-08,75.4,91424309.6,0.010318
96273,KHC,2015-07-09,74.8,90696795.2,-0.007958
96274,KHC,2015-07-10,77.31,93740230.44,0.033556
96275,KHC,2015-07-13,78.83,95583266.92,0.019661
96276,KHC,2015-07-14,78.0,94576872.0,-0.010529
96277,KHC,2015-07-15,76.71,93012716.04,-0.016538
96278,KHC,2015-07-16,78.75,95486265.0,0.026594
96279,KHC,2015-07-17,79.63,96553286.12,0.011175
96280,KHC,2015-07-20,80.11,97135297.64,0.006028
96281,KHC,2015-07-21,80.22,97268675.28,0.001373
96282,KHC,2015-07-22,78.64,95352887.36,-0.019696
96283,KHC,2015-07-23,76.74,93049091.76,-0.017167
96284,KHC,2015-07-24,76.41,92648958.84,-0.0043
96285,KHC,2015-07-27,77.38,93825107.12,0.012695
96286,KHC,2015-07-28,78.32,94964879.68,0.012148
96287,KHC,2015-07-29,77.91,94467744.84,-0.005235
96288,KHC,2015-07-30,79.21,96044026.04,0.016686
96289,KHC,2015-07-31,79.47,96383838.51,0.003282
96290,KHC,2015-08-03,80.37,97475388.21,0.011325
96291,KHC,2015-08-04,79.81,96796201.73,-0.006968
96292,KHC,2015-08-05,80.48,97608799.84,0.008395
96293,KHC,2015-08-06,79.76,96735560.08,-0.008946
96294,KHC,2015-08-07,78.46,95158877.18,-0.016299
96295,KHC,2015-08-10,78.81,95583368.73,0.004461
96296,KHC,2015-08-11,77.97,94564589.01,-0.010659
96297,KHC,2015-08-12,76.69,93012162.77,-0.016417
96298,KHC,2015-08-13,75.99,92163179.67,-0.009128
96299,KHC,2015-08-14,76.42,92684697.86,0.005659
96300,KHC,2015-08-17,75.8,91932741.4,-0.008113
96301,KHC,2015-08-18,75.19,91192913.27,-0.008047
96302,KHC,2015-08-19,74.78,90695651.74,-0.005453
96303,KHC,2015-08-20,74.25,90052850.25,-0.007087
96304,KHC,2015-08-21,72.27,87651440.91,-0.026667
96305,KHC,2015-08-24,70.87,85953474.71,-0.019372
96306,KHC,2015-08-25,70.21,85153004.93,-0.009313
96307,KHC,2015-08-26,73.91,89640487.03,0.052699
96308,KHC,2015-08-27,75.18,91180784.94,0.017183
96309,KHC,2015-08-28,74.69,90586496.77,-0.006518
96310,KHC,2015-08-31,72.66,88124445.78,-0.027179
96311,KHC,2015-09-01,70.12,85043849.96,-0.034957
96312,KHC,2015-09-02,72.07,87408874.31,0.027809
96313,KHC,2015-09-03,72.16,87518029.28,0.001249
96314,KHC,2015-09-04,70.57,85589624.81,-0.022034
96315,KHC,2015-09-08,74.07,89834540.31,0.049596
96316,KHC,2015-09-09,72.17,87530157.61,-0.025651
96317,KHC,2015-09-10,72.16,87518029.28,-0.000139
96318,KHC,2015-09-11,73.76,89458562.08,0.022173
96319,KHC,2015-09-14,74.55,90416700.15,0.01071
96320,KHC,2015-09-15,75.39,91435479.87,0.011268
96321,KHC,2015-09-16,76.37,92624056.21,0.012999
96322,KHC,2015-09-17,76.43,92696826.19,0.000786
96323,KHC,2015-09-18,75.44,91496121.52,-0.012953
96324,KHC,2015-09-21,75.2,91205041.6,-0.003181
96325,KHC,2015-09-22,74.31,90125620.23,-0.011835
96326,KHC,2015-09-23,73.31,88912787.23,-0.013457
96327,KHC,2015-09-24,72.92,88439782.36,-0.00532
96328,KHC,2015-09-25,73.35,88986166.2,0.005897
96329,KHC,2015-09-28,69.99,84909908.28,-0.045808
96330,KHC,2015-09-29,69.2,83951502.4,-0.011287
96331,KHC,2015-09-30,70.58,85625679.76,0.019942
96332,KHC,2015-10-01,70.83,85928972.76,0.003542
96333,KHC,2015-10-02,71.41,86632612.52,0.008189
96334,KHC,2015-10-05,72.24,87639545.28,0.011623
96335,KHC,2015-10-06,72.47,87918574.84,0.003184
96336,KHC,2015-10-07,73.15,88743531.8,0.009383
96337,KHC,2015-10-08,74.43,90296391.96,0.017498
96338,KHC,2015-10-09,74.39,90247865.08,-0.000537
96339,KHC,2015-10-12,73.72,89435039.84,-0.009007
96340,KHC,2015-10-13,73.38,89022561.36,-0.004612
96341,KHC,2015-10-14,73.77,89495698.44,0.005315
96342,KHC,2015-10-15,75.22,91254797.84,0.019656
96343,KHC,2015-10-16,77.39,93887381.08,0.028849
96344,KHC,2015-10-19,76.8,93171609.6,-0.007624
96345,KHC,2015-10-20,76.87,93256531.64,0.000911
96346,KHC,2015-10-21,77.05,93474902.6,0.002342
96347,KHC,2015-10-22,79.94,96980969.68,0.037508
96348,KHC,2015-10-23,77.98,94603152.56,-0.024518
96349,KHC,2015-10-26,76.81,93183741.32,-0.015004
96350,KHC,2015-10-27,77.17,93620483.24,0.004687
96351,KHC,2015-10-28,79.18,96058958.96,0.026046
96352,KHC,2015-10-29,78.65,95415977.8,-0.006694
96353,KHC,2015-10-30,77.97,94613164.32,-0.008646
96354,KHC,2015-11-02,78.27,94977201.12,0.003848
96355,KHC,2015-11-03,76.43,92744442.08,-0.023508
96356,KHC,2015-11-04,75.82,92004233.92,-0.007981
96357,KHC,2015-11-05,75.42,91518851.52,-0.005276
96358,KHC,2015-11-06,72.01,87380966.56,-0.045213
96359,KHC,2015-11-09,71.24,86446605.44,-0.010693
96360,KHC,2015-11-10,72.08,87465908.48,0.011791
96361,KHC,2015-11-11,72.11,87502312.16,0.000416
96362,KHC,2015-11-12,70.9,86034030.4,-0.008806
96363,KHC,2015-11-13,70.77,85876281.12,-0.001834
96364,KHC,2015-11-16,71.655,86950189.68,0.012505
