Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
98158,KO,2015-01-02,42.14,184577961.82,-0.001895
98159,KO,2015-01-05,42.14,184577961.82,0.0
98160,KO,2015-01-06,42.46,185979597.98,0.007594
98161,KO,2015-01-07,42.99,188301057.87,0.012482
98162,KO,2015-01-08,43.51,190578716.63,0.012096
98163,KO,2015-01-09,43.03,188476262.39,-0.011032
98164,KO,2015-01-12,42.64,186768018.32,-0.009063
98165,KO,2015-01-13,42.63,186724217.19,-0.000235
98166,KO,2015-01-14,42.56,186417609.28,-0.001642
98167,KO,2015-01-15,42.38,185629188.94,-0.004229
98168,KO,2015-01-16,42.53,186286205.89,0.003539
98169,KO,2015-01-20,43.16,189045677.08,0.014813
98170,KO,2015-01-21,43.36,189921699.68,0.004634
98171,KO,2015-01-22,43.78,191761347.14,0.009686
98172,KO,2015-01-23,43.31,189702694.03,-0.010735
98173,KO,2015-01-26,43.0,188344859.0,-0.007158
98174,KO,2015-01-27,42.39,185672990.07,-0.014186
98175,KO,2015-01-28,41.92,183614336.96,-0.011088
98176,KO,2015-01-29,42.1,184402757.3,0.004294
98177,KO,2015-01-30,41.17,180329252.21,-0.02209
98178,KO,2015-02-02,41.59,182168899.67,0.010202
98179,KO,2015-02-03,41.63,182344104.19,0.000962
98180,KO,2015-02-04,41.68,182563109.84,0.001201
98181,KO,2015-02-05,41.79,183044922.27,0.002639
98182,KO,2015-02-06,41.45,181555683.85,-0.008136
98183,KO,2015-02-09,41.23,180592058.99,-0.005308
98184,KO,2015-02-10,42.4,185716791.2,0.028377
98185,KO,2015-02-11,42.37,185585387.81,-0.000708
98186,KO,2015-02-12,42.17,184709365.21,-0.00472
98187,KO,2015-02-13,41.99,183920944.87,-0.004268
98188,KO,2015-02-17,41.81,183132524.53,-0.004287
98189,KO,2015-02-18,41.73,182782115.49,-0.001913
98190,KO,2015-02-19,42.11,184446558.43,0.009106
98191,KO,2015-02-20,41.97,183833342.61,-0.003325
98192,KO,2015-02-23,41.85,183307729.05,-0.002859
98193,KO,2015-02-24,42.13,184534160.69,0.006691
98194,KO,2015-02-25,42.05,184183751.65,-0.001899
98195,KO,2015-02-26,42.46,185979597.98,0.00975
98196,KO,2015-02-27,43.3,189058365.2,0.019783
98197,KO,2015-03-02,43.2,188621740.8,-0.002309
98198,KO,2015-03-03,42.95,187530179.8,-0.005787
98199,KO,2015-03-04,42.5,185565370.0,-0.010477
98200,KO,2015-03-05,42.4,185128745.6,-0.002353
98201,KO,2015-03-06,41.52,181286450.88,-0.020755
98202,KO,2015-03-09,41.39,180718839.16,-0.003131
98203,KO,2015-03-10,40.69,177662468.36,-0.016912
98204,KO,2015-03-11,40.1,175086384.4,-0.0145
98205,KO,2015-03-12,40.57,177138519.08,0.01995
98206,KO,2015-03-13,39.91,174256798.04,-0.016268
98207,KO,2015-03-16,40.29,175915970.76,0.009521
98208,KO,2015-03-17,40.51,176876544.44,0.00546
98209,KO,2015-03-18,40.6,177269506.4,0.002222
98210,KO,2015-03-19,40.02,174737084.88,-0.014286
98211,KO,2015-03-20,40.65,177487818.6,0.015742
98212,KO,2015-03-23,40.62,177356831.28,-0.000738
98213,KO,2015-03-24,40.47,176701894.68,-0.003693
98214,KO,2015-03-25,40.45,176614569.8,-0.000494
98215,KO,2015-03-26,40.35,176177945.4,-0.002472
98216,KO,2015-03-27,40.08,174999059.52,-0.006691
98217,KO,2015-03-30,40.51,176876544.44,0.010729
98218,KO,2015-03-31,40.55,177142391.15,0.000987
98219,KO,2015-04-01,40.68,177710295.24,0.003206
98220,KO,2015-04-02,40.68,177710295.24,0.0
98221,KO,2015-04-06,41.17,179850856.81,0.012045
98222,KO,2015-04-07,41.01,179151897.93,-0.003886
98223,KO,2015-04-08,40.89,178627678.77,-0.002926
98224,KO,2015-04-09,41.05,179326637.65,0.003913
98225,KO,2015-04-10,40.88,178583993.84,-0.004141
98226,KO,2015-04-13,40.7,177797665.1,-0.004403
98227,KO,2015-04-14,40.51,176967651.43,-0.004668
98228,KO,2015-04-15,40.4,176487117.2,-0.002715
98229,KO,2015-04-16,40.6,177360815.8,0.00495
98230,KO,2015-04-17,40.3,176050267.9,-0.007389
98231,KO,2015-04-20,40.66,177622925.38,0.008933
98232,KO,2015-04-21,40.78,178147144.54,0.002951
98233,KO,2015-04-22,41.31,180462445.83,0.012997
98234,KO,2015-04-23,40.95,178889788.35,-0.008715
98235,KO,2015-04-24,40.89,178627678.77,-0.001465
98236,KO,2015-04-27,40.83,178365569.19,-0.001467
98237,KO,2015-04-28,40.77,178103459.61,-0.00147
98238,KO,2015-04-29,40.49,176880281.57,-0.006868
98239,KO,2015-04-30,40.56,177186076.08,0.001729
98240,KO,2015-05-01,40.91,178715048.63,0.008629
98241,KO,2015-05-04,40.96,178933473.28,0.001222
98242,KO,2015-05-05,40.75,178016089.75,-0.005127
