Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
100172,LIN,2018-10-31,165.47,92356584.09,
100173,LIN,2018-11-01,162.0,90419814.0,-0.020971
100174,LIN,2018-11-02,159.84,89214216.48,-0.013333
100175,LIN,2018-11-05,161.99,90414232.53,0.013451
100176,LIN,2018-11-06,165.53,92390072.91,0.021853
100177,LIN,2018-11-07,166.85,93126826.95,0.007974
100178,LIN,2018-11-08,165.3,92261699.1,-0.00929
100179,LIN,2018-11-09,161.52,90151903.44,-0.022868
100180,LIN,2018-11-12,159.22,88868165.34,-0.01424
100181,LIN,2018-11-13,156.93,87590008.71,-0.014383
100182,LIN,2018-11-14,153.36,85597423.92,-0.022749
100183,LIN,2018-11-15,155.18,86613251.46,0.011868
100184,LIN,2018-11-16,158.08,88231877.76,0.018688
100185,LIN,2018-11-19,159.5,89024446.5,0.008983
100186,LIN,2018-11-20,157.87,88114666.89,-0.010219
100187,LIN,2018-11-21,159.06,88778861.82,0.007538
100188,LIN,2018-11-23,156.19,87176979.93,-0.018044
100189,LIN,2018-11-26,157.32,87807686.04,0.007235
100190,LIN,2018-11-27,152.55,85145324.85,-0.03032
100191,LIN,2018-11-28,156.29,87232794.63,0.024517
100192,LIN,2018-11-29,159.31,88918398.57,0.019323
100193,LIN,2018-11-30,159.05,87645297.75,-0.001632
100194,LIN,2018-12-03,164.35,90565889.25,0.033323
100195,LIN,2018-12-04,160.83,88626175.65,-0.021418
100196,LIN,2018-12-06,155.98,85953558.9,-0.030156
100197,LIN,2018-12-07,152.72,84157119.6,-0.0209
100198,LIN,2018-12-10,156.91,86466040.05,0.027436
100199,LIN,2018-12-11,157.46,86769120.3,0.003505
100200,LIN,2018-12-12,160.55,88471880.25,0.019624
100201,LIN,2018-12-13,158.09,87116284.95,-0.015322
100202,LIN,2018-12-14,156.93,86477061.15,-0.007338
100203,LIN,2018-12-17,157.33,86697483.15,0.007806
100204,LIN,2018-12-18,157.61,86851778.55,0.00178
100205,LIN,2018-12-19,155.83,85870900.65,-0.011294
100206,LIN,2018-12-20,154.05,84890022.75,-0.011423
100207,LIN,2018-12-21,153.11,84372031.05,-0.006102
100208,LIN,2018-12-24,148.13,81627777.15,-0.032526
100209,LIN,2018-12-26,152.74,84168140.7,0.031121
100210,LIN,2018-12-27,156.41,86190512.55,0.024028
100211,LIN,2018-12-28,156.31,86135407.05,-0.000639
100212,LIN,2018-12-31,156.04,85986622.2,-0.001727
100213,LIN,2019-01-02,157.2,86625846.0,0.007434
100214,LIN,2019-01-03,152.29,83920165.95,-0.031234
100215,LIN,2019-01-04,156.63,86311744.65,0.028498
100216,LIN,2019-01-07,156.49,86234596.95,-0.000894
100217,LIN,2019-01-08,158.15,87149348.25,0.010608
100218,LIN,2019-01-09,158.46,87320175.3,0.00196
100219,LIN,2019-01-10,161.85,89188251.75,0.021393
100220,LIN,2019-01-11,160.21,88284521.55,-0.010133
100221,LIN,2019-01-14,158.02,87077711.1,-0.01367
100222,LIN,2019-01-15,157.23,86642377.65,-0.004999
100223,LIN,2019-01-16,157.24,86647888.2,6.4e-05
100224,LIN,2019-01-17,157.26,86658909.3,0.000127
100225,LIN,2019-01-18,160.79,88604133.45,0.022447
100226,LIN,2019-01-22,160.84,88631686.2,0.000311
100227,LIN,2019-01-23,158.93,87579171.15,-0.011875
100228,LIN,2019-01-24,157.37,86719525.35,-0.009816
100229,LIN,2019-01-25,158.84,87529576.2,0.009341
100230,LIN,2019-01-28,158.21,87182411.55,-0.003966
100231,LIN,2019-01-29,161.22,88841087.1,0.019025
100232,LIN,2019-01-30,162.92,89777880.6,0.010545
100233,LIN,2019-01-31,163.01,89827475.55,0.000552
100234,LIN,2019-02-01,165.76,91342876.8,0.01687
100235,LIN,2019-02-04,163.5,90097492.5,-0.013634
100236,LIN,2019-02-05,164.99,90918564.45,0.009113
100237,LIN,2019-02-06,163.42,90053408.1,-0.009516
100238,LIN,2019-02-07,160.69,88549027.95,-0.016705
100239,LIN,2019-02-08,161.22,88841087.1,0.003298
100240,LIN,2019-02-11,161.35,88912724.25,0.000806
100241,LIN,2019-02-12,167.53,92318244.15,0.038302
100242,LIN,2019-02-13,167.38,92235585.9,-0.000895
100243,LIN,2019-02-14,166.5,91750657.5,-0.005257
100244,LIN,2019-02-15,168.54,92874809.7,0.012252
100245,LIN,2019-02-19,167.86,92500092.3,-0.004035
100246,LIN,2019-02-20,170.3,93844666.5,0.014536
100247,LIN,2019-02-21,171.4,94450827.0,0.006459
