Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
101221,LLY,2015-01-02,70.06,78006905.8,0.015509
101222,LLY,2015-01-05,69.37,77238639.1,-0.009849
101223,LLY,2015-01-06,69.72,77628339.6,0.005045
101224,LLY,2015-01-07,69.23,77082758.9,-0.007028
101225,LLY,2015-01-08,70.87,78908784.1,0.023689
101226,LLY,2015-01-09,69.93,77862159.9,-0.013264
101227,LLY,2015-01-12,69.42,77294310.6,-0.007293
101228,LLY,2015-01-13,69.38,77249773.4,-0.000576
101229,LLY,2015-01-14,69.76,77672876.8,0.005477
101230,LLY,2015-01-15,69.74,77650608.2,-0.000287
101231,LLY,2015-01-16,70.68,78697232.4,0.013479
101232,LLY,2015-01-20,72.03,80200362.9,0.0191
101233,LLY,2015-01-21,72.24,80434183.2,0.002915
101234,LLY,2015-01-22,72.46,80679137.8,0.003045
101235,LLY,2015-01-23,72.13,80311705.9,-0.004554
101236,LLY,2015-01-26,72.11,80289437.3,-0.000277
101237,LLY,2015-01-27,71.73,79866333.9,-0.00527
101238,LLY,2015-01-28,70.97,79020127.1,-0.010595
101239,LLY,2015-01-29,72.11,80289437.3,0.016063
101240,LLY,2015-01-30,72.0,80166960.0,-0.001525
101241,LLY,2015-02-02,71.69,79821796.7,-0.004306
101242,LLY,2015-02-03,70.89,78931052.7,-0.011159
101243,LLY,2015-02-04,70.22,78185054.6,-0.009451
101244,LLY,2015-02-05,71.41,79510036.3,0.016947
101245,LLY,2015-02-06,70.36,78340934.8,-0.014704
101246,LLY,2015-02-09,69.61,77505862.3,-0.010659
101247,LLY,2015-02-10,70.5,78496815.0,0.012786
101248,LLY,2015-02-11,69.95,77884428.5,-0.000709
101249,LLY,2015-02-12,70.53,78530217.9,0.008292
101250,LLY,2015-02-13,70.56,78563620.8,0.000425
101251,LLY,2015-02-17,71.56,79677050.8,0.014172
101252,LLY,2015-02-18,71.01,79064664.3,-0.007686
101253,LLY,2015-02-19,71.12,79187141.6,0.001549
101254,LLY,2015-02-20,71.88,80033348.4,0.010686
101255,LLY,2015-02-23,71.09,79153738.7,-0.010991
101256,LLY,2015-02-24,70.9,78942187.0,-0.002673
101257,LLY,2015-02-25,70.36,78340934.8,-0.007616
101258,LLY,2015-02-26,70.03,77973502.9,-0.00469
101259,LLY,2015-02-27,70.17,77966167.68,0.001999
101260,LLY,2015-03-02,71.12,79021716.48,0.013539
101261,LLY,2015-03-03,70.37,78188388.48,-0.010546
101262,LLY,2015-03-04,70.65,78499497.6,0.003979
101263,LLY,2015-03-05,70.59,78432831.36,-0.000849
101264,LLY,2015-03-06,68.41,76010624.64,-0.030883
101265,LLY,2015-03-09,69.58,77310616.32,0.017103
101266,LLY,2015-03-10,68.78,76421733.12,-0.011498
101267,LLY,2015-03-11,68.46,76066179.84,-0.004653
101268,LLY,2015-03-12,69.56,77288394.24,0.016068
101269,LLY,2015-03-13,69.89,77655058.56,0.004744
101270,LLY,2015-03-16,71.07,78966161.28,0.016884
101271,LLY,2015-03-17,70.84,78710607.36,-0.003236
101272,LLY,2015-03-18,73.54,81710588.16,0.038114
101273,LLY,2015-03-19,74.22,82466138.88,0.009247
101274,LLY,2015-03-20,76.12,84577236.48,0.0256
101275,LLY,2015-03-23,76.36,84843901.44,0.003153
101276,LLY,2015-03-24,75.56,83955018.24,-0.010477
101277,LLY,2015-03-25,74.36,82621693.44,-0.015881
