Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
103235,LMT,2015-01-02,193.31,61071461.75,0.003843
103236,LMT,2015-01-05,189.29,59801443.25,-0.020796
103237,LMT,2015-01-06,188.4,59520270.0,-0.004702
103238,LMT,2015-01-07,190.83,60287967.75,0.012898
103239,LMT,2015-01-08,195.13,61646445.25,0.022533
103240,LMT,2015-01-09,195.02,61611693.5,-0.000564
103241,LMT,2015-01-12,194.47,61437934.75,-0.00282
103242,LMT,2015-01-13,194.35,61400023.75,-0.000617
103243,LMT,2015-01-14,193.23,61046187.75,-0.005763
103244,LMT,2015-01-15,192.37,60774492.25,-0.004451
103245,LMT,2015-01-16,194.71,61513756.75,0.012164
103246,LMT,2015-01-20,195.75,61842318.75,0.005341
103247,LMT,2015-01-21,195.5,61763337.5,-0.001277
103248,LMT,2015-01-22,198.09,62581583.25,0.013248
103249,LMT,2015-01-23,197.44,62376232.0,-0.003281
103250,LMT,2015-01-26,195.68,61820204.0,-0.008914
103251,LMT,2015-01-27,190.55,60199508.75,-0.026216
103252,LMT,2015-01-28,189.25,59788806.25,-0.006822
103253,LMT,2015-01-29,192.5,60815562.5,0.017173
103254,LMT,2015-01-30,188.37,59510792.25,-0.021455
103255,LMT,2015-02-02,189.33,59814080.25,0.005096
103256,LMT,2015-02-03,192.0,60657600.0,0.014102
103257,LMT,2015-02-04,192.28,60746059.0,0.001458
103258,LMT,2015-02-05,194.06,61308405.5,0.009257
103259,LMT,2015-02-06,195.24,61681197.0,0.006081
103260,LMT,2015-02-09,193.02,60979843.5,-0.011371
103261,LMT,2015-02-10,195.67,61817044.75,0.013729
103262,LMT,2015-02-11,196.31,62019236.75,0.003271
103263,LMT,2015-02-12,197.48,62388869.0,0.00596
103264,LMT,2015-02-13,196.95,62221428.75,-0.002684
103265,LMT,2015-02-17,197.57,62417302.25,0.003148
103266,LMT,2015-02-18,198.57,62733227.25,0.005061
103267,LMT,2015-02-19,201.71,63725231.75,0.015813
103268,LMT,2015-02-20,203.99,64445540.75,0.011303
103269,LMT,2015-02-23,205.59,64951020.75,0.007844
103270,LMT,2015-02-24,206.62,65276423.5,0.00501
103271,LMT,2015-02-25,204.86,64720395.5,-0.008518
103272,LMT,2015-02-26,201.33,63605180.25,-0.009909
103273,LMT,2015-02-27,200.05,63132579.2,-0.006358
103274,LMT,2015-03-02,203.02,64069863.68,0.014846
103275,LMT,2015-03-03,199.93,63094709.12,-0.01522
103276,LMT,2015-03-04,198.97,62791748.48,-0.004802
103277,LMT,2015-03-05,199.1,62832774.4,0.000653
103278,LMT,2015-03-06,197.66,62378333.44,-0.007233
103279,LMT,2015-03-09,199.74,63034748.16,0.010523
103280,LMT,2015-03-10,197.58,62353086.72,-0.010814
103281,LMT,2015-03-11,197.21,62236320.64,-0.001873
103282,LMT,2015-03-12,198.78,62731787.52,0.007961
103283,LMT,2015-03-13,197.11,62204762.24,-0.008401
103284,LMT,2015-03-16,202.11,63782682.24,0.025367
103285,LMT,2015-03-17,200.67,63328241.28,-0.007125
103286,LMT,2015-03-18,202.6,63937318.4,0.009618
103287,LMT,2015-03-19,202.19,63807928.96,-0.002024
103288,LMT,2015-03-20,203.77,64306551.68,0.007814
103289,LMT,2015-03-23,202.92,64038305.28,-0.004171
103290,LMT,2015-03-24,203.3,64158227.2,0.001873
103291,LMT,2015-03-25,199.02,62807527.68,-0.021053
103292,LMT,2015-03-26,200.56,63293527.04,0.007738
103293,LMT,2015-03-27,202.23,63820552.32,0.008327
103294,LMT,2015-03-30,204.89,64660005.76,0.013153
103295,LMT,2015-03-31,202.96,64192594.72,-0.00942
103296,LMT,2015-04-01,198.76,62864210.32,-0.020694
103297,LMT,2015-04-02,198.72,62851559.04,-0.000201
103298,LMT,2015-04-06,200.53,63424029.46,0.009108
103299,LMT,2015-04-07,200.15,63303842.3,-0.001895
103300,LMT,2015-04-08,200.81,63512588.42,0.003298
103301,LMT,2015-04-09,201.44,63711846.08,0.003137
103302,LMT,2015-04-10,200.4,63382912.8,-0.005163
103303,LMT,2015-04-13,197.05,62323368.1,-0.016717
103304,LMT,2015-04-14,197.34,62415089.88,0.001472
103305,LMT,2015-04-15,197.21,62373973.22,-0.000659
103306,LMT,2015-04-16,197.12,62345507.84,-0.000456
103307,LMT,2015-04-17,194.82,61618059.24,-0.011668
103308,LMT,2015-04-20,196.8,62244297.6,0.010163
103309,LMT,2015-04-21,196.29,62082993.78,-0.002591
103310,LMT,2015-04-22,197.63,62506811.66,0.006827
103311,LMT,2015-04-23,197.2,62370810.4,-0.002176
103312,LMT,2015-04-24,195.37,61792014.34,-0.00928
103313,LMT,2015-04-27,193.84,61308102.88,-0.007831
103314,LMT,2015-04-28,194.02,61365033.64,0.000929
103315,LMT,2015-04-29,191.29,60501583.78,-0.014071
103316,LMT,2015-04-30,186.6,59018221.2,-0.024518
103317,LMT,2015-05-01,189.0,59777298.0,0.012862
103318,LMT,2015-05-04,189.69,59995532.58,0.003651
103319,LMT,2015-05-05,187.35,59255432.7,-0.012336
103320,LMT,2015-05-06,186.83,59090966.06,-0.002776
103321,LMT,2015-05-07,188.21,59527435.22,0.007386
103322,LMT,2015-05-08,190.48,60245395.36,0.012061
103323,LMT,2015-05-11,190.47,60242232.54,-5.2e-05
103324,LMT,2015-05-12,190.61,60286512.02,0.000735
103325,LMT,2015-05-13,191.0,60409862.0,0.002046
103326,LMT,2015-05-14,193.05,61058240.1,0.010733
103327,LMT,2015-05-15,192.36,60840005.52,-0.003574
103328,LMT,2015-05-18,193.08,61067728.56,0.003743
103329,LMT,2015-05-19,193.38,61162613.16,0.001554
103330,LMT,2015-05-20,193.25,61121496.5,-0.000672
103331,LMT,2015-05-21,193.11,61077217.02,-0.000724
103332,LMT,2015-05-22,192.86,60998146.52,-0.001295
103333,LMT,2015-05-26,190.51,60254883.82,-0.012185
103334,LMT,2015-05-27,191.35,60520560.7,0.004409
103335,LMT,2015-05-28,190.12,60131533.84,0.001411
103336,LMT,2015-05-29,188.2,59524272.4,-0.010099
103337,LMT,2015-06-01,191.07,60432001.74,0.01525
103338,LMT,2015-06-02,190.77,60337117.14,-0.00157
103339,LMT,2015-06-03,191.89,60691352.98,0.005871
103340,LMT,2015-06-04,190.17,60147347.94,-0.008963
103341,LMT,2015-06-05,189.33,59881671.06,-0.004417
103342,LMT,2015-06-08,189.37,59894322.34,0.000211
103343,LMT,2015-06-09,189.35,59887996.7,-0.000106
103344,LMT,2015-06-10,189.28,59865856.96,-0.00037
103345,LMT,2015-06-11,191.48,60561677.36,0.011623
103346,LMT,2015-06-12,190.98,60403536.36,-0.002611
103347,LMT,2015-06-15,189.92,60068277.44,-0.00555
103348,LMT,2015-06-16,190.82,60352931.24,0.004739
103349,LMT,2015-06-17,191.02,60416187.64,0.001048
103350,LMT,2015-06-18,192.75,60963355.5,0.009057
103351,LMT,2015-06-19,191.14,60454141.48,-0.008353
103352,LMT,2015-06-22,192.08,60751446.56,0.004918
103353,LMT,2015-06-23,191.64,60612282.48,-0.002291
103354,LMT,2015-06-24,190.17,60147347.94,-0.007671
103355,LMT,2015-06-25,189.99,60090417.18,-0.000947
103356,LMT,2015-06-26,188.64,59663436.48,-0.007106
103357,LMT,2015-06-29,185.52,58676636.64,-0.016539
103358,LMT,2015-06-30,185.9,58796823.8,0.002048
103359,LMT,2015-07-01,188.17,59514783.94,0.012211
103360,LMT,2015-07-02,187.3,59239618.6,-0.004623
103361,LMT,2015-07-06,187.99,59457853.18,0.003684
103362,LMT,2015-07-07,190.16,60144185.12,0.011543
103363,LMT,2015-07-08,190.05,60109394.1,-0.000578
103364,LMT,2015-07-09,192.13,60767260.66,0.010944
103365,LMT,2015-07-10,194.19,61418801.58,0.010722
103366,LMT,2015-07-13,197.88,62585882.16,0.019002
103367,LMT,2015-07-14,199.05,62955932.1,0.005913
103368,LMT,2015-07-15,199.41,63069793.62,0.001809
103369,LMT,2015-07-16,201.62,63768776.84,0.011083
103370,LMT,2015-07-17,201.18,63629612.76,-0.002182
103371,LMT,2015-07-20,205.13,64878926.66,0.019634
103372,LMT,2015-07-21,203.15,64252688.3,-0.009652
103373,LMT,2015-07-22,202.79,64138826.78,-0.001772
103374,LMT,2015-07-23,202.83,64151478.06,0.000197
103375,LMT,2015-07-24,201.04,63585333.28,-0.008825
103376,LMT,2015-07-27,201.17,63626449.94,0.000647
