Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
105249,LOW,2015-01-02,67.7,65865939.3,-0.015988
105250,LOW,2015-01-05,66.08,64289826.72,-0.023929
105251,LOW,2015-01-06,66.23,64435763.07,0.00227
105252,LOW,2015-01-07,68.2,66352393.8,0.029745
105253,LOW,2015-01-08,69.64,67753382.76,0.021114
105254,LOW,2015-01-09,68.33,66478871.97,-0.018811
105255,LOW,2015-01-12,67.85,66011875.65,-0.007025
105256,LOW,2015-01-13,67.86,66021604.74,0.000147
105257,LOW,2015-01-14,67.39,65564337.51,-0.006926
105258,LOW,2015-01-15,66.35,64552512.15,-0.015433
105259,LOW,2015-01-16,67.99,66148082.91,0.028184
105260,LOW,2015-01-20,66.52,64717906.68,-0.021621
105261,LOW,2015-01-21,67.32,65496233.88,0.012026
105262,LOW,2015-01-22,69.55,67665820.95,0.033125
105263,LOW,2015-01-23,69.71,67821486.39,0.002301
105264,LOW,2015-01-26,70.44,68531709.96,0.010472
105265,LOW,2015-01-27,69.85,67957693.65,-0.008376
105266,LOW,2015-01-28,69.22,67344760.98,-0.009019
105267,LOW,2015-01-29,69.93,68035526.37,0.010257
105268,LOW,2015-01-30,67.76,65924313.84,-0.031031
105269,LOW,2015-02-02,68.41,66556704.69,0.009593
105270,LOW,2015-02-03,69.63,67743653.67,0.017834
105271,LOW,2015-02-04,70.67,68755479.03,0.014936
105272,LOW,2015-02-05,71.47,69533806.23,0.01132
105273,LOW,2015-02-06,71.9,69952157.1,0.006017
105274,LOW,2015-02-09,70.95,69027893.55,-0.013213
105275,LOW,2015-02-10,71.76,69815949.84,0.011416
105276,LOW,2015-02-11,71.43,69494889.87,-0.004599
105277,LOW,2015-02-12,72.19,70234300.71,0.01064
105278,LOW,2015-02-13,72.05,70098093.45,-0.001939
105279,LOW,2015-02-17,72.47,70506715.23,0.005829
105280,LOW,2015-02-18,72.52,70555360.68,0.00069
105281,LOW,2015-02-19,72.29,70331591.61,-0.003172
105282,LOW,2015-02-20,73.56,71567186.04,0.017568
105283,LOW,2015-02-23,73.73,71732580.57,0.002311
105284,LOW,2015-02-24,74.65,72627656.85,0.012478
105285,LOW,2015-02-25,74.43,72413616.87,-0.002947
105286,LOW,2015-02-26,74.1,72092556.9,-0.004434
105287,LOW,2015-02-27,74.09,72082827.81,-0.000135
105288,LOW,2015-03-02,75.09,73055736.81,0.013497
105289,LOW,2015-03-03,75.01,72977904.09,-0.001065
105290,LOW,2015-03-04,74.02,72014724.18,-0.013198
105291,LOW,2015-03-05,74.56,72540095.04,0.007295
105292,LOW,2015-03-06,73.51,71518540.59,-0.014083
105293,LOW,2015-03-09,74.26,72248222.34,0.010203
105294,LOW,2015-03-10,73.06,71080731.54,-0.016159
105295,LOW,2015-03-11,73.07,71090460.63,0.000137
105296,LOW,2015-03-12,74.94,72909800.46,0.025592
105297,LOW,2015-03-13,74.16,72150931.44,-0.010408
105298,LOW,2015-03-16,75.44,73396254.96,0.01726
105299,LOW,2015-03-17,74.57,72549824.13,-0.011532
105300,LOW,2015-03-18,74.52,72501178.68,-0.000671
105301,LOW,2015-03-19,74.56,72540095.04,0.000537
105302,LOW,2015-03-20,75.23,73191944.07,0.008986
105303,LOW,2015-03-23,75.37,73328151.33,0.001861
105304,LOW,2015-03-24,75.61,73561649.49,0.003184
105305,LOW,2015-03-25,74.26,72248222.34,-0.017855
105306,LOW,2015-03-26,72.86,70886149.74,-0.018853
105307,LOW,2015-03-27,73.67,71674206.03,0.011117
105308,LOW,2015-03-30,74.8,72773593.2,0.015339
105309,LOW,2015-03-31,74.39,70797334.95,-0.005481
105310,LOW,2015-04-01,74.39,70797334.95,0.0
105311,LOW,2015-04-02,74.84,71225602.2,0.006049
105312,LOW,2015-04-06,75.06,71434977.3,0.00294
105313,LOW,2015-04-07,74.11,70530857.55,-0.012657
105314,LOW,2015-04-08,74.81,71197051.05,0.009445
105315,LOW,2015-04-09,74.25,70664096.25,-0.007486
105316,LOW,2015-04-10,74.9,71282704.5,0.008754
105317,LOW,2015-04-13,73.81,70245346.05,-0.014553
105318,LOW,2015-04-14,73.98,70407135.9,0.002303
105319,LOW,2015-04-15,73.41,69864664.05,-0.007705
105320,LOW,2015-04-16,74.08,70502306.4,0.009127
105321,LOW,2015-04-17,72.55,69046197.75,-0.020653
105322,LOW,2015-04-20,72.63,69122334.15,0.004273
105323,LOW,2015-04-21,73.24,69702874.2,0.008399
105324,LOW,2015-04-22,73.07,69541084.35,-0.002321
105325,LOW,2015-04-23,73.37,69826595.85,0.004106
105326,LOW,2015-04-24,73.16,69626737.8,-0.002862
105327,LOW,2015-04-27,71.84,68370487.2,-0.018043
105328,LOW,2015-04-28,71.74,68275316.7,-0.001392
105329,LOW,2015-04-29,70.44,67038100.2,-0.018121
105330,LOW,2015-04-30,68.86,65534406.3,-0.02243
105331,LOW,2015-05-01,70.7,67285543.5,0.026721
105332,LOW,2015-05-04,71.25,67808981.25,0.007779
105333,LOW,2015-05-05,70.43,67028583.15,-0.011509
105334,LOW,2015-05-06,70.77,67352162.85,0.004827
105335,LOW,2015-05-07,72.29,68798754.45,0.021478
105336,LOW,2015-05-08,73.26,69721908.3,0.013418
105337,LOW,2015-05-11,73.22,69683840.1,-0.000546
105338,LOW,2015-05-12,73.67,70112107.35,0.006146
105339,LOW,2015-05-13,73.11,69579152.55,-0.007601
105340,LOW,2015-05-14,72.26,68770203.3,-0.011626
105341,LOW,2015-05-15,73.09,69560118.45,0.011486
105342,LOW,2015-05-18,73.06,69531567.3,-0.00041
105343,LOW,2015-05-19,71.83,68360970.15,-0.016835
105344,LOW,2015-05-20,68.5,65191792.5,-0.046359
105345,LOW,2015-05-21,68.72,65401167.6,0.003212
105346,LOW,2015-05-22,69.54,66181565.7,0.011932
105347,LOW,2015-05-26,69.58,66219633.9,0.000575
105348,LOW,2015-05-27,70.72,67304577.6,0.016384
105349,LOW,2015-05-28,70.45,67047617.25,-0.003818
105350,LOW,2015-05-29,69.98,66271060.0,-0.006671
105351,LOW,2015-06-01,70.14,66422580.0,0.002286
105352,LOW,2015-06-02,70.15,66432050.0,0.000143
105353,LOW,2015-06-03,70.65,66905550.0,0.007128
105354,LOW,2015-06-04,70.14,66422580.0,-0.007219
105355,LOW,2015-06-05,69.79,66091130.0,-0.00499
105356,LOW,2015-06-08,68.68,65039960.0,-0.015905
105357,LOW,2015-06-09,68.53,64897910.0,-0.002184
105358,LOW,2015-06-10,69.17,65503990.0,0.009339
105359,LOW,2015-06-11,69.04,65380880.0,-0.001879
105360,LOW,2015-06-12,69.03,65371410.0,-0.000145
105361,LOW,2015-06-15,69.11,65447170.0,0.001159
105362,LOW,2015-06-16,69.4,65721800.0,0.004196
105363,LOW,2015-06-17,69.67,65977490.0,0.00389
105364,LOW,2015-06-18,70.15,66432050.0,0.00689
105365,LOW,2015-06-19,69.99,66280530.0,-0.002281
105366,LOW,2015-06-22,70.29,66564630.0,0.004286
105367,LOW,2015-06-23,70.6,66858200.0,0.00441
