Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
107263,MA,2015-01-02,85.68,95354985.6,-0.005571
107264,MA,2015-01-05,83.27,92672848.4,-0.028128
107265,MA,2015-01-06,83.09,92472522.8,-0.002162
107266,MA,2015-01-07,84.22,93730122.4,0.015525
107267,MA,2015-01-08,85.53,95188047.6,0.015555
107268,MA,2015-01-09,84.44,93974964.8,-0.012744
107269,MA,2015-01-12,83.36,92773011.2,-0.01279
107270,MA,2015-01-13,83.55,92984466.0,0.002279
107271,MA,2015-01-14,83.46,92884303.2,-0.001077
107272,MA,2015-01-15,82.25,91537670.0,-0.014498
107273,MA,2015-01-16,83.8,93262696.0,0.018845
107274,MA,2015-01-20,84.26,93774639.2,0.005489
107275,MA,2015-01-21,83.72,93173662.4,-0.006409
107276,MA,2015-01-22,84.38,93908189.6,0.007883
107277,MA,2015-01-23,84.39,93919318.8,0.000119
107278,MA,2015-01-26,83.6,93040112.0,-0.009361
107279,MA,2015-01-27,81.77,91003468.4,-0.02189
107280,MA,2015-01-28,80.74,89857160.8,-0.012596
107281,MA,2015-01-29,81.38,90569429.6,0.007927
107282,MA,2015-01-30,82.03,91292827.6,0.007987
107283,MA,2015-02-02,82.98,92350101.6,0.011581
107284,MA,2015-02-03,83.81,93273825.2,0.010002
107285,MA,2015-02-04,84.18,93685605.6,0.004415
107286,MA,2015-02-05,85.82,95510794.4,0.019482
107287,MA,2015-02-06,84.16,93663347.2,-0.019343
107288,MA,2015-02-09,84.59,94141902.8,0.005109
107289,MA,2015-02-10,84.23,93741251.6,-0.004256
107290,MA,2015-02-11,84.46,93997223.2,0.002731
107291,MA,2015-02-12,87.52,97402758.4,0.03623
107292,MA,2015-02-13,87.14,96979848.8,-0.004342
107293,MA,2015-02-17,87.52,97402758.4,0.004361
107294,MA,2015-02-18,87.73,97636471.6,0.002399
107295,MA,2015-02-19,89.2,99272464.0,0.016756
107296,MA,2015-02-20,90.79,101042006.8,0.017825
107297,MA,2015-02-23,91.12,101409270.4,0.003635
107298,MA,2015-02-24,91.32,101631854.4,0.002195
107299,MA,2015-02-25,92.67,103134296.4,0.014783
107300,MA,2015-02-26,91.26,101565079.2,-0.015215
107301,MA,2015-02-27,90.13,100157953.93,-0.012382
107302,MA,2015-03-02,92.02,102258237.22,0.02097
107303,MA,2015-03-03,90.97,101091413.17,-0.011411
107304,MA,2015-03-04,91.71,101913746.31,0.008135
107305,MA,2015-03-05,92.81,103136133.41,0.011994
107306,MA,2015-03-06,90.79,100891386.19,-0.021765
107307,MA,2015-03-09,91.12,101258102.32,0.003635
107308,MA,2015-03-10,88.84,98724427.24,-0.025022
107309,MA,2015-03-11,86.97,96646369.17,-0.021049
107310,MA,2015-03-12,89.25,99180044.25,0.026216
107311,MA,2015-03-13,87.75,97513152.75,-0.016807
107312,MA,2015-03-16,88.71,98579963.31,0.01094
107313,MA,2015-03-17,87.97,97757630.17,-0.008342
107314,MA,2015-03-18,88.88,98768877.68,0.010344
107315,MA,2015-03-19,89.02,98924454.22,0.001575
107316,MA,2015-03-20,89.82,99813463.02,0.008987
107317,MA,2015-03-23,89.33,99268945.13,-0.005455
107318,MA,2015-03-24,89.49,99446746.89,0.001791
107319,MA,2015-03-25,87.37,97090873.57,-0.02369
107320,MA,2015-03-26,87.93,97713179.73,0.00641
107321,MA,2015-03-27,87.25,96957522.25,-0.007733
107322,MA,2015-03-30,87.67,97424251.87,0.004814
107323,MA,2015-03-31,86.39,96001837.79,-0.0146
107324,MA,2015-04-01,86.74,96390779.14,0.004051
