Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
109277,MCD,2015-01-02,93.26,90761005.04,-0.004696
109278,MCD,2015-01-05,92.23,89758604.92,-0.011044
109279,MCD,2015-01-06,92.4,89924049.6,0.001843
109280,MCD,2015-01-07,94.01,91490908.04,0.017424
109281,MCD,2015-01-08,94.36,91831529.44,0.003723
109282,MCD,2015-01-09,93.21,90712344.84,-0.012187
109283,MCD,2015-01-12,93.01,90517704.04,-0.002146
109284,MCD,2015-01-13,92.83,90342527.32,-0.001935
109285,MCD,2015-01-14,91.54,89087094.16,-0.013896
109286,MCD,2015-01-15,91.38,88931381.52,-0.001748
109287,MCD,2015-01-16,91.49,89038433.96,0.001204
109288,MCD,2015-01-20,90.8,88366923.2,-0.007542
109289,MCD,2015-01-21,90.34,87919249.36,-0.005066
109290,MCD,2015-01-22,90.89,88454511.56,0.006088
109291,MCD,2015-01-23,89.56,87160150.24,-0.014633
109292,MCD,2015-01-26,90.67,88240406.68,0.012394
109293,MCD,2015-01-27,89.57,87169882.28,-0.012132
109294,MCD,2015-01-28,88.78,86401051.12,-0.00882
109295,MCD,2015-01-29,93.27,90770737.08,0.050574
109296,MCD,2015-01-30,92.44,89962977.76,-0.008899
109297,MCD,2015-02-02,92.51,90031102.04,0.000757
109298,MCD,2015-02-03,93.92,91403319.68,0.015242
109299,MCD,2015-02-04,94.05,91529836.2,0.001384
109300,MCD,2015-02-05,94.34,91812065.36,0.003083
109301,MCD,2015-02-06,93.99,91471443.96,-0.00371
109302,MCD,2015-02-09,92.72,90235474.88,-0.013512
109303,MCD,2015-02-10,94.02,91500640.08,0.014021
109304,MCD,2015-02-11,94.21,91685548.84,0.002021
109305,MCD,2015-02-12,95.09,92541968.36,0.009341
109306,MCD,2015-02-13,95.65,93086962.6,0.005889
109307,MCD,2015-02-17,94.35,91821797.4,-0.013591
109308,MCD,2015-02-18,94.58,92045634.32,0.002438
109309,MCD,2015-02-19,94.19,91666084.76,-0.004123
109310,MCD,2015-02-20,94.19,91666084.76,0.0
109311,MCD,2015-02-23,94.31,91782869.24,0.001274
109312,MCD,2015-02-24,94.98,92434915.92,0.007104
109313,MCD,2015-02-25,98.66,96016306.64,0.038745
109314,MCD,2015-02-26,99.51,96843530.04,0.017231
109315,MCD,2015-02-27,98.9,95054669.1,-0.00613
109316,MCD,2015-03-02,100.0,96111900.0,0.011122
109317,MCD,2015-03-03,99.74,95862009.06,-0.0026
109318,MCD,2015-03-04,100.25,96352179.75,0.005113
109319,MCD,2015-03-05,99.11,95256504.09,-0.011372
109320,MCD,2015-03-06,97.13,93353488.47,-0.019978
109321,MCD,2015-03-09,97.71,93910937.49,0.005971
109322,MCD,2015-03-10,96.29,92546148.51,-0.014533
109323,MCD,2015-03-11,94.96,91267860.24,-0.013812
109324,MCD,2015-03-12,96.25,92507703.75,0.013585
109325,MCD,2015-03-13,96.35,92603815.65,0.001039
109326,MCD,2015-03-16,97.15,93372710.85,0.008303
109327,MCD,2015-03-17,96.17,92430814.23,-0.010087
109328,MCD,2015-03-18,97.0,93228543.0,0.008631
109329,MCD,2015-03-19,95.98,92248201.62,-0.010515
109330,MCD,2015-03-20,97.05,93276598.95,0.011148
109331,MCD,2015-03-23,98.62,94785555.78,0.016177
109332,MCD,2015-03-24,99.36,95496783.84,0.007504
109333,MCD,2015-03-25,98.14,94324218.66,-0.012279
109334,MCD,2015-03-26,97.64,93843659.16,-0.005095
109335,MCD,2015-03-27,96.96,93190098.24,-0.006964
109336,MCD,2015-03-30,97.88,94074327.72,0.009488
109337,MCD,2015-03-31,97.44,93651435.36,-0.004495
