Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
111291,MDLZ,2015-01-02,36.79,61205352.39,0.012801
111292,MDLZ,2015-01-05,36.24,60290349.84,-0.01495
111293,MDLZ,2015-01-06,35.99,59874439.59,-0.006898
111294,MDLZ,2015-01-07,37.12,61754353.92,0.031398
111295,MDLZ,2015-01-08,37.59,62536265.19,0.012662
111296,MDLZ,2015-01-09,37.22,61920718.02,-0.009843
111297,MDLZ,2015-01-12,36.87,61338443.67,-0.009404
111298,MDLZ,2015-01-13,36.625,60930851.63,-0.006645
111299,MDLZ,2015-01-14,36.545,60797760.35,-0.002184
111300,MDLZ,2015-01-15,36.54,60789442.14,-0.000137
111301,MDLZ,2015-01-16,36.94,61454898.54,0.010947
111302,MDLZ,2015-01-20,37.02,61587989.82,0.002166
111303,MDLZ,2015-01-21,37.15,61804263.15,0.003512
111304,MDLZ,2015-01-22,37.59,62536265.19,0.011844
111305,MDLZ,2015-01-23,36.94,61454898.54,-0.017292
111306,MDLZ,2015-01-26,36.58,60855987.78,-0.009746
111307,MDLZ,2015-01-27,36.08,60024167.28,-0.013669
111308,MDLZ,2015-01-28,35.665,59333756.27,-0.011502
111309,MDLZ,2015-01-29,35.74,59458529.34,0.002103
111310,MDLZ,2015-01-30,35.24,58127675.2,-0.01399
111311,MDLZ,2015-02-02,35.76,58985404.8,0.014756
111312,MDLZ,2015-02-03,36.06,59480248.8,0.008389
111313,MDLZ,2015-02-04,36.015,59406022.2,-0.001248
111314,MDLZ,2015-02-05,36.255,59801897.4,0.006664
111315,MDLZ,2015-02-06,35.91,59232826.8,-0.009516
111316,MDLZ,2015-02-09,35.71,58902930.8,-0.005569
111317,MDLZ,2015-02-10,35.81,59067878.8,0.0028
111318,MDLZ,2015-02-11,36.74,60601895.2,0.02597
111319,MDLZ,2015-02-12,36.98,60997770.4,0.006532
111320,MDLZ,2015-02-13,36.78,60667874.4,-0.005408
111321,MDLZ,2015-02-17,37.15,61278182.0,0.01006
111322,MDLZ,2015-02-18,36.94,60931791.2,-0.005653
111323,MDLZ,2015-02-19,36.995,61022512.6,0.001489
111324,MDLZ,2015-02-20,36.97,60981275.6,-0.000676
111325,MDLZ,2015-02-23,36.995,61022512.6,0.000676
111326,MDLZ,2015-02-24,37.005,61039007.4,0.00027
111327,MDLZ,2015-02-25,36.66,60469936.8,-0.009323
111328,MDLZ,2015-02-26,36.72,60568905.6,0.001637
111329,MDLZ,2015-02-27,36.935,60923543.8,0.005855
111330,MDLZ,2015-03-02,36.89,60849317.2,-0.001218
111331,MDLZ,2015-03-03,36.64,60436947.2,-0.006777
111332,MDLZ,2015-03-04,36.44,60107051.2,-0.005459
111333,MDLZ,2015-03-05,36.51,60222514.8,0.001921
111334,MDLZ,2015-03-06,35.22,58094685.6,-0.035333
111335,MDLZ,2015-03-09,35.42,58424581.6,0.005679
111336,MDLZ,2015-03-10,34.5,56907060.0,-0.025974
111337,MDLZ,2015-03-11,34.34,56311315.78,-0.004638
111338,MDLZ,2015-03-12,35.0,57393595.0,0.01922
111339,MDLZ,2015-03-13,34.51,56590084.67,-0.014
111340,MDLZ,2015-03-16,34.71,56918048.07,0.005795
111341,MDLZ,2015-03-17,34.36,56344112.12,-0.010084
111342,MDLZ,2015-03-18,35.02,57426391.34,0.019208
111343,MDLZ,2015-03-19,34.66,56836057.22,-0.01028
111344,MDLZ,2015-03-20,34.74,56967242.58,0.002308
111345,MDLZ,2015-03-23,35.295,57877341.02,0.015976
111346,MDLZ,2015-03-24,35.01,57409993.17,-0.008075
