Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
113305,MDT,2015-01-02,71.88,70752705.96,-0.004432
113306,MDT,2015-01-05,71.58,70457410.86,-0.004174
113307,MDT,2015-01-06,71.22,70103056.74,-0.005029
113308,MDT,2015-01-07,73.0,71855141.0,0.024993
113309,MDT,2015-01-08,74.75,73577695.75,0.023973
113310,MDT,2015-01-09,74.4,73233184.8,-0.004682
113311,MDT,2015-01-12,74.47,73302086.99,0.000941
113312,MDT,2015-01-13,72.79,71648434.43,-0.022559
113313,MDT,2015-01-14,71.77,70644431.09,-0.014013
113314,MDT,2015-01-15,71.9,70772392.3,0.001811
113315,MDT,2015-01-16,72.76,71618904.92,0.011961
113316,MDT,2015-01-20,72.2,71067687.4,-0.007697
113317,MDT,2015-01-21,73.06,71914200.02,0.011911
113318,MDT,2015-01-22,75.48,74296247.16,0.033123
113319,MDT,2015-01-23,76.95,75743193.15,0.019475
113320,MDT,2015-01-26,75.59,74404522.03,-0.017674
113321,MDT,2015-01-27,75.26,74079697.42,-0.004366
113322,MDT,2015-01-28,73.41,72258710.97,-0.024581
113323,MDT,2015-01-29,73.01,71864984.17,-0.005449
113324,MDT,2015-01-30,71.4,101304176.4,-0.022052
113325,MDT,2015-02-02,72.76,103233779.76,0.019048
113326,MDT,2015-02-03,74.79,106113996.54,0.0279
113327,MDT,2015-02-04,74.13,105177571.38,-0.008825
113328,MDT,2015-02-05,75.32,106865974.32,0.016053
113329,MDT,2015-02-06,74.47,105659972.22,-0.011285
113330,MDT,2015-02-09,73.62,104453970.12,-0.011414
113331,MDT,2015-02-10,74.87,106227502.62,0.016979
113332,MDT,2015-02-11,74.39,105546466.14,-0.006411
113333,MDT,2015-02-12,74.93,106312632.18,0.007259
113334,MDT,2015-02-13,75.26,106780844.76,0.004404
113335,MDT,2015-02-17,78.07,110767745.82,0.037337
113336,MDT,2015-02-18,78.5,111377841.0,0.005508
113337,MDT,2015-02-19,78.13,110852875.38,-0.004713
113338,MDT,2015-02-20,78.79,111789300.54,0.008447
113339,MDT,2015-02-23,79.25,112441960.5,0.005838
113340,MDT,2015-02-24,79.02,112115630.52,-0.002902
113341,MDT,2015-02-25,78.63,111562288.38,-0.004935
113342,MDT,2015-02-26,78.81,111817677.06,0.002289
113343,MDT,2015-02-27,77.59,110086709.34,-0.01548
113344,MDT,2015-03-02,78.83,111846053.58,0.015981
113345,MDT,2015-03-03,78.03,110710992.78,-0.010148
113346,MDT,2015-03-04,78.19,110938004.94,0.00205
113347,MDT,2015-03-05,78.5,111377841.0,0.003965
113348,MDT,2015-03-06,76.48,108511812.48,-0.025732
113349,MDT,2015-03-09,76.9,109107719.4,0.005492
113350,MDT,2015-03-10,75.87,107646328.62,-0.013394
113351,MDT,2015-03-11,76.05,107901717.3,0.002372
113352,MDT,2015-03-12,76.76,108909083.76,0.009336
113353,MDT,2015-03-13,76.47,108497624.22,-0.003778
113354,MDT,2015-03-16,77.67,110200215.42,0.015692
113355,MDT,2015-03-17,76.72,108852330.72,-0.012231
113356,MDT,2015-03-18,77.61,110115085.86,0.011601
113357,MDT,2015-03-19,77.66,110186027.16,0.000644
113358,MDT,2015-03-20,78.02,110696804.52,0.004636
113359,MDT,2015-03-23,78.67,111619041.42,0.008331
113360,MDT,2015-03-24,78.72,111689982.72,0.000636
113361,MDT,2015-03-25,77.6,110100897.6,-0.014228
113362,MDT,2015-03-26,76.61,108696259.86,-0.008827
113363,MDT,2015-03-27,77.38,109788755.88,0.010051
113364,MDT,2015-03-30,78.42,111264334.92,0.01344
113365,MDT,2015-03-31,77.99,110654239.74,-0.005483
113366,MDT,2015-04-01,76.14,108029411.64,-0.023721
113367,MDT,2015-04-02,76.87,109065154.62,0.009588
113368,MDT,2015-04-06,77.36,109760379.36,0.006374
113369,MDT,2015-04-07,77.18,109504990.68,-0.002327
113370,MDT,2015-04-08,76.39,108384118.14,-0.010236
113371,MDT,2015-04-09,77.13,109434049.38,0.009687
113372,MDT,2015-04-10,77.93,110569110.18,0.010372
113373,MDT,2015-04-13,78.08,110781934.08,0.001925
113374,MDT,2015-04-14,77.89,110512357.14,-0.002433
113375,MDT,2015-04-15,77.91,110540733.66,0.000257
113376,MDT,2015-04-16,77.02,109277978.52,-0.011423
113377,MDT,2015-04-17,76.49,108526000.74,-0.006881
113378,MDT,2015-04-20,77.14,109448237.64,0.008498
113379,MDT,2015-04-21,77.08,109363108.08,-0.000778
113380,MDT,2015-04-22,78.01,110682616.26,0.012065
113381,MDT,2015-04-23,78.5,111377841.0,0.006281
113382,MDT,2015-04-24,77.61,110115085.86,-0.011338
113383,MDT,2015-04-27,76.21,108128729.46,-0.018039
113384,MDT,2015-04-28,76.52,108568565.52,0.004068
113385,MDT,2015-04-29,75.69,107390939.94,-0.010847
113386,MDT,2015-04-30,74.45,105631595.7,-0.016383
113387,MDT,2015-05-01,75.6,107263245.6,0.015447
113388,MDT,2015-05-04,75.9,107688893.4,0.003968
113389,MDT,2015-05-05,74.91,106284255.66,-0.013043
113390,MDT,2015-05-06,74.32,105447148.32,-0.007876
113391,MDT,2015-05-07,74.6,105844419.6,0.003767
113392,MDT,2015-05-08,76.21,108128729.46,0.021582
113393,MDT,2015-05-11,76.02,107859152.52,-0.002493
113394,MDT,2015-05-12,75.2,106695715.2,-0.010787
113395,MDT,2015-05-13,74.86,106213314.36,-0.004521
113396,MDT,2015-05-14,76.26,108199670.76,0.018702
113397,MDT,2015-05-15,76.42,108426682.92,0.002098
113398,MDT,2015-05-18,77.47,109916450.22,0.01374
113399,MDT,2015-05-19,78.44,111292711.44,0.012521
113400,MDT,2015-05-20,78.79,111789300.54,0.004462
113401,MDT,2015-05-21,78.41,111250146.66,-0.004823
113402,MDT,2015-05-22,77.82,110413039.32,-0.007525
113403,MDT,2015-05-26,76.57,108639506.82,-0.016063
113404,MDT,2015-05-27,77.32,109703626.32,0.009795
113405,MDT,2015-05-28,77.21,109547555.46,-0.001423
113406,MDT,2015-05-29,76.32,108284800.32,-0.011527
113407,MDT,2015-06-01,76.7,108823954.2,0.004979
