Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
115319,META,2022-06-09,184.0,422007496.0,-0.06428
115320,META,2022-06-10,175.57,402673130.83,-0.045815
115321,META,2022-06-13,164.26,376733430.94,-0.064419
115322,META,2022-06-14,163.73,375517865.87,-0.003227
115323,META,2022-06-15,169.35,388407442.65,0.034325
115324,META,2022-06-16,160.87,368958401.53,-0.050074
115325,META,2022-06-17,163.74,375540801.06,0.01784
115326,META,2022-06-21,157.05,360197158.95,-0.040857
115327,META,2022-06-22,155.85,357444936.15,-0.007641
115328,META,2022-06-23,158.75,364096141.25,0.018608
115329,META,2022-06-24,170.16,390265193.04,0.071874
115330,META,2022-06-27,169.49,388728535.31,-0.003937
115331,META,2022-06-28,160.68,368522632.92,-0.051979
115332,META,2022-06-29,163.94,375999504.86,0.020289
115333,META,2022-06-30,161.25,369262500.0,-0.016408
115334,META,2022-07-01,160.03,366468700.0,-0.007566
115335,META,2022-07-05,168.19,385155100.0,0.05099
115336,META,2022-07-06,169.77,388773300.0,0.009394
115337,META,2022-07-07,172.19,394315100.0,0.014255
115338,META,2022-07-08,170.88,391315200.0,-0.007608
115339,META,2022-07-11,162.88,372995200.0,-0.046816
115340,META,2022-07-12,163.27,373888300.0,0.002394
115341,META,2022-07-13,163.49,374392100.0,0.001347
115342,META,2022-07-14,158.05,361934500.0,-0.033274
115343,META,2022-07-15,164.7,377163000.0,0.042075
115344,META,2022-07-18,167.23,382956700.0,0.015361
115345,META,2022-07-19,175.78,402536200.0,0.051127
115346,META,2022-07-20,183.09,419276100.0,0.041586
115347,META,2022-07-21,183.17,419459300.0,0.000437
115348,META,2022-07-22,169.27,386049349.44,-0.075886
115349,META,2022-07-25,166.65,380073988.8,-0.015478
115350,META,2022-07-26,159.15,362968948.8,-0.045005
115351,META,2022-07-27,169.58,386756357.76,0.065536
115352,META,2022-07-28,160.72,366549603.84,-0.052247
115353,META,2022-07-29,159.1,362854915.2,-0.01008
115354,META,2022-08-01,159.93,364747872.96,0.005217
115355,META,2022-08-02,160.19,365340847.68,0.001626
115356,META,2022-08-03,168.8,384977433.6,0.053749
115357,META,2022-08-04,170.57,389014223.04,0.010486
115358,META,2022-08-05,167.11,381123097.92,-0.020285
115359,META,2022-08-08,170.25,388284408.0,0.01879
115360,META,2022-08-09,168.53,384361652.16,-0.010103
115361,META,2022-08-10,178.34,406735044.48,0.058209
