Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
115609,MMM,2015-01-02,164.06,104348722.4,-0.001582
115610,MMM,2015-01-05,160.36,101995374.4,-0.022553
115611,MMM,2015-01-06,158.65,100907746.0,-0.010664
115612,MMM,2015-01-07,159.8,101639192.0,0.007249
115613,MMM,2015-01-08,163.63,104075225.2,0.023967
115614,MMM,2015-01-09,161.62,102796784.8,-0.012284
115615,MMM,2015-01-12,160.74,102237069.6,-0.005445
115616,MMM,2015-01-13,160.62,102160744.8,-0.000747
115617,MMM,2015-01-14,159.84,101664633.6,-0.004856
115618,MMM,2015-01-15,159.66,101550146.4,-0.001126
115619,MMM,2015-01-16,162.0,103038480.0,0.014656
115620,MMM,2015-01-20,161.94,103000317.6,-0.00037
115621,MMM,2015-01-21,162.54,103381941.6,0.003705
115622,MMM,2015-01-22,165.89,105512675.6,0.02061
115623,MMM,2015-01-23,164.02,104323280.8,-0.011273
115624,MMM,2015-01-26,164.24,104463209.6,0.001341
115625,MMM,2015-01-27,163.63,104075225.2,-0.003714
115626,MMM,2015-01-28,163.94,104272397.6,0.001895
115627,MMM,2015-01-29,166.13,105665325.2,0.013359
115628,MMM,2015-01-30,162.3,103229292.0,-0.023054
115629,MMM,2015-02-02,164.42,104577696.8,0.013062
115630,MMM,2015-02-03,165.94,105544477.6,0.009245
115631,MMM,2015-02-04,164.81,104825752.4,-0.00681
115632,MMM,2015-02-05,166.55,105932462.0,0.010558
115633,MMM,2015-02-06,166.07,105627162.8,-0.002882
115634,MMM,2015-02-09,164.84,104844833.6,-0.007407
115635,MMM,2015-02-10,165.82,105468152.8,0.005945
115636,MMM,2015-02-11,164.48,104615859.2,-0.0019
115637,MMM,2015-02-12,165.91,105525396.4,0.008694
115638,MMM,2015-02-13,165.94,105544477.6,0.000181
115639,MMM,2015-02-17,166.92,106167796.8,0.005906
115640,MMM,2015-02-18,167.4,106473096.0,0.002876
115641,MMM,2015-02-19,167.09,106275923.6,-0.001852
115642,MMM,2015-02-20,168.12,106931044.8,0.006164
115643,MMM,2015-02-23,168.81,107369912.4,0.004104
115644,MMM,2015-02-24,169.12,107567084.8,0.001836
115645,MMM,2015-02-25,168.89,107420795.6,-0.00136
115646,MMM,2015-02-26,169.61,107878744.4,0.004263
115647,MMM,2015-02-27,168.65,107050587.5,-0.00566
115648,MMM,2015-03-02,170.5,108224875.0,0.010969
115649,MMM,2015-03-03,168.27,106809382.5,-0.013079
115650,MMM,2015-03-04,167.16,106104810.0,-0.006597
115651,MMM,2015-03-05,167.57,106365057.5,0.002453
115652,MMM,2015-03-06,164.36,104327510.0,-0.019156
115653,MMM,2015-03-09,166.37,105603357.5,0.012229
115654,MMM,2015-03-10,162.26,102994535.0,-0.024704
115655,MMM,2015-03-11,161.73,102658117.5,-0.003266
115656,MMM,2015-03-12,164.47,104397332.5,0.016942
115657,MMM,2015-03-13,162.74,103299215.0,-0.010519
115658,MMM,2015-03-16,166.21,105501797.5,0.021322
115659,MMM,2015-03-17,164.23,104244992.5,-0.011913
115660,MMM,2015-03-18,166.47,105666832.5,0.013639
115661,MMM,2015-03-19,165.66,105152685.0,-0.004866
115662,MMM,2015-03-20,166.49,105679527.5,0.00501
115663,MMM,2015-03-23,166.13,105451017.5,-0.002162
115664,MMM,2015-03-24,166.32,105571620.0,0.001144
115665,MMM,2015-03-25,162.7,103273825.0,-0.021765
115666,MMM,2015-03-26,162.59,103204002.5,-0.000676
115667,MMM,2015-03-27,163.5,103781625.0,0.005597
115668,MMM,2015-03-30,166.05,105400237.5,0.015596
115669,MMM,2015-03-31,164.95,104795539.15,-0.006625
115670,MMM,2015-04-01,162.52,103251718.84,-0.014732
115671,MMM,2015-04-02,162.8,103429607.6,0.001723
115672,MMM,2015-04-06,165.48,105132257.16,0.016462
115673,MMM,2015-04-07,166.21,105596038.57,0.004411
115674,MMM,2015-04-08,166.27,105634157.59,0.000361
115675,MMM,2015-04-09,166.79,105964522.43,0.003127
115676,MMM,2015-04-10,167.07,106142411.19,0.001679
115677,MMM,2015-04-13,165.84,105360971.28,-0.007362
115678,MMM,2015-04-14,165.99,105456268.83,0.000904
115679,MMM,2015-04-15,166.44,105742161.48,0.002711
115680,MMM,2015-04-16,165.89,105392737.13,-0.003304
115681,MMM,2015-04-17,161.71,102737112.07,-0.025197
115682,MMM,2015-04-20,164.51,104515999.67,0.017315
115683,MMM,2015-04-21,164.0,104191988.0,-0.0031
115684,MMM,2015-04-22,164.67,104617650.39,0.004085
115685,MMM,2015-04-23,159.66,101434712.22,-0.030424
115686,MMM,2015-04-24,158.99,101009049.83,-0.004196
115687,MMM,2015-04-27,157.98,100367379.66,-0.006353
