Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
117623,MO,2015-01-02,48.97,96787735.9,-0.006089
117624,MO,2015-01-05,48.69,96234324.3,-0.005718
117625,MO,2015-01-06,48.98,96807500.6,0.005956
117626,MO,2015-01-07,49.88,98586323.6,0.018375
117627,MO,2015-01-08,50.72,100246558.4,0.01684
117628,MO,2015-01-09,50.6,100009382.0,-0.002366
117629,MO,2015-01-12,50.92,100641852.4,0.006324
117630,MO,2015-01-13,51.32,101432440.4,0.007855
117631,MO,2015-01-14,51.73,102242793.1,0.007989
117632,MO,2015-01-15,52.47,103705380.9,0.014305
117633,MO,2015-01-16,53.05,104851733.5,0.011054
117634,MO,2015-01-20,53.83,106393380.1,0.014703
117635,MO,2015-01-21,54.27,107263026.9,0.008174
117636,MO,2015-01-22,54.66,108033850.2,0.007186
117637,MO,2015-01-23,54.19,107104909.3,-0.008599
117638,MO,2015-01-26,54.44,107599026.8,0.004613
117639,MO,2015-01-27,54.56,107836203.2,0.002204
117640,MO,2015-01-28,54.01,106749144.7,-0.010081
117641,MO,2015-01-29,54.39,107500203.3,0.007036
117642,MO,2015-01-30,53.1,104950557.0,-0.023718
117643,MO,2015-02-02,53.8,106334086.0,0.013183
117644,MO,2015-02-03,54.26,107243262.2,0.00855
117645,MO,2015-02-04,54.03,106788674.1,-0.004239
117646,MO,2015-02-05,53.67,106077144.9,-0.006663
117647,MO,2015-02-06,53.33,105405145.1,-0.006335
117648,MO,2015-02-09,53.16,105069145.2,-0.003188
117649,MO,2015-02-10,53.77,106274791.9,0.011475
117650,MO,2015-02-11,54.76,108231497.2,0.018412
117651,MO,2015-02-12,55.54,109773143.8,0.014244
117652,MO,2015-02-13,54.76,108231497.2,-0.014044
117653,MO,2015-02-17,55.14,108982555.8,0.006939
117654,MO,2015-02-18,55.24,109180202.8,0.001814
117655,MO,2015-02-19,55.48,109654555.6,0.004345
117656,MO,2015-02-20,55.61,109911496.7,0.002343
117657,MO,2015-02-23,55.51,109713849.7,-0.001798
117658,MO,2015-02-24,55.72,110128908.4,0.003783
117659,MO,2015-02-25,55.64,109970790.8,-0.001436
117660,MO,2015-02-26,56.09,110860202.3,0.008088
117661,MO,2015-02-27,56.29,110852853.93,0.003566
117662,MO,2015-03-02,56.5,111266410.5,0.003731
117663,MO,2015-03-03,56.46,111187637.82,-0.000708
117664,MO,2015-03-04,55.79,109868195.43,-0.011867
117665,MO,2015-03-05,55.5,109297093.5,-0.005198
117666,MO,2015-03-06,53.37,105102448.29,-0.038378
117667,MO,2015-03-09,53.83,106008334.11,0.008619
117668,MO,2015-03-10,53.2,104767664.4,-0.011704
117669,MO,2015-03-11,52.22,102837733.74,-0.018421
117670,MO,2015-03-12,52.01,102424177.17,0.005936
117671,MO,2015-03-13,51.39,101203200.63,-0.011921
117672,MO,2015-03-16,52.09,102581722.53,0.013621
117673,MO,2015-03-17,51.62,101656143.54,-0.009023
117674,MO,2015-03-18,51.34,101104734.78,-0.005424
117675,MO,2015-03-19,51.27,100966882.59,-0.001363
117676,MO,2015-03-20,51.42,101262280.14,0.002926
117677,MO,2015-03-23,51.62,101656143.54,0.00389
117678,MO,2015-03-24,51.11,100651791.87,-0.00988
117679,MO,2015-03-25,50.15,98761247.55,-0.018783
117680,MO,2015-03-26,50.0,98465850.0,-0.002991
117681,MO,2015-03-27,50.34,99135417.78,0.0068
117682,MO,2015-03-30,50.53,99509588.01,0.003774
117683,MO,2015-03-31,50.02,98505236.34,-0.010093
117684,MO,2015-04-01,50.3,99056645.1,0.005598
117685,MO,2015-04-02,51.19,100809337.23,0.017694
117686,MO,2015-04-06,51.49,101400132.33,0.005861
117687,MO,2015-04-07,51.7,101813688.9,0.004078
117688,MO,2015-04-08,51.62,101656143.54,-0.001547
117689,MO,2015-04-09,51.86,102128779.62,0.004649
117690,MO,2015-04-10,52.51,103408835.67,0.012534
117691,MO,2015-04-13,51.77,101951541.09,-0.014093
117692,MO,2015-04-14,52.12,102640802.04,0.006761
117693,MO,2015-04-15,51.61,101636450.37,-0.009785
117694,MO,2015-04-16,52.05,102502949.85,0.008525
117695,MO,2015-04-17,51.75,101912154.75,-0.005764
117696,MO,2015-04-20,52.63,103645153.71,0.017005
117697,MO,2015-04-21,52.1,102601415.7,-0.01007
117698,MO,2015-04-22,52.12,102640802.04,0.000384
117699,MO,2015-04-23,52.35,103093744.95,0.004413
117700,MO,2015-04-24,52.07,102542336.19,-0.005349
117701,MO,2015-04-27,51.4,101222893.8,-0.012867
117702,MO,2015-04-28,51.71,101833382.07,0.006031
117703,MO,2015-04-29,50.2,98859713.4,-0.029201
117704,MO,2015-04-30,50.05,98426227.9,-0.002988
117705,MO,2015-05-01,50.66,99625828.28,0.012188
