Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
119637,MRK,2015-01-02,57.19,163041426.87,0.007043
119638,MRK,2015-01-05,58.04,165464668.92,0.014863
119639,MRK,2015-01-06,60.32,171964659.36,0.039283
119640,MRK,2015-01-07,61.61,175642285.53,0.021386
119641,MRK,2015-01-08,62.85,179177368.05,0.020127
119642,MRK,2015-01-09,62.56,178350614.88,-0.004614
119643,MRK,2015-01-12,62.3,177609387.9,-0.004156
119644,MRK,2015-01-13,62.19,177295791.87,-0.001766
119645,MRK,2015-01-14,62.64,178578684.72,0.007236
119646,MRK,2015-01-15,61.88,176412021.24,-0.012133
119647,MRK,2015-01-16,63.03,179690525.19,0.018584
119648,MRK,2015-01-20,62.61,178493158.53,-0.006663
119649,MRK,2015-01-21,62.16,177210265.68,-0.007187
119650,MRK,2015-01-22,62.59,178436141.07,0.006918
119651,MRK,2015-01-23,62.49,178151053.77,-0.001598
119652,MRK,2015-01-26,62.82,179091841.86,0.005281
119653,MRK,2015-01-27,62.56,178350614.88,-0.004139
119654,MRK,2015-01-28,61.45,175186145.85,-0.017743
119655,MRK,2015-01-29,62.09,177010704.57,0.010415
119656,MRK,2015-01-30,60.28,171850624.44,-0.029151
119657,MRK,2015-02-02,60.88,173561148.24,0.009954
119658,MRK,2015-02-03,61.02,173960270.46,0.0023
119659,MRK,2015-02-04,59.05,168344050.65,-0.032284
119660,MRK,2015-02-05,59.17,168686155.41,0.002032
119661,MRK,2015-02-06,58.79,167602823.67,-0.006422
119662,MRK,2015-02-09,58.33,166291422.09,-0.007824
119663,MRK,2015-02-10,58.85,167773876.05,0.008915
119664,MRK,2015-02-11,58.74,167460280.02,-0.001869
119665,MRK,2015-02-12,58.88,167859402.24,0.002383
119666,MRK,2015-02-13,58.81,167659841.13,-0.001189
119667,MRK,2015-02-17,58.79,167602823.67,-0.00034
119668,MRK,2015-02-18,58.8,167631332.4,0.00017
119669,MRK,2015-02-19,58.3,166205895.9,-0.008503
119670,MRK,2015-02-20,58.35,166348439.55,0.000858
119671,MRK,2015-02-23,58.3,166205895.9,-0.000857
119672,MRK,2015-02-24,58.36,166376948.28,0.001029
119673,MRK,2015-02-25,58.49,166747561.77,0.002228
119674,MRK,2015-02-26,58.96,168087472.08,0.008036
119675,MRK,2015-02-27,58.54,166147818.22,-0.007123
119676,MRK,2015-03-02,58.58,166261345.94,0.000683
119677,MRK,2015-03-03,58.34,165580179.62,-0.004097
119678,MRK,2015-03-04,57.88,164274610.84,-0.007885
119679,MRK,2015-03-05,57.98,164558430.14,0.001728
119680,MRK,2015-03-06,56.84,161322890.12,-0.019662
119681,MRK,2015-03-09,57.26,162514931.18,0.007389
119682,MRK,2015-03-10,56.58,160584959.94,-0.011876
119683,MRK,2015-03-11,56.06,159109099.58,-0.009191
119684,MRK,2015-03-12,56.17,159421300.81,0.009989
119685,MRK,2015-03-13,56.2,159506446.6,0.000534
119686,MRK,2015-03-16,57.12,162117584.16,0.01637
119687,MRK,2015-03-17,56.47,160272758.71,-0.01138
119688,MRK,2015-03-18,57.65,163621826.45,0.020896
119689,MRK,2015-03-19,58.21,165211214.53,0.009714
119690,MRK,2015-03-20,58.58,166261345.94,0.006356
119691,MRK,2015-03-23,58.73,166687074.89,0.002561
119692,MRK,2015-03-24,58.63,166403255.59,-0.001703
119693,MRK,2015-03-25,58.26,165353124.18,-0.006311
119694,MRK,2015-03-26,57.6,163479916.8,-0.011329
119695,MRK,2015-03-27,57.75,163905645.75,0.002604
119696,MRK,2015-03-30,58.34,165580179.62,0.010216
119697,MRK,2015-03-31,57.48,163139333.64,-0.014741
119698,MRK,2015-04-01,56.86,161379653.98,-0.010786
119699,MRK,2015-04-02,57.1,162060820.3,0.004221
119700,MRK,2015-04-06,57.18,162287875.74,0.001401
119701,MRK,2015-04-07,57.43,162997423.99,0.004372
119702,MRK,2015-04-08,57.15,162202729.95,-0.004876
119703,MRK,2015-04-09,57.43,162997423.99,0.004899
119704,MRK,2015-04-10,57.25,162486549.25,-0.003134
119705,MRK,2015-04-13,56.73,161010688.89,-0.009083
119706,MRK,2015-04-14,57.76,163934027.68,0.018156
119707,MRK,2015-04-15,58.45,165892380.85,0.011946
119708,MRK,2015-04-16,57.84,164161083.12,-0.010436
119709,MRK,2015-04-17,56.88,161436417.84,-0.016598
119710,MRK,2015-04-20,57.61,163508298.73,0.012834
119711,MRK,2015-04-21,57.66,163650208.38,0.000868
119712,MRK,2015-04-22,57.69,163735354.17,0.00052
119713,MRK,2015-04-23,57.51,163224479.43,-0.00312
119714,MRK,2015-04-24,57.6,163479916.8,0.001565
119715,MRK,2015-04-27,57.1,162060820.3,-0.008681
119716,MRK,2015-04-28,59.98,170234816.14,0.050438
119717,MRK,2015-04-29,59.68,169383358.24,-0.005002
119718,MRK,2015-04-30,59.56,168462660.68,-0.002011
119719,MRK,2015-05-01,59.86,169311196.58,0.005037
119720,MRK,2015-05-04,60.64,171517389.92,0.01303
119721,MRK,2015-05-05,60.49,171093121.97,-0.002474
119722,MRK,2015-05-06,60.26,170442577.78,-0.003802
119723,MRK,2015-05-07,60.3,170555715.9,0.000664
119724,MRK,2015-05-08,60.74,171800235.22,0.007297
119725,MRK,2015-05-11,60.0,169707180.0,-0.012183
119726,MRK,2015-05-12,59.44,168123246.32,-0.009333
119727,MRK,2015-05-13,59.18,167387848.54,-0.004374
119728,MRK,2015-05-14,59.78,169084920.34,0.010139
119729,MRK,2015-05-15,60.23,170357724.19,0.007528
119730,MRK,2015-05-18,60.01,169735464.53,-0.003653
119731,MRK,2015-05-19,60.52,171177975.56,0.008499
119732,MRK,2015-05-20,60.46,171008268.38,-0.000991
119733,MRK,2015-05-21,60.1,169990025.3,-0.005954
119734,MRK,2015-05-22,59.38,167953539.14,-0.01198
119735,MRK,2015-05-26,58.97,166793873.41,-0.006905
119736,MRK,2015-05-27,59.46,168179815.38,0.008309
119737,MRK,2015-05-28,59.7,168858644.1,0.004036
119738,MRK,2015-05-29,60.89,172027767.58,0.019933
119739,MRK,2015-06-01,60.75,171632236.5,-0.002299
119740,MRK,2015-06-02,60.24,170191373.28,-0.008395
119741,MRK,2015-06-03,60.39,170615156.58,0.00249
119742,MRK,2015-06-04,59.47,168015952.34,-0.015234
119743,MRK,2015-06-05,58.99,166659845.78,-0.008071
119744,MRK,2015-06-08,58.87,166320819.14,-0.002034
119745,MRK,2015-06-09,58.84,166236062.48,-0.00051
119746,MRK,2015-06-10,59.61,168411483.42,0.013086
119747,MRK,2015-06-11,58.91,166433828.02,-0.004194
119748,MRK,2015-06-12,57.87,163495597.14,-0.017654
119749,MRK,2015-06-15,57.12,161376680.64,-0.01296
119750,MRK,2015-06-16,57.71,163043561.62,0.010329
119751,MRK,2015-06-17,57.91,163608606.02,0.003466
119752,MRK,2015-06-18,58.59,165529756.98,0.011742
119753,MRK,2015-06-19,58.04,163975884.88,-0.009387
119754,MRK,2015-06-22,58.83,166207810.26,0.013611
119755,MRK,2015-06-23,59.03,166772854.66,0.0034
119756,MRK,2015-06-24,58.24,164540929.28,-0.013383
119757,MRK,2015-06-25,57.9,163580353.8,-0.005838
119758,MRK,2015-06-26,58.49,165247234.78,0.01019
119759,MRK,2015-06-29,57.29,161856968.38,-0.020516
119760,MRK,2015-06-30,56.93,160839888.46,-0.006284
119761,MRK,2015-07-01,57.6,162732787.2,0.011769
119762,MRK,2015-07-02,57.67,162930552.74,0.001215
119763,MRK,2015-07-06,57.55,162591526.1,-0.002081
119764,MRK,2015-07-07,57.99,163834623.78,0.007646
119765,MRK,2015-07-08,57.35,162026481.7,-0.011036
119766,MRK,2015-07-09,57.38,162111238.36,0.000523
119767,MRK,2015-07-10,57.95,163721614.9,0.009934
119768,MRK,2015-07-13,57.87,163495597.14,-0.001381
119769,MRK,2015-07-14,58.19,164399668.18,0.00553
119770,MRK,2015-07-15,58.22,164484424.84,0.000516
119771,MRK,2015-07-16,58.82,166179558.04,0.010306
119772,MRK,2015-07-17,58.82,166179558.04,0.0
119773,MRK,2015-07-20,59.0,166688098.0,0.00306
119774,MRK,2015-07-21,58.67,165755774.74,-0.005593
119775,MRK,2015-07-22,58.13,164230154.86,-0.009204
119776,MRK,2015-07-23,58.07,164060641.54,-0.001032
119777,MRK,2015-07-24,57.41,162195995.02,-0.011366
119778,MRK,2015-07-27,56.99,161009401.78,-0.007316
119779,MRK,2015-07-28,57.52,162506769.44,0.0093
119780,MRK,2015-07-29,58.54,165388495.88,0.017733
119781,MRK,2015-07-30,58.52,165331991.44,-0.000342
119782,MRK,2015-07-31,58.96,166575089.12,0.007519
119783,MRK,2015-08-03,59.05,166829359.1,0.001526
119784,MRK,2015-08-04,58.7,165840531.4,-0.005927
119785,MRK,2015-08-05,59.1,166970620.2,0.006814
119786,MRK,2015-08-06,58.43,165077721.46,-0.011337
119787,MRK,2015-08-07,57.97,163778119.34,-0.007873
119788,MRK,2015-08-10,58.41,165021217.02,0.00759
119789,MRK,2015-08-11,57.76,163184822.72,-0.011128
119790,MRK,2015-08-12,58.26,164597433.72,0.008657
119791,MRK,2015-08-13,58.98,166631593.56,0.012358
119792,MRK,2015-08-14,59.18,167196637.96,0.003391
119793,MRK,2015-08-17,59.71,168694005.62,0.008956
119794,MRK,2015-08-18,59.66,168552744.52,-0.000837
119795,MRK,2015-08-19,59.66,168552744.52,0.0
119796,MRK,2015-08-20,56.95,160896392.9,-0.045424
119797,MRK,2015-08-21,55.77,157562630.94,-0.02072
119798,MRK,2015-08-24,53.99,152533735.78,-0.031917
119799,MRK,2015-08-25,51.17,144566609.74,-0.052232
119800,MRK,2015-08-26,54.42,153748581.24,0.063514
119801,MRK,2015-08-27,54.95,155245948.9,0.009739
119802,MRK,2015-08-28,55.37,156432542.14,0.007643
119803,MRK,2015-08-31,53.85,151675794.75,-0.027452
119804,MRK,2015-09-01,52.53,147957836.55,-0.024513
119805,MRK,2015-09-02,52.98,149225322.3,0.008567
119806,MRK,2015-09-03,52.65,148295832.75,-0.006229
119807,MRK,2015-09-04,51.59,145310199.65,-0.020133
119808,MRK,2015-09-08,52.69,148408498.15,0.021322
119809,MRK,2015-09-09,51.93,146267855.55,-0.014424
119810,MRK,2015-09-10,52.72,148492997.2,0.015213
119811,MRK,2015-09-11,52.09,146718517.15,-0.003414
119812,MRK,2015-09-14,52.34,147422675.9,0.004799
119813,MRK,2015-09-15,53.55,150830804.25,0.023118
119814,MRK,2015-09-16,53.87,151732127.45,0.005976
119815,MRK,2015-09-17,53.96,151985624.6,0.001671
119816,MRK,2015-09-18,52.13,146831182.55,-0.033914
119817,MRK,2015-09-21,50.98,143592052.3,-0.02206
119818,MRK,2015-09-22,50.74,142916059.9,-0.004708
119819,MRK,2015-09-23,51.03,143732884.05,0.005715
119820,MRK,2015-09-24,50.59,142493564.65,-0.008622
119821,MRK,2015-09-25,49.6,139705096.0,-0.019569
119822,MRK,2015-09-28,48.42,136381466.7,-0.02379
119823,MRK,2015-09-29,48.65,137029292.75,0.00475
119824,MRK,2015-09-30,49.39,139113602.65,0.015211
119825,MRK,2015-10-01,49.37,139057269.95,-0.000405
119826,MRK,2015-10-02,50.14,141226078.9,0.015597
119827,MRK,2015-10-05,51.23,144296211.05,0.021739
119828,MRK,2015-10-06,49.8,140268423.0,-0.027913
119829,MRK,2015-10-07,50.95,143507553.25,0.023092
119830,MRK,2015-10-08,51.02,143704717.7,0.001374
119831,MRK,2015-10-09,50.95,143507553.25,-0.001372
119832,MRK,2015-10-12,50.71,142831560.85,-0.004711
119833,MRK,2015-10-13,49.47,139338933.45,-0.024453
119834,MRK,2015-10-14,49.54,139536097.9,0.001415
119835,MRK,2015-10-15,50.72,142859727.2,0.023819
119836,MRK,2015-10-16,51.48,145000369.8,0.014984
119837,MRK,2015-10-19,51.4,144775039.0,-0.001554
119838,MRK,2015-10-20,50.39,141930237.65,-0.01965
119839,MRK,2015-10-21,50.59,142493564.65,0.003969
119840,MRK,2015-10-22,52.01,146493186.35,0.028069
119841,MRK,2015-10-23,52.88,148943658.8,0.016728
119842,MRK,2015-10-26,52.91,149028157.85,0.000567
119843,MRK,2015-10-27,53.47,150605473.45,0.010584
119844,MRK,2015-10-28,55.1,155196588.5,0.030484
119845,MRK,2015-10-29,54.87,154548762.45,-0.004174
119846,MRK,2015-10-30,54.66,153957269.1,-0.003827
119847,MRK,2015-11-02,55.11,155224754.85,0.008233
119848,MRK,2015-11-03,55.11,155224754.85,0.0
119849,MRK,2015-11-04,55.53,156407741.55,0.007621
119850,MRK,2015-11-05,55.05,155055756.75,-0.008644
119851,MRK,2015-11-06,54.61,153816437.35,-0.007993
119852,MRK,2015-11-09,54.24,152774282.4,-0.006775
119853,MRK,2015-11-10,54.43,153309443.05,0.003503
119854,MRK,2015-11-11,53.72,151309632.2,-0.013044
119855,MRK,2015-11-12,53.03,149366154.05,-0.012844
119856,MRK,2015-11-13,53.03,149366154.05,0.0
119857,MRK,2015-11-16,53.7,151253299.5,0.012634
119858,MRK,2015-11-17,53.71,151281465.85,0.000186
119859,MRK,2015-11-18,54.23,152746116.05,0.009682
119860,MRK,2015-11-19,54.28,152886947.8,0.000922
119861,MRK,2015-11-20,54.1,152379953.5,-0.003316
119862,MRK,2015-11-23,54.01,152126456.35,-0.001664
119863,MRK,2015-11-24,53.48,150633639.8,-0.009813
119864,MRK,2015-11-25,53.72,151309632.2,0.004488
119865,MRK,2015-11-27,53.96,151985624.6,0.004468
119866,MRK,2015-11-30,53.01,148085714.43,-0.017606
119867,MRK,2015-12-01,54.57,152443641.51,0.029428
119868,MRK,2015-12-02,53.82,150348484.26,-0.013744
119869,MRK,2015-12-03,52.59,146912426.37,-0.022854
119870,MRK,2015-12-04,53.64,149845646.52,0.019966
119871,MRK,2015-12-07,53.68,149957388.24,0.000746
119872,MRK,2015-12-08,53.47,149370744.21,-0.003912
119873,MRK,2015-12-09,52.82,147554941.26,-0.012156
119874,MRK,2015-12-10,53.69,149985323.67,0.016471
119875,MRK,2015-12-11,52.15,145683267.45,-0.020115
119876,MRK,2015-12-14,52.2,145822944.6,0.000959
119877,MRK,2015-12-15,52.9,147778424.7,0.01341
119878,MRK,2015-12-16,54.02,150907192.86,0.021172
119879,MRK,2015-12-17,52.66,147107974.38,-0.025176
119880,MRK,2015-12-18,51.64,144258560.52,-0.01937
119881,MRK,2015-12-21,51.87,144901075.41,0.004454
119882,MRK,2015-12-22,52.1,145543590.3,0.004434
119883,MRK,2015-12-23,52.98,148001908.14,0.016891
119884,MRK,2015-12-24,52.85,147638747.55,-0.002454
119885,MRK,2015-12-28,52.84,147610812.12,-0.000189
119886,MRK,2015-12-29,53.34,149007583.62,0.009463
119887,MRK,2015-12-30,53.25,148756164.75,-0.001687
119888,MRK,2015-12-31,52.82,147554941.26,-0.008075
119889,MRK,2016-01-04,52.48,146605136.64,-0.006437
119890,MRK,2016-01-05,53.15,148476810.45,0.012767
119891,MRK,2016-01-06,52.42,146437524.06,-0.013735
119892,MRK,2016-01-07,51.96,145152494.28,-0.008775
119893,MRK,2016-01-08,51.08,142694176.44,-0.016936
119894,MRK,2016-01-11,51.25,143169078.75,0.003328
119895,MRK,2016-01-12,51.76,144593785.68,0.009951
119896,MRK,2016-01-13,50.66,141520888.38,-0.021252
119897,MRK,2016-01-14,51.8,144705527.4,0.022503
119898,MRK,2016-01-15,51.14,142861789.02,-0.012741
119899,MRK,2016-01-19,51.34,143420497.62,0.003911
119900,MRK,2016-01-20,50.55,141213598.65,-0.015388
119901,MRK,2016-01-21,50.92,142247209.56,0.007319
119902,MRK,2016-01-22,51.35,143448433.05,0.008445
119903,MRK,2016-01-25,50.92,142247209.56,-0.008374
119904,MRK,2016-01-26,51.45,143727787.35,0.010408
119905,MRK,2016-01-27,50.37,140710760.91,-0.020991
119906,MRK,2016-01-28,49.2,137442315.6,-0.023228
119907,MRK,2016-01-29,50.67,141548823.81,0.029878
119908,MRK,2016-02-01,50.75,141772307.25,0.001579
119909,MRK,2016-02-02,50.41,140822502.63,-0.0067
119910,MRK,2016-02-03,50.05,139816827.15,-0.007141
119911,MRK,2016-02-04,48.59,135738254.37,-0.029171
119912,MRK,2016-02-05,49.38,137945153.34,0.016258
119913,MRK,2016-02-08,48.83,136408704.69,-0.011138
119914,MRK,2016-02-09,49.16,137330573.88,0.006758
119915,MRK,2016-02-10,49.53,138364184.79,0.007526
119916,MRK,2016-02-11,48.85,136464575.55,-0.013729
119917,MRK,2016-02-12,49.03,136967413.29,0.003685
119918,MRK,2016-02-16,49.78,139062570.54,0.015297
119919,MRK,2016-02-17,50.6,141353275.8,0.016472
119920,MRK,2016-02-18,50.32,140571083.76,-0.005534
119921,MRK,2016-02-19,50.12,140012375.16,-0.003975
119922,MRK,2016-02-22,50.77,141828178.11,0.012969
119923,MRK,2016-02-23,50.54,141185663.22,-0.00453
119924,MRK,2016-02-24,50.56,141241534.08,0.000396
119925,MRK,2016-02-25,51.0,142470693.0,0.008703
119926,MRK,2016-02-26,50.64,141465017.52,-0.007059
119927,MRK,2016-02-29,50.21,139345754.39,-0.008491
119928,MRK,2016-03-01,51.75,143619653.25,0.030671
119929,MRK,2016-03-02,52.27,145062787.93,0.010048
119930,MRK,2016-03-03,52.1,144590993.9,-0.003252
119931,MRK,2016-03-04,52.08,144535488.72,-0.000384
119932,MRK,2016-03-07,52.64,146089633.76,0.010753
119933,MRK,2016-03-08,52.45,145562334.55,-0.003609
119934,MRK,2016-03-09,52.36,145312561.24,-0.001716
119935,MRK,2016-03-10,53.04,147199737.36,0.012987
119936,MRK,2016-03-11,53.2,147643778.8,0.011689
119937,MRK,2016-03-14,53.08,147310747.72,-0.002256
119938,MRK,2016-03-15,52.42,145479076.78,-0.012434
119939,MRK,2016-03-16,51.94,144146952.46,-0.009157
119940,MRK,2016-03-17,51.53,143009096.27,-0.007894
119941,MRK,2016-03-18,52.25,145007282.75,0.013972
119942,MRK,2016-03-21,52.8,146533675.2,0.010526
119943,MRK,2016-03-22,53.03,147171984.77,0.004356
119944,MRK,2016-03-23,53.08,147310747.72,0.000943
119945,MRK,2016-03-24,53.07,147282995.13,-0.000188
119946,MRK,2016-03-28,52.83,146616932.97,-0.004522
119947,MRK,2016-03-29,53.32,147976809.88,0.009275
119948,MRK,2016-03-30,53.22,147699283.98,-0.001875
119949,MRK,2016-03-31,52.91,146838953.69,-0.005825
119950,MRK,2016-04-01,53.7,149031408.3,0.014931
119951,MRK,2016-04-04,54.4,150974089.6,0.013035
119952,MRK,2016-04-05,54.24,150530048.16,-0.002941
119953,MRK,2016-04-06,55.63,154387658.17,0.025627
119954,MRK,2016-04-07,55.42,153804853.78,-0.003775
119955,MRK,2016-04-08,55.36,153638338.24,-0.001083
119956,MRK,2016-04-11,55.05,152778007.95,-0.0056
119957,MRK,2016-04-12,55.34,153582833.06,0.005268
119958,MRK,2016-04-13,55.96,155303493.64,0.011203
119959,MRK,2016-04-14,56.45,156663370.55,0.008756
119960,MRK,2016-04-15,56.14,155803040.26,-0.005492
119961,MRK,2016-04-18,56.51,156829886.09,0.006591
119962,MRK,2016-04-19,56.86,157801226.74,0.006194
119963,MRK,2016-04-20,56.58,157024154.22,-0.004924
119964,MRK,2016-04-21,56.6,157079659.4,0.000353
119965,MRK,2016-04-22,56.74,157468195.66,0.002473
119966,MRK,2016-04-25,56.22,156025060.98,-0.009165
119967,MRK,2016-04-26,56.04,155525514.36,-0.003202
119968,MRK,2016-04-27,56.31,156274834.29,0.004818
119969,MRK,2016-04-28,55.74,154692936.66,-0.010123
119970,MRK,2016-04-29,54.84,151890951.24,-0.016146
119971,MRK,2016-05-02,55.3,153165018.3,0.008388
119972,MRK,2016-05-03,55.08,152555681.88,-0.003978
119973,MRK,2016-05-04,54.81,151807859.91,-0.004902
119974,MRK,2016-05-05,54.09,149813667.99,-0.013136
119975,MRK,2016-05-06,53.6,148456509.6,-0.009059
119976,MRK,2016-05-09,54.1,149841365.1,0.009328
119977,MRK,2016-05-10,54.68,151447797.48,0.010721
119978,MRK,2016-05-11,54.31,150423004.41,-0.006767
119979,MRK,2016-05-12,54.12,149896759.32,-0.003498
119980,MRK,2016-05-13,53.88,149232028.68,-0.004435
119981,MRK,2016-05-16,54.65,151364706.15,0.014291
119982,MRK,2016-05-17,54.32,150450701.52,-0.006038
119983,MRK,2016-05-18,54.67,151420100.37,0.006443
119984,MRK,2016-05-19,54.58,151170826.38,-0.001646
119985,MRK,2016-05-20,55.11,152638773.21,0.009711
119986,MRK,2016-05-23,54.92,152112528.12,-0.003448
119987,MRK,2016-05-24,55.6,153995931.6,0.012382
119988,MRK,2016-05-25,56.57,156682551.27,0.017446
119989,MRK,2016-05-26,56.39,156184003.29,-0.003182
119990,MRK,2016-05-27,56.48,156433277.28,0.001596
119991,MRK,2016-05-31,56.26,155729086.5,-0.003895
119992,MRK,2016-06-01,56.33,155922848.25,0.001244
119993,MRK,2016-06-02,56.82,157279180.5,0.008699
119994,MRK,2016-06-03,56.64,156780936.0,-0.003168
119995,MRK,2016-06-06,57.17,158247989.25,0.009357
119996,MRK,2016-06-07,57.0,157777425.0,-0.002974
119997,MRK,2016-06-08,57.62,159493600.5,0.010877
119998,MRK,2016-06-09,57.18,158275669.5,-0.007636
119999,MRK,2016-06-10,56.81,157251500.25,-0.006471
120000,MRK,2016-06-13,56.11,155313882.75,-0.004225
120001,MRK,2016-06-14,56.25,155701406.25,0.002495
120002,MRK,2016-06-15,56.09,155258522.25,-0.002844
120003,MRK,2016-06-16,57.5,159161437.5,0.025138
120004,MRK,2016-06-17,55.89,154704917.25,-0.028
120005,MRK,2016-06-20,56.14,155396923.5,0.004473
120006,MRK,2016-06-21,56.25,155701406.25,0.001959
120007,MRK,2016-06-22,57.04,157888146.0,0.014044
120008,MRK,2016-06-23,57.68,159659682.0,0.01122
120009,MRK,2016-06-24,55.88,154677237.0,-0.031207
120010,MRK,2016-06-27,55.31,153099462.75,-0.0102
120011,MRK,2016-06-28,55.58,153846829.5,0.004882
120012,MRK,2016-06-29,57.05,157915826.25,0.026448
120013,MRK,2016-06-30,57.61,159465920.25,0.009816
120014,MRK,2016-07-01,57.94,160379368.5,0.005728
120015,MRK,2016-07-05,58.0,160545450.0,0.001036
120016,MRK,2016-07-06,59.16,163756359.0,0.02
120017,MRK,2016-07-07,58.78,162704509.5,-0.006423
120018,MRK,2016-07-08,59.35,164282283.75,0.009697
120019,MRK,2016-07-11,59.34,164254603.5,-0.000168
120020,MRK,2016-07-12,59.6,164974290.0,0.004382
120021,MRK,2016-07-13,59.55,164835888.75,-0.000839
120022,MRK,2016-07-14,59.65,165112691.25,0.001679
120023,MRK,2016-07-15,59.63,165057330.75,-0.000335
120024,MRK,2016-07-18,59.02,163368835.5,-0.01023
120025,MRK,2016-07-19,58.66,162372346.5,-0.0061
120026,MRK,2016-07-20,58.79,162732189.75,0.002216
120027,MRK,2016-07-21,58.79,162732189.75,0.0
120028,MRK,2016-07-22,58.82,162815230.5,0.00051
120029,MRK,2016-07-25,58.56,162095544.0,-0.00442
120030,MRK,2016-07-26,58.36,161541939.0,-0.003415
120031,MRK,2016-07-27,58.6,162206265.0,0.004112
120032,MRK,2016-07-28,58.43,161735700.75,-0.002901
120033,MRK,2016-07-29,58.66,162372346.5,0.003936
120034,MRK,2016-08-01,58.66,162372346.5,0.0
120035,MRK,2016-08-02,58.33,161458898.25,-0.005626
120036,MRK,2016-08-03,57.65,159576641.25,-0.011658
120037,MRK,2016-08-04,57.84,160102566.0,0.003296
120038,MRK,2016-08-05,63.86,176766076.5,0.10408
120039,MRK,2016-08-08,62.86,173998051.5,-0.015659
120040,MRK,2016-08-09,62.49,172973882.25,-0.005886
120041,MRK,2016-08-10,62.64,173389086.0,0.0024
120042,MRK,2016-08-11,63.63,176129430.75,0.015805
120043,MRK,2016-08-12,63.35,175354383.75,-0.0044
120044,MRK,2016-08-15,63.32,175271343.0,-0.000474
120045,MRK,2016-08-16,63.04,174496296.0,-0.004422
120046,MRK,2016-08-17,63.29,175188302.25,0.003966
120047,MRK,2016-08-18,63.63,176129430.75,0.005372
120048,MRK,2016-08-19,63.36,175382064.0,-0.004243
120049,MRK,2016-08-22,63.55,175907988.75,0.002999
120050,MRK,2016-08-23,63.58,175991029.5,0.000472
120051,MRK,2016-08-24,62.73,173638208.25,-0.013369
120052,MRK,2016-08-25,62.32,172503318.0,-0.006536
120053,MRK,2016-08-26,62.85,173970371.25,0.008504
120054,MRK,2016-08-29,63.01,174413255.25,0.002546
120055,MRK,2016-08-30,62.71,173582847.75,-0.004761
120056,MRK,2016-08-31,62.79,173627410.32,0.001276
120057,MRK,2016-09-01,62.9,173931583.2,0.001752
120058,MRK,2016-09-02,62.98,174152799.84,0.001272
120059,MRK,2016-09-06,63.24,174871753.92,0.004128
120060,MRK,2016-09-07,62.87,173848626.96,-0.005851
120061,MRK,2016-09-08,63.24,174871753.92,0.005885
120062,MRK,2016-09-09,62.49,172797847.92,-0.01186
120063,MRK,2016-09-12,63.19,174733493.52,0.011202
120064,MRK,2016-09-13,61.81,170917506.48,-0.014559
120065,MRK,2016-09-14,61.35,169645510.8,-0.007442
120066,MRK,2016-09-15,62.38,172493675.04,0.016789
120067,MRK,2016-09-16,62.28,172217154.24,-0.001603
120068,MRK,2016-09-19,61.33,169590206.64,-0.015254
120069,MRK,2016-09-20,61.94,171276983.52,0.009946
120070,MRK,2016-09-21,62.7,173378541.6,0.01227
120071,MRK,2016-09-22,63.02,174263408.16,0.005104
120072,MRK,2016-09-23,62.96,174097495.68,-0.000952
120073,MRK,2016-09-26,62.15,171857677.2,-0.012865
120074,MRK,2016-09-27,62.57,173019064.56,0.006758
120075,MRK,2016-09-28,63.3,175037666.4,0.011667
120076,MRK,2016-09-29,61.91,171194027.28,-0.021959
120077,MRK,2016-09-30,62.41,172576631.28,0.008076
120078,MRK,2016-10-03,62.52,172880804.16,0.001763
120079,MRK,2016-10-04,62.46,172714891.68,-0.00096
120080,MRK,2016-10-05,62.8,173655062.4,0.005443
120081,MRK,2016-10-06,62.66,173267933.28,-0.002229
120082,MRK,2016-10-07,62.77,173572106.16,0.001756
120083,MRK,2016-10-10,63.9,176696791.2,0.018002
120084,MRK,2016-10-11,61.93,171249331.44,-0.030829
120085,MRK,2016-10-12,61.66,170502725.28,-0.00436
120086,MRK,2016-10-13,62.51,172853152.08,0.013785
120087,MRK,2016-10-14,62.14,171830025.12,-0.005919
120088,MRK,2016-10-17,61.52,170115596.16,-0.009977
120089,MRK,2016-10-18,62.09,171691764.72,0.009265
