Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
123665,MSFT,2015-01-02,46.76,384273680.0,0.006674
123666,MSFT,2015-01-05,46.325,380698850.0,-0.009303
123667,MSFT,2015-01-06,45.65,375151700.0,-0.014571
123668,MSFT,2015-01-07,46.23,379918140.0,0.012705
123669,MSFT,2015-01-08,47.59,391094620.0,0.029418
123670,MSFT,2015-01-09,47.19,387807420.0,-0.008405
123671,MSFT,2015-01-12,46.6,382958800.0,-0.012503
123672,MSFT,2015-01-13,46.355,380945390.0,-0.005258
123673,MSFT,2015-01-14,45.955,377658190.0,-0.008629
123674,MSFT,2015-01-15,45.48,373754640.0,-0.010336
123675,MSFT,2015-01-16,46.24,380000320.0,0.016711
123676,MSFT,2015-01-20,46.39,381233020.0,0.003244
123677,MSFT,2015-01-21,45.92,377370560.0,-0.010131
123678,MSFT,2015-01-22,47.13,386644387.05,0.02635
123679,MSFT,2015-01-23,47.18,387054576.3,0.001061
123680,MSFT,2015-01-26,47.01,385659932.85,-0.003603
123681,MSFT,2015-01-27,42.66,349973468.1,-0.092534
123682,MSFT,2015-01-28,41.19,337913904.15,-0.034459
123683,MSFT,2015-01-29,42.01,344641007.85,0.019908
123684,MSFT,2015-01-30,40.4,331432914.0,-0.038324
123685,MSFT,2015-02-02,41.28,338652244.8,0.021782
123686,MSFT,2015-02-03,41.6,341277456.0,0.007752
123687,MSFT,2015-02-04,41.84,343246364.4,0.005769
123688,MSFT,2015-02-05,42.45,348250673.25,0.014579
123689,MSFT,2015-02-06,42.41,347922521.85,-0.000942
123690,MSFT,2015-02-09,42.36,347512332.6,-0.001179
123691,MSFT,2015-02-10,42.6,349481241.0,0.005666
123692,MSFT,2015-02-11,42.38,347676408.3,-0.005164
123693,MSFT,2015-02-12,43.09,353501095.65,0.016753
123694,MSFT,2015-02-13,43.87,359900047.95,0.018102
123695,MSFT,2015-02-17,43.58,357520950.3,0.000456
123696,MSFT,2015-02-18,43.53,357110761.05,-0.001147
123697,MSFT,2015-02-19,43.5,356864647.5,-0.000689
123698,MSFT,2015-02-20,43.855,359776991.18,0.008161
123699,MSFT,2015-02-23,44.15,362197107.75,0.006727
123700,MSFT,2015-02-24,44.09,361704880.65,-0.001359
123701,MSFT,2015-02-25,43.99,360884502.15,-0.002268
123702,MSFT,2015-02-26,44.055,361417748.18,0.001478
123703,MSFT,2015-02-27,43.85,359735972.25,-0.004653
123704,MSFT,2015-03-02,43.88,359982085.8,0.000684
123705,MSFT,2015-03-03,43.28,355059814.8,-0.013674
123706,MSFT,2015-03-04,43.055,353213963.18,-0.005199
123707,MSFT,2015-03-05,43.11,353665171.35,0.001277
123708,MSFT,2015-03-06,42.36,347512332.6,-0.017397
123709,MSFT,2015-03-09,42.85,351532187.25,0.011568
123710,MSFT,2015-03-10,42.03,344805083.55,-0.019137
123711,MSFT,2015-03-11,41.98,344394894.3,-0.00119
123712,MSFT,2015-03-12,41.02,336519260.7,-0.022868
123713,MSFT,2015-03-13,41.38,339472623.3,0.008776
123714,MSFT,2015-03-16,41.56,340949304.6,0.00435
123715,MSFT,2015-03-17,41.695,342056815.58,0.003248
123716,MSFT,2015-03-18,42.5,348660862.5,0.019307
123717,MSFT,2015-03-19,42.285,346897048.73,-0.005059
123718,MSFT,2015-03-20,42.88,351778300.8,0.014071
123719,MSFT,2015-03-23,42.855,351573206.18,-0.000583
123720,MSFT,2015-03-24,42.9,351942376.5,0.00105
