Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
121651,MS,2015-01-02,38.71,75771070.13,-0.00232
121652,MS,2015-01-05,37.5,73402612.5,-0.031258
121653,MS,2015-01-06,36.42,71288617.26,-0.0288
121654,MS,2015-01-07,36.94,72306466.82,0.014278
121655,MS,2015-01-08,37.49,73383038.47,0.014889
121656,MS,2015-01-09,36.88,72189022.64,-0.016271
121657,MS,2015-01-12,36.37,71190747.11,-0.013829
121658,MS,2015-01-13,36.03,70525230.09,-0.009348
121659,MS,2015-01-14,35.21,68920159.63,-0.022759
121660,MS,2015-01-15,34.58,67686995.74,-0.017893
121661,MS,2015-01-16,34.89,68293790.67,0.008965
121662,MS,2015-01-20,34.75,68019754.25,-0.004013
121663,MS,2015-01-21,34.73,67980606.19,-0.000576
121664,MS,2015-01-22,35.53,69546528.59,0.023035
121665,MS,2015-01-23,35.15,68802715.45,-0.010695
121666,MS,2015-01-26,35.11,68724419.33,-0.001138
121667,MS,2015-01-27,34.66,67843587.98,-0.012817
121668,MS,2015-01-28,33.77,66101499.31,-0.022793
121669,MS,2015-01-29,34.37,67275941.11,0.017767
121670,MS,2015-01-30,33.81,66179795.43,-0.016293
121671,MS,2015-02-02,34.42,67373811.26,0.018042
121672,MS,2015-02-03,35.04,68587401.12,0.018013
121673,MS,2015-02-04,34.77,68058902.31,-0.007705
121674,MS,2015-02-05,34.93,68372086.79,0.004602
121675,MS,2015-02-06,35.79,70055453.37,0.024621
121676,MS,2015-02-09,35.63,69742268.89,-0.004471
121677,MS,2015-02-10,36.16,70779692.48,0.014875
121678,MS,2015-02-11,36.37,71190747.11,0.005808
121679,MS,2015-02-12,36.9,72228170.7,0.014572
121680,MS,2015-02-13,36.78,71993282.34,-0.003252
121681,MS,2015-02-17,36.92,72267318.76,0.003806
121682,MS,2015-02-18,36.37,71190747.11,-0.014897
121683,MS,2015-02-19,36.33,71112450.99,-0.0011
121684,MS,2015-02-20,36.74,71914986.22,0.011285
121685,MS,2015-02-23,36.27,70995006.81,-0.012793
121686,MS,2015-02-24,36.74,71914986.22,0.012958
121687,MS,2015-02-25,36.59,71621375.77,-0.004083
121688,MS,2015-02-26,36.06,70583952.18,-0.014485
121689,MS,2015-02-27,35.79,70055453.37,-0.007488
121690,MS,2015-03-02,36.24,70936284.72,0.012573
121691,MS,2015-03-03,35.82,70114175.46,-0.011589
121692,MS,2015-03-04,35.09,68685271.27,-0.02038
121693,MS,2015-03-05,35.52,69526954.56,0.012254
121694,MS,2015-03-06,35.53,69546528.59,0.000282
121695,MS,2015-03-09,35.67,69820565.01,0.00394
121696,MS,2015-03-10,34.88,68274216.64,-0.022147
121697,MS,2015-03-11,34.95,68411234.85,0.002007
121698,MS,2015-03-12,37.09,72600077.27,0.06123
121699,MS,2015-03-13,36.35,71151599.05,-0.019951
121700,MS,2015-03-16,36.73,71895412.19,0.010454
