Unnamed: 0,Ticker,DlyCalDt,DlyPrc,DlyCap,DlyRet
125679,NEE,2015-01-02,106.69,46568264.58,0.003763
125680,NEE,2015-01-05,105.56,46075039.92,-0.010591
125681,NEE,2015-01-06,105.97,46253997.54,0.003884
125682,NEE,2015-01-07,106.94,46677385.08,0.009154
125683,NEE,2015-01-08,107.59,46961098.38,0.006078
125684,NEE,2015-01-09,106.64,46546440.48,-0.00883
125685,NEE,2015-01-12,106.37,46428590.34,-0.002532
125686,NEE,2015-01-13,106.79,46611912.78,0.003948
125687,NEE,2015-01-14,107.45,46899990.9,0.00618
125688,NEE,2015-01-15,107.04,46721033.28,-0.003816
125689,NEE,2015-01-16,108.22,47236082.04,0.011024
125690,NEE,2015-01-20,108.93,47545984.26,0.006561
125691,NEE,2015-01-21,109.89,47965006.98,0.008813
125692,NEE,2015-01-22,109.55,47816603.1,-0.003094
125693,NEE,2015-01-23,109.48,47786049.36,-0.000639
125694,NEE,2015-01-26,109.75,47903899.5,0.002466
125695,NEE,2015-01-27,111.22,48545528.04,0.013394
125696,NEE,2015-01-28,109.92,47978101.44,-0.011689
125697,NEE,2015-01-29,111.66,48737580.12,0.01583
125698,NEE,2015-01-30,109.24,47681293.68,-0.021673
125699,NEE,2015-02-02,110.07,48043573.74,0.007598
125700,NEE,2015-02-03,110.24,48117775.68,0.001544
125701,NEE,2015-02-04,109.44,47768590.08,-0.007257
125702,NEE,2015-02-05,109.71,47886440.22,0.002467
125703,NEE,2015-02-06,105.8,46179795.6,-0.035639
125704,NEE,2015-02-09,104.52,45621098.64,-0.012098
125705,NEE,2015-02-10,107.83,47065854.06,0.031669
125706,NEE,2015-02-11,105.06,45856798.92,-0.025689
125707,NEE,2015-02-12,105.34,45979013.88,0.002665
125708,NEE,2015-02-13,103.62,45228264.84,-0.016328
125709,NEE,2015-02-17,103.42,45140968.44,-0.00193
125710,NEE,2015-02-18,106.49,46480968.18,0.029685
125711,NEE,2015-02-19,105.43,46018297.26,-0.009954
125712,NEE,2015-02-20,105.6,46092499.2,0.001612
125713,NEE,2015-02-23,105.99,46262727.18,0.003693
125714,NEE,2015-02-24,106.08,46302010.56,0.000849
125715,NEE,2015-02-25,103.78,45298101.96,-0.014423
